symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LLY,2020-03-12 04:00:00+00:00,130.79,136.5,125.93,126.02,8576471.0,78860.0,128.873303
LLY,2020-03-13 04:00:00+00:00,132.95,139.37,128.505,139.37,7553381.0,74940.0,135.220994
LLY,2020-03-16 04:00:00+00:00,131.0,138.68,128.2514,129.38,7378494.0,70725.0,132.694962
LLY,2020-03-17 04:00:00+00:00,133.21,143.59,131.1,143.2,9691075.0,97946.0,138.891486
LLY,2020-03-18 04:00:00+00:00,136.34,144.0,134.08,138.1,7355891.0,70324.0,138.999612
LLY,2020-03-19 04:00:00+00:00,142.49,142.98,131.12,133.09,7245253.0,66504.0,136.338397
LLY,2020-03-20 04:00:00+00:00,132.16,132.25,120.2315,122.4,10155241.0,88118.0,125.595851
LLY,2020-03-23 04:00:00+00:00,120.95,126.88,117.06,119.05,8130983.0,78305.0,120.573326
LLY,2020-03-24 04:00:00+00:00,123.24,124.6,117.41,122.89,7509070.0,67857.0,121.918934
LLY,2020-03-25 04:00:00+00:00,120.12,126.14,119.21,121.94,7389763.0,65482.0,122.444421
LLY,2020-03-26 04:00:00+00:00,123.29,135.7396,121.94,134.35,7523443.0,70339.0,131.966282
LLY,2020-03-27 04:00:00+00:00,130.38,137.61,130.1966,134.11,5356519.0,52759.0,133.665376
LLY,2020-03-30 04:00:00+00:00,133.87,141.77,133.51,138.44,5454917.0,53409.0,139.008675
LLY,2020-03-31 04:00:00+00:00,136.96,142.02,134.52,138.72,10254253.0,57301.0,138.576124
LLY,2020-04-01 04:00:00+00:00,134.0,137.19,132.98,136.42,3694207.0,40074.0,135.735258
LLY,2020-04-02 04:00:00+00:00,135.35,142.8,133.03,142.18,5162614.0,47431.0,140.31544
LLY,2020-04-03 04:00:00+00:00,140.92,144.6,138.46,139.66,4482699.0,41946.0,140.522322
LLY,2020-04-06 04:00:00+00:00,142.27,143.5,140.3,141.61,4856460.0,48797.0,141.62848
LLY,2020-04-07 04:00:00+00:00,143.13,144.8,140.05,141.88,4322582.0,42148.0,142.517096
LLY,2020-04-08 04:00:00+00:00,142.05,147.25,140.5,146.22,4649707.0,43147.0,145.188211
LLY,2020-04-09 04:00:00+00:00,144.12,146.4,143.55,145.73,5015724.0,50774.0,145.465644
LLY,2020-04-13 04:00:00+00:00,144.97,146.59,142.88,144.42,2493507.0,27773.0,144.280782
LLY,2020-04-14 04:00:00+00:00,146.99,151.5483,144.05,151.11,4409445.0,40429.0,150.197331
LLY,2020-04-15 04:00:00+00:00,148.94,153.4,148.51,151.18,4088617.0,38750.0,151.214129
LLY,2020-04-16 04:00:00+00:00,152.89,155.59,152.0,154.73,3966904.0,37775.0,154.175563
LLY,2020-04-17 04:00:00+00:00,155.42,157.67,153.03,157.29,4309012.0,36146.0,156.094221
LLY,2020-04-20 04:00:00+00:00,156.63,160.1974,155.61,157.79,2845468.0,30109.0,158.142337
LLY,2020-04-21 04:00:00+00:00,155.41,155.8,151.41,152.67,4839355.0,41514.0,153.262782
LLY,2020-04-22 04:00:00+00:00,154.61,157.28,153.57,156.71,3743506.0,32997.0,156.436408
LLY,2020-04-23 04:00:00+00:00,156.94,162.56,154.0,159.93,5941581.0,53736.0,159.859804
LLY,2020-04-24 04:00:00+00:00,162.0,164.9,160.61,162.93,4935069.0,41766.0,162.801635
LLY,2020-04-27 04:00:00+00:00,164.0,164.5,160.72,161.29,3477809.0,32855.0,162.255467
LLY,2020-04-28 04:00:00+00:00,160.94,161.9803,156.59,157.3,3644484.0,37626.0,158.429085
LLY,2020-04-29 04:00:00+00:00,157.84,158.03,154.67,155.16,3653546.0,38515.0,155.677898
LLY,2020-04-30 04:00:00+00:00,155.2,156.9785,153.28,154.64,5169342.0,33802.0,154.708843
LLY,2020-05-01 04:00:00+00:00,153.72,154.605,151.57,153.63,2971404.0,29550.0,153.49388
LLY,2020-05-04 04:00:00+00:00,154.65,156.0,151.26,153.28,2485996.0,28240.0,152.823799
LLY,2020-05-05 04:00:00+00:00,153.8,159.22,152.75,157.89,3057595.0,35931.0,157.363264
LLY,2020-05-06 04:00:00+00:00,158.46,158.94,156.35,156.68,2186347.0,24047.0,157.110947
LLY,2020-05-07 04:00:00+00:00,157.5,157.69,152.72,152.97,2582964.0,30008.0,153.947271
LLY,2020-05-08 04:00:00+00:00,154.2,154.42,152.55,153.51,2309409.0,22809.0,153.480864
LLY,2020-05-11 04:00:00+00:00,153.47,159.47,153.08,158.55,3526465.0,36544.0,157.462899
LLY,2020-05-12 04:00:00+00:00,159.87,161.4,157.59,157.72,2529451.0,29848.0,159.320537
LLY,2020-05-13 04:00:00+00:00,157.05,159.35,156.04,157.93,2877491.0,34917.0,157.829051
LLY,2020-05-14 04:00:00+00:00,155.94,158.95,153.81,158.38,2632995.0,31376.0,157.166809
LLY,2020-05-15 04:00:00+00:00,158.63,159.51,156.03,159.23,3700968.0,25872.0,158.681107
LLY,2020-05-18 04:00:00+00:00,161.34,162.37,157.11,157.96,3071232.0,31648.0,158.313476
LLY,2020-05-19 04:00:00+00:00,156.85,159.13,155.28,156.7,2638101.0,28858.0,156.852926
LLY,2020-05-20 04:00:00+00:00,155.2,157.43,151.61,153.13,4045083.0,43486.0,153.733527
LLY,2020-05-21 04:00:00+00:00,153.15,153.15,149.7208,152.28,3326223.0,34191.0,151.895887
LLY,2020-05-22 04:00:00+00:00,152.22,152.56,150.1672,151.16,2843340.0,27764.0,151.189106
LLY,2020-05-26 04:00:00+00:00,151.14,151.76,147.16,147.96,5618664.0,56762.0,148.264421
LLY,2020-05-27 04:00:00+00:00,148.17,148.17,143.62,145.7,5842486.0,59386.0,144.860136
LLY,2020-05-28 04:00:00+00:00,147.43,152.1,146.51,150.65,4545616.0,41503.0,150.516101
LLY,2020-05-29 04:00:00+00:00,151.66,153.64,149.94,152.95,14209631.0,52835.0,152.662995
LLY,2020-06-01 04:00:00+00:00,154.48,154.99,150.891,152.45,5650805.0,52772.0,152.865801
LLY,2020-06-02 04:00:00+00:00,152.08,154.08,151.04,153.86,3801067.0,34065.0,152.962609
LLY,2020-06-03 04:00:00+00:00,153.34,154.39,150.85,152.53,3479170.0,32380.0,152.492273
LLY,2020-06-04 04:00:00+00:00,152.21,153.54,149.711,150.71,3711041.0,37769.0,151.06834
LLY,2020-06-05 04:00:00+00:00,149.7,151.76,148.34,149.21,5041485.0,46591.0,149.715242
LLY,2020-06-08 04:00:00+00:00,146.75,149.25,146.52,149.21,4468662.0,41831.0,148.29152
LLY,2020-06-09 04:00:00+00:00,149.75,151.75,149.11,149.13,5113513.0,38786.0,149.771753
LLY,2020-06-10 04:00:00+00:00,149.84,152.4,149.84,151.0,5230680.0,46626.0,151.110126
LLY,2020-06-11 04:00:00+00:00,151.51,152.24,143.05,144.08,5022174.0,52199.0,146.224852
LLY,2020-06-12 04:00:00+00:00,145.54,146.38,141.47,143.54,4308944.0,47446.0,143.788924
LLY,2020-06-15 04:00:00+00:00,142.0,142.9,139.68,141.52,4367696.0,35004.0,141.261771
LLY,2020-06-16 04:00:00+00:00,156.32,167.43,155.0,163.71,15510577.0,142488.0,162.025906
LLY,2020-06-17 04:00:00+00:00,164.23,164.36,159.4,159.97,5065880.0,51636.0,161.136016
LLY,2020-06-18 04:00:00+00:00,159.2,162.97,158.2,161.07,3934756.0,37833.0,160.72122
LLY,2020-06-19 04:00:00+00:00,162.23,162.48,158.26,159.94,7660531.0,40770.0,160.053248
LLY,2020-06-22 04:00:00+00:00,159.0,161.48,158.92,160.45,3155845.0,28401.0,160.415751
LLY,2020-06-23 04:00:00+00:00,160.89,162.87,158.95,159.34,3149789.0,28208.0,160.27415
LLY,2020-06-24 04:00:00+00:00,158.55,159.79,156.33,157.03,3882840.0,33195.0,157.435503
LLY,2020-06-25 04:00:00+00:00,157.91,163.39,156.71,162.86,4021200.0,39732.0,161.374792
LLY,2020-06-26 04:00:00+00:00,162.0,163.7888,160.18,162.83,6874473.0,42152.0,162.371161
LLY,2020-06-29 04:00:00+00:00,163.85,164.205,161.03,162.72,3010442.0,29114.0,162.363588
LLY,2020-06-30 04:00:00+00:00,163.13,165.17,162.3,164.18,4095871.0,32296.0,163.783184
LLY,2020-07-01 04:00:00+00:00,164.73,165.47,162.52,163.3,2376277.0,26739.0,163.690294
LLY,2020-07-02 04:00:00+00:00,164.07,164.77,162.37,163.87,2259153.0,24604.0,163.827656
LLY,2020-07-06 04:00:00+00:00,164.46,168.92,164.01,166.89,3069688.0,32115.0,166.883882
LLY,2020-07-07 04:00:00+00:00,166.12,168.38,165.27,166.75,3714032.0,32487.0,166.986231
LLY,2020-07-08 04:00:00+00:00,166.84,169.82,166.84,169.13,3221225.0,28736.0,168.74844
LLY,2020-07-09 04:00:00+00:00,169.88,170.75,163.71,166.45,3191518.0,35775.0,166.587305
LLY,2020-07-10 04:00:00+00:00,166.14,166.14,162.74,163.36,2543895.0,28522.0,163.604329
LLY,2020-07-13 04:00:00+00:00,164.61,167.0,161.04,162.08,4040053.0,32826.0,163.437856
LLY,2020-07-14 04:00:00+00:00,162.91,164.77,161.53,163.88,3059248.0,28143.0,163.629629
LLY,2020-07-15 04:00:00+00:00,165.19,166.48,163.895,165.45,2720955.0,29149.0,165.147196
LLY,2020-07-16 04:00:00+00:00,164.96,165.44,162.6,165.0,1650700.0,20263.0,164.343232
LLY,2020-07-17 04:00:00+00:00,166.04,167.26,165.11,165.96,3484005.0,28797.0,166.209214
LLY,2020-07-20 04:00:00+00:00,166.49,167.71,165.73,167.04,1998987.0,24739.0,166.791506
LLY,2020-07-21 04:00:00+00:00,166.87,167.23,164.76,165.3,1808408.0,20928.0,165.52563
LLY,2020-07-22 04:00:00+00:00,165.54,165.85,162.33,164.84,1997674.0,18584.0,164.457515
LLY,2020-07-23 04:00:00+00:00,165.26,165.46,160.79,161.52,2640022.0,28756.0,162.4576
LLY,2020-07-24 04:00:00+00:00,161.47,161.47,158.45,159.54,2415816.0,27416.0,159.335665
LLY,2020-07-27 04:00:00+00:00,159.6,161.74,158.59,160.5,3060409.0,27992.0,160.426439
LLY,2020-07-28 04:00:00+00:00,161.67,165.41,161.345,162.65,3728744.0,34461.0,163.368364
LLY,2020-07-29 04:00:00+00:00,162.53,163.025,161.1,161.75,3581357.0,32512.0,162.061348
LLY,2020-07-30 04:00:00+00:00,158.45,158.5,150.45,153.0,6974454.0,70467.0,153.267372
LLY,2020-07-31 04:00:00+00:00,153.13,153.335,148.74,150.29,5978767.0,53142.0,150.582663
LLY,2020-08-03 04:00:00+00:00,152.8,153.85,151.22,152.84,3897621.0,41356.0,152.837898
LLY,2020-08-04 04:00:00+00:00,153.35,156.0,153.09,154.85,3590163.0,38360.0,154.439143
LLY,2020-08-05 04:00:00+00:00,157.49,157.49,153.3,154.34,2718374.0,29755.0,154.296807
LLY,2020-08-06 04:00:00+00:00,153.85,155.5,151.0,152.88,2372444.0,27577.0,152.471079
LLY,2020-08-07 04:00:00+00:00,152.96,153.5,151.58,152.93,2284808.0,23600.0,152.624266
LLY,2020-08-10 04:00:00+00:00,152.93,153.49,151.53,153.0,1910959.0,24565.0,152.762127
LLY,2020-08-11 04:00:00+00:00,153.14,153.14,150.2,150.63,2434110.0,26046.0,151.070463
LLY,2020-08-12 04:00:00+00:00,150.79,153.17,150.6,152.55,2765679.0,26144.0,152.216855
LLY,2020-08-13 04:00:00+00:00,150.82,151.69,149.79,150.46,2328863.0,25476.0,150.392683
LLY,2020-08-14 04:00:00+00:00,149.8,151.69,149.15,150.09,1769118.0,19188.0,150.153475
LLY,2020-08-17 04:00:00+00:00,150.92,152.7,150.36,151.53,3389916.0,23265.0,151.579615
LLY,2020-08-18 04:00:00+00:00,152.15,153.15,151.15,153.11,2376888.0,22266.0,152.759067
LLY,2020-08-19 04:00:00+00:00,153.81,154.41,152.01,152.29,2263474.0,24026.0,152.66895
LLY,2020-08-20 04:00:00+00:00,152.55,152.85,150.85,151.34,2054592.0,25950.0,151.438633
LLY,2020-08-21 04:00:00+00:00,151.34,151.35,147.95,149.26,3491176.0,30848.0,149.4874
LLY,2020-08-24 04:00:00+00:00,150.0,150.4,148.25,149.52,2742312.0,24337.0,149.420209
LLY,2020-08-25 04:00:00+00:00,150.36,151.31,149.31,149.68,2470938.0,23835.0,149.997363
LLY,2020-08-26 04:00:00+00:00,149.19,149.46,147.41,149.26,3397318.0,32763.0,148.679522
LLY,2020-08-27 04:00:00+00:00,150.58,150.94,148.94,148.97,3446439.0,32294.0,149.61199
LLY,2020-08-28 04:00:00+00:00,148.84,149.1518,146.98,147.34,2382007.0,23279.0,147.613438
LLY,2020-08-31 04:00:00+00:00,147.35,148.795,147.03,148.39,5089511.0,41846.0,148.297112
LLY,2020-09-01 04:00:00+00:00,148.61,149.2,146.645,147.3,2670374.0,29952.0,147.602881
LLY,2020-09-02 04:00:00+00:00,146.79,150.0,146.51,149.55,2670227.0,30162.0,149.20626
LLY,2020-09-03 04:00:00+00:00,152.19,153.37,147.46,149.02,4663322.0,47258.0,149.681307
LLY,2020-09-04 04:00:00+00:00,148.77,152.58,147.95,150.91,4740936.0,52094.0,150.389393
LLY,2020-09-08 04:00:00+00:00,150.95,151.31,148.5,149.31,4838749.0,48380.0,149.678966
LLY,2020-09-09 04:00:00+00:00,150.31,154.12,150.31,151.97,2615845.0,29205.0,152.591403
LLY,2020-09-10 04:00:00+00:00,149.88,150.6,145.715,146.22,4325204.0,49573.0,147.619249
LLY,2020-09-11 04:00:00+00:00,147.5,149.185,146.88,148.09,3272081.0,34174.0,148.082241
LLY,2020-09-14 04:00:00+00:00,149.09,150.505,147.47,149.0,3441329.0,33557.0,149.219202
LLY,2020-09-15 04:00:00+00:00,149.96,151.87,149.415,150.08,3258763.0,28803.0,150.103848
LLY,2020-09-16 04:00:00+00:00,151.72,152.68,150.79,150.96,4001201.0,36496.0,151.497645
LLY,2020-09-17 04:00:00+00:00,150.13,152.68,149.455,152.47,4031405.0,39714.0,151.85909
LLY,2020-09-18 04:00:00+00:00,152.06,154.5,152.04,154.17,19971056.0,51788.0,154.025648
LLY,2020-09-21 04:00:00+00:00,153.17,153.66,149.06,151.18,4000122.0,39646.0,150.758462
LLY,2020-09-22 04:00:00+00:00,151.57,151.57,149.15,149.86,3280406.0,29996.0,149.873018
LLY,2020-09-23 04:00:00+00:00,150.05,151.59,148.7,149.81,4062439.0,32972.0,149.947546
LLY,2020-09-24 04:00:00+00:00,149.26,149.66,147.37,148.81,3790730.0,31140.0,148.665178
LLY,2020-09-25 04:00:00+00:00,148.39,150.4,147.85,150.26,2763036.0,26394.0,149.319222
LLY,2020-09-28 04:00:00+00:00,151.0,151.58,147.9,148.1,2762304.0,26983.0,148.863036
LLY,2020-09-29 04:00:00+00:00,147.98,148.44,145.93,146.26,3546439.0,35299.0,146.938755
LLY,2020-09-30 04:00:00+00:00,146.4,148.445,145.06,148.02,6050137.0,41532.0,147.449952
LLY,2020-10-01 04:00:00+00:00,148.33,148.705,144.06,144.29,4169931.0,43462.0,145.213732
LLY,2020-10-02 04:00:00+00:00,143.67,146.94,143.27,145.21,4192761.0,41433.0,145.167799
LLY,2020-10-05 04:00:00+00:00,145.07,147.47,144.18,146.63,3040608.0,31170.0,146.285497
LLY,2020-10-06 04:00:00+00:00,146.93,147.83,143.93,144.13,2678366.0,29247.0,145.365325
LLY,2020-10-07 04:00:00+00:00,148.52,149.89,146.85,148.96,5040172.0,50216.0,148.590262
LLY,2020-10-08 04:00:00+00:00,152.4,153.94,150.5,153.5,5006748.0,54216.0,152.905049
LLY,2020-10-09 04:00:00+00:00,154.09,157.15,154.07,156.88,4915586.0,53974.0,156.188897
LLY,2020-10-12 04:00:00+00:00,156.83,157.15,154.42,154.49,3558261.0,36281.0,155.362068
LLY,2020-10-13 04:00:00+00:00,153.0,154.3269,148.55,150.08,6441244.0,58965.0,150.950015
LLY,2020-10-14 04:00:00+00:00,150.38,150.6,147.71,148.46,2936719.0,34318.0,148.779995
LLY,2020-10-15 04:00:00+00:00,146.51,146.91,145.38,146.78,4124702.0,38039.0,146.323408
LLY,2020-10-16 04:00:00+00:00,147.11,148.38,146.0,146.12,3375724.0,32854.0,146.59852
LLY,2020-10-19 04:00:00+00:00,147.0,147.4088,142.21,142.8,3839055.0,39541.0,143.428283
LLY,2020-10-20 04:00:00+00:00,143.36,144.12,142.11,143.59,2441676.0,31550.0,143.491155
LLY,2020-10-21 04:00:00+00:00,142.29,143.33,141.21,141.31,2231337.0,27353.0,141.866023
LLY,2020-10-22 04:00:00+00:00,141.53,142.265,140.8,141.65,3549217.0,35928.0,141.60738
LLY,2020-10-23 04:00:00+00:00,142.24,144.7,141.72,142.38,2813298.0,27624.0,142.796506
LLY,2020-10-26 04:00:00+00:00,141.9,142.2899,140.05,141.7,3243923.0,40642.0,141.365797
LLY,2020-10-27 04:00:00+00:00,133.02,136.08,131.87,131.9,11804870.0,120020.0,133.439446
LLY,2020-10-28 04:00:00+00:00,130.455,134.1008,130.31,131.31,6646478.0,64131.0,131.966435
LLY,2020-10-29 04:00:00+00:00,132.0,133.13,130.38,132.55,4414059.0,46702.0,132.270788
