symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LNT,2020-03-12 04:00:00+00:00,48.75,51.73,45.37,48.18,3440892.0,34316.0,48.53608
LNT,2020-03-13 04:00:00+00:00,49.92,51.1,47.55,50.9,2714912.0,29515.0,49.598607
LNT,2020-03-16 04:00:00+00:00,47.87,50.29,46.43,47.56,4862846.0,46829.0,48.076116
LNT,2020-03-17 04:00:00+00:00,48.6,53.94,48.51,52.37,4372792.0,49816.0,51.925729
LNT,2020-03-18 04:00:00+00:00,50.07,51.56,46.75,48.98,3055011.0,30871.0,48.852207
LNT,2020-03-19 04:00:00+00:00,49.04,49.395,44.51,45.03,2438134.0,22887.0,46.323943
LNT,2020-03-20 04:00:00+00:00,45.06,45.14,40.21,40.7,3861014.0,37814.0,42.893602
LNT,2020-03-23 04:00:00+00:00,40.28,40.72,37.66,39.99,3097333.0,34602.0,39.447563
LNT,2020-03-24 04:00:00+00:00,41.0,44.02,39.34,43.86,4412374.0,42531.0,42.544848
LNT,2020-03-25 04:00:00+00:00,43.07,45.89,40.51,44.18,3892830.0,27271.0,43.498843
LNT,2020-03-26 04:00:00+00:00,44.24,48.62,44.18,47.9,3247542.0,23970.0,46.884344
LNT,2020-03-27 04:00:00+00:00,46.37,49.33,45.6708,47.75,1997498.0,19966.0,47.560612
LNT,2020-03-30 04:00:00+00:00,48.37,50.79,47.35,50.57,2491163.0,20125.0,49.704348
LNT,2020-03-31 04:00:00+00:00,49.67,50.49,48.01,48.29,3791084.0,24153.0,48.507296
LNT,2020-04-01 04:00:00+00:00,46.46,46.92,43.97,44.94,2120836.0,25825.0,45.037337
LNT,2020-04-02 04:00:00+00:00,44.03,47.29,43.61,46.92,1859484.0,21091.0,46.377537
LNT,2020-04-03 04:00:00+00:00,46.37,47.35,44.74,45.15,1740563.0,17054.0,45.456336
LNT,2020-04-06 04:00:00+00:00,46.47,48.68,46.1,47.83,1580848.0,18855.0,47.868216
LNT,2020-04-07 04:00:00+00:00,49.04,49.165,47.69,48.03,2791979.0,25193.0,48.371534
LNT,2020-04-08 04:00:00+00:00,48.12,51.66,47.79,51.23,2265745.0,26385.0,50.466114
LNT,2020-04-09 04:00:00+00:00,51.51,54.45,51.51,53.14,1554090.0,18673.0,53.313835
LNT,2020-04-13 04:00:00+00:00,52.57,52.98,50.67,51.28,914331.0,10251.0,51.400628
LNT,2020-04-14 04:00:00+00:00,52.46,53.75,52.17,53.62,1691439.0,16416.0,53.098459
LNT,2020-04-15 04:00:00+00:00,52.82,53.3,51.22,51.5,1136674.0,15203.0,51.96392
LNT,2020-04-16 04:00:00+00:00,51.79,52.42,50.9,51.61,854673.0,9970.0,51.578888
LNT,2020-04-17 04:00:00+00:00,52.23,53.175,51.61,52.87,895325.0,10742.0,52.547382
LNT,2020-04-20 04:00:00+00:00,52.07,52.53,49.85,49.99,1260397.0,14578.0,50.656535
LNT,2020-04-21 04:00:00+00:00,48.97,49.8299,48.41,49.7,1164973.0,13136.0,49.419349
LNT,2020-04-22 04:00:00+00:00,50.45,51.6,49.83,51.03,1314190.0,12127.0,50.918669
LNT,2020-04-23 04:00:00+00:00,51.09,51.16,49.63,50.09,1266022.0,13428.0,50.247236
LNT,2020-04-24 04:00:00+00:00,50.05,50.395,48.89,49.98,1695955.0,15856.0,49.742687
LNT,2020-04-27 04:00:00+00:00,50.25,50.74,50.0,50.34,1639192.0,14989.0,50.397349
LNT,2020-04-28 04:00:00+00:00,50.94,51.37,50.08,50.65,1469583.0,14239.0,50.624876
LNT,2020-04-29 04:00:00+00:00,50.78,50.93,49.03,49.41,2484929.0,21348.0,49.591249
LNT,2020-04-30 04:00:00+00:00,49.1,49.3,47.94,48.55,1604590.0,16172.0,48.49361
LNT,2020-05-01 04:00:00+00:00,48.18,48.36,46.805,47.25,1547275.0,17700.0,47.231522
LNT,2020-05-04 04:00:00+00:00,47.41,47.71,46.6,47.495,1477718.0,15463.0,47.308302
LNT,2020-05-05 04:00:00+00:00,47.61,48.4335,47.5,48.02,1152571.0,12303.0,48.057881
LNT,2020-05-06 04:00:00+00:00,48.22,48.3667,46.08,46.17,1914615.0,18331.0,46.730928
LNT,2020-05-07 04:00:00+00:00,46.88,47.41,46.115,46.24,1553023.0,18943.0,46.458795
LNT,2020-05-08 04:00:00+00:00,47.47,48.21,46.55,47.99,1509793.0,18145.0,47.798281
LNT,2020-05-11 04:00:00+00:00,47.84,47.84,46.45,47.08,1418418.0,17543.0,47.058603
LNT,2020-05-12 04:00:00+00:00,46.97,47.12,46.06,46.395,1468780.0,17306.0,46.533349
LNT,2020-05-13 04:00:00+00:00,45.95,46.25,45.39,45.86,2170838.0,21392.0,45.821304
LNT,2020-05-14 04:00:00+00:00,45.16,46.21,44.36,45.94,1741730.0,20335.0,45.592035
LNT,2020-05-15 04:00:00+00:00,45.72,46.06,44.74,45.95,5224533.0,25920.0,45.724821
LNT,2020-05-18 04:00:00+00:00,47.26,48.08,47.02,47.74,1293719.0,15660.0,47.656448
LNT,2020-05-19 04:00:00+00:00,47.35,47.65,46.31,46.32,1201821.0,14930.0,46.722536
LNT,2020-05-20 04:00:00+00:00,46.63,47.42,46.38,46.66,972447.0,14962.0,46.745692
LNT,2020-05-21 04:00:00+00:00,46.41,46.89,45.99,46.03,1098126.0,13016.0,46.156671
LNT,2020-05-22 04:00:00+00:00,46.1,46.41,45.96,46.38,970195.0,13199.0,46.241948
LNT,2020-05-26 04:00:00+00:00,47.14,47.7,46.74,46.91,1200659.0,13728.0,47.151119
LNT,2020-05-27 04:00:00+00:00,47.74,47.89,46.76,47.335,1621052.0,15817.0,47.277932
LNT,2020-05-28 04:00:00+00:00,47.91,49.04,47.54,48.86,1510000.0,13766.0,48.682487
LNT,2020-05-29 04:00:00+00:00,48.48,49.72,48.4,49.36,2295905.0,18664.0,49.247119
LNT,2020-06-01 04:00:00+00:00,49.32,49.69,48.765,49.46,1098070.0,11534.0,49.32953
LNT,2020-06-02 04:00:00+00:00,49.55,50.2,49.21,50.16,1758073.0,15719.0,49.878122
LNT,2020-06-03 04:00:00+00:00,50.62,51.43,50.27,51.04,1522975.0,17559.0,51.025665
LNT,2020-06-04 04:00:00+00:00,50.61,51.01,49.63,50.1,1773206.0,14978.0,50.280176
LNT,2020-06-05 04:00:00+00:00,50.65,51.69,50.35,50.64,1266436.0,13670.0,50.794568
LNT,2020-06-08 04:00:00+00:00,50.57,52.47,50.05,52.32,1553593.0,16845.0,52.024493
LNT,2020-06-09 04:00:00+00:00,51.75,52.26,50.42,50.77,1232185.0,13646.0,50.848828
LNT,2020-06-10 04:00:00+00:00,50.54,51.19,50.4,50.72,1271492.0,13713.0,50.768022
