symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LVS,2020-03-12 04:00:00+00:00,42.4,46.59,39.06,44.15,13923600.0,92589.0,43.401984
LVS,2020-03-13 04:00:00+00:00,48.02,49.1,42.87,49.01,12933976.0,100081.0,46.574014
LVS,2020-03-16 04:00:00+00:00,40.52,45.1,39.2,40.39,12992459.0,90423.0,42.185144
LVS,2020-03-17 04:00:00+00:00,40.76,43.29,35.9169,40.86,13153473.0,98971.0,39.545726
LVS,2020-03-18 04:00:00+00:00,36.74,40.1,33.3,37.68,14654767.0,101262.0,37.021324
LVS,2020-03-19 04:00:00+00:00,36.75,44.67,33.8601,40.36,11884111.0,79827.0,40.496
LVS,2020-03-20 04:00:00+00:00,42.3,47.0,41.7876,43.31,13437345.0,90901.0,43.821612
LVS,2020-03-23 04:00:00+00:00,43.72,45.33,41.61,43.45,8423006.0,69565.0,43.373612
LVS,2020-03-24 04:00:00+00:00,46.48,47.82,44.25,44.84,9278611.0,76232.0,45.931278
LVS,2020-03-25 04:00:00+00:00,46.85,51.67,44.77,47.35,11161053.0,89660.0,48.355952
LVS,2020-03-26 04:00:00+00:00,48.6,52.93,46.51,48.36,10769395.0,87772.0,49.231595
LVS,2020-03-27 04:00:00+00:00,45.55,46.2,42.0,42.1,11864658.0,95536.0,42.979433
LVS,2020-03-30 04:00:00+00:00,41.97,44.73,41.25,43.49,7781157.0,57502.0,43.197422
LVS,2020-03-31 04:00:00+00:00,43.44,43.925,41.8,42.47,5714235.0,43685.0,42.773252
LVS,2020-04-01 04:00:00+00:00,40.26,41.2,39.67,40.3,7617564.0,60798.0,40.46755
LVS,2020-04-02 04:00:00+00:00,39.9,41.31,39.63,40.27,6604073.0,55653.0,40.376866
LVS,2020-04-03 04:00:00+00:00,40.25,40.49,36.8,37.92,9041302.0,80504.0,37.934535
LVS,2020-04-06 04:00:00+00:00,40.55,41.42,39.73,40.7,8132021.0,65046.0,40.54236
LVS,2020-04-07 04:00:00+00:00,43.64,44.75,42.18,42.7,9171010.0,70295.0,43.370702
LVS,2020-04-08 04:00:00+00:00,43.74,47.52,43.18,46.55,8061936.0,64808.0,46.222991
LVS,2020-04-09 04:00:00+00:00,48.41,49.89,46.15,47.86,7537094.0,71768.0,47.721782
LVS,2020-04-13 04:00:00+00:00,47.59,47.625,45.51,46.49,5096569.0,44356.0,46.445689
LVS,2020-04-14 04:00:00+00:00,47.59,48.25,46.09,48.13,5377738.0,47694.0,47.465447
LVS,2020-04-15 04:00:00+00:00,46.01,48.0,45.6504,47.1,6535722.0,42199.0,47.00235
LVS,2020-04-16 04:00:00+00:00,47.25,47.58,44.55,45.9,7857886.0,51883.0,45.617311
LVS,2020-04-17 04:00:00+00:00,47.5,48.19,46.21,47.01,10307504.0,79189.0,47.120305
LVS,2020-04-20 04:00:00+00:00,45.95,46.1,43.07,43.13,11700407.0,81917.0,44.440896
LVS,2020-04-21 04:00:00+00:00,43.12,43.12,40.42,40.69,15341015.0,94907.0,41.072638
LVS,2020-04-22 04:00:00+00:00,41.64,41.87,40.31,41.03,21085049.0,90181.0,40.761211
LVS,2020-04-23 04:00:00+00:00,45.17,46.49,43.86,45.96,19730398.0,126526.0,45.435349
LVS,2020-04-24 04:00:00+00:00,46.05,46.37,43.29,43.78,16143087.0,94428.0,44.058619
LVS,2020-04-27 04:00:00+00:00,44.68,48.47,44.06,46.38,16198213.0,108472.0,47.221073
LVS,2020-04-28 04:00:00+00:00,48.62,49.99,44.58,46.58,17814141.0,111006.0,46.225135
LVS,2020-04-29 04:00:00+00:00,48.63,49.817,47.66,48.89,13737347.0,89197.0,48.993651
LVS,2020-04-30 04:00:00+00:00,47.4,49.34,46.86,48.02,8569218.0,60940.0,47.96682
LVS,2020-05-01 04:00:00+00:00,46.09,46.54,45.0,45.61,5692852.0,47370.0,45.686193
LVS,2020-05-04 04:00:00+00:00,44.0,45.73,43.5,45.45,5067509.0,43662.0,44.840686
LVS,2020-05-05 04:00:00+00:00,46.63,46.75,45.23,46.39,5365590.0,39389.0,46.219126
LVS,2020-05-06 04:00:00+00:00,46.97,47.44,46.235,46.44,5357051.0,44530.0,46.723822
LVS,2020-05-07 04:00:00+00:00,47.13,48.3455,46.66,47.37,5918638.0,47864.0,47.447823
LVS,2020-05-08 04:00:00+00:00,48.69,51.06,48.05,50.94,7510127.0,58504.0,49.967484
LVS,2020-05-11 04:00:00+00:00,50.36,50.49,48.405,48.5,5732133.0,45086.0,49.11189
LVS,2020-05-12 04:00:00+00:00,48.71,48.79,45.92,45.96,7211128.0,56909.0,47.129476
LVS,2020-05-13 04:00:00+00:00,46.0,46.19,43.98,44.42,6876674.0,53081.0,44.835767
LVS,2020-05-14 04:00:00+00:00,43.1,46.05,42.43,45.68,8298097.0,50865.0,44.946791
LVS,2020-05-15 04:00:00+00:00,45.07,45.86,44.73,44.76,5503505.0,43268.0,45.059999
LVS,2020-05-18 04:00:00+00:00,48.11,48.66,47.29,48.39,8282628.0,61617.0,48.207647
LVS,2020-05-19 04:00:00+00:00,48.5,49.7,47.32,48.25,6106781.0,50799.0,48.734795
LVS,2020-05-20 04:00:00+00:00,49.68,50.36,48.785,50.17,7066115.0,52839.0,49.748244
LVS,2020-05-21 04:00:00+00:00,50.38,50.48,48.32,48.57,6567774.0,46168.0,49.100548
LVS,2020-05-22 04:00:00+00:00,47.85,48.0,46.5,46.9,6703132.0,53230.0,46.97214
LVS,2020-05-26 04:00:00+00:00,49.95,50.3325,48.85,49.93,7113211.0,59120.0,49.753309
LVS,2020-05-27 04:00:00+00:00,51.91,52.2,49.25,50.93,6884611.0,59526.0,50.639836
LVS,2020-05-28 04:00:00+00:00,51.04,51.0784,48.33,48.55,5764194.0,50789.0,49.39807
LVS,2020-05-29 04:00:00+00:00,47.68,48.68,46.78,47.94,8942368.0,62253.0,47.758136
LVS,2020-06-01 04:00:00+00:00,48.52,49.76,47.62,49.03,7015282.0,48495.0,48.915297
LVS,2020-06-02 04:00:00+00:00,49.11,49.26,47.3,47.79,9393370.0,62465.0,47.878198
LVS,2020-06-03 04:00:00+00:00,48.77,52.17,48.69,51.79,12260147.0,75957.0,51.273671
LVS,2020-06-04 04:00:00+00:00,53.86,53.92,49.06,52.35,19098999.0,129609.0,51.668788
LVS,2020-06-05 04:00:00+00:00,56.0,56.02,52.445,52.97,11793846.0,95013.0,54.022744
LVS,2020-06-08 04:00:00+00:00,54.75,55.73,53.63,55.64,7767004.0,57421.0,54.965073
LVS,2020-06-09 04:00:00+00:00,54.76,54.79,53.04,53.66,5057480.0,45496.0,53.799517
LVS,2020-06-10 04:00:00+00:00,53.01,53.63,51.68,51.77,5706472.0,54245.0,52.47427
LVS,2020-06-11 04:00:00+00:00,48.37,50.36,48.17,49.09,9235662.0,81826.0,49.33887
LVS,2020-06-12 04:00:00+00:00,51.32,51.36,48.6,49.87,6082560.0,54332.0,49.670823
LVS,2020-06-15 04:00:00+00:00,47.92,49.67,47.75,49.06,5353494.0,47783.0,48.678102
LVS,2020-06-16 04:00:00+00:00,51.28,51.38,47.75,49.4,8312539.0,63360.0,49.225624
LVS,2020-06-17 04:00:00+00:00,49.19,49.56,48.26,48.9,4431971.0,34356.0,48.99715
LVS,2020-06-18 04:00:00+00:00,48.39,49.2,47.96,48.2,5813043.0,46559.0,48.330277
LVS,2020-06-19 04:00:00+00:00,49.09,49.15,47.05,47.19,11773410.0,52702.0,47.558028
LVS,2020-06-22 04:00:00+00:00,46.77,46.89,45.11,46.29,10378062.0,50467.0,46.044364
LVS,2020-06-23 04:00:00+00:00,47.0,47.005,46.35,46.88,6185672.0,40758.0,46.698368
LVS,2020-06-24 04:00:00+00:00,46.39,46.67,44.25,44.94,7943723.0,56098.0,45.18095
LVS,2020-06-25 04:00:00+00:00,44.0,45.15,43.03,44.99,10765442.0,62672.0,44.191086
LVS,2020-06-26 04:00:00+00:00,44.7,44.84,43.01,43.33,8916228.0,53045.0,43.502993
LVS,2020-06-29 04:00:00+00:00,43.59,44.94,42.88,44.65,7784555.0,51035.0,44.264981
LVS,2020-06-30 04:00:00+00:00,43.78,45.72,43.64,45.54,5975010.0,44784.0,44.941259
LVS,2020-07-01 04:00:00+00:00,45.65,46.64,44.83,45.04,4100061.0,36926.0,45.510334
LVS,2020-07-02 04:00:00+00:00,46.08,46.9664,45.56,46.34,5004282.0,44886.0,46.49159
LVS,2020-07-06 04:00:00+00:00,47.6,48.37,45.64,47.07,7570981.0,51765.0,46.978394
LVS,2020-07-07 04:00:00+00:00,46.19,46.35,44.98,45.03,5530683.0,41642.0,45.338598
LVS,2020-07-08 04:00:00+00:00,45.01,45.92,44.18,45.61,4411084.0,35825.0,45.282523
LVS,2020-07-09 04:00:00+00:00,45.56,45.63,43.71,44.68,4165572.0,36752.0,44.507256
LVS,2020-07-10 04:00:00+00:00,44.4,45.78,44.2535,45.72,3785013.0,34008.0,45.26254
LVS,2020-07-13 04:00:00+00:00,46.66,50.095,45.22,48.53,11542980.0,88061.0,48.52417
LVS,2020-07-14 04:00:00+00:00,47.75,47.9,46.54,47.39,8007947.0,48970.0,47.384283
LVS,2020-07-15 04:00:00+00:00,49.03,50.45,48.65,50.25,6944835.0,56008.0,49.834643
LVS,2020-07-16 04:00:00+00:00,49.43,49.96,48.91,49.71,4509817.0,32935.0,49.588717
LVS,2020-07-17 04:00:00+00:00,49.87,49.87,48.28,48.69,3614779.0,29364.0,48.74299
LVS,2020-07-20 04:00:00+00:00,48.0,48.57,46.55,47.28,4809744.0,40120.0,47.275714
LVS,2020-07-21 04:00:00+00:00,47.93,48.98,47.58,48.0,5069120.0,40885.0,48.233264
LVS,2020-07-22 04:00:00+00:00,47.64,48.08,46.6,46.84,8172786.0,49354.0,47.002204
LVS,2020-07-23 04:00:00+00:00,45.5,45.98,44.25,44.88,11249132.0,85869.0,44.981044
LVS,2020-07-24 04:00:00+00:00,44.25,44.95,43.81,44.36,5897216.0,48721.0,44.235555
LVS,2020-07-27 04:00:00+00:00,43.86,44.205,42.69,43.48,7203681.0,51440.0,43.316038
LVS,2020-07-28 04:00:00+00:00,43.19,44.795,43.15,44.22,8031769.0,55522.0,44.199239
LVS,2020-07-29 04:00:00+00:00,44.15,45.13,43.365,44.32,5070504.0,35798.0,44.12525
LVS,2020-07-30 04:00:00+00:00,44.41,45.75,44.24,45.5,6188537.0,48044.0,45.315372
LVS,2020-07-31 04:00:00+00:00,45.14,45.17,43.14,43.64,5008058.0,41084.0,43.64977
