symbol,timestamp,open,high,low,close,volume,trade_count,vwap
L,2020-03-12 04:00:00+00:00,36.52,37.31,33.18,33.19,3245238.0,29359.0,34.477618
L,2020-03-13 04:00:00+00:00,35.47,37.04,34.175,37.01,3204140.0,28836.0,35.831552
L,2020-03-16 04:00:00+00:00,32.59,37.96,32.22,33.42,3309498.0,29773.0,34.925756
L,2020-03-17 04:00:00+00:00,34.36,37.7,32.2525,36.72,3073403.0,30187.0,36.129777
L,2020-03-18 04:00:00+00:00,33.32,34.9,31.655,34.59,2726887.0,27135.0,33.672486
L,2020-03-19 04:00:00+00:00,34.0,38.23,32.0,37.31,2558214.0,24286.0,36.372728
L,2020-03-20 04:00:00+00:00,37.54,37.97,30.87,31.26,4271160.0,30346.0,32.302974
L,2020-03-23 04:00:00+00:00,31.24,32.0,28.52,29.74,2029380.0,20773.0,29.888843
L,2020-03-24 04:00:00+00:00,31.66,33.99,30.51,33.74,2213795.0,18509.0,32.915173
L,2020-03-25 04:00:00+00:00,33.78,35.17,32.24,33.29,2893616.0,20698.0,33.468053
L,2020-03-26 04:00:00+00:00,33.63,35.7,32.72,35.41,1351360.0,11019.0,34.994881
L,2020-03-27 04:00:00+00:00,33.85,34.97,33.03,33.7,1268251.0,10555.0,33.855006
L,2020-03-30 04:00:00+00:00,33.72,35.57,32.9,35.43,1529592.0,13413.0,34.881216
L,2020-03-31 04:00:00+00:00,34.84,35.36,34.37,34.83,2188791.0,20620.0,34.863603
L,2020-04-01 04:00:00+00:00,32.83,33.2,31.87,32.63,1443455.0,15362.0,32.499052
L,2020-04-02 04:00:00+00:00,32.4,34.61,32.15,33.18,1537376.0,16347.0,33.041317
L,2020-04-03 04:00:00+00:00,32.63,33.72,32.38,32.7,1698616.0,17286.0,32.73292
L,2020-04-06 04:00:00+00:00,34.5,36.0,34.24,35.7,1577104.0,14346.0,35.477039
L,2020-04-07 04:00:00+00:00,37.63,38.05,36.18,36.27,1713169.0,12796.0,36.716127
L,2020-04-08 04:00:00+00:00,36.64,38.23,35.98,37.97,1243152.0,13352.0,37.558358
L,2020-04-09 04:00:00+00:00,38.43,40.47,38.43,39.42,1619987.0,21153.0,39.62942
L,2020-04-13 04:00:00+00:00,39.41,39.41,36.98,37.42,911117.0,10674.0,37.592616
L,2020-04-14 04:00:00+00:00,38.52,38.52,36.82,37.42,1201983.0,13967.0,37.405025
L,2020-04-15 04:00:00+00:00,36.07,36.2936,34.41,34.56,1440783.0,11315.0,34.864557
L,2020-04-16 04:00:00+00:00,34.5,34.59,32.99,34.0,1977684.0,15754.0,33.686321
L,2020-04-17 04:00:00+00:00,35.24,36.38,34.86,36.14,1869718.0,16437.0,35.670203
L,2020-04-20 04:00:00+00:00,35.39,35.9468,34.45,34.97,1263970.0,12979.0,35.099118
L,2020-04-21 04:00:00+00:00,33.78,34.49,33.56,33.71,966197.0,11391.0,33.828562
L,2020-04-22 04:00:00+00:00,34.54,34.67,33.7,33.77,914218.0,7970.0,33.894935
L,2020-04-23 04:00:00+00:00,33.99,34.3,32.87,32.92,1621912.0,13114.0,33.17645
