symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MAA,2020-03-12 04:00:00+00:00,126.48,130.0,117.45,117.61,1494935.0,20753.0,121.236132
MAA,2020-03-13 04:00:00+00:00,124.03,126.9694,117.04,126.0,1386941.0,17837.0,124.214656
MAA,2020-03-16 04:00:00+00:00,113.54,116.27,104.89,104.95,1301623.0,19709.0,109.010386
MAA,2020-03-17 04:00:00+00:00,107.67,115.76,102.85,113.17,1477948.0,20403.0,110.76676
MAA,2020-03-18 04:00:00+00:00,105.82,110.64,96.69,100.1,1238889.0,17248.0,101.675529
MAA,2020-03-19 04:00:00+00:00,99.27,102.35,96.17,99.47,941787.0,14184.0,99.855595
MAA,2020-03-20 04:00:00+00:00,99.82,100.35,85.45,87.5,1991678.0,21719.0,91.489225
MAA,2020-03-23 04:00:00+00:00,87.25,87.41,82.0001,84.67,1405031.0,21629.0,84.786181
MAA,2020-03-24 04:00:00+00:00,88.32,93.62,86.36,89.18,1635483.0,23504.0,89.405402
MAA,2020-03-25 04:00:00+00:00,88.6,105.2,88.6,97.84,1512557.0,18348.0,98.239597
MAA,2020-03-26 04:00:00+00:00,98.15,103.37,96.195,102.79,1315718.0,17295.0,101.492859
MAA,2020-03-27 04:00:00+00:00,101.76,111.96,100.485,107.6,1468183.0,16243.0,106.7798
MAA,2020-03-30 04:00:00+00:00,108.58,109.25,100.82,107.13,1262272.0,19238.0,105.131601
MAA,2020-03-31 04:00:00+00:00,105.82,107.82,99.37,103.03,2859339.0,25144.0,102.775422
MAA,2020-04-01 04:00:00+00:00,98.2,99.23,93.24,98.74,1413156.0,20890.0,97.102781
MAA,2020-04-02 04:00:00+00:00,96.75,99.77,92.115,94.25,1745580.0,18262.0,94.613179
MAA,2020-04-03 04:00:00+00:00,92.99,96.24,92.44,94.31,1374348.0,16445.0,94.244118
MAA,2020-04-06 04:00:00+00:00,99.4,106.08,99.15,105.28,1324703.0,19901.0,104.187719
MAA,2020-04-07 04:00:00+00:00,110.1,112.16,103.385,103.79,894195.0,14531.0,105.676093
MAA,2020-04-08 04:00:00+00:00,104.64,111.78,102.96,110.93,1269453.0,16450.0,109.482407
MAA,2020-04-09 04:00:00+00:00,112.35,119.49,112.35,116.65,1449564.0,23695.0,116.811297
MAA,2020-04-13 04:00:00+00:00,115.47,117.0,110.04,111.37,929493.0,15089.0,111.899834
MAA,2020-04-14 04:00:00+00:00,112.66,115.85,111.1,114.02,1567727.0,12631.0,113.931009
MAA,2020-04-15 04:00:00+00:00,109.4,111.19,108.0,109.98,981276.0,13384.0,109.976864
MAA,2020-04-16 04:00:00+00:00,110.41,110.745,107.55,108.31,700476.0,9873.0,108.66545
MAA,2020-04-17 04:00:00+00:00,111.06,114.43,110.34,113.5,791376.0,10294.0,113.062165
MAA,2020-04-20 04:00:00+00:00,111.68,112.75,108.46,108.49,685485.0,8238.0,109.453288
MAA,2020-04-21 04:00:00+00:00,105.87,108.91,105.14,107.54,1019495.0,13149.0,107.451337
MAA,2020-04-22 04:00:00+00:00,109.16,110.74,107.4,108.31,794612.0,8707.0,108.456182
MAA,2020-04-23 04:00:00+00:00,107.87,108.5,104.22,104.98,786326.0,11980.0,105.669574
MAA,2020-04-24 04:00:00+00:00,105.67,107.1,104.01,106.43,698591.0,8243.0,105.974125
MAA,2020-04-27 04:00:00+00:00,107.0,111.01,106.555,110.68,571497.0,7513.0,110.208626
MAA,2020-04-28 04:00:00+00:00,113.3,115.94,111.98,112.15,902146.0,12093.0,113.348861
MAA,2020-04-29 04:00:00+00:00,114.87,115.68,111.86,112.68,832443.0,10036.0,113.191518
MAA,2020-04-30 04:00:00+00:00,110.66,112.39,109.81,111.92,758400.0,8656.0,111.605246
MAA,2020-05-01 04:00:00+00:00,109.41,110.59,108.92,109.63,932359.0,14406.0,109.644865
MAA,2020-05-04 04:00:00+00:00,108.21,110.88,106.97,110.3,1264056.0,13119.0,109.749686
MAA,2020-05-05 04:00:00+00:00,111.64,113.78,110.8,112.41,889322.0,12951.0,112.480767
MAA,2020-05-06 04:00:00+00:00,113.0,114.22,109.92,110.01,825499.0,12668.0,111.38374
MAA,2020-05-07 04:00:00+00:00,110.77,116.06,109.27,113.75,1043106.0,13572.0,114.146625
MAA,2020-05-08 04:00:00+00:00,115.89,117.14,113.67,115.57,681239.0,12087.0,115.418971
MAA,2020-05-11 04:00:00+00:00,114.08,114.85,112.495,113.01,1089872.0,13130.0,113.355716
MAA,2020-05-12 04:00:00+00:00,113.47,113.47,108.65,108.74,1247261.0,13937.0,109.631428
MAA,2020-05-13 04:00:00+00:00,107.94,109.95,107.1331,108.09,966414.0,13175.0,108.365371
MAA,2020-05-14 04:00:00+00:00,106.06,106.72,102.89,105.52,1147307.0,20143.0,105.0729
MAA,2020-05-15 04:00:00+00:00,104.67,107.06,102.23,106.87,2784502.0,15427.0,106.513905
MAA,2020-05-18 04:00:00+00:00,111.69,115.57,111.69,114.36,1046908.0,14679.0,114.178926
MAA,2020-05-19 04:00:00+00:00,113.65,114.86,110.82,111.12,704657.0,10875.0,111.931108
MAA,2020-05-20 04:00:00+00:00,112.05,112.635,109.96,111.49,911533.0,11397.0,111.242473
MAA,2020-05-21 04:00:00+00:00,111.47,114.46,111.47,113.82,794124.0,11714.0,113.484511
MAA,2020-05-22 04:00:00+00:00,114.08,114.71,112.63,114.28,473012.0,7539.0,113.770758
MAA,2020-05-26 04:00:00+00:00,118.08,119.195,116.0,116.8,683242.0,10431.0,117.079389
MAA,2020-05-27 04:00:00+00:00,119.62,119.85,114.0371,116.88,950264.0,13602.0,116.20356
MAA,2020-05-28 04:00:00+00:00,118.19,118.19,114.7,117.66,725303.0,9516.0,116.86534
MAA,2020-05-29 04:00:00+00:00,116.37,118.51,114.98,116.36,1117335.0,10436.0,116.628864
MAA,2020-06-01 04:00:00+00:00,116.47,118.82,115.5,117.57,524078.0,9408.0,117.528817
MAA,2020-06-02 04:00:00+00:00,117.0,119.45,117.0,117.76,755921.0,9718.0,117.818453
MAA,2020-06-03 04:00:00+00:00,118.93,122.99,118.93,122.39,795220.0,12513.0,121.860366
MAA,2020-06-04 04:00:00+00:00,121.73,121.7799,118.56,118.77,825550.0,12974.0,119.435304
MAA,2020-06-05 04:00:00+00:00,122.26,126.13,122.26,124.44,938039.0,16055.0,124.472762
MAA,2020-06-08 04:00:00+00:00,125.97,127.74,124.17,126.53,890047.0,14063.0,126.141452
MAA,2020-06-09 04:00:00+00:00,123.85,124.77,122.125,124.66,760091.0,12003.0,124.00958
MAA,2020-06-10 04:00:00+00:00,123.29,124.04,121.35,121.84,704444.0,10432.0,122.348981
MAA,2020-06-11 04:00:00+00:00,117.22,118.716,115.22,115.46,958822.0,14191.0,115.916662
MAA,2020-06-12 04:00:00+00:00,119.66,120.43,114.82,119.08,1244467.0,14880.0,117.647488
MAA,2020-06-15 04:00:00+00:00,115.04,119.4,114.53,118.01,1363417.0,15268.0,117.447632
MAA,2020-06-16 04:00:00+00:00,122.77,122.77,119.18,121.09,943019.0,14136.0,121.14173
MAA,2020-06-17 04:00:00+00:00,122.04,122.6962,117.84,118.64,697913.0,9971.0,118.808578
MAA,2020-06-18 04:00:00+00:00,117.07,117.67,115.5,117.09,1035549.0,11456.0,116.929138
MAA,2020-06-19 04:00:00+00:00,118.69,119.47,114.64,114.68,3314330.0,14608.0,115.123699
MAA,2020-06-22 04:00:00+00:00,114.64,116.19,113.01,114.19,785296.0,10703.0,114.382786
MAA,2020-06-23 04:00:00+00:00,115.21,116.26,113.3,113.54,749865.0,9362.0,113.767944
MAA,2020-06-24 04:00:00+00:00,111.92,112.53,108.06,110.52,949958.0,14046.0,110.392649
MAA,2020-06-25 04:00:00+00:00,109.78,111.46,109.1,111.35,730115.0,9674.0,110.613571
MAA,2020-06-26 04:00:00+00:00,110.76,111.9,109.43,110.27,1046469.0,9153.0,110.357063
MAA,2020-06-29 04:00:00+00:00,111.31,111.745,108.78,111.52,511246.0,8794.0,111.163144
MAA,2020-06-30 04:00:00+00:00,111.76,115.09,111.67,114.67,1213743.0,12705.0,114.364233
MAA,2020-07-01 04:00:00+00:00,115.03,117.96,114.22,117.67,557635.0,9159.0,116.929408
MAA,2020-07-02 04:00:00+00:00,119.52,119.56,116.32,117.53,679672.0,9133.0,117.882807
MAA,2020-07-06 04:00:00+00:00,120.02,120.08,115.96,116.03,470029.0,7048.0,116.354615
MAA,2020-07-07 04:00:00+00:00,114.44,115.8996,113.88,114.57,612237.0,9307.0,114.837073
MAA,2020-07-08 04:00:00+00:00,114.57,115.18,113.38,113.82,719809.0,9198.0,114.1621
MAA,2020-07-09 04:00:00+00:00,113.26,113.28,111.25,112.56,534253.0,8344.0,112.303244
MAA,2020-07-10 04:00:00+00:00,112.49,114.325,112.025,113.6,599905.0,8633.0,113.344509
MAA,2020-07-13 04:00:00+00:00,114.1,114.1,112.19,112.34,621693.0,10161.0,112.863278
MAA,2020-07-14 04:00:00+00:00,111.57,113.49,111.5,112.94,771493.0,6483.0,112.834925
MAA,2020-07-15 04:00:00+00:00,114.52,114.7,112.14,112.43,782413.0,8813.0,112.672405
MAA,2020-07-16 04:00:00+00:00,111.7,112.875,111.19,112.02,531965.0,8156.0,111.814467
MAA,2020-07-17 04:00:00+00:00,112.5,113.62,111.46,112.92,556087.0,7900.0,112.710933
MAA,2020-07-20 04:00:00+00:00,112.31,113.07,109.08,110.02,485071.0,7650.0,110.056028
MAA,2020-07-21 04:00:00+00:00,110.62,111.15,108.86,109.36,517569.0,8250.0,109.664145
MAA,2020-07-22 04:00:00+00:00,108.81,112.87,108.63,112.17,1218526.0,10821.0,112.039177
MAA,2020-07-23 04:00:00+00:00,111.88,112.75,110.42,111.65,483315.0,9065.0,111.690228
MAA,2020-07-24 04:00:00+00:00,112.13,112.205,110.71,111.27,503385.0,8253.0,111.169867
MAA,2020-07-27 04:00:00+00:00,110.81,110.81,109.06,110.32,480278.0,8499.0,110.208498
MAA,2020-07-28 04:00:00+00:00,110.4,113.63,109.88,112.99,570458.0,8857.0,112.397888
MAA,2020-07-29 04:00:00+00:00,113.78,114.5,111.94,113.92,659674.0,8520.0,113.437802
MAA,2020-07-30 04:00:00+00:00,112.69,118.76,112.67,117.52,944183.0,12954.0,117.128941
MAA,2020-07-31 04:00:00+00:00,117.03,119.2,114.75,119.19,856443.0,11085.0,117.98016
MAA,2020-08-03 04:00:00+00:00,118.56,118.56,115.4,116.88,614704.0,9246.0,116.770446
MAA,2020-08-04 04:00:00+00:00,116.44,117.74,115.0,116.92,696595.0,7155.0,116.882676
MAA,2020-08-05 04:00:00+00:00,117.54,117.62,115.515,116.26,323012.0,5485.0,116.284458
MAA,2020-08-06 04:00:00+00:00,115.74,116.915,115.37,116.5,422595.0,5393.0,116.471756
MAA,2020-08-07 04:00:00+00:00,115.82,116.865,115.56,116.49,499715.0,7943.0,116.436672
MAA,2020-08-10 04:00:00+00:00,116.94,118.385,116.35,117.05,642965.0,9970.0,117.293951
MAA,2020-08-11 04:00:00+00:00,118.09,119.245,116.14,116.71,637709.0,9305.0,117.038833
MAA,2020-08-12 04:00:00+00:00,117.13,117.52,116.05,117.09,323958.0,5335.0,116.957759
MAA,2020-08-13 04:00:00+00:00,116.44,117.93,115.44,115.69,426881.0,6610.0,116.029513
MAA,2020-08-14 04:00:00+00:00,115.55,116.22,114.31,114.86,959097.0,8235.0,115.02308
MAA,2020-08-17 04:00:00+00:00,114.95,116.23,114.04,116.04,316242.0,5486.0,115.840589
MAA,2020-08-18 04:00:00+00:00,116.28,116.52,114.43,116.07,428403.0,5902.0,116.008479
MAA,2020-08-19 04:00:00+00:00,116.06,116.06,112.66,113.28,794718.0,7426.0,113.552207
MAA,2020-08-20 04:00:00+00:00,112.84,115.27,112.84,114.83,437208.0,6664.0,114.747289
MAA,2020-08-21 04:00:00+00:00,115.25,115.4685,113.11,114.84,361202.0,5772.0,114.594173
MAA,2020-08-24 04:00:00+00:00,114.7,115.83,112.85,115.69,403386.0,6279.0,114.941205
MAA,2020-08-25 04:00:00+00:00,115.74,116.19,114.875,116.19,389942.0,6043.0,115.816909
MAA,2020-08-26 04:00:00+00:00,115.49,116.32,113.26,113.65,485004.0,6685.0,113.786909
MAA,2020-08-27 04:00:00+00:00,114.33,116.56,114.23,116.38,390430.0,6734.0,116.067686
MAA,2020-08-28 04:00:00+00:00,116.62,117.19,115.19,117.16,450932.0,6083.0,116.816093
MAA,2020-08-31 04:00:00+00:00,116.66,117.35,115.8,117.12,669934.0,5909.0,116.973407
MAA,2020-09-01 04:00:00+00:00,116.5,116.66,114.8,116.55,438435.0,6845.0,116.209223
MAA,2020-09-02 04:00:00+00:00,116.44,118.88,115.2505,118.67,1025732.0,9286.0,118.401352
MAA,2020-09-03 04:00:00+00:00,119.3,120.83,117.03,117.83,600574.0,9371.0,118.08755
MAA,2020-09-04 04:00:00+00:00,118.12,119.43,116.06,118.35,547610.0,7912.0,118.170224
MAA,2020-09-08 04:00:00+00:00,117.97,118.245,115.01,115.68,728804.0,11198.0,115.817298
MAA,2020-09-09 04:00:00+00:00,116.12,118.38,115.39,116.44,594470.0,8636.0,116.454915
MAA,2020-09-10 04:00:00+00:00,116.29,117.41,114.31,116.44,864002.0,9084.0,116.544004
MAA,2020-09-11 04:00:00+00:00,116.45,116.45,114.96,115.91,684864.0,8620.0,115.871095
MAA,2020-09-14 04:00:00+00:00,116.99,120.09,116.44,119.65,562618.0,7412.0,119.501389
MAA,2020-09-15 04:00:00+00:00,119.61,120.84,118.05,118.57,357708.0,6146.0,118.918575
MAA,2020-09-16 04:00:00+00:00,119.44,120.55,117.95,118.19,686206.0,8508.0,118.569181
MAA,2020-09-17 04:00:00+00:00,117.36,118.355,115.695,117.14,764139.0,10222.0,117.017115
MAA,2020-09-18 04:00:00+00:00,116.32,117.38,114.68,114.93,1493949.0,12207.0,115.300909
MAA,2020-09-21 04:00:00+00:00,113.38,114.3,111.19,113.17,878186.0,11392.0,113.143222
