symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MCD,2020-03-12 04:00:00+00:00,174.78,179.84,169.38,170.13,10107427.0,108967.0,172.239385
MCD,2020-03-13 04:00:00+00:00,178.26,179.47,168.2,177.13,8985046.0,95253.0,173.882457
MCD,2020-03-16 04:00:00+00:00,157.1,161.92,147.6283,149.01,10345973.0,120356.0,153.473403
MCD,2020-03-17 04:00:00+00:00,148.02,149.48,135.0,147.62,14348778.0,153258.0,143.765013
MCD,2020-03-18 04:00:00+00:00,137.5,141.71,124.23,137.3,13376134.0,140496.0,134.90986
MCD,2020-03-19 04:00:00+00:00,135.2,154.8403,128.21,149.5,13494797.0,130047.0,145.301869
MCD,2020-03-20 04:00:00+00:00,153.59,161.54,147.77,148.49,13216362.0,127027.0,153.24598
MCD,2020-03-23 04:00:00+00:00,143.21,153.21,136.5,137.1,11312069.0,111756.0,141.336522
MCD,2020-03-24 04:00:00+00:00,149.0,162.98,146.1,161.95,12683422.0,122874.0,157.167046
MCD,2020-03-25 04:00:00+00:00,165.0,171.36,159.22,162.98,10563796.0,109231.0,165.850243
MCD,2020-03-26 04:00:00+00:00,163.99,170.93,161.0,167.35,9420290.0,89896.0,166.688394
MCD,2020-03-27 04:00:00+00:00,162.78,169.735,159.2164,164.01,7069058.0,74039.0,164.958082
MCD,2020-03-30 04:00:00+00:00,164.92,170.31,163.57,168.13,6468609.0,67685.0,167.899433
MCD,2020-03-31 04:00:00+00:00,166.84,169.51,165.0,165.35,5224804.0,58444.0,166.639762
MCD,2020-04-01 04:00:00+00:00,160.22,161.44,156.35,158.17,5234395.0,69053.0,158.526015
MCD,2020-04-02 04:00:00+00:00,155.0,161.95,155.0,161.5,5272746.0,54684.0,159.166395
MCD,2020-04-03 04:00:00+00:00,160.31,162.23,156.15,160.33,5597117.0,51259.0,159.807523
MCD,2020-04-06 04:00:00+00:00,169.2,177.87,168.24,177.04,9427963.0,92614.0,173.622653
MCD,2020-04-07 04:00:00+00:00,184.69,185.19,175.16,175.59,8330348.0,88923.0,177.961097
MCD,2020-04-08 04:00:00+00:00,175.1,179.42,174.1,177.49,6337313.0,68511.0,176.894467
MCD,2020-04-09 04:00:00+00:00,180.73,185.46,179.62,183.7,5263374.0,67913.0,183.557427
MCD,2020-04-13 04:00:00+00:00,182.68,182.8506,176.91,180.12,3449578.0,47872.0,179.230018
MCD,2020-04-14 04:00:00+00:00,183.75,184.49,181.84,183.99,4342382.0,46372.0,183.531784
MCD,2020-04-15 04:00:00+00:00,178.74,180.97,177.27,177.84,5350953.0,61663.0,178.212892
MCD,2020-04-16 04:00:00+00:00,177.0,179.91,172.27,179.5,7725890.0,68200.0,177.251832
MCD,2020-04-17 04:00:00+00:00,181.32,186.81,180.2275,186.1,7113262.0,66989.0,183.491495
MCD,2020-04-20 04:00:00+00:00,184.35,185.78,181.55,181.65,4279817.0,45487.0,183.289664
MCD,2020-04-21 04:00:00+00:00,176.63,179.39,176.1,177.58,5155064.0,59864.0,177.667796
MCD,2020-04-22 04:00:00+00:00,180.75,187.73,180.75,186.48,4625967.0,54000.0,185.269961
MCD,2020-04-23 04:00:00+00:00,186.16,187.33,181.32,182.04,5647725.0,61340.0,183.102142
MCD,2020-04-24 04:00:00+00:00,183.26,184.35,180.86,184.02,3678402.0,39072.0,183.28113
MCD,2020-04-27 04:00:00+00:00,185.15,188.365,184.77,185.89,4516855.0,47422.0,186.504837
MCD,2020-04-28 04:00:00+00:00,190.0,190.0,185.57,185.93,4006663.0,49326.0,187.371113
MCD,2020-04-29 04:00:00+00:00,188.53,190.41,186.88,187.82,3833713.0,46514.0,188.484457
MCD,2020-04-30 04:00:00+00:00,182.0,188.31,180.76,187.56,7973253.0,79830.0,185.504791
MCD,2020-05-01 04:00:00+00:00,184.0,185.54,182.15,182.66,4108336.0,51229.0,183.081397
MCD,2020-05-04 04:00:00+00:00,181.31,182.46,178.87,181.87,4499812.0,40555.0,181.439189
MCD,2020-05-05 04:00:00+00:00,183.53,183.86,179.11,179.24,4220601.0,50758.0,180.80772
MCD,2020-05-06 04:00:00+00:00,180.74,181.12,176.86,176.97,4240358.0,49481.0,178.553046
MCD,2020-05-07 04:00:00+00:00,179.74,181.56,178.3,181.12,3424109.0,40259.0,180.628913
MCD,2020-05-08 04:00:00+00:00,183.2,183.43,179.9102,181.23,3714306.0,41235.0,181.283695
MCD,2020-05-11 04:00:00+00:00,179.37,182.88,178.52,180.88,2883228.0,39733.0,180.923948
MCD,2020-05-12 04:00:00+00:00,181.97,182.592,176.44,176.54,3970463.0,49771.0,178.892644
MCD,2020-05-13 04:00:00+00:00,176.03,176.565,171.01,172.82,5078919.0,66514.0,173.192948
MCD,2020-05-14 04:00:00+00:00,170.2,175.66,167.85,175.41,5404941.0,68934.0,172.72017
MCD,2020-05-15 04:00:00+00:00,173.05,174.71,171.68,173.81,9039076.0,54611.0,173.555826
MCD,2020-05-18 04:00:00+00:00,180.1,181.15,178.11,179.83,5052248.0,55722.0,179.744245
MCD,2020-05-19 04:00:00+00:00,180.1,181.46,178.07,179.57,3601956.0,46740.0,180.022188
MCD,2020-05-20 04:00:00+00:00,181.97,184.6,180.57,184.1,5442940.0,52111.0,183.482617
MCD,2020-05-21 04:00:00+00:00,184.18,185.48,182.106,185.08,3146973.0,43129.0,184.620576
MCD,2020-05-22 04:00:00+00:00,184.48,185.35,183.18,184.41,2658878.0,35862.0,184.066557
MCD,2020-05-26 04:00:00+00:00,189.59,190.66,184.24,184.84,4478906.0,52023.0,186.487017
MCD,2020-05-27 04:00:00+00:00,188.74,188.75,185.27,187.72,4304320.0,53008.0,186.980973
MCD,2020-05-28 04:00:00+00:00,189.42,190.48,186.72,188.73,3924590.0,46076.0,188.7462
MCD,2020-05-29 04:00:00+00:00,187.43,188.7,185.7101,186.32,7283138.0,52503.0,186.674634
MCD,2020-06-01 04:00:00+00:00,186.71,187.84,185.6,187.41,2362688.0,37435.0,186.976796
MCD,2020-06-02 04:00:00+00:00,188.4,188.56,186.085,187.59,3564784.0,44267.0,187.213616
MCD,2020-06-03 04:00:00+00:00,188.47,193.81,188.09,193.29,4298695.0,50326.0,192.573043
MCD,2020-06-04 04:00:00+00:00,192.32,194.26,191.62,193.24,3760626.0,41813.0,192.868203
MCD,2020-06-05 04:00:00+00:00,198.0,200.15,196.27,197.16,5283714.0,61203.0,197.998977
MCD,2020-06-08 04:00:00+00:00,195.68,202.73,195.64,202.65,5157745.0,52610.0,200.939828
MCD,2020-06-09 04:00:00+00:00,200.37,201.57,199.01,199.52,4222609.0,43714.0,199.886976
MCD,2020-06-10 04:00:00+00:00,199.13,199.555,195.6699,195.8,3805945.0,52444.0,196.569042
MCD,2020-06-11 04:00:00+00:00,190.27,192.91,186.33,187.51,6495370.0,85325.0,188.337254
MCD,2020-06-12 04:00:00+00:00,191.61,191.67,185.45,189.17,4492713.0,64561.0,188.497633
MCD,2020-06-15 04:00:00+00:00,184.6,190.1199,184.13,189.49,4865132.0,62351.0,187.757362
MCD,2020-06-16 04:00:00+00:00,192.0,193.5,187.51,190.32,5944339.0,67357.0,190.750182
MCD,2020-06-17 04:00:00+00:00,191.92,192.88,190.42,190.79,3473629.0,44210.0,191.502785
MCD,2020-06-18 04:00:00+00:00,190.01,190.74,187.89,189.49,3476387.0,44166.0,189.36494
MCD,2020-06-19 04:00:00+00:00,192.29,192.3565,186.53,186.56,8184418.0,52246.0,187.849845
MCD,2020-06-22 04:00:00+00:00,186.0,187.77,184.89,187.46,3597649.0,43252.0,187.018086
MCD,2020-06-23 04:00:00+00:00,189.55,189.73,186.32,186.62,3302927.0,40168.0,187.513889
MCD,2020-06-24 04:00:00+00:00,184.9,185.71,181.34,184.29,4540494.0,62306.0,183.848918
MCD,2020-06-25 04:00:00+00:00,183.51,184.08,180.325,182.76,3477574.0,48471.0,182.008446
MCD,2020-06-26 04:00:00+00:00,182.37,182.81,178.88,179.74,6781521.0,51781.0,179.912757
MCD,2020-06-29 04:00:00+00:00,180.57,182.83,179.17,182.8,2946336.0,36421.0,182.046857
MCD,2020-06-30 04:00:00+00:00,182.98,185.2,181.89,184.47,3854637.0,37896.0,183.817248
MCD,2020-07-01 04:00:00+00:00,184.95,186.44,183.72,184.66,2434628.0,34358.0,184.971155
MCD,2020-07-02 04:00:00+00:00,186.64,187.0,182.86,183.52,2925067.0,42992.0,184.340086
MCD,2020-07-06 04:00:00+00:00,186.0,188.72,184.14,188.5,3535227.0,41956.0,187.350673
MCD,2020-07-07 04:00:00+00:00,187.37,187.85,185.25,185.82,2813684.0,34903.0,186.218743
MCD,2020-07-08 04:00:00+00:00,185.5,187.23,184.75,185.85,3163024.0,38142.0,185.924339
MCD,2020-07-09 04:00:00+00:00,186.33,186.59,182.62,184.33,2526893.0,37362.0,184.423439
MCD,2020-07-10 04:00:00+00:00,183.78,185.44,183.01,184.88,3125993.0,35088.0,184.670489
MCD,2020-07-13 04:00:00+00:00,185.6,188.95,184.71,184.92,3420300.0,50520.0,186.749277
MCD,2020-07-14 04:00:00+00:00,185.26,190.84,184.73,190.72,4593290.0,58211.0,189.250458
MCD,2020-07-15 04:00:00+00:00,193.9,194.0,189.88,191.77,4015233.0,51253.0,191.684252
MCD,2020-07-16 04:00:00+00:00,191.12,192.76,190.15,190.92,2344935.0,33722.0,191.052451
MCD,2020-07-17 04:00:00+00:00,191.34,191.9,190.13,191.48,2179112.0,29598.0,191.35112
