symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MDLZ,2020-03-12 04:00:00+00:00,49.23,50.52,46.57,47.51,17570398.0,115170.0,48.26063
MDLZ,2020-03-13 04:00:00+00:00,49.64,50.94,47.2101,50.92,17105927.0,116918.0,49.599421
MDLZ,2020-03-16 04:00:00+00:00,46.41,47.39,44.74,45.1,14295670.0,107663.0,45.924203
MDLZ,2020-03-17 04:00:00+00:00,45.85,49.715,44.73,48.82,17654720.0,131068.0,48.126626
MDLZ,2020-03-18 04:00:00+00:00,45.37,48.12,43.19,46.55,17475155.0,115888.0,45.483341
MDLZ,2020-03-19 04:00:00+00:00,46.91,47.29,43.19,45.47,16942206.0,115195.0,45.216119
MDLZ,2020-03-20 04:00:00+00:00,46.06,46.21,42.85,43.32,21088901.0,113802.0,44.442266
MDLZ,2020-03-23 04:00:00+00:00,43.32,45.02,41.19,41.93,16917625.0,99935.0,42.492343
MDLZ,2020-03-24 04:00:00+00:00,44.08,47.255,42.95,46.66,14725689.0,100642.0,46.200635
MDLZ,2020-03-25 04:00:00+00:00,46.46,47.76,45.81,46.11,14047760.0,105682.0,46.56205
MDLZ,2020-03-26 04:00:00+00:00,46.11,49.24,46.0,48.9,13354275.0,80679.0,48.197949
MDLZ,2020-03-27 04:00:00+00:00,47.42,49.27,47.12,47.89,9628795.0,69681.0,48.05696
MDLZ,2020-03-30 04:00:00+00:00,48.81,51.41,48.21,51.13,9814149.0,65167.0,50.421601
MDLZ,2020-03-31 04:00:00+00:00,51.41,51.43,49.93,50.08,11217919.0,69389.0,50.452924
MDLZ,2020-04-01 04:00:00+00:00,48.38,49.895,48.0,48.68,10992115.0,57486.0,48.817998
MDLZ,2020-04-02 04:00:00+00:00,48.25,50.68,48.05,50.38,7950050.0,64162.0,49.970086
MDLZ,2020-04-03 04:00:00+00:00,50.36,51.14,49.83,50.79,8939547.0,58085.0,50.490144
MDLZ,2020-04-06 04:00:00+00:00,52.89,52.89,51.52,52.03,11185248.0,63350.0,52.15006
MDLZ,2020-04-07 04:00:00+00:00,52.93,53.25,51.4,51.8,11353439.0,63954.0,52.15753
MDLZ,2020-04-08 04:00:00+00:00,52.02,52.23,51.16,51.79,6886793.0,49813.0,51.781363
MDLZ,2020-04-09 04:00:00+00:00,51.79,53.6,51.7,52.34,9102475.0,67002.0,52.234999
MDLZ,2020-04-13 04:00:00+00:00,52.38,52.52,51.38,52.02,6353854.0,47930.0,51.93949
MDLZ,2020-04-14 04:00:00+00:00,53.06,54.61,52.625,54.51,7907766.0,56123.0,54.209853
MDLZ,2020-04-15 04:00:00+00:00,53.87,53.97,53.4,53.71,8444743.0,57412.0,53.695615
MDLZ,2020-04-16 04:00:00+00:00,53.87,54.38,53.3,53.43,8147228.0,54566.0,53.568735
MDLZ,2020-04-17 04:00:00+00:00,54.14,54.5,52.78,53.48,14146202.0,62390.0,53.432794
MDLZ,2020-04-20 04:00:00+00:00,53.08,54.445,52.865,53.49,8875329.0,42673.0,53.628419
MDLZ,2020-04-21 04:00:00+00:00,52.53,52.975,51.0,51.08,9168732.0,67153.0,51.484067
MDLZ,2020-04-22 04:00:00+00:00,51.67,52.61,51.24,52.22,7007248.0,41668.0,52.120479
