symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MLM,2020-03-12 04:00:00+00:00,190.0,201.38,185.71,185.72,937659.0,20760.0,190.491007
MLM,2020-03-13 04:00:00+00:00,193.54,198.41,185.1291,198.25,936113.0,16261.0,193.125278
MLM,2020-03-16 04:00:00+00:00,181.31,189.27,170.98,171.39,1139807.0,16631.0,177.470908
MLM,2020-03-17 04:00:00+00:00,174.84,177.33,161.85,172.66,1144817.0,16877.0,170.810802
MLM,2020-03-18 04:00:00+00:00,165.78,169.81,135.08,149.82,1567468.0,24235.0,154.082459
MLM,2020-03-19 04:00:00+00:00,149.91,171.56,141.23,168.24,1035213.0,15352.0,163.279859
MLM,2020-03-20 04:00:00+00:00,170.0,172.81,150.0,153.62,1475596.0,18460.0,158.682021
MLM,2020-03-23 04:00:00+00:00,154.0,154.0,141.12,144.12,1089026.0,19664.0,146.563086
MLM,2020-03-24 04:00:00+00:00,151.4,164.04,149.33,160.42,1070416.0,16763.0,158.884061
MLM,2020-03-25 04:00:00+00:00,159.47,191.25,157.805,182.07,1741330.0,25518.0,178.591785
MLM,2020-03-26 04:00:00+00:00,184.94,194.92,184.03,194.92,1078610.0,19146.0,191.154485
MLM,2020-03-27 04:00:00+00:00,188.65,191.7,178.875,181.22,960937.0,18089.0,182.397536
MLM,2020-03-30 04:00:00+00:00,183.1,183.1,175.5,179.52,954475.0,15946.0,179.365465
MLM,2020-03-31 04:00:00+00:00,176.8,196.07,175.05,189.23,2581188.0,30078.0,188.764449
MLM,2020-04-01 04:00:00+00:00,181.01,195.49,181.01,186.12,1548097.0,24193.0,189.419506
MLM,2020-04-02 04:00:00+00:00,186.5,189.33,176.01,180.35,1344428.0,19625.0,180.962715
MLM,2020-04-03 04:00:00+00:00,179.3,179.5,162.03,169.51,1413334.0,17381.0,168.317686
MLM,2020-04-06 04:00:00+00:00,175.47,179.19,172.6775,176.96,1441639.0,18418.0,176.074329
MLM,2020-04-07 04:00:00+00:00,183.73,195.755,181.36,185.42,988835.0,14453.0,190.422444
MLM,2020-04-08 04:00:00+00:00,186.16,198.01,183.93,196.77,872513.0,12860.0,194.444709
MLM,2020-04-09 04:00:00+00:00,199.81,214.5,199.81,208.19,1064411.0,18609.0,208.154411
MLM,2020-04-13 04:00:00+00:00,206.72,206.72,196.75,197.57,563867.0,10646.0,199.229598
MLM,2020-04-14 04:00:00+00:00,201.4,204.03,198.38,203.19,399455.0,8464.0,202.057374
MLM,2020-04-15 04:00:00+00:00,196.67,197.89,189.2,194.15,776027.0,11819.0,192.977295
MLM,2020-04-16 04:00:00+00:00,193.44,193.715,184.295,187.44,729513.0,11918.0,187.818938
MLM,2020-04-17 04:00:00+00:00,193.26,199.47,192.15,198.87,707685.0,10853.0,196.784141
MLM,2020-04-20 04:00:00+00:00,195.06,195.37,188.54,188.64,649639.0,11074.0,190.530312
MLM,2020-04-21 04:00:00+00:00,185.34,186.88,178.24,179.25,891627.0,12764.0,180.568402
MLM,2020-04-22 04:00:00+00:00,180.0,182.03,177.02,177.05,999770.0,12925.0,178.364491
MLM,2020-04-23 04:00:00+00:00,176.71,180.13,174.64,177.74,619615.0,12318.0,177.441427
MLM,2020-04-24 04:00:00+00:00,181.75,182.87,175.5582,177.35,630209.0,9305.0,178.071262
MLM,2020-04-27 04:00:00+00:00,179.18,187.0699,178.51,182.01,797522.0,11222.0,183.333025
MLM,2020-04-28 04:00:00+00:00,187.58,194.21,186.16,189.12,801419.0,11654.0,190.326065
MLM,2020-04-29 04:00:00+00:00,194.03,199.44,193.98,197.84,806837.0,12028.0,197.902217
MLM,2020-04-30 04:00:00+00:00,195.25,195.25,187.5893,190.23,660454.0,9923.0,190.236157
MLM,2020-05-01 04:00:00+00:00,187.55,188.79,181.92,186.59,484030.0,9051.0,185.227855
MLM,2020-05-04 04:00:00+00:00,184.31,192.18,180.54,190.65,802514.0,10814.0,189.514984
MLM,2020-05-05 04:00:00+00:00,188.05,189.675,175.41,181.51,1418283.0,18787.0,180.387601
MLM,2020-05-06 04:00:00+00:00,183.54,184.57,174.24,174.49,1099616.0,15229.0,178.5761
MLM,2020-05-07 04:00:00+00:00,176.19,184.19,175.88,179.69,583799.0,8808.0,180.598335
MLM,2020-05-08 04:00:00+00:00,183.72,184.03,175.73,176.59,596776.0,9903.0,177.960173
MLM,2020-05-11 04:00:00+00:00,174.29,174.29,168.75,170.53,831130.0,12604.0,170.813444
MLM,2020-05-12 04:00:00+00:00,171.48,172.34,168.74,169.44,655596.0,9824.0,170.187172
MLM,2020-05-13 04:00:00+00:00,168.01,169.07,159.775,160.63,783272.0,13982.0,162.468997
MLM,2020-05-14 04:00:00+00:00,157.89,170.56,151.94,169.01,781391.0,13452.0,163.954106
MLM,2020-05-15 04:00:00+00:00,167.96,173.52,166.53,168.07,570857.0,8392.0,168.929187
MLM,2020-05-18 04:00:00+00:00,174.25,182.79,174.25,180.87,724265.0,11927.0,179.883876
MLM,2020-05-19 04:00:00+00:00,180.65,181.04,174.52,174.85,504593.0,9928.0,177.545412
MLM,2020-05-20 04:00:00+00:00,176.4,181.35,176.4,179.1,489604.0,9334.0,179.930208
MLM,2020-05-21 04:00:00+00:00,178.26,183.43,176.545,178.63,526884.0,9190.0,178.996495
MLM,2020-05-22 04:00:00+00:00,182.2,182.96,177.315,179.69,470027.0,8242.0,179.582022
MLM,2020-05-26 04:00:00+00:00,185.9,189.75,183.84,188.99,744638.0,12225.0,188.234126
MLM,2020-05-27 04:00:00+00:00,194.34,203.26,193.64,202.37,1282854.0,19924.0,199.75954
MLM,2020-05-28 04:00:00+00:00,206.27,206.86,196.89,197.45,732391.0,13755.0,199.768317
MLM,2020-05-29 04:00:00+00:00,194.92,195.835,191.08,192.09,809612.0,11804.0,192.579931
MLM,2020-06-01 04:00:00+00:00,191.23,197.45,191.23,195.96,809845.0,10562.0,195.697353
MLM,2020-06-02 04:00:00+00:00,197.74,205.2,196.02,204.78,855600.0,12392.0,203.051454
MLM,2020-06-03 04:00:00+00:00,208.78,212.6,208.43,209.92,717933.0,12122.0,210.227301
MLM,2020-06-04 04:00:00+00:00,208.01,212.26,207.23,211.5,541634.0,9494.0,210.522174
MLM,2020-06-05 04:00:00+00:00,223.22,229.02,221.36,225.43,1414788.0,19538.0,225.030416
MLM,2020-06-08 04:00:00+00:00,228.14,230.46,219.78,222.15,596532.0,10287.0,222.528634
MLM,2020-06-09 04:00:00+00:00,217.72,219.46,208.39,208.85,852113.0,14241.0,211.322144
MLM,2020-06-10 04:00:00+00:00,207.32,208.74,203.5,204.59,534313.0,11157.0,205.646247
MLM,2020-06-11 04:00:00+00:00,196.4,199.795,188.24,188.89,846374.0,15528.0,191.845333
MLM,2020-06-12 04:00:00+00:00,197.05,199.6,192.48,197.05,641669.0,12613.0,196.292285
MLM,2020-06-15 04:00:00+00:00,190.38,200.39,188.32,199.19,397448.0,9277.0,197.242243
MLM,2020-06-16 04:00:00+00:00,216.93,221.75,208.5,214.13,1224923.0,22776.0,214.718868
MLM,2020-06-17 04:00:00+00:00,216.3,216.3,209.33,210.73,554167.0,10810.0,211.027725
