symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MMC,2020-03-12 04:00:00+00:00,93.57,100.36,92.48,93.0,6172151.0,61454.0,94.559647
MMC,2020-03-13 04:00:00+00:00,95.98,99.19,91.4,98.64,6764292.0,62200.0,96.282303
MMC,2020-03-16 04:00:00+00:00,88.56,93.47,86.26,87.86,4852820.0,45258.0,89.888934
MMC,2020-03-17 04:00:00+00:00,90.46,93.89,89.18,91.9,4747090.0,47104.0,91.325077
MMC,2020-03-18 04:00:00+00:00,87.25,87.79,75.79,80.81,5096752.0,52079.0,79.866048
MMC,2020-03-19 04:00:00+00:00,80.35,82.03,75.88,79.03,4777827.0,45572.0,78.563446
MMC,2020-03-20 04:00:00+00:00,79.81,84.01,77.44,79.87,4448797.0,32645.0,80.734238
MMC,2020-03-23 04:00:00+00:00,78.4,79.4,74.335,76.69,5138497.0,39661.0,77.045961
MMC,2020-03-24 04:00:00+00:00,80.25,87.89,79.54,86.93,5019020.0,46480.0,84.825652
MMC,2020-03-25 04:00:00+00:00,85.69,90.87,84.3334,86.86,3419281.0,33642.0,87.437609
MMC,2020-03-26 04:00:00+00:00,88.04,89.71,84.53,85.86,4059813.0,40293.0,86.313982
MMC,2020-03-27 04:00:00+00:00,82.74,88.24,82.62,85.45,3688291.0,32521.0,85.598876
MMC,2020-03-30 04:00:00+00:00,85.7,89.9,84.99,89.55,3065250.0,30797.0,87.825601
MMC,2020-03-31 04:00:00+00:00,88.56,89.58,85.27,86.46,4140299.0,45318.0,86.876052
MMC,2020-04-01 04:00:00+00:00,83.69,85.08,81.43,82.02,3676406.0,38306.0,83.03108
MMC,2020-04-02 04:00:00+00:00,81.25,84.22,81.1,82.75,2681262.0,28329.0,82.874108
MMC,2020-04-03 04:00:00+00:00,81.89,82.975,78.951,79.9,2980752.0,32363.0,80.212668
MMC,2020-04-06 04:00:00+00:00,83.63,88.06,82.63,87.33,3287150.0,34930.0,86.144625
MMC,2020-04-07 04:00:00+00:00,91.0,91.077,87.3,87.4,2642906.0,30413.0,88.871363
MMC,2020-04-08 04:00:00+00:00,88.61,94.07,87.36,93.61,3204895.0,34740.0,92.511681
MMC,2020-04-09 04:00:00+00:00,94.51,97.0,94.2,96.61,3357647.0,39386.0,96.115392
MMC,2020-04-13 04:00:00+00:00,96.11,96.11,93.97,95.02,2661154.0,23970.0,95.027353
MMC,2020-04-14 04:00:00+00:00,97.0,100.0,96.75,99.44,2959256.0,24749.0,99.02987
MMC,2020-04-15 04:00:00+00:00,97.0,98.0,95.63,96.3,2582803.0,26072.0,96.481155
MMC,2020-04-16 04:00:00+00:00,96.41,97.38,95.49,97.22,1973592.0,21121.0,96.899471
MMC,2020-04-17 04:00:00+00:00,99.5,100.28,96.795,98.54,2285574.0,19829.0,98.24272
MMC,2020-04-20 04:00:00+00:00,97.51,97.56,95.01,95.76,1855903.0,20398.0,96.063012
MMC,2020-04-21 04:00:00+00:00,93.26,94.54,92.46,92.7,2611691.0,21176.0,93.030004
MMC,2020-04-22 04:00:00+00:00,94.1,94.87,92.35,94.08,2335400.0,20620.0,93.859974
MMC,2020-04-23 04:00:00+00:00,93.99,95.59,92.335,92.59,2157013.0,24908.0,93.639109
MMC,2020-04-24 04:00:00+00:00,93.23,93.96,91.8,93.29,1680296.0,16685.0,92.819879
MMC,2020-04-27 04:00:00+00:00,93.83,95.21,92.67,94.7,2045983.0,20945.0,94.189584
MMC,2020-04-28 04:00:00+00:00,96.3,96.68,93.13,93.26,1745818.0,19759.0,93.945956
MMC,2020-04-29 04:00:00+00:00,95.01,96.12,94.2852,94.62,2152704.0,24040.0,94.987957
MMC,2020-04-30 04:00:00+00:00,93.71,98.51,93.4,97.33,4143733.0,39264.0,97.008209
