symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MMM,2020-03-12 04:00:00+00:00,139.96,141.71,130.34,133.58,8791615.0,99014.0,134.636134
MMM,2020-03-13 04:00:00+00:00,141.01,141.69,131.0,141.68,7417072.0,88525.0,136.980797
MMM,2020-03-16 04:00:00+00:00,129.86,135.5,128.01,130.91,8060300.0,97594.0,132.405772
MMM,2020-03-17 04:00:00+00:00,131.94,136.77,129.61,134.44,6987925.0,95893.0,132.747512
MMM,2020-03-18 04:00:00+00:00,128.46,139.37,128.39,137.02,7512771.0,92139.0,134.203427
MMM,2020-03-19 04:00:00+00:00,137.71,140.18,132.93,137.51,6765812.0,90145.0,136.708992
MMM,2020-03-20 04:00:00+00:00,138.07,139.24,122.71,124.89,10952484.0,104531.0,128.343542
MMM,2020-03-23 04:00:00+00:00,128.16,128.4,114.04,117.87,8299988.0,108806.0,119.12525
MMM,2020-03-24 04:00:00+00:00,122.29,133.45,121.0,132.72,10196575.0,108859.0,128.604119
MMM,2020-03-25 04:00:00+00:00,133.15,134.69,126.8,131.54,8423486.0,91419.0,131.385984
MMM,2020-03-26 04:00:00+00:00,131.79,136.38,130.61,136.18,7440365.0,79583.0,134.208113
MMM,2020-03-27 04:00:00+00:00,132.83,137.07,130.91,133.24,4814290.0,54786.0,133.418608
MMM,2020-03-30 04:00:00+00:00,132.25,138.01,131.06,137.74,4339729.0,48268.0,135.819644
MMM,2020-03-31 04:00:00+00:00,135.69,139.44,135.68,136.51,4070670.0,45727.0,137.484621
MMM,2020-04-01 04:00:00+00:00,132.0,135.835,131.01,133.14,4254846.0,45241.0,133.023408
MMM,2020-04-02 04:00:00+00:00,132.2,138.21,132.1,137.91,4615545.0,43725.0,136.426819
MMM,2020-04-03 04:00:00+00:00,136.01,137.435,132.9,133.79,4007510.0,46416.0,134.369504
MMM,2020-04-06 04:00:00+00:00,137.86,141.25,136.9,140.7,7082659.0,57883.0,139.806587
MMM,2020-04-07 04:00:00+00:00,147.5,150.6399,144.395,144.6,6112148.0,62540.0,146.610128
MMM,2020-04-08 04:00:00+00:00,145.73,149.7231,143.91,148.99,3457595.0,41236.0,147.753172
MMM,2020-04-09 04:00:00+00:00,148.0,149.73,146.54,147.78,5093530.0,54836.0,147.896571
MMM,2020-04-13 04:00:00+00:00,147.5,148.579,145.3,146.4,2944908.0,32320.0,146.53113
MMM,2020-04-14 04:00:00+00:00,149.62,150.98,148.05,150.14,3623036.0,38664.0,149.915848
MMM,2020-04-15 04:00:00+00:00,148.19,148.55,144.9,145.16,3391822.0,37980.0,145.820703
MMM,2020-04-16 04:00:00+00:00,145.27,146.445,143.23,144.9,4636185.0,38823.0,144.597387
MMM,2020-04-17 04:00:00+00:00,147.5,148.495,144.8,146.46,6508086.0,52290.0,146.211241
MMM,2020-04-20 04:00:00+00:00,144.85,147.02,143.65,143.67,3269290.0,34667.0,144.781753
MMM,2020-04-21 04:00:00+00:00,142.25,142.77,140.5038,141.63,2621393.0,30297.0,141.763298
MMM,2020-04-22 04:00:00+00:00,143.47,144.48,141.71,143.61,3153168.0,28699.0,143.136611
MMM,2020-04-23 04:00:00+00:00,144.58,147.58,143.88,144.33,2932169.0,30121.0,145.10904
MMM,2020-04-24 04:00:00+00:00,145.17,147.34,144.31,147.0,2471433.0,27458.0,146.089228
MMM,2020-04-27 04:00:00+00:00,148.0,154.49,147.89,153.65,5179686.0,51770.0,152.343744
MMM,2020-04-28 04:00:00+00:00,160.03,163.08,155.2,157.61,8806574.0,87359.0,158.510726
MMM,2020-04-29 04:00:00+00:00,158.6,160.22,155.17,156.26,4351358.0,50261.0,156.7441
MMM,2020-04-30 04:00:00+00:00,154.31,154.94,151.75,151.92,4217254.0,39027.0,152.68906
MMM,2020-05-01 04:00:00+00:00,149.3,150.04,147.73,148.6,3201345.0,38252.0,148.851014
MMM,2020-05-04 04:00:00+00:00,148.54,148.555,146.06,148.4,2461019.0,28541.0,147.864132
MMM,2020-05-05 04:00:00+00:00,149.89,150.0,147.1,147.43,2452254.0,30671.0,148.181846
MMM,2020-05-06 04:00:00+00:00,147.79,148.17,145.988,146.2,2467220.0,24613.0,146.493833
MMM,2020-05-07 04:00:00+00:00,147.7,147.85,144.9,145.74,3147059.0,36911.0,146.029271
