symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MNST,2020-03-12 04:00:00+00:00,58.0,60.79,56.63,57.39,8415978.0,75878.0,58.05845
MNST,2020-03-13 04:00:00+00:00,59.8,62.5,58.59,62.39,8509685.0,75569.0,60.453336
MNST,2020-03-16 04:00:00+00:00,56.2,60.87,54.78,57.44,6626577.0,61075.0,58.607193
MNST,2020-03-17 04:00:00+00:00,58.83,60.445,57.61,59.74,6675447.0,60561.0,59.111265
MNST,2020-03-18 04:00:00+00:00,57.63,57.63,50.51,55.89,7069499.0,63816.0,54.349728
MNST,2020-03-19 04:00:00+00:00,55.71,57.15,51.51,54.2901,6766005.0,53768.0,54.314687
MNST,2020-03-20 04:00:00+00:00,55.05,55.83,50.06,52.1,6813820.0,51104.0,53.944656
MNST,2020-03-23 04:00:00+00:00,52.11,53.34,50.75,50.97,6664498.0,51354.0,51.611524
MNST,2020-03-24 04:00:00+00:00,53.53,54.47,51.39,53.73,9302392.0,64646.0,52.996894
MNST,2020-03-25 04:00:00+00:00,53.71,55.1,52.66,53.66,5210129.0,44780.0,53.763737
MNST,2020-03-26 04:00:00+00:00,54.0,58.33,53.8241,57.84,6052081.0,44512.0,56.76049
MNST,2020-03-27 04:00:00+00:00,56.09,58.09,56.0,56.39,4646928.0,33459.0,56.903423
MNST,2020-03-30 04:00:00+00:00,56.17,58.32,55.6,58.0,4095346.0,36192.0,57.384772
MNST,2020-03-31 04:00:00+00:00,56.08,58.0,55.96,56.26,3344410.0,31590.0,56.69666
MNST,2020-04-01 04:00:00+00:00,54.37,54.48,52.73,53.1,4253402.0,36739.0,53.112778
MNST,2020-04-02 04:00:00+00:00,52.71,55.2,52.39,55.06,3391880.0,29169.0,54.601144
MNST,2020-04-03 04:00:00+00:00,54.52,54.93,53.67,54.22,3326961.0,22510.0,54.250228
MNST,2020-04-06 04:00:00+00:00,56.67,58.31,55.46,58.07,5352487.0,27162.0,57.248726
MNST,2020-04-07 04:00:00+00:00,59.85,60.53,58.23,58.35,5177980.0,26411.0,59.000704
MNST,2020-04-08 04:00:00+00:00,58.16,60.55,57.925,60.26,2641082.0,23029.0,59.824839
MNST,2020-04-09 04:00:00+00:00,60.48,61.35,59.83,60.51,2771731.0,22086.0,60.615712
MNST,2020-04-13 04:00:00+00:00,60.26,60.59,58.7,59.53,3258677.0,19480.0,59.485858
MNST,2020-04-14 04:00:00+00:00,60.8,64.44,60.11,64.41,5262620.0,45186.0,63.23134
MNST,2020-04-15 04:00:00+00:00,62.48,63.12,61.68,62.29,4091458.0,32117.0,62.325945
MNST,2020-04-16 04:00:00+00:00,63.02,63.13,61.23,61.87,2387394.0,22243.0,61.903006
MNST,2020-04-17 04:00:00+00:00,62.57,63.13,61.89,62.19,3679495.0,27496.0,62.25364
MNST,2020-04-20 04:00:00+00:00,61.8,62.04,60.91,61.38,3242450.0,27699.0,61.447463
MNST,2020-04-21 04:00:00+00:00,59.87,60.42,58.8,59.04,2430335.0,22047.0,59.320068
MNST,2020-04-22 04:00:00+00:00,60.1,60.58,59.15,60.12,3018223.0,18252.0,59.950083
MNST,2020-04-23 04:00:00+00:00,60.18,60.89,59.46,59.63,1827735.0,18349.0,59.96818
MNST,2020-04-24 04:00:00+00:00,59.76,60.635,59.1,59.8,2924475.0,21855.0,59.694491
MNST,2020-04-27 04:00:00+00:00,60.6,60.74,59.63,60.52,3299620.0,22384.0,60.374995
MNST,2020-04-28 04:00:00+00:00,61.27,61.485,59.29,60.14,3146760.0,28378.0,60.309303
MNST,2020-04-29 04:00:00+00:00,60.33,62.53,59.97,62.14,3245978.0,26813.0,61.880831
MNST,2020-04-30 04:00:00+00:00,62.34,62.7,61.135,61.81,4465498.0,29161.0,61.740246
MNST,2020-05-01 04:00:00+00:00,61.26,61.46,59.17,59.52,2131251.0,20224.0,59.75536
MNST,2020-05-04 04:00:00+00:00,59.24,59.58,58.73,59.21,2120315.0,21873.0,59.133312
MNST,2020-05-05 04:00:00+00:00,59.49,61.76,59.22,60.65,3242892.0,24751.0,60.922219
MNST,2020-05-06 04:00:00+00:00,61.12,61.76,60.5,61.3,1937137.0,19601.0,61.278242
