symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEE,2020-03-12 04:00:00+00:00,216.13,231.66,206.05,208.89,8475928.0,104953.0,217.896592
NEE,2020-03-13 04:00:00+00:00,220.05,221.99,196.3588,221.56,8469127.0,99069.0,211.64976
NEE,2020-03-16 04:00:00+00:00,197.0,220.66,196.74,201.37,5585023.0,73707.0,206.433038
NEE,2020-03-17 04:00:00+00:00,205.46,227.47,204.0,221.76,6104345.0,86540.0,219.107562
NEE,2020-03-18 04:00:00+00:00,209.06,227.99,199.76,223.0,6037315.0,71096.0,213.267358
NEE,2020-03-19 04:00:00+00:00,210.01,221.625,200.54,207.1,4761488.0,56122.0,209.113938
NEE,2020-03-20 04:00:00+00:00,205.5,209.9,186.8615,191.75,6460147.0,63173.0,199.169796
NEE,2020-03-23 04:00:00+00:00,186.67,188.57,174.8,181.66,6235790.0,79561.0,181.04809
NEE,2020-03-24 04:00:00+00:00,187.85,208.48,186.49,206.53,5009826.0,64230.0,200.818195
NEE,2020-03-25 04:00:00+00:00,205.68,220.25,195.07,210.27,4865994.0,61632.0,208.714866
NEE,2020-03-26 04:00:00+00:00,210.9,234.17,210.6,231.1,4207676.0,51954.0,227.15025
NEE,2020-03-27 04:00:00+00:00,225.48,240.32,223.39,231.95,4427832.0,50778.0,232.526916
NEE,2020-03-30 04:00:00+00:00,237.31,248.23,234.36,246.01,4417019.0,54888.0,242.602548
NEE,2020-03-31 04:00:00+00:00,242.12,247.9,239.16,240.62,5505664.0,51856.0,242.159323
NEE,2020-04-01 04:00:00+00:00,231.0,231.99,213.04,218.23,3711328.0,53628.0,219.564078
NEE,2020-04-02 04:00:00+00:00,215.0,229.54,214.14,226.45,2539333.0,37545.0,224.189001
NEE,2020-04-03 04:00:00+00:00,223.96,228.565,217.54,221.64,2429025.0,30314.0,221.398515
NEE,2020-04-06 04:00:00+00:00,230.79,237.04,228.02,234.51,3978274.0,37818.0,234.188411
NEE,2020-04-07 04:00:00+00:00,240.35,240.99,228.16,228.49,2805532.0,37360.0,233.351505
NEE,2020-04-08 04:00:00+00:00,229.63,236.19,224.04,233.5,4948587.0,44256.0,231.158367
NEE,2020-04-09 04:00:00+00:00,236.0,250.87,235.38,245.28,5154658.0,59919.0,244.767699
NEE,2020-04-13 04:00:00+00:00,242.56,243.865,234.38,236.21,2998687.0,31221.0,237.156558
NEE,2020-04-14 04:00:00+00:00,241.85,244.98,238.37,242.38,3434103.0,35814.0,241.80558
NEE,2020-04-15 04:00:00+00:00,240.0,241.39,235.53,237.22,2867075.0,37032.0,237.730444
NEE,2020-04-16 04:00:00+00:00,238.94,240.79,235.681,237.48,2879605.0,35505.0,237.734377
NEE,2020-04-17 04:00:00+00:00,242.51,247.13,238.77,246.26,3039824.0,28237.0,243.462785
NEE,2020-04-20 04:00:00+00:00,245.45,247.3,237.11,237.61,2358335.0,29965.0,241.092182
NEE,2020-04-21 04:00:00+00:00,235.07,238.17,231.06,235.42,3073126.0,32925.0,234.546563
NEE,2020-04-22 04:00:00+00:00,239.0,248.7,237.93,247.17,3209291.0,38895.0,246.234424
NEE,2020-04-23 04:00:00+00:00,246.39,247.7499,240.13,241.14,2510260.0,33965.0,242.409812
NEE,2020-04-24 04:00:00+00:00,241.73,241.95,235.95,239.7,2200247.0,29190.0,238.794947
NEE,2020-04-27 04:00:00+00:00,242.11,246.3169,241.43,243.6,2502683.0,23581.0,243.74203
NEE,2020-04-28 04:00:00+00:00,246.26,246.9,238.1,239.3,2280671.0,29908.0,241.032933
NEE,2020-04-29 04:00:00+00:00,241.99,242.34,233.29,235.13,2717331.0,36179.0,236.577616
NEE,2020-04-30 04:00:00+00:00,233.86,233.9,228.9,231.12,5914928.0,42614.0,231.305422
NEE,2020-05-01 04:00:00+00:00,230.02,230.02,225.0,227.05,2547603.0,35300.0,227.121523
NEE,2020-05-04 04:00:00+00:00,227.0,231.17,224.94,230.09,2491723.0,29346.0,228.221589
NEE,2020-05-05 04:00:00+00:00,232.12,234.545,229.39,230.1,2246313.0,24205.0,231.646682
NEE,2020-05-06 04:00:00+00:00,230.92,231.16,222.62,222.66,2021881.0,27500.0,225.392151
NEE,2020-05-07 04:00:00+00:00,225.2,228.59,222.78,224.48,2397210.0,30244.0,225.449549
NEE,2020-05-08 04:00:00+00:00,227.39,230.63,225.74,229.73,3039441.0,29715.0,229.038055
NEE,2020-05-11 04:00:00+00:00,226.79,228.28,224.11,227.38,2347336.0,26452.0,226.794136
NEE,2020-05-12 04:00:00+00:00,228.2,229.43,225.27,227.93,2536603.0,31596.0,227.352007
NEE,2020-05-13 04:00:00+00:00,226.84,230.53,226.0,230.12,3777789.0,41747.0,228.597872
NEE,2020-05-14 04:00:00+00:00,227.94,233.325,227.29,232.23,3180949.0,36131.0,230.63573
NEE,2020-05-15 04:00:00+00:00,230.65,230.875,223.22,227.85,6476791.0,40331.0,227.034181
NEE,2020-05-18 04:00:00+00:00,233.94,236.9,232.49,235.45,2511355.0,29384.0,235.103284
NEE,2020-05-19 04:00:00+00:00,234.02,234.725,230.46,230.5,1758552.0,25185.0,231.980892
NEE,2020-05-20 04:00:00+00:00,232.3,236.2264,230.8,232.79,1585713.0,22115.0,233.543705
NEE,2020-05-21 04:00:00+00:00,232.7,233.48,228.065,228.9,2246699.0,25640.0,229.509837
NEE,2020-05-22 04:00:00+00:00,228.83,234.01,227.1529,233.85,1634085.0,23417.0,232.058546
NEE,2020-05-26 04:00:00+00:00,236.34,238.4,233.8,234.31,2133101.0,28112.0,235.653604
NEE,2020-05-27 04:00:00+00:00,237.75,241.24,234.94,241.13,3354423.0,44290.0,238.720194
NEE,2020-05-28 04:00:00+00:00,244.4,252.06,243.64,251.36,3411737.0,42074.0,250.134978
NEE,2020-05-29 04:00:00+00:00,250.11,256.505,249.5,255.56,4835548.0,41853.0,254.380273
NEE,2020-06-01 04:00:00+00:00,254.09,258.335,251.25,255.65,1805532.0,28210.0,255.203154
NEE,2020-06-02 04:00:00+00:00,255.88,260.33,253.7301,256.6,3201063.0,33148.0,256.719936
NEE,2020-06-03 04:00:00+00:00,258.19,262.2599,256.7,259.58,2005449.0,27870.0,259.516719
NEE,2020-06-04 04:00:00+00:00,257.5,260.55,248.08,251.89,3200462.0,42331.0,253.436589
NEE,2020-06-05 04:00:00+00:00,252.18,258.56,250.01,254.38,3369028.0,40866.0,254.58407
NEE,2020-06-08 04:00:00+00:00,253.06,260.74,250.57,260.48,2330791.0,26965.0,258.582508
NEE,2020-06-09 04:00:00+00:00,259.11,259.15,254.06,258.67,2171848.0,30485.0,257.366344
NEE,2020-06-10 04:00:00+00:00,259.0,260.9,255.57,256.79,1828348.0,27215.0,257.720607
NEE,2020-06-11 04:00:00+00:00,254.86,254.96,245.87,248.33,2709005.0,38920.0,249.082708
NEE,2020-06-12 04:00:00+00:00,251.77,252.12,244.24,246.91,2504723.0,30202.0,247.60917
NEE,2020-06-15 04:00:00+00:00,244.72,250.93,241.33,248.57,2536782.0,29913.0,247.494516
NEE,2020-06-16 04:00:00+00:00,253.52,253.68,246.67,248.17,2278716.0,32314.0,249.839858
NEE,2020-06-17 04:00:00+00:00,249.99,251.0,245.71,249.0,1930751.0,24801.0,248.806643
NEE,2020-06-18 04:00:00+00:00,248.2,249.92,246.35,248.93,1752543.0,25756.0,248.249097
NEE,2020-06-19 04:00:00+00:00,251.5,251.64,242.21,242.21,4735318.0,31634.0,244.44516
NEE,2020-06-22 04:00:00+00:00,243.2,248.2,240.55,247.04,1990811.0,28108.0,246.323206
NEE,2020-06-23 04:00:00+00:00,249.17,250.2516,242.313,243.21,2540335.0,33959.0,244.224757
NEE,2020-06-24 04:00:00+00:00,241.34,244.4799,238.52,241.67,1955929.0,28071.0,241.324389
NEE,2020-06-25 04:00:00+00:00,241.32,241.32,235.5701,239.16,2089738.0,29191.0,237.858843
NEE,2020-06-26 04:00:00+00:00,238.5,242.06,234.81,236.22,3434580.0,29522.0,236.546844
NEE,2020-06-29 04:00:00+00:00,237.51,238.49,233.76,238.24,1722222.0,22217.0,237.563516
NEE,2020-06-30 04:00:00+00:00,238.91,241.81,237.5,240.17,2886489.0,26691.0,239.942771
NEE,2020-07-01 04:00:00+00:00,239.67,247.5,238.31,246.26,1715327.0,23897.0,245.377692
NEE,2020-07-02 04:00:00+00:00,248.2,249.72,245.75,246.4,1864513.0,22482.0,247.039643
NEE,2020-07-06 04:00:00+00:00,248.19,249.15,244.58,246.96,1732799.0,24201.0,246.39976
NEE,2020-07-07 04:00:00+00:00,244.45,248.34,243.64,246.72,1723655.0,24395.0,246.775232
NEE,2020-07-08 04:00:00+00:00,246.12,254.14,246.12,253.27,2680118.0,35970.0,252.159381
NEE,2020-07-09 04:00:00+00:00,251.23,253.37,248.56,251.99,1856933.0,33838.0,251.32323
NEE,2020-07-10 04:00:00+00:00,252.18,261.29,251.7725,259.6,2763864.0,38101.0,258.562022
NEE,2020-07-13 04:00:00+00:00,258.99,262.41,255.39,256.24,2775806.0,32401.0,258.045244
NEE,2020-07-14 04:00:00+00:00,256.24,264.685,255.86,262.55,3444292.0,35007.0,261.737849
NEE,2020-07-15 04:00:00+00:00,264.73,266.42,258.81,259.0,2537835.0,30427.0,260.668718
NEE,2020-07-16 04:00:00+00:00,259.85,269.8,258.75,268.38,2710111.0,42733.0,267.088021
NEE,2020-07-17 04:00:00+00:00,270.06,277.455,268.93,275.38,3688992.0,39211.0,274.836898
NEE,2020-07-20 04:00:00+00:00,275.38,277.88,273.2529,274.33,1754561.0,28919.0,275.020876
NEE,2020-07-21 04:00:00+00:00,273.92,279.5699,273.76,276.33,1606875.0,28338.0,276.691963
NEE,2020-07-22 04:00:00+00:00,276.47,282.4,274.5135,280.42,1792216.0,27573.0,279.911248
NEE,2020-07-23 04:00:00+00:00,280.0,284.33,279.11,280.97,2194436.0,33288.0,281.298443
NEE,2020-07-24 04:00:00+00:00,282.88,285.63,278.0138,280.25,2123353.0,31794.0,280.417433
NEE,2020-07-27 04:00:00+00:00,281.0,281.6095,276.1,277.63,2446519.0,35823.0,278.154254
NEE,2020-07-28 04:00:00+00:00,277.2,283.285,276.63,280.04,1757176.0,25911.0,280.323349
NEE,2020-07-29 04:00:00+00:00,280.24,284.86,279.84,281.44,1451123.0,23214.0,281.803904
NEE,2020-07-30 04:00:00+00:00,280.14,282.44,279.14,282.34,1204079.0,22658.0,281.305455
NEE,2020-07-31 04:00:00+00:00,280.92,282.82,275.89,280.7,2393422.0,33295.0,279.579052
NEE,2020-08-03 04:00:00+00:00,281.14,281.86,276.43,277.59,2414061.0,28076.0,277.75895
NEE,2020-08-04 04:00:00+00:00,278.24,285.23,277.4,285.05,2525304.0,36719.0,282.617166
NEE,2020-08-05 04:00:00+00:00,285.22,286.0,281.96,283.78,1835367.0,27024.0,283.823715
NEE,2020-08-06 04:00:00+00:00,283.03,284.77,281.11,282.81,1279948.0,21517.0,282.824456
NEE,2020-08-07 04:00:00+00:00,282.84,289.41,282.495,287.78,1216100.0,20502.0,287.673483
NEE,2020-08-10 04:00:00+00:00,288.29,289.115,282.93,283.64,2012188.0,30174.0,284.269898
NEE,2020-08-11 04:00:00+00:00,283.98,284.58,276.44,277.79,1971496.0,29305.0,278.781448
NEE,2020-08-12 04:00:00+00:00,279.26,285.97,278.7,284.59,1763751.0,25206.0,283.763693
NEE,2020-08-13 04:00:00+00:00,283.03,285.46,282.63,284.4,1006193.0,20401.0,284.2845
NEE,2020-08-14 04:00:00+00:00,283.47,284.14,280.02,280.5,1489766.0,20011.0,280.877855
NEE,2020-08-17 04:00:00+00:00,282.06,285.07,280.33,282.99,1375268.0,21751.0,283.328784
NEE,2020-08-18 04:00:00+00:00,282.72,285.17,282.2,283.05,1390211.0,21681.0,283.255503
