symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NI,2020-03-12 04:00:00+00:00,25.4,26.02,23.94,24.87,6329292.0,47906.0,24.679016
NI,2020-03-13 04:00:00+00:00,25.16,25.19,23.42,25.18,3930015.0,28203.0,24.584785
NI,2020-03-16 04:00:00+00:00,21.41,23.74,19.56,20.94,5734220.0,45188.0,21.740457
NI,2020-03-17 04:00:00+00:00,21.53,24.88,20.43,24.57,7255175.0,62080.0,23.126481
NI,2020-03-18 04:00:00+00:00,23.31,23.93,22.16,23.6,6155078.0,44582.0,23.123096
NI,2020-03-19 04:00:00+00:00,23.58,24.032,21.235,23.36,4481846.0,35825.0,22.914176
NI,2020-03-20 04:00:00+00:00,23.49,24.21,20.79,21.0,4817325.0,27607.0,21.850869
NI,2020-03-23 04:00:00+00:00,20.82,21.59,20.25,20.86,5954813.0,49594.0,20.884409
NI,2020-03-24 04:00:00+00:00,21.46,22.14,20.39,21.94,5338325.0,45559.0,21.434169
NI,2020-03-25 04:00:00+00:00,21.81,23.5,20.26,22.83,5391397.0,42002.0,22.367742
NI,2020-03-26 04:00:00+00:00,22.8,24.81,22.74,24.55,4277923.0,33800.0,24.225458
NI,2020-03-27 04:00:00+00:00,23.79,25.58,23.66,24.76,5310257.0,36113.0,24.643315
NI,2020-03-30 04:00:00+00:00,25.14,26.245,24.72,26.08,3684783.0,29834.0,25.807609
NI,2020-03-31 04:00:00+00:00,25.65,25.89,24.83,24.97,4614339.0,29430.0,25.162233
NI,2020-04-01 04:00:00+00:00,23.99,24.54,22.48,23.06,3812041.0,32179.0,23.108802
NI,2020-04-02 04:00:00+00:00,22.74,23.945,22.725,23.49,4643596.0,36026.0,23.335747
NI,2020-04-03 04:00:00+00:00,23.2,23.365,22.34,22.49,4963743.0,29917.0,22.5783
NI,2020-04-06 04:00:00+00:00,23.36,24.885,23.23,24.55,3317744.0,24801.0,24.487633
NI,2020-04-07 04:00:00+00:00,25.11,25.28,23.92,24.11,3722901.0,25107.0,24.406574
NI,2020-04-08 04:00:00+00:00,24.24,25.64,23.94,25.47,2141082.0,19134.0,25.10554
NI,2020-04-09 04:00:00+00:00,25.76,27.05,25.76,26.58,3021678.0,27689.0,26.588145
NI,2020-04-13 04:00:00+00:00,26.17,26.44,25.53,25.71,1693707.0,14093.0,25.802645
NI,2020-04-14 04:00:00+00:00,26.27,26.67,26.01,26.62,2308872.0,18720.0,26.442851
NI,2020-04-15 04:00:00+00:00,26.07,26.07,25.34,25.45,2467850.0,19939.0,25.607653
NI,2020-04-16 04:00:00+00:00,25.66,26.2,25.23,25.93,5263566.0,26489.0,25.881378
NI,2020-04-17 04:00:00+00:00,26.55,26.87,25.89,26.38,2683696.0,22909.0,26.244467
NI,2020-04-20 04:00:00+00:00,26.14,26.36,25.29,25.48,2796023.0,29104.0,25.821072
NI,2020-04-21 04:00:00+00:00,24.96,25.69,24.96,25.38,2798763.0,26571.0,25.397799
NI,2020-04-22 04:00:00+00:00,25.84,26.17,25.41,26.01,3194190.0,26517.0,25.889494
NI,2020-04-23 04:00:00+00:00,25.91,26.15,25.46,25.85,3605345.0,32383.0,25.793116
NI,2020-04-24 04:00:00+00:00,25.48,26.11,25.31,26.03,4514034.0,32320.0,25.889467
NI,2020-04-27 04:00:00+00:00,26.18,26.42,25.95,26.25,2582518.0,16586.0,26.251471
NI,2020-04-28 04:00:00+00:00,26.81,27.04,26.59,26.85,3253528.0,25746.0,26.831041
NI,2020-04-29 04:00:00+00:00,27.24,27.24,25.85,25.93,3553280.0,24323.0,26.251575
NI,2020-04-30 04:00:00+00:00,25.68,25.71,24.98,25.11,3445720.0,24271.0,25.208779
NI,2020-05-01 04:00:00+00:00,24.87,24.88,24.17,24.47,2413124.0,21669.0,24.434844
NI,2020-05-04 04:00:00+00:00,24.42,24.66,24.1,24.4,2598895.0,22609.0,24.351665
NI,2020-05-05 04:00:00+00:00,24.48,24.845,24.43,24.53,3843258.0,25499.0,24.614176
NI,2020-05-06 04:00:00+00:00,24.63,24.64,22.86,22.92,4592356.0,32824.0,23.182742
NI,2020-05-07 04:00:00+00:00,23.34,23.62,22.85,22.9,4847236.0,37269.0,23.088419
NI,2020-05-08 04:00:00+00:00,23.13,23.385,22.97,23.27,3965835.0,26132.0,23.192604
NI,2020-05-11 04:00:00+00:00,23.12,23.725,22.73,23.49,5878931.0,39693.0,23.433012
NI,2020-05-12 04:00:00+00:00,23.52,23.565,22.685,22.77,3889024.0,31447.0,22.967163
NI,2020-05-13 04:00:00+00:00,22.68,22.68,21.99,22.41,4759818.0,36889.0,22.293039
NI,2020-05-14 04:00:00+00:00,22.27,22.58,21.57,22.49,3616155.0,40013.0,22.238942
NI,2020-05-15 04:00:00+00:00,22.36,22.6,21.445,22.37,14112565.0,46624.0,22.249593
NI,2020-05-18 04:00:00+00:00,22.94,23.58,22.92,23.17,4409719.0,31354.0,23.267565
NI,2020-05-19 04:00:00+00:00,23.07,23.37,22.91,23.05,2885698.0,22043.0,23.173021
NI,2020-05-20 04:00:00+00:00,23.11,23.475,22.96,23.08,2020490.0,18289.0,23.189943
NI,2020-05-21 04:00:00+00:00,22.98,23.46,22.93,22.99,2486941.0,24614.0,23.077803
NI,2020-05-22 04:00:00+00:00,22.93,23.13,22.84,23.09,2102549.0,17437.0,23.000381
NI,2020-05-26 04:00:00+00:00,23.44,23.8301,23.3,23.39,2120880.0,18272.0,23.487537
NI,2020-05-27 04:00:00+00:00,23.75,23.86,23.02,23.32,4280698.0,27895.0,23.256768
NI,2020-05-28 04:00:00+00:00,23.69,24.07,23.56,24.02,4219268.0,23773.0,23.929812
NI,2020-05-29 04:00:00+00:00,23.85,24.09,23.63,23.83,6884742.0,31661.0,23.8394
NI,2020-06-01 04:00:00+00:00,23.8,24.43,23.69,24.21,2555848.0,21426.0,24.136572
NI,2020-06-02 04:00:00+00:00,24.47,24.77,24.27,24.72,3808913.0,24004.0,24.610287
NI,2020-06-03 04:00:00+00:00,24.9,25.615,24.81,25.32,4214194.0,28228.0,25.332651
NI,2020-06-04 04:00:00+00:00,25.06,25.16,24.33,24.62,3523152.0,25037.0,24.670101
NI,2020-06-05 04:00:00+00:00,25.04,25.68,25.01,25.08,2916766.0,25224.0,25.274933
NI,2020-06-08 04:00:00+00:00,25.12,25.67,24.78,25.61,2123551.0,18416.0,25.480234
NI,2020-06-09 04:00:00+00:00,25.33,25.33,24.66,24.83,2232626.0,19421.0,24.832242
NI,2020-06-10 04:00:00+00:00,24.84,25.02,24.38,24.41,2662589.0,17417.0,24.628652
NI,2020-06-11 04:00:00+00:00,23.87,23.98,22.98,23.12,2670453.0,23698.0,23.224595
NI,2020-06-12 04:00:00+00:00,23.64,23.71,22.72,23.26,2960883.0,20911.0,23.190728
NI,2020-06-15 04:00:00+00:00,22.84,23.61,22.48,23.48,3579369.0,22773.0,23.344592
NI,2020-06-16 04:00:00+00:00,24.12,24.42,23.515,23.64,2895748.0,24450.0,23.85049
NI,2020-06-17 04:00:00+00:00,23.7,23.755,23.29,23.55,2242294.0,19130.0,23.550387
NI,2020-06-18 04:00:00+00:00,23.37,23.77,23.35,23.73,2183132.0,19119.0,23.644832
NI,2020-06-19 04:00:00+00:00,24.16,24.16,22.94,22.97,8355563.0,26398.0,23.152755
NI,2020-06-22 04:00:00+00:00,22.89,23.3,22.66,23.23,2359341.0,20465.0,23.167672
NI,2020-06-23 04:00:00+00:00,23.55,23.55,22.76,22.85,2922952.0,22857.0,22.927438
NI,2020-06-24 04:00:00+00:00,22.62,22.75,22.09,22.4,2895812.0,24951.0,22.39123
NI,2020-06-25 04:00:00+00:00,22.34,22.37,21.51,22.33,4107278.0,26969.0,22.101773
NI,2020-06-26 04:00:00+00:00,22.34,22.49,22.0,22.35,8453468.0,26441.0,22.298187
NI,2020-06-29 04:00:00+00:00,22.57,22.75,22.345,22.69,2054318.0,17959.0,22.58181
NI,2020-06-30 04:00:00+00:00,22.7,22.96,22.522,22.74,4004682.0,23294.0,22.707918
NI,2020-07-01 04:00:00+00:00,22.73,23.61,22.72,23.46,4501619.0,24271.0,23.33185
NI,2020-07-02 04:00:00+00:00,23.6,23.78,23.3,23.36,2655348.0,18912.0,23.475357
NI,2020-07-06 04:00:00+00:00,23.49,23.78,22.95,23.29,2896244.0,20058.0,23.271981
NI,2020-07-07 04:00:00+00:00,23.02,23.4,22.91,23.33,3472487.0,22494.0,23.215561
NI,2020-07-08 04:00:00+00:00,23.3,23.445,23.08,23.38,4131636.0,23412.0,23.283946
NI,2020-07-09 04:00:00+00:00,23.19,23.2888,22.63,22.95,3076211.0,22272.0,22.870722
NI,2020-07-10 04:00:00+00:00,22.89,23.615,22.89,23.57,3399708.0,19091.0,23.442451
NI,2020-07-13 04:00:00+00:00,23.58,24.13,23.51,24.02,6826228.0,28563.0,23.966529
NI,2020-07-14 04:00:00+00:00,24.08,24.26,23.61,23.75,6772618.0,32592.0,23.831659
NI,2020-07-15 04:00:00+00:00,23.97,24.24,23.69,23.72,3464525.0,21533.0,23.845445
NI,2020-07-16 04:00:00+00:00,23.74,24.16,23.66,23.85,1946204.0,14419.0,23.897117
NI,2020-07-17 04:00:00+00:00,23.99,24.41,23.89,24.34,2080195.0,13344.0,24.198425
NI,2020-07-20 04:00:00+00:00,24.15,24.23,23.72,23.75,2734117.0,19546.0,23.833691
NI,2020-07-21 04:00:00+00:00,23.7,24.2,23.69,23.81,4489634.0,16255.0,23.828939
NI,2020-07-22 04:00:00+00:00,23.77,24.815,23.525,24.64,3623367.0,26330.0,24.485683
NI,2020-07-23 04:00:00+00:00,24.64,24.82,24.46,24.74,4005483.0,25655.0,24.674007
NI,2020-07-24 04:00:00+00:00,24.88,25.31,24.41,24.54,2871496.0,19839.0,24.803086
NI,2020-07-27 04:00:00+00:00,24.5,24.5,24.15,24.28,1662207.0,12226.0,24.261902
NI,2020-07-28 04:00:00+00:00,24.16,24.815,24.15,24.67,1929703.0,17645.0,24.615642
NI,2020-07-29 04:00:00+00:00,24.76,24.81,24.51,24.76,2013129.0,15924.0,24.689643
NI,2020-07-30 04:00:00+00:00,24.33,24.495,24.08,24.49,2054088.0,16983.0,24.351033
NI,2020-07-31 04:00:00+00:00,24.44,24.565,24.035,24.45,2969293.0,18966.0,24.290939
NI,2020-08-03 04:00:00+00:00,24.36,24.385,23.77,23.98,2521526.0,20399.0,23.975385
NI,2020-08-04 04:00:00+00:00,23.9,24.35,23.86,24.15,3513356.0,29882.0,24.128366
NI,2020-08-05 04:00:00+00:00,24.6,25.13,23.98,24.36,4377702.0,27390.0,24.364919
NI,2020-08-06 04:00:00+00:00,24.19,24.415,23.9091,24.34,3105827.0,24254.0,24.248627
NI,2020-08-07 04:00:00+00:00,24.18,25.08,24.18,24.75,4072614.0,22412.0,24.762342
NI,2020-08-10 04:00:00+00:00,24.83,24.94,24.53,24.81,2955439.0,21452.0,24.765157
NI,2020-08-11 04:00:00+00:00,24.95,24.95,24.17,24.29,3317868.0,21957.0,24.39194
NI,2020-08-12 04:00:00+00:00,24.48,24.78,24.32,24.75,3318282.0,19345.0,24.677668
NI,2020-08-13 04:00:00+00:00,24.56,24.7,24.23,24.35,2529139.0,14833.0,24.433018
NI,2020-08-14 04:00:00+00:00,24.33,24.335,24.055,24.12,1806777.0,11756.0,24.159938
NI,2020-08-17 04:00:00+00:00,24.13,24.29,23.95,23.96,2298357.0,14930.0,24.030065
NI,2020-08-18 04:00:00+00:00,23.95,24.02,23.44,23.58,2431858.0,18149.0,23.600637
NI,2020-08-19 04:00:00+00:00,23.62,23.62,23.34,23.44,2121147.0,16364.0,23.451612
NI,2020-08-20 04:00:00+00:00,23.28,23.38,22.89,22.97,4045215.0,19138.0,23.041201
NI,2020-08-21 04:00:00+00:00,23.08,23.08,22.59,22.72,3138293.0,18767.0,22.767989
NI,2020-08-24 04:00:00+00:00,22.74,23.05,22.49,23.03,3477572.0,20292.0,22.823785
NI,2020-08-25 04:00:00+00:00,23.04,23.04,22.66,22.74,2510801.0,15588.0,22.752718
NI,2020-08-26 04:00:00+00:00,22.59,22.61,22.09,22.19,3049271.0,19918.0,22.275046
NI,2020-08-27 04:00:00+00:00,22.29,22.42,21.95,22.18,3736161.0,20756.0,22.160156
NI,2020-08-28 04:00:00+00:00,22.25,22.39,21.86,22.35,2948114.0,20483.0,22.197966
NI,2020-08-31 04:00:00+00:00,22.25,22.42,21.995,22.16,3784911.0,19956.0,22.16268
NI,2020-09-01 04:00:00+00:00,22.05,22.05,21.31,21.39,3650983.0,21655.0,21.482437
NI,2020-09-02 04:00:00+00:00,21.4,22.38,21.38,22.27,4828610.0,37062.0,22.042087
NI,2020-09-03 04:00:00+00:00,22.46,22.87,22.16,22.42,3592144.0,27193.0,22.45761
NI,2020-09-04 04:00:00+00:00,22.46,22.765,22.15,22.28,3144171.0,25069.0,22.420698
NI,2020-09-08 04:00:00+00:00,22.31,22.33,21.78,21.97,3724442.0,22382.0,21.967741
NI,2020-09-09 04:00:00+00:00,22.13,22.43,21.99,22.11,2959969.0,22947.0,22.188021
NI,2020-09-10 04:00:00+00:00,21.99,22.11,21.855,21.88,2876541.0,22727.0,21.945156
NI,2020-09-11 04:00:00+00:00,21.91,22.13,21.77,22.04,2528239.0,20286.0,22.000275
NI,2020-09-14 04:00:00+00:00,22.18,22.56,22.15,22.38,4585780.0,25931.0,22.426201
NI,2020-09-15 04:00:00+00:00,22.43,22.615,21.995,22.11,3481465.0,22193.0,22.263508
NI,2020-09-16 04:00:00+00:00,22.12,22.52,22.1,22.26,5351456.0,25414.0,22.341088
NI,2020-09-17 04:00:00+00:00,22.18,22.44,21.99,22.42,3477197.0,25349.0,22.336491
NI,2020-09-18 04:00:00+00:00,22.32,22.645,21.91,21.98,7364217.0,28504.0,22.111499
NI,2020-09-21 04:00:00+00:00,21.82,22.335,21.47,22.2,5023039.0,32171.0,22.090461
NI,2020-09-22 04:00:00+00:00,22.23,22.345,21.89,22.08,3077099.0,18106.0,22.108383
NI,2020-09-23 04:00:00+00:00,22.39,22.52,21.59,21.61,4340128.0,30784.0,21.83871
NI,2020-09-24 04:00:00+00:00,21.6,21.805,21.285,21.65,2524870.0,20559.0,21.595601
NI,2020-09-25 04:00:00+00:00,21.51,22.2,21.47,22.14,3089858.0,24658.0,21.975398
NI,2020-09-28 04:00:00+00:00,22.18,22.28,21.84,21.85,3983876.0,21641.0,22.02944
NI,2020-09-29 04:00:00+00:00,21.97,22.125,21.605,21.96,3115442.0,24861.0,21.9367
NI,2020-09-30 04:00:00+00:00,22.13,22.29,21.96,22.0,4637169.0,29404.0,22.057239
NI,2020-10-01 04:00:00+00:00,22.03,22.09,21.635,22.0,7484878.0,34804.0,21.918653
NI,2020-10-02 04:00:00+00:00,21.79,22.32,21.67,22.14,4973184.0,28251.0,22.100703
NI,2020-10-05 04:00:00+00:00,22.17,22.25,21.85,21.99,5033620.0,25307.0,21.971516
NI,2020-10-06 04:00:00+00:00,22.04,22.795,21.95,22.41,2798951.0,20720.0,22.423455
