symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NKE,2020-03-12 04:00:00+00:00,78.23,78.49,73.0,76.63,23215697.0,166460.0,74.915854
NKE,2020-03-13 04:00:00+00:00,78.01,78.2,71.76,75.58,23999540.0,202887.0,74.910192
NKE,2020-03-16 04:00:00+00:00,65.28,72.97,63.37,66.79,19504589.0,169159.0,68.105362
NKE,2020-03-17 04:00:00+00:00,67.51,73.3299,62.4,69.84,18935892.0,158765.0,68.98495
NKE,2020-03-18 04:00:00+00:00,64.79,68.33,60.0,68.04,20613629.0,172889.0,64.451566
NKE,2020-03-19 04:00:00+00:00,67.04,72.71,64.15,70.34,17582616.0,131762.0,69.551043
NKE,2020-03-20 04:00:00+00:00,71.51,74.06,67.2,67.45,19096718.0,115242.0,69.47178
NKE,2020-03-23 04:00:00+00:00,65.0,66.88,60.58,62.8,18682539.0,152908.0,63.607595
NKE,2020-03-24 04:00:00+00:00,65.7,72.66,64.0,72.33,20184618.0,174712.0,69.723662
NKE,2020-03-25 04:00:00+00:00,80.11,83.4899,76.2,79.01,28427543.0,221476.0,79.787844
NKE,2020-03-26 04:00:00+00:00,80.17,86.86,80.01,84.3,19676268.0,143139.0,84.074062
NKE,2020-03-27 04:00:00+00:00,81.7,85.74,79.51,83.23,15555622.0,133083.0,82.757357
NKE,2020-03-30 04:00:00+00:00,84.0,85.96,81.5,85.38,12266921.0,106532.0,84.635915
NKE,2020-03-31 04:00:00+00:00,85.13,85.73,82.4,82.74,10794029.0,87402.0,83.711409
NKE,2020-04-01 04:00:00+00:00,79.49,81.18,78.53,79.23,10555266.0,96127.0,79.519427
NKE,2020-04-02 04:00:00+00:00,79.0,81.6,77.16,80.14,14062761.0,104007.0,79.757207
NKE,2020-04-03 04:00:00+00:00,79.36,79.79,77.905,78.86,9292129.0,83572.0,78.748205
NKE,2020-04-06 04:00:00+00:00,82.0,85.04,81.21,84.63,12760359.0,93584.0,83.787879
