symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NWSA,2020-03-12 04:00:00+00:00,9.38,9.83,9.11,9.22,9636007.0,53620.0,9.341304
NWSA,2020-03-13 04:00:00+00:00,9.74,10.5,9.5,10.47,7333644.0,46886.0,9.983308
NWSA,2020-03-16 04:00:00+00:00,10.56,10.56,9.45,10.14,5949319.0,36688.0,10.115835
NWSA,2020-03-17 04:00:00+00:00,10.17,11.48,9.97,10.88,7798228.0,55220.0,10.876131
NWSA,2020-03-18 04:00:00+00:00,10.57,10.62,9.52,9.88,4639093.0,33333.0,9.834206
NWSA,2020-03-19 04:00:00+00:00,9.82,10.35,9.525,9.67,3840285.0,26672.0,9.866528
NWSA,2020-03-20 04:00:00+00:00,9.36,9.71,8.92,9.02,6717409.0,43398.0,9.235046
NWSA,2020-03-23 04:00:00+00:00,9.11,9.19,7.97,8.23,4648951.0,34570.0,8.395577
NWSA,2020-03-24 04:00:00+00:00,8.65,8.7,8.33,8.68,2926265.0,22134.0,8.591224
NWSA,2020-03-25 04:00:00+00:00,8.66,9.23,8.1,8.72,5823273.0,38837.0,8.715546
NWSA,2020-03-26 04:00:00+00:00,8.78,9.395,8.71,9.16,3791268.0,25456.0,9.131912
NWSA,2020-03-27 04:00:00+00:00,8.89,8.89,8.42,8.53,3301131.0,22246.0,8.618432
NWSA,2020-03-30 04:00:00+00:00,8.47,8.93,8.29,8.82,5193978.0,29760.0,8.7903
NWSA,2020-03-31 04:00:00+00:00,8.98,9.33,8.62,8.975,4830162.0,30638.0,9.046361
NWSA,2020-04-01 04:00:00+00:00,8.42,9.0715,8.41,8.64,3926074.0,29127.0,8.729667
NWSA,2020-04-02 04:00:00+00:00,8.52,8.86,7.9,8.2,5382123.0,35334.0,8.21064
NWSA,2020-04-03 04:00:00+00:00,8.16,8.31,8.0025,8.18,3761855.0,28699.0,8.142735
NWSA,2020-04-06 04:00:00+00:00,8.57,8.995,8.49,8.93,3445934.0,25283.0,8.871723
NWSA,2020-04-07 04:00:00+00:00,8.83,9.55,8.625,8.79,6551081.0,35138.0,8.983598
NWSA,2020-04-08 04:00:00+00:00,8.85,9.03,8.63,8.95,4092581.0,28067.0,8.906674
NWSA,2020-04-09 04:00:00+00:00,9.12,9.61,9.05,9.49,6215704.0,31072.0,9.428128
NWSA,2020-04-13 04:00:00+00:00,9.47,9.47,9.0991,9.39,2741437.0,20807.0,9.348376
NWSA,2020-04-14 04:00:00+00:00,9.58,9.6,9.14,9.415,2677764.0,20008.0,9.390958
NWSA,2020-04-15 04:00:00+00:00,9.12,9.12,8.67,8.93,2598131.0,21838.0,8.883207
