symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OMC,2020-03-12 04:00:00+00:00,58.68,59.6,55.35,56.55,3445356.0,33459.0,57.064016
OMC,2020-03-13 04:00:00+00:00,59.38,62.94,55.39,62.91,4331329.0,48621.0,60.232229
OMC,2020-03-16 04:00:00+00:00,56.87,60.74,52.84,57.23,4984589.0,40784.0,57.412977
OMC,2020-03-17 04:00:00+00:00,58.45,59.89,52.5,59.51,4353051.0,43450.0,57.073845
OMC,2020-03-18 04:00:00+00:00,55.79,56.44,51.34,52.29,3631366.0,35134.0,54.032704
OMC,2020-03-19 04:00:00+00:00,55.25,58.55,54.515,54.84,3095493.0,29550.0,55.807167
OMC,2020-03-20 04:00:00+00:00,55.52,55.58,48.38,49.51,4165307.0,35865.0,50.786983
OMC,2020-03-23 04:00:00+00:00,48.79,50.46,46.37,48.3,3452802.0,37213.0,48.776509
OMC,2020-03-24 04:00:00+00:00,51.65,52.34,49.6,51.48,3785764.0,30137.0,51.216907
OMC,2020-03-25 04:00:00+00:00,51.64,56.68,49.71,52.16,6089987.0,42128.0,53.967801
OMC,2020-03-26 04:00:00+00:00,52.79,56.59,52.49,56.35,3707872.0,26628.0,55.684389
OMC,2020-03-27 04:00:00+00:00,54.25,55.92,51.25,51.98,3595013.0,33931.0,52.359462
OMC,2020-03-30 04:00:00+00:00,51.49,55.5,50.56,54.92,3788711.0,27506.0,54.550308
OMC,2020-03-31 04:00:00+00:00,55.09,56.2,54.04,54.9,2808391.0,26604.0,55.212775
OMC,2020-04-01 04:00:00+00:00,52.53,53.19,50.81,51.67,3569829.0,34044.0,51.806717
OMC,2020-04-02 04:00:00+00:00,51.13,54.1,50.18,52.11,2839402.0,22047.0,51.786769
OMC,2020-04-03 04:00:00+00:00,51.8,53.27,49.48,49.59,2604720.0,22875.0,50.587261
OMC,2020-04-06 04:00:00+00:00,51.82,54.05,51.09,53.7,2442243.0,25902.0,52.887011
OMC,2020-04-07 04:00:00+00:00,56.45,56.75,54.19,54.26,3053940.0,28585.0,55.138307
OMC,2020-04-08 04:00:00+00:00,54.44,55.15,52.9,54.67,2647019.0,27900.0,54.235247
OMC,2020-04-09 04:00:00+00:00,55.6,57.66,55.45,56.8,2671672.0,34148.0,56.76603
OMC,2020-04-13 04:00:00+00:00,56.37,56.53,53.94,55.75,2254571.0,23526.0,55.347864
OMC,2020-04-14 04:00:00+00:00,56.96,57.02,55.47,55.59,2204894.0,19034.0,55.981424
OMC,2020-04-15 04:00:00+00:00,53.95,54.34,50.78,51.96,3820968.0,35433.0,51.860008
OMC,2020-04-16 04:00:00+00:00,52.36,53.3,49.575,53.02,3823161.0,28719.0,52.382218
OMC,2020-04-17 04:00:00+00:00,54.72,56.305,53.62,54.57,2802851.0,22409.0,54.491031
OMC,2020-04-20 04:00:00+00:00,53.4,55.38,52.08,53.92,2901013.0,26041.0,54.151155
OMC,2020-04-21 04:00:00+00:00,52.12,53.03,50.84,51.34,3193645.0,31468.0,51.522185
OMC,2020-04-22 04:00:00+00:00,52.39,52.68,50.465,50.69,2431972.0,22492.0,51.006463
OMC,2020-04-23 04:00:00+00:00,50.96,53.38,50.8,51.49,1996701.0,20878.0,52.127545
OMC,2020-04-24 04:00:00+00:00,51.74,52.365,51.22,52.03,1837709.0,15565.0,51.91394
OMC,2020-04-27 04:00:00+00:00,52.56,54.77,52.56,54.34,3268296.0,28671.0,54.086595
OMC,2020-04-28 04:00:00+00:00,54.5,56.9761,54.04,56.5,3600962.0,32672.0,56.22356
OMC,2020-04-29 04:00:00+00:00,57.83,62.57,57.83,61.36,6458437.0,52244.0,60.771946
OMC,2020-04-30 04:00:00+00:00,59.75,60.05,56.89,57.03,3585589.0,34894.0,57.821603
OMC,2020-05-01 04:00:00+00:00,56.02,56.32,55.01,55.89,2507515.0,24587.0,55.644156
OMC,2020-05-04 04:00:00+00:00,54.85,54.9,52.96,54.27,2945440.0,26469.0,53.870444
OMC,2020-05-05 04:00:00+00:00,54.85,55.34,54.06,54.22,2513642.0,23156.0,54.444849
OMC,2020-05-06 04:00:00+00:00,54.5,54.76,53.315,54.34,1957529.0,17523.0,54.134637
OMC,2020-05-07 04:00:00+00:00,54.95,55.67,53.38,53.63,2950907.0,29845.0,54.224038
OMC,2020-05-08 04:00:00+00:00,54.78,55.43,54.315,55.11,1969612.0,19319.0,55.006756
OMC,2020-05-11 04:00:00+00:00,54.68,54.68,52.48,53.6,2180517.0,21298.0,53.539807
OMC,2020-05-12 04:00:00+00:00,53.76,54.21,51.85,51.86,1789700.0,18739.0,52.488563
OMC,2020-05-13 04:00:00+00:00,51.39,51.54,48.47,49.06,2822103.0,29555.0,49.251622
OMC,2020-05-14 04:00:00+00:00,48.39,50.405,46.63,50.24,3255247.0,34925.0,49.299946
OMC,2020-05-15 04:00:00+00:00,49.71,51.29,49.07,50.9,5832742.0,29527.0,50.730846
OMC,2020-05-18 04:00:00+00:00,53.24,53.98,53.0,53.17,2159619.0,22120.0,53.374379
OMC,2020-05-19 04:00:00+00:00,52.92,53.38,51.65,52.29,2489279.0,22812.0,52.591911
OMC,2020-05-20 04:00:00+00:00,52.83,53.5,52.275,52.44,2125628.0,20623.0,52.663906
OMC,2020-05-21 04:00:00+00:00,52.44,53.27,51.76,51.86,2621167.0,20923.0,52.082053
OMC,2020-05-22 04:00:00+00:00,51.86,52.66,51.19,51.78,2301981.0,22176.0,51.78187
OMC,2020-05-26 04:00:00+00:00,53.64,54.53,53.23,54.09,4752119.0,31468.0,54.026577
OMC,2020-05-27 04:00:00+00:00,55.67,58.05,55.5,57.81,4223731.0,39796.0,57.434289
OMC,2020-05-28 04:00:00+00:00,57.64,57.81,55.04,55.17,2294115.0,22870.0,55.673102
OMC,2020-05-29 04:00:00+00:00,54.51,54.95,53.15,54.79,4193998.0,26279.0,54.39974
OMC,2020-06-01 04:00:00+00:00,54.89,56.41,54.89,55.58,2333586.0,23256.0,55.641053
OMC,2020-06-02 04:00:00+00:00,56.2,56.29,55.02,55.26,2824228.0,21698.0,55.403047
OMC,2020-06-03 04:00:00+00:00,56.36,57.395,55.66,57.13,3262978.0,29593.0,57.126443
OMC,2020-06-04 04:00:00+00:00,56.68,57.91,55.42,57.86,3239644.0,29396.0,57.190824
OMC,2020-06-05 04:00:00+00:00,59.9,62.87,59.9,60.78,5133475.0,42715.0,61.472768
OMC,2020-06-08 04:00:00+00:00,61.38,64.0,61.375,63.9,3514581.0,32558.0,63.022748
OMC,2020-06-09 04:00:00+00:00,62.77,62.98,60.24,60.34,2977522.0,25605.0,61.118073
OMC,2020-06-10 04:00:00+00:00,60.12,60.12,57.32,58.12,2748135.0,30016.0,58.234402
OMC,2020-06-11 04:00:00+00:00,55.17,55.96,54.02,54.45,3145217.0,32496.0,54.676944
OMC,2020-06-12 04:00:00+00:00,56.15,57.165,53.865,55.03,2643682.0,24742.0,55.094479
OMC,2020-06-15 04:00:00+00:00,53.42,56.9,53.36,56.32,3390527.0,33962.0,55.921712
OMC,2020-06-16 04:00:00+00:00,58.1,58.95,55.87,56.36,2531132.0,27740.0,56.750345
OMC,2020-06-17 04:00:00+00:00,56.26,56.6,55.19,55.39,1996433.0,17725.0,55.625578
OMC,2020-06-18 04:00:00+00:00,54.45,55.71,54.2,55.42,2441656.0,22318.0,55.303677
OMC,2020-06-19 04:00:00+00:00,56.57,56.97,53.33,53.33,14805606.0,34828.0,53.540067
OMC,2020-06-22 04:00:00+00:00,53.02,53.37,51.77,52.76,3246566.0,30679.0,52.773027
OMC,2020-06-23 04:00:00+00:00,53.51,54.7,53.03,54.1,4040286.0,30311.0,54.000091
OMC,2020-06-24 04:00:00+00:00,53.37,53.64,52.01,52.45,2999291.0,29515.0,52.56782
OMC,2020-06-25 04:00:00+00:00,52.02,53.2,51.07,52.8,3579436.0,35195.0,52.422345
OMC,2020-06-26 04:00:00+00:00,52.52,52.93,51.25,52.78,6358357.0,24093.0,52.553272
OMC,2020-06-29 04:00:00+00:00,53.21,55.28,53.13,54.29,3204086.0,30284.0,54.333321
OMC,2020-06-30 04:00:00+00:00,54.27,55.05,53.89,54.6,2936086.0,20764.0,54.561684
OMC,2020-07-01 04:00:00+00:00,54.46,56.0,54.2,54.54,2424785.0,23046.0,54.936186
OMC,2020-07-02 04:00:00+00:00,55.51,55.94,54.36,54.61,1998976.0,19458.0,54.76696
OMC,2020-07-06 04:00:00+00:00,55.62,55.93,54.6,55.26,1792350.0,15982.0,55.156867
OMC,2020-07-07 04:00:00+00:00,54.67,55.72,54.12,55.71,2851884.0,25974.0,55.303216
OMC,2020-07-08 04:00:00+00:00,55.48,55.49,53.11,53.6,3712681.0,30702.0,53.694497
OMC,2020-07-09 04:00:00+00:00,53.44,53.585,50.87,51.66,2871083.0,25344.0,51.667155
OMC,2020-07-10 04:00:00+00:00,51.68,54.32,51.53,53.82,1876537.0,18260.0,53.551818
OMC,2020-07-13 04:00:00+00:00,54.27,55.46,54.07,54.53,2319133.0,20248.0,54.6912
OMC,2020-07-14 04:00:00+00:00,54.31,55.27,53.82,54.86,1615753.0,16990.0,54.794615
OMC,2020-07-15 04:00:00+00:00,56.0,56.62,55.295,56.23,1919051.0,19813.0,56.111295
OMC,2020-07-16 04:00:00+00:00,56.02,56.98,55.43,56.25,1495362.0,19468.0,56.265824
OMC,2020-07-17 04:00:00+00:00,56.23,56.3148,55.03,55.69,1715522.0,17197.0,55.617631
OMC,2020-07-20 04:00:00+00:00,55.22,55.22,53.05,53.97,1987564.0,15976.0,53.869266
OMC,2020-07-21 04:00:00+00:00,54.14,55.42,54.01,54.5,1407347.0,14879.0,54.50774
OMC,2020-07-22 04:00:00+00:00,54.37,55.29,54.13,54.98,1632461.0,12621.0,54.888305
