symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ON,2020-03-12 04:00:00+00:00,14.26,14.4401,12.61,12.93,16276167.0,79000.0,13.465199
ON,2020-03-13 04:00:00+00:00,13.83,14.49,12.95,14.49,13639672.0,75966.0,13.672315
ON,2020-03-16 04:00:00+00:00,12.75,14.25,11.61,11.81,12790579.0,69802.0,12.761547
ON,2020-03-17 04:00:00+00:00,12.1,12.69,10.68,11.55,17873723.0,96440.0,11.581682
ON,2020-03-18 04:00:00+00:00,10.61,10.98,8.17,8.45,16677908.0,82309.0,9.231743
ON,2020-03-19 04:00:00+00:00,8.36,10.7,8.27,10.51,16583884.0,91839.0,9.868385
ON,2020-03-20 04:00:00+00:00,10.89,11.96,10.51,10.82,16326499.0,97560.0,11.102951
ON,2020-03-23 04:00:00+00:00,11.06,11.67,10.27,11.49,9471312.0,65851.0,11.155237
ON,2020-03-24 04:00:00+00:00,12.42,13.87,12.215,13.85,14143026.0,78671.0,13.1319
ON,2020-03-25 04:00:00+00:00,14.08,15.21,13.06,14.79,15784563.0,95143.0,14.42506
ON,2020-03-26 04:00:00+00:00,15.04,15.1,13.68,14.16,13275825.0,82684.0,14.222583
ON,2020-03-27 04:00:00+00:00,13.5,13.5,12.85,12.89,10176091.0,54622.0,13.079488
ON,2020-03-30 04:00:00+00:00,12.9,13.195,12.46,12.97,9676077.0,69551.0,12.918534
ON,2020-03-31 04:00:00+00:00,13.0,13.49,12.275,12.44,11830012.0,78930.0,12.700499
ON,2020-04-01 04:00:00+00:00,11.94,12.23,10.84,11.0,12928790.0,78589.0,11.44263
ON,2020-04-02 04:00:00+00:00,10.96,11.77,10.61,11.27,14458217.0,75859.0,11.277315
ON,2020-04-03 04:00:00+00:00,11.15,11.39,10.78,10.94,8864033.0,67818.0,11.019849
ON,2020-04-06 04:00:00+00:00,11.7,12.96,11.65,12.87,14363599.0,82368.0,12.521625
ON,2020-04-07 04:00:00+00:00,13.7,14.22,12.648,12.78,11274276.0,82144.0,13.112699
ON,2020-04-08 04:00:00+00:00,13.07,13.8,12.71,13.73,11037307.0,79871.0,13.435491
ON,2020-04-09 04:00:00+00:00,14.1,14.69,13.58,13.73,13558585.0,96691.0,14.121672
ON,2020-04-13 04:00:00+00:00,13.91,14.26,13.44,14.21,7279894.0,41201.0,13.977079
ON,2020-04-14 04:00:00+00:00,14.61,14.99,14.14,14.58,7651865.0,56814.0,14.549847
ON,2020-04-15 04:00:00+00:00,13.84,14.0,13.32,13.62,9869986.0,61113.0,13.621132
ON,2020-04-16 04:00:00+00:00,13.71,13.87,13.145,13.335,8082304.0,43866.0,13.342608
ON,2020-04-17 04:00:00+00:00,13.96,14.17,13.54,13.73,6720938.0,43332.0,13.776003
ON,2020-04-20 04:00:00+00:00,13.28,13.84,13.2206,13.36,5482916.0,37158.0,13.529008
ON,2020-04-21 04:00:00+00:00,13.05,13.215,12.695,12.83,6639791.0,40377.0,12.935886
ON,2020-04-22 04:00:00+00:00,13.44,14.19,13.13,14.11,10940214.0,66243.0,13.731645
ON,2020-04-23 04:00:00+00:00,14.18,14.37,13.83,13.92,6314063.0,43343.0,14.076051
