symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PFG,2020-03-12 04:00:00+00:00,32.72,33.78,30.8575,30.98,4458437.0,41390.0,31.609525
PFG,2020-03-13 04:00:00+00:00,33.36,35.62,31.59,35.55,4434870.0,38573.0,34.349086
PFG,2020-03-16 04:00:00+00:00,29.51,32.69,29.17,29.31,2840373.0,26013.0,30.073537
PFG,2020-03-17 04:00:00+00:00,30.11,30.775,27.6,28.66,4189862.0,35408.0,28.961756
PFG,2020-03-18 04:00:00+00:00,26.4,27.5,25.34,27.22,3218984.0,32328.0,26.533745
PFG,2020-03-19 04:00:00+00:00,26.53,29.01,25.51,26.89,2593271.0,24858.0,27.255845
PFG,2020-03-20 04:00:00+00:00,27.05,28.04,25.14,25.5,4032532.0,28647.0,26.267077
PFG,2020-03-23 04:00:00+00:00,25.31,25.84,23.31,24.16,2447235.0,24221.0,24.280814
PFG,2020-03-24 04:00:00+00:00,25.99,29.73,25.84,29.61,3098246.0,28584.0,28.571863
PFG,2020-03-25 04:00:00+00:00,30.23,34.86,29.78,32.59,3287020.0,27246.0,32.315809
PFG,2020-03-26 04:00:00+00:00,33.0,34.66,32.25,33.85,2834917.0,22697.0,33.684919
PFG,2020-03-27 04:00:00+00:00,32.0,34.05,31.51,32.6,2275718.0,20001.0,32.822105
PFG,2020-03-30 04:00:00+00:00,32.2,33.44,30.96,33.21,2390631.0,22043.0,32.814335
PFG,2020-03-31 04:00:00+00:00,32.92,33.115,30.88,31.34,2714480.0,21261.0,31.647514
PFG,2020-04-01 04:00:00+00:00,29.37,29.75,27.02,27.4,2634163.0,22693.0,27.920248
PFG,2020-04-02 04:00:00+00:00,27.01,28.14,26.09,26.6,2758613.0,25419.0,26.968788
PFG,2020-04-03 04:00:00+00:00,26.325,27.1,25.8,26.41,2037447.0,18392.0,26.336726
PFG,2020-04-06 04:00:00+00:00,28.36,28.62,27.57,28.26,2966068.0,25056.0,28.172387
PFG,2020-04-07 04:00:00+00:00,30.61,31.335,28.71,28.81,2497974.0,20889.0,29.55228
PFG,2020-04-08 04:00:00+00:00,29.32,30.9252,28.67,30.44,3380631.0,35661.0,29.603346
PFG,2020-04-09 04:00:00+00:00,31.85,34.5,31.35,32.6,2631924.0,29780.0,33.005473
PFG,2020-04-13 04:00:00+00:00,32.71,32.75,31.085,31.5,2308958.0,22181.0,31.694019
PFG,2020-04-14 04:00:00+00:00,32.11,32.57,31.26,31.58,2158916.0,20702.0,31.765393
PFG,2020-04-15 04:00:00+00:00,30.04,30.33,29.22,29.63,1988448.0,19955.0,29.71258
PFG,2020-04-16 04:00:00+00:00,29.34,29.61,28.4,28.63,1929194.0,14943.0,28.710654
PFG,2020-04-17 04:00:00+00:00,30.12,30.87,29.91,30.535,2616057.0,22202.0,30.427544
PFG,2020-04-20 04:00:00+00:00,29.6,30.51,29.05,29.79,1655694.0,16497.0,29.847147
PFG,2020-04-21 04:00:00+00:00,28.5,29.418,28.11,28.43,1506451.0,16984.0,28.537578
PFG,2020-04-22 04:00:00+00:00,29.39,29.5,28.85,29.05,1595417.0,14584.0,29.095377
PFG,2020-04-23 04:00:00+00:00,30.17,30.17,29.0,29.47,1793444.0,18997.0,29.579154
PFG,2020-04-24 04:00:00+00:00,29.81,30.33,28.76,29.98,2994067.0,21826.0,29.830448
PFG,2020-04-27 04:00:00+00:00,30.31,31.92,30.26,31.69,2758551.0,28127.0,31.555963
PFG,2020-04-28 04:00:00+00:00,34.28,35.13,32.805,33.61,3388504.0,31377.0,33.690769
