symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PGR,2020-03-12 04:00:00+00:00,69.77,73.35,68.13,69.62,8007464.0,72779.0,70.204822
PGR,2020-03-13 04:00:00+00:00,73.43,78.14,71.01,78.07,6627187.0,52186.0,75.133696
PGR,2020-03-16 04:00:00+00:00,67.52,75.045,66.59,73.0,6448603.0,53008.0,72.437678
PGR,2020-03-17 04:00:00+00:00,75.11,78.64,72.925,77.29,7411670.0,74087.0,76.058323
PGR,2020-03-18 04:00:00+00:00,73.28,74.688,68.795,72.15,5343493.0,51549.0,70.918333
PGR,2020-03-19 04:00:00+00:00,71.35,71.75,66.22,67.04,6602985.0,45567.0,67.950521
PGR,2020-03-20 04:00:00+00:00,67.2,71.87,65.19,68.28,8137303.0,55739.0,68.611753
PGR,2020-03-23 04:00:00+00:00,67.0,68.73,62.18,66.55,6771689.0,50275.0,66.375438
PGR,2020-03-24 04:00:00+00:00,69.89,71.89,67.12,69.04,6472839.0,63694.0,69.105092
PGR,2020-03-25 04:00:00+00:00,68.99,72.78,68.11,69.95,5028311.0,45034.0,70.48959
PGR,2020-03-26 04:00:00+00:00,70.86,76.6,70.11,75.82,5632194.0,43317.0,74.223288
PGR,2020-03-27 04:00:00+00:00,72.77,74.74,71.6,73.54,4896502.0,42885.0,73.012299
PGR,2020-03-30 04:00:00+00:00,74.17,76.83,73.12,76.18,4856198.0,44070.0,75.177678
PGR,2020-03-31 04:00:00+00:00,75.39,75.8,73.36,73.84,4589407.0,39330.0,74.376972
PGR,2020-04-01 04:00:00+00:00,71.36,73.1,70.725,72.36,4956390.0,42824.0,72.097025
PGR,2020-04-02 04:00:00+00:00,71.87,77.54,71.74,76.56,4255925.0,36368.0,75.666401
PGR,2020-04-03 04:00:00+00:00,76.18,76.75,74.922,75.94,3163344.0,26976.0,75.872061
PGR,2020-04-06 04:00:00+00:00,78.43,78.43,74.08,75.99,4809634.0,42176.0,75.58959
PGR,2020-04-07 04:00:00+00:00,77.88,78.6,75.41,75.6,5008323.0,54259.0,76.896591
PGR,2020-04-08 04:00:00+00:00,76.1,78.55,74.64,77.81,4927523.0,33168.0,77.544732
PGR,2020-04-09 04:00:00+00:00,78.91,80.76,78.12,80.39,5306872.0,45958.0,79.878059
PGR,2020-04-13 04:00:00+00:00,80.0,80.0,76.87,77.1,2946574.0,28204.0,77.592284
PGR,2020-04-14 04:00:00+00:00,79.06,81.45,78.72,80.47,3304281.0,30411.0,80.037788
PGR,2020-04-15 04:00:00+00:00,74.31,80.085,72.68,79.25,3694729.0,31410.0,78.961628
PGR,2020-04-16 04:00:00+00:00,79.12,79.84,77.88,79.09,3292465.0,26227.0,78.826574
PGR,2020-04-17 04:00:00+00:00,81.03,82.91,79.2607,82.5,4167402.0,31992.0,81.553106
PGR,2020-04-20 04:00:00+00:00,81.68,82.2,80.87,81.94,3186467.0,25589.0,81.681593
PGR,2020-04-21 04:00:00+00:00,80.04,82.52,79.77,81.25,4806351.0,30522.0,81.586973
PGR,2020-04-22 04:00:00+00:00,82.54,82.84,81.535,82.49,2696005.0,22199.0,82.294921
