symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PKG,2020-03-12 04:00:00+00:00,79.11,79.72,71.05,77.42,1428817.0,17151.0,76.402811
PKG,2020-03-13 04:00:00+00:00,81.79,86.11,79.88,84.36,1672501.0,18792.0,83.227454
PKG,2020-03-16 04:00:00+00:00,73.48,83.92,72.75,80.97,1281263.0,17791.0,80.41617
PKG,2020-03-17 04:00:00+00:00,82.65,94.37,82.1498,93.74,1858359.0,22711.0,90.902074
PKG,2020-03-18 04:00:00+00:00,87.29,97.5,85.69,91.03,1467146.0,16748.0,91.489554
PKG,2020-03-19 04:00:00+00:00,91.57,94.06,82.75,88.46,1460441.0,18434.0,88.163201
PKG,2020-03-20 04:00:00+00:00,88.43,89.22,81.05,85.88,1794246.0,18646.0,85.035093
PKG,2020-03-23 04:00:00+00:00,84.56,85.57,74.26,76.22,1804613.0,23256.0,77.564304
PKG,2020-03-24 04:00:00+00:00,79.92,81.37,76.91,79.58,1549899.0,16557.0,79.07814
PKG,2020-03-25 04:00:00+00:00,79.16,83.64,76.675,79.83,1459678.0,16343.0,80.425864
PKG,2020-03-26 04:00:00+00:00,80.44,88.15,80.2,87.27,1065747.0,15293.0,85.299747
PKG,2020-03-27 04:00:00+00:00,84.24,87.93,82.7223,86.09,831421.0,10874.0,86.06909
PKG,2020-03-30 04:00:00+00:00,86.91,91.32,86.15,90.76,903809.0,13087.0,89.260023
PKG,2020-03-31 04:00:00+00:00,90.56,91.06,86.2,86.83,1420436.0,16650.0,88.026005
PKG,2020-04-01 04:00:00+00:00,83.25,87.5062,83.21,83.9,1569423.0,17298.0,84.516151
PKG,2020-04-02 04:00:00+00:00,83.05,86.73,82.56,83.96,1837519.0,21063.0,84.173004
PKG,2020-04-03 04:00:00+00:00,83.03,85.285,80.17,80.51,1377301.0,12441.0,81.480149
PKG,2020-04-06 04:00:00+00:00,83.4,86.15,82.01,85.43,1210263.0,16210.0,84.943084
PKG,2020-04-07 04:00:00+00:00,87.76,88.9084,84.54,85.0,1050505.0,13441.0,85.956762
PKG,2020-04-08 04:00:00+00:00,85.53,88.86,84.4,87.84,857984.0,11686.0,87.258703
PKG,2020-04-09 04:00:00+00:00,88.72,91.75,88.69,90.46,1309119.0,13094.0,90.342972
PKG,2020-04-13 04:00:00+00:00,88.82,90.0,87.19,88.86,824416.0,11401.0,88.56439
PKG,2020-04-14 04:00:00+00:00,91.1,91.255,87.54,88.5,825068.0,11360.0,88.567745
PKG,2020-04-15 04:00:00+00:00,86.36,86.68,83.97,85.55,965223.0,10813.0,85.212904
PKG,2020-04-16 04:00:00+00:00,86.08,86.31,83.14,85.18,809845.0,9526.0,84.779099
PKG,2020-04-17 04:00:00+00:00,87.18,92.0,86.8014,90.84,1227547.0,14215.0,90.184534
PKG,2020-04-20 04:00:00+00:00,87.86,88.96,86.04,86.12,971361.0,10707.0,86.759698
PKG,2020-04-21 04:00:00+00:00,84.15,86.11,84.04,85.68,632342.0,8297.0,85.487562
PKG,2020-04-22 04:00:00+00:00,87.09,87.5,85.26,85.55,656242.0,7440.0,85.768697
PKG,2020-04-23 04:00:00+00:00,85.74,87.65,85.575,86.14,510363.0,6829.0,86.328199
PKG,2020-04-24 04:00:00+00:00,87.26,87.3,85.0,85.99,706083.0,8435.0,85.986192
PKG,2020-04-27 04:00:00+00:00,86.48,90.66,86.16,90.16,1125788.0,12488.0,88.963038
PKG,2020-04-28 04:00:00+00:00,93.96,99.0,91.4,98.29,1725418.0,18302.0,96.421841
PKG,2020-04-29 04:00:00+00:00,100.32,101.7,97.7734,100.2,1000902.0,13752.0,100.19289
PKG,2020-04-30 04:00:00+00:00,98.2,98.78,95.77,96.65,788797.0,8803.0,97.006995
PKG,2020-05-01 04:00:00+00:00,95.23,95.27,93.5,94.75,556254.0,7784.0,94.478795
PKG,2020-05-04 04:00:00+00:00,94.41,95.95,91.66,95.78,1199819.0,13677.0,95.035324
PKG,2020-05-05 04:00:00+00:00,96.46,96.79,93.44,93.48,953558.0,13906.0,94.392141
PKG,2020-05-06 04:00:00+00:00,94.05,95.94,93.025,93.48,632736.0,8309.0,93.57906
PKG,2020-05-07 04:00:00+00:00,94.38,95.87,93.62,93.79,718631.0,9783.0,94.378862
PKG,2020-05-08 04:00:00+00:00,95.63,99.29,95.44,98.14,640790.0,10095.0,98.048592
PKG,2020-05-11 04:00:00+00:00,97.1,98.32,95.33,97.5,659455.0,9468.0,97.21969
PKG,2020-05-12 04:00:00+00:00,97.91,98.04,95.11,95.16,714897.0,8001.0,96.249682
PKG,2020-05-13 04:00:00+00:00,94.55,94.76,88.54,89.8,829879.0,11678.0,90.248108
PKG,2020-05-14 04:00:00+00:00,89.28,93.46,86.925,93.34,667538.0,10081.0,91.713786
PKG,2020-05-15 04:00:00+00:00,92.49,92.49,90.01,90.92,663108.0,8438.0,90.978144
PKG,2020-05-18 04:00:00+00:00,94.1,95.135,93.265,93.71,952615.0,11134.0,93.965816
PKG,2020-05-19 04:00:00+00:00,92.9,93.25,90.86,90.92,601868.0,10153.0,91.983716
PKG,2020-05-20 04:00:00+00:00,92.33,94.33,92.24,93.44,519169.0,8218.0,93.369929
PKG,2020-05-21 04:00:00+00:00,92.77,94.75,92.59,92.91,434540.0,6900.0,93.344709
PKG,2020-05-22 04:00:00+00:00,92.81,93.17,91.51,92.99,427627.0,7432.0,92.579518
PKG,2020-05-26 04:00:00+00:00,95.0,98.68,95.0,98.36,727178.0,11586.0,97.780779
PKG,2020-05-27 04:00:00+00:00,100.65,102.52,100.265,102.46,902166.0,9813.0,101.851454
PKG,2020-05-28 04:00:00+00:00,103.17,103.42,99.955,101.7,891929.0,9260.0,101.44733
PKG,2020-05-29 04:00:00+00:00,101.41,101.69,99.27,101.41,1030680.0,10760.0,101.149065
PKG,2020-06-01 04:00:00+00:00,101.25,102.88,101.1,102.62,553616.0,8254.0,102.425022
PKG,2020-06-02 04:00:00+00:00,103.58,104.0,102.43,102.86,901497.0,12383.0,103.006343
PKG,2020-06-03 04:00:00+00:00,104.68,108.05,103.95,107.47,696088.0,9946.0,107.179213
PKG,2020-06-04 04:00:00+00:00,106.58,108.69,106.58,108.63,986048.0,11579.0,108.127594
PKG,2020-06-05 04:00:00+00:00,111.44,112.8,109.59,110.56,966878.0,13218.0,110.842034
PKG,2020-06-08 04:00:00+00:00,109.58,112.11,109.54,111.82,620522.0,9531.0,111.412653
PKG,2020-06-09 04:00:00+00:00,110.42,110.42,107.68,107.85,588887.0,9108.0,108.383434
PKG,2020-06-10 04:00:00+00:00,106.73,107.4094,105.2,105.32,508945.0,9642.0,105.942847
PKG,2020-06-11 04:00:00+00:00,102.62,103.38,98.04,98.13,791445.0,11762.0,99.206692
PKG,2020-06-12 04:00:00+00:00,100.7,101.57,96.23,98.92,652476.0,11955.0,98.67204
PKG,2020-06-15 04:00:00+00:00,96.16,99.95,94.72,99.47,1023488.0,14647.0,98.332139
PKG,2020-06-16 04:00:00+00:00,102.45,103.48,100.36,100.93,874931.0,12496.0,101.56545
PKG,2020-06-17 04:00:00+00:00,101.26,101.26,98.72,99.08,571338.0,7334.0,99.578927
PKG,2020-06-18 04:00:00+00:00,98.38,99.07,96.9,97.62,954241.0,11801.0,97.692498
PKG,2020-06-19 04:00:00+00:00,98.81,99.75,97.0199,99.75,4576355.0,15609.0,99.387025
PKG,2020-06-22 04:00:00+00:00,99.03,99.27,97.12,98.57,857715.0,13214.0,98.512568
PKG,2020-06-23 04:00:00+00:00,99.28,100.6,99.19,99.94,912115.0,12070.0,99.913158
PKG,2020-06-24 04:00:00+00:00,99.16,99.55,97.74,97.94,941428.0,15048.0,98.518746
PKG,2020-06-25 04:00:00+00:00,97.35,97.54,93.38,95.93,796461.0,12668.0,95.369753
PKG,2020-06-26 04:00:00+00:00,95.43,96.52,94.82,95.68,1212043.0,8986.0,95.591625
PKG,2020-06-29 04:00:00+00:00,97.09,99.5,96.75,98.02,639878.0,10865.0,98.19949
PKG,2020-06-30 04:00:00+00:00,97.55,100.31,97.11,99.8,945746.0,11333.0,99.327742
PKG,2020-07-01 04:00:00+00:00,99.86,100.17,97.72,99.37,773028.0,12237.0,99.095593
PKG,2020-07-02 04:00:00+00:00,100.5,101.02,98.54,99.65,1053293.0,15933.0,99.536294
PKG,2020-07-06 04:00:00+00:00,100.91,101.98,98.51,100.0,857077.0,11282.0,99.731811
PKG,2020-07-07 04:00:00+00:00,99.01,99.65,98.01,98.67,702020.0,8945.0,98.656083
PKG,2020-07-08 04:00:00+00:00,98.34,98.88,95.33,96.31,697095.0,11728.0,96.458857
PKG,2020-07-09 04:00:00+00:00,96.53,96.53,94.85,95.37,668767.0,12501.0,95.460021
PKG,2020-07-10 04:00:00+00:00,95.96,98.97,95.96,98.89,546772.0,9525.0,98.275498
PKG,2020-07-13 04:00:00+00:00,99.25,100.295,98.23,98.78,554497.0,9133.0,99.108513
PKG,2020-07-14 04:00:00+00:00,98.89,102.23,98.855,102.12,809945.0,12040.0,101.803149
PKG,2020-07-15 04:00:00+00:00,104.21,104.21,101.61,102.84,740022.0,10391.0,102.968632
PKG,2020-07-16 04:00:00+00:00,102.86,108.36,102.72,107.05,1080003.0,14782.0,106.741295
PKG,2020-07-17 04:00:00+00:00,107.32,107.32,104.615,104.71,1071109.0,11717.0,105.088127
PKG,2020-07-20 04:00:00+00:00,105.14,105.145,103.34,103.72,404582.0,7288.0,103.977973
PKG,2020-07-21 04:00:00+00:00,103.68,105.1498,103.58,104.12,514667.0,8414.0,104.179014
PKG,2020-07-22 04:00:00+00:00,104.05,104.945,103.25,104.27,482634.0,8084.0,104.242908
PKG,2020-07-23 04:00:00+00:00,103.87,105.31,103.14,103.46,558471.0,9141.0,103.676568
PKG,2020-07-24 04:00:00+00:00,103.86,104.39,102.41,102.79,439647.0,8025.0,103.064281
PKG,2020-07-27 04:00:00+00:00,102.43,104.13,101.36,103.53,747703.0,10744.0,103.531708
PKG,2020-07-28 04:00:00+00:00,103.07,103.79,101.1,101.98,1022046.0,13079.0,102.376036
PKG,2020-07-29 04:00:00+00:00,102.01,103.09,99.52,101.97,994402.0,13233.0,101.959304
PKG,2020-07-30 04:00:00+00:00,100.58,101.65,97.71,98.28,878487.0,11064.0,98.872371
PKG,2020-07-31 04:00:00+00:00,98.17,98.17,94.61,96.12,932628.0,11233.0,95.578392
PKG,2020-08-03 04:00:00+00:00,96.79,97.105,95.47,95.95,853037.0,10085.0,96.152295
PKG,2020-08-04 04:00:00+00:00,94.76,95.98,93.9625,95.37,1903672.0,21836.0,95.239552
PKG,2020-08-05 04:00:00+00:00,96.28,97.41,95.79,95.86,918179.0,11354.0,96.253563
PKG,2020-08-06 04:00:00+00:00,95.96,96.43,94.915,95.01,799878.0,10035.0,95.317191
PKG,2020-08-07 04:00:00+00:00,92.17,95.53,92.015,95.47,2218755.0,18289.0,95.058385
PKG,2020-08-10 04:00:00+00:00,95.69,97.56,95.17,97.56,1963918.0,15131.0,96.815757
PKG,2020-08-11 04:00:00+00:00,98.72,101.76,98.57,100.0,1027220.0,13636.0,100.63572
PKG,2020-08-12 04:00:00+00:00,100.62,101.43,98.45,99.4,559107.0,8119.0,99.459406
PKG,2020-08-13 04:00:00+00:00,98.74,99.83,98.39,99.22,408872.0,7121.0,99.324797
PKG,2020-08-14 04:00:00+00:00,98.49,100.465,98.2045,99.67,415243.0,5966.0,99.592766
PKG,2020-08-17 04:00:00+00:00,99.9,100.67,98.97,99.23,465601.0,5592.0,99.44746
PKG,2020-08-18 04:00:00+00:00,99.31,99.78,97.99,98.03,399113.0,7834.0,98.436287
PKG,2020-08-19 04:00:00+00:00,98.68,99.89,97.69,98.11,807487.0,6784.0,98.340815
PKG,2020-08-20 04:00:00+00:00,96.85,97.68,95.73,96.72,351115.0,5897.0,96.528558
PKG,2020-08-21 04:00:00+00:00,96.72,97.35,95.5511,95.96,461039.0,6604.0,96.169346
PKG,2020-08-24 04:00:00+00:00,96.75,100.03,96.75,99.72,620549.0,8507.0,99.474078
PKG,2020-08-25 04:00:00+00:00,100.18,100.4,97.755,99.19,579492.0,9190.0,98.992237
PKG,2020-08-26 04:00:00+00:00,98.87,100.0,98.385,99.86,714766.0,8280.0,99.632825
PKG,2020-08-27 04:00:00+00:00,99.98,102.41,99.96,102.1,1064673.0,10574.0,101.759842
PKG,2020-08-28 04:00:00+00:00,102.17,102.94,101.72,102.27,709144.0,8948.0,102.318043
PKG,2020-08-31 04:00:00+00:00,103.07,103.27,100.32,101.24,972405.0,9846.0,101.184638
PKG,2020-09-01 04:00:00+00:00,101.13,104.24,100.64,104.22,805328.0,9586.0,103.598644
PKG,2020-09-02 04:00:00+00:00,104.35,107.2,103.72,107.14,923026.0,10792.0,106.380576
PKG,2020-09-03 04:00:00+00:00,107.14,108.04,104.09,105.95,1400930.0,13917.0,105.78712
PKG,2020-09-04 04:00:00+00:00,106.97,107.66,105.12,106.55,861013.0,10975.0,106.515883
PKG,2020-09-08 04:00:00+00:00,105.85,106.36,103.45,103.48,836553.0,12410.0,104.016669
PKG,2020-09-09 04:00:00+00:00,104.55,106.07,103.86,104.51,742725.0,9758.0,104.692402
PKG,2020-09-10 04:00:00+00:00,104.6,105.42,102.68,103.51,986601.0,12773.0,103.855332
PKG,2020-09-11 04:00:00+00:00,103.64,105.1,103.06,104.61,738867.0,10322.0,104.15191
PKG,2020-09-14 04:00:00+00:00,104.76,106.52,104.225,105.93,569627.0,8896.0,105.863725
PKG,2020-09-15 04:00:00+00:00,106.79,107.89,106.79,107.53,815150.0,10906.0,107.406852
PKG,2020-09-16 04:00:00+00:00,108.91,111.61,107.8449,111.01,1046550.0,12528.0,110.378119
PKG,2020-09-17 04:00:00+00:00,109.48,113.46,108.11,112.96,1132821.0,12619.0,112.37549
PKG,2020-09-18 04:00:00+00:00,112.96,114.32,112.61,113.14,1491348.0,13042.0,113.247566
PKG,2020-09-21 04:00:00+00:00,110.52,111.455,106.9507,108.03,910784.0,11937.0,108.264218
PKG,2020-09-22 04:00:00+00:00,107.8,109.01,105.7,107.15,748965.0,11138.0,106.941531
PKG,2020-09-23 04:00:00+00:00,107.27,107.3,104.08,104.15,732791.0,11045.0,105.195535
PKG,2020-09-24 04:00:00+00:00,104.22,105.93,102.76,104.27,433787.0,8950.0,104.454952
PKG,2020-09-25 04:00:00+00:00,103.03,109.93,102.775,109.44,1168234.0,15325.0,108.062261
PKG,2020-09-28 04:00:00+00:00,110.34,111.68,108.61,111.15,1112534.0,16796.0,110.923004
PKG,2020-09-29 04:00:00+00:00,111.39,111.455,108.35,108.75,693944.0,10484.0,109.53792
PKG,2020-09-30 04:00:00+00:00,109.36,110.56,107.96,109.05,935885.0,9652.0,109.162913
PKG,2020-10-01 04:00:00+00:00,109.76,110.56,106.94,107.65,639507.0,10586.0,107.984001
PKG,2020-10-02 04:00:00+00:00,106.34,109.65,106.0755,108.42,737417.0,9764.0,108.414579
PKG,2020-10-05 04:00:00+00:00,110.17,111.78,109.61,110.94,1009471.0,9334.0,110.956859
PKG,2020-10-06 04:00:00+00:00,110.55,111.84,109.09,109.41,566208.0,7975.0,109.979951
PKG,2020-10-07 04:00:00+00:00,110.54,112.89,110.54,111.97,427955.0,7007.0,111.915208
PKG,2020-10-08 04:00:00+00:00,112.23,113.84,111.94,113.81,383691.0,6574.0,113.372058
PKG,2020-10-09 04:00:00+00:00,114.56,115.51,112.74,112.9,616770.0,7204.0,113.179003
PKG,2020-10-12 04:00:00+00:00,115.75,118.58,114.5,116.71,630966.0,8490.0,117.085607
PKG,2020-10-13 04:00:00+00:00,115.83,117.19,115.37,116.4,409198.0,7239.0,116.365253
PKG,2020-10-14 04:00:00+00:00,116.87,117.825,116.395,116.56,417305.0,7891.0,116.827705
PKG,2020-10-15 04:00:00+00:00,115.25,118.83,115.1101,118.7,454083.0,9252.0,118.130313
PKG,2020-10-16 04:00:00+00:00,119.39,120.17,119.0,119.59,746078.0,10564.0,119.60038
PKG,2020-10-19 04:00:00+00:00,120.12,120.71,116.92,117.26,562111.0,8985.0,117.803867
PKG,2020-10-20 04:00:00+00:00,118.4,118.7243,116.015,116.53,402585.0,8861.0,116.829257
PKG,2020-10-21 04:00:00+00:00,116.82,118.76,116.69,117.71,501171.0,9252.0,117.762109
PKG,2020-10-22 04:00:00+00:00,117.59,118.62,116.53,118.19,331123.0,5661.0,117.93994
PKG,2020-10-23 04:00:00+00:00,118.51,119.6,118.2,119.2,470458.0,7861.0,119.11215
PKG,2020-10-26 04:00:00+00:00,118.23,118.31,115.19,115.78,484696.0,8626.0,116.232515
PKG,2020-10-27 04:00:00+00:00,115.55,117.895,113.91,113.97,666566.0,11487.0,114.989693
PKG,2020-10-28 04:00:00+00:00,111.94,112.92,110.87,111.93,639313.0,10016.0,112.037507
PKG,2020-10-29 04:00:00+00:00,112.03,115.875,112.03,114.78,522014.0,9145.0,114.529658
PKG,2020-10-30 04:00:00+00:00,114.37,115.25,112.9929,114.49,443273.0,7687.0,114.278868
PKG,2020-11-02 05:00:00+00:00,115.73,117.98,115.32,117.87,657854.0,8929.0,117.552327
PKG,2020-11-03 05:00:00+00:00,119.84,123.99,119.14,123.25,709362.0,10455.0,122.607566
PKG,2020-11-04 05:00:00+00:00,121.71,121.71,118.12,118.42,539517.0,7996.0,119.004418
PKG,2020-11-05 05:00:00+00:00,119.6,123.3,119.075,122.54,355218.0,6873.0,122.294718
PKG,2020-11-06 05:00:00+00:00,122.65,124.735,121.346,123.21,782127.0,11510.0,122.888393
PKG,2020-11-09 05:00:00+00:00,129.71,131.75,125.33,126.79,939671.0,14161.0,127.548657
