symbol,timestamp,open,high,low,close,volume,trade_count,vwap
POOL,2020-03-12 04:00:00+00:00,194.33,198.01,185.2,186.93,414011.0,8163.0,190.041139
POOL,2020-03-13 04:00:00+00:00,191.49,206.33,187.3,206.14,428995.0,7377.0,198.89008
POOL,2020-03-16 04:00:00+00:00,174.63,187.01,169.35,171.53,589900.0,10877.0,177.37138
POOL,2020-03-17 04:00:00+00:00,172.87,183.24,171.7122,181.22,506920.0,9688.0,177.779359
POOL,2020-03-18 04:00:00+00:00,168.59,191.87,165.85,187.42,654266.0,10848.0,184.658146
POOL,2020-03-19 04:00:00+00:00,187.48,202.155,178.06,193.87,584510.0,9333.0,193.254632
POOL,2020-03-20 04:00:00+00:00,193.26,197.97,167.65,167.78,727146.0,9239.0,182.289348
POOL,2020-03-23 04:00:00+00:00,168.41,178.2,160.3497,169.31,567497.0,11915.0,169.902135
POOL,2020-03-24 04:00:00+00:00,175.67,184.45,172.56,181.05,464532.0,7412.0,179.662279
POOL,2020-03-25 04:00:00+00:00,181.15,185.89,169.11,175.04,412101.0,7970.0,177.823689
POOL,2020-03-26 04:00:00+00:00,170.8,185.71,170.8,185.0,356920.0,6903.0,182.355624
POOL,2020-03-27 04:00:00+00:00,180.02,190.27,180.02,186.98,362970.0,7133.0,187.131658
POOL,2020-03-30 04:00:00+00:00,188.0,199.13,187.04,198.35,261748.0,6000.0,195.880152
POOL,2020-03-31 04:00:00+00:00,196.33,197.65,191.945,196.77,313844.0,6667.0,195.749696
POOL,2020-04-01 04:00:00+00:00,190.01,197.58,188.055,195.01,361587.0,8141.0,193.425568
POOL,2020-04-02 04:00:00+00:00,192.31,194.73,183.13,193.12,323603.0,6269.0,189.888588
POOL,2020-04-03 04:00:00+00:00,190.62,190.62,176.19,178.27,348685.0,6525.0,180.629877
POOL,2020-04-06 04:00:00+00:00,181.25,197.85,181.25,195.98,375628.0,7784.0,191.69074
POOL,2020-04-07 04:00:00+00:00,202.82,205.0,191.2753,191.58,268078.0,4637.0,196.124956
POOL,2020-04-08 04:00:00+00:00,192.65,201.61,191.6,199.11,364219.0,5819.0,197.766248
POOL,2020-04-09 04:00:00+00:00,200.48,204.97,196.49,199.47,355622.0,5338.0,199.517099
POOL,2020-04-13 04:00:00+00:00,198.88,198.88,190.12,190.51,157143.0,3829.0,192.177335
POOL,2020-04-14 04:00:00+00:00,195.09,196.22,192.65,195.34,379301.0,4600.0,195.200158
POOL,2020-04-15 04:00:00+00:00,192.55,196.12,190.02,191.48,376542.0,6252.0,192.369966
POOL,2020-04-16 04:00:00+00:00,193.31,197.965,192.265,196.35,275030.0,4710.0,195.762612
POOL,2020-04-17 04:00:00+00:00,199.63,199.84,191.375,198.78,398417.0,7258.0,197.25878
POOL,2020-04-20 04:00:00+00:00,196.26,196.26,188.45,191.6,318928.0,6244.0,191.268658
POOL,2020-04-21 04:00:00+00:00,189.45,190.0,183.19,184.76,230764.0,5769.0,185.319554
POOL,2020-04-22 04:00:00+00:00,185.58,193.39,183.02,190.42,351246.0,6690.0,188.358612
POOL,2020-04-23 04:00:00+00:00,200.0,211.635,191.61,204.4,680097.0,9752.0,204.209506
POOL,2020-04-24 04:00:00+00:00,207.91,216.04,203.23,213.5,452442.0,8590.0,209.601154
POOL,2020-04-27 04:00:00+00:00,214.23,223.8,212.23,222.62,476131.0,9380.0,222.034567
POOL,2020-04-28 04:00:00+00:00,227.51,229.885,220.145,220.69,325289.0,7358.0,223.63902
POOL,2020-04-29 04:00:00+00:00,223.53,223.53,216.52,217.71,337964.0,6555.0,218.994399
POOL,2020-04-30 04:00:00+00:00,212.6,215.29,211.21,211.66,408274.0,6299.0,212.782516
POOL,2020-05-01 04:00:00+00:00,208.81,217.41,207.0,216.02,337743.0,6518.0,214.022311
POOL,2020-05-04 04:00:00+00:00,215.53,216.92,211.85,214.81,394137.0,8119.0,215.104412
POOL,2020-05-05 04:00:00+00:00,219.81,225.355,214.6,221.86,478976.0,8769.0,219.765572
POOL,2020-05-06 04:00:00+00:00,223.83,225.95,222.25,222.32,265113.0,5343.0,223.299022
POOL,2020-05-07 04:00:00+00:00,223.0,224.72,217.89,218.7,173530.0,5484.0,220.657554
POOL,2020-05-08 04:00:00+00:00,222.2,225.2419,220.83,224.65,231280.0,5094.0,224.233452
POOL,2020-05-11 04:00:00+00:00,224.39,229.73,222.65,227.73,479235.0,7059.0,226.605442
POOL,2020-05-12 04:00:00+00:00,228.6,229.83,221.22,221.59,249187.0,5637.0,224.249115
POOL,2020-05-13 04:00:00+00:00,220.81,220.87,214.05,216.36,296631.0,6293.0,216.757815
POOL,2020-05-14 04:00:00+00:00,213.94,219.29,212.6269,217.71,252151.0,6012.0,217.04537
POOL,2020-05-15 04:00:00+00:00,214.77,224.29,214.77,222.97,520880.0,5111.0,222.576752
POOL,2020-05-18 04:00:00+00:00,228.64,234.76,227.0,229.56,686913.0,5982.0,229.413547
POOL,2020-05-19 04:00:00+00:00,233.05,233.97,228.92,229.01,209401.0,4946.0,231.321684
POOL,2020-05-20 04:00:00+00:00,232.49,234.39,229.18,230.79,202822.0,4024.0,231.466997
POOL,2020-05-21 04:00:00+00:00,231.0,239.17,231.0,238.35,625302.0,10207.0,237.077466
POOL,2020-05-22 04:00:00+00:00,238.0,239.175,234.55,238.18,387164.0,7074.0,237.500827
POOL,2020-05-26 04:00:00+00:00,247.82,248.0,241.1,242.82,405350.0,8119.0,244.211653
POOL,2020-05-27 04:00:00+00:00,243.06,255.42,240.01,254.47,389261.0,8881.0,249.278861
POOL,2020-05-28 04:00:00+00:00,261.84,266.67,257.05,259.13,590516.0,10949.0,262.176828
POOL,2020-05-29 04:00:00+00:00,255.94,270.57,255.94,269.02,750337.0,9832.0,267.350024
POOL,2020-06-01 04:00:00+00:00,271.16,271.16,264.9872,267.76,375345.0,7878.0,267.934209
POOL,2020-06-02 04:00:00+00:00,268.51,269.5,261.26,265.83,586631.0,7951.0,264.996185
POOL,2020-06-03 04:00:00+00:00,267.41,270.42,266.16,269.49,252221.0,5298.0,269.197623
POOL,2020-06-04 04:00:00+00:00,267.44,269.48,260.23,262.79,206379.0,5235.0,263.551337
POOL,2020-06-05 04:00:00+00:00,262.19,264.04,254.75,258.84,450514.0,9328.0,259.284111
POOL,2020-06-08 04:00:00+00:00,259.65,259.65,251.26,255.36,390991.0,7738.0,254.601356
POOL,2020-06-09 04:00:00+00:00,254.49,265.615,254.11,262.49,356182.0,7945.0,262.388189
POOL,2020-06-10 04:00:00+00:00,264.3,265.275,261.4,262.35,285822.0,4859.0,262.667944
POOL,2020-06-11 04:00:00+00:00,260.0,263.57,251.22,251.63,250421.0,7181.0,256.000467
POOL,2020-06-12 04:00:00+00:00,256.34,259.16,249.385,252.67,247886.0,6679.0,253.273788
POOL,2020-06-15 04:00:00+00:00,245.91,256.29,244.9142,255.13,302186.0,6662.0,253.107711
POOL,2020-06-16 04:00:00+00:00,262.29,265.52,256.88,263.38,286976.0,5668.0,263.083221
POOL,2020-06-17 04:00:00+00:00,265.95,268.24,263.185,265.41,226192.0,4950.0,265.72007
POOL,2020-06-18 04:00:00+00:00,264.67,267.4,262.38,265.15,190209.0,3352.0,264.720917
POOL,2020-06-19 04:00:00+00:00,267.62,269.1972,265.4794,266.6,483987.0,5957.0,267.052319
POOL,2020-06-22 04:00:00+00:00,266.88,272.76,264.83,270.76,269385.0,6587.0,269.519676
POOL,2020-06-23 04:00:00+00:00,273.45,273.45,265.77,266.08,244024.0,5558.0,268.047021
POOL,2020-06-24 04:00:00+00:00,264.68,267.89,256.85,261.29,304176.0,6569.0,260.377404
POOL,2020-06-25 04:00:00+00:00,261.54,264.27,259.0401,263.91,250611.0,5070.0,262.610917
POOL,2020-06-26 04:00:00+00:00,262.78,267.91,259.72,260.94,530292.0,5801.0,261.76008
