symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PPG,2020-03-12 04:00:00+00:00,87.52,92.31,86.44,89.9,3303715.0,30323.0,89.661754
PPG,2020-03-13 04:00:00+00:00,94.31,95.33,90.11,94.19,3103330.0,27905.0,93.259845
PPG,2020-03-16 04:00:00+00:00,82.93,88.555,81.2001,82.42,2985698.0,31632.0,84.160157
PPG,2020-03-17 04:00:00+00:00,84.33,84.33,79.61,82.62,3651958.0,31948.0,82.008778
PPG,2020-03-18 04:00:00+00:00,78.55,80.0,70.305,72.92,3326609.0,30140.0,74.158644
PPG,2020-03-19 04:00:00+00:00,72.21,78.825,69.77,76.56,2928073.0,27093.0,76.014059
PPG,2020-03-20 04:00:00+00:00,77.1,80.46,71.751,79.72,5176414.0,38977.0,77.287287
PPG,2020-03-23 04:00:00+00:00,78.38,80.63,71.53,72.5,3363957.0,32517.0,73.526754
PPG,2020-03-24 04:00:00+00:00,75.82,82.24,75.62,82.05,2909879.0,27286.0,79.91195
PPG,2020-03-25 04:00:00+00:00,79.25,89.58,77.77,85.71,4488154.0,36997.0,85.493246
PPG,2020-03-26 04:00:00+00:00,86.24,90.39,85.0,89.76,2277802.0,21516.0,88.236394
PPG,2020-03-27 04:00:00+00:00,86.19,87.2824,84.45,85.0,1812202.0,20418.0,85.391604
PPG,2020-03-30 04:00:00+00:00,85.85,87.2,83.67,85.92,1716447.0,22989.0,85.213436
PPG,2020-03-31 04:00:00+00:00,85.14,87.33,83.1201,83.6,2111145.0,24656.0,84.074828
PPG,2020-04-01 04:00:00+00:00,80.56,82.3,79.7,79.89,2346611.0,22876.0,80.475885
PPG,2020-04-02 04:00:00+00:00,79.59,82.32,78.01,80.73,4286136.0,41508.0,80.619409
PPG,2020-04-03 04:00:00+00:00,80.39,81.68,80.165,80.43,2773763.0,25215.0,80.64208
PPG,2020-04-06 04:00:00+00:00,84.0,87.68,84.0,86.63,3645601.0,25036.0,86.652781
PPG,2020-04-07 04:00:00+00:00,89.09,93.275,89.09,91.09,2369020.0,22808.0,91.640981
PPG,2020-04-08 04:00:00+00:00,91.99,94.1,91.07,93.35,1907593.0,19572.0,93.049013
PPG,2020-04-09 04:00:00+00:00,94.72,98.81,94.2,97.17,2393651.0,23366.0,97.350121
PPG,2020-04-13 04:00:00+00:00,96.18,96.99,93.02,93.68,1657272.0,17332.0,93.937986
PPG,2020-04-14 04:00:00+00:00,95.89,95.89,92.23,92.79,2219922.0,20023.0,93.223337
PPG,2020-04-15 04:00:00+00:00,90.41,91.53,87.8,88.48,1424922.0,15257.0,88.706272
PPG,2020-04-16 04:00:00+00:00,88.9,89.48,86.3,88.9,1996603.0,15688.0,88.654143
PPG,2020-04-17 04:00:00+00:00,91.48,94.02,91.19,93.31,1655681.0,13732.0,92.948739
PPG,2020-04-20 04:00:00+00:00,91.42,93.3,90.17,91.1,1126993.0,13826.0,91.746347
