symbol,timestamp,open,high,low,close,volume,trade_count,vwap
REG,2020-03-12 04:00:00+00:00,52.21,54.54,50.91,51.64,2609816.0,23321.0,51.952333
REG,2020-03-13 04:00:00+00:00,53.77,55.48,51.45,55.25,3041864.0,27093.0,53.747592
REG,2020-03-16 04:00:00+00:00,50.8,51.91,44.88,44.94,2446913.0,24195.0,47.315281
REG,2020-03-17 04:00:00+00:00,46.16,48.32,42.34,47.68,2369697.0,24397.0,46.457138
REG,2020-03-18 04:00:00+00:00,45.12,45.29,36.76,37.79,1999863.0,20629.0,39.579192
REG,2020-03-19 04:00:00+00:00,37.76,40.53,35.21,37.53,1801148.0,20305.0,38.142816
REG,2020-03-20 04:00:00+00:00,37.72,39.91,34.47,35.3,3057492.0,25828.0,36.54656
REG,2020-03-23 04:00:00+00:00,35.32,35.78,32.84,34.88,3231276.0,27552.0,34.398034
REG,2020-03-24 04:00:00+00:00,36.94,39.61,35.77,39.45,2800957.0,23188.0,38.392118
REG,2020-03-25 04:00:00+00:00,41.52,43.81,38.96,41.24,2311552.0,17219.0,41.416834
REG,2020-03-26 04:00:00+00:00,41.75,42.99,38.59,42.34,2170412.0,21800.0,41.63452
REG,2020-03-27 04:00:00+00:00,40.64,41.53,39.72,40.49,2088494.0,20837.0,40.501839
REG,2020-03-30 04:00:00+00:00,40.43,42.45,38.78,39.95,2175170.0,24632.0,39.630611
REG,2020-03-31 04:00:00+00:00,39.57,40.42,37.43,38.43,2633948.0,23590.0,38.587403
REG,2020-04-01 04:00:00+00:00,36.39,36.41,34.4,35.535,2318968.0,21127.0,35.378697
REG,2020-04-02 04:00:00+00:00,34.94,36.38,32.2,33.2,2276326.0,21084.0,33.367549
REG,2020-04-03 04:00:00+00:00,33.21,34.11,31.8,32.27,2408422.0,24133.0,32.473418
REG,2020-04-06 04:00:00+00:00,36.09,37.43,34.48,35.15,3063382.0,27043.0,35.468854
REG,2020-04-07 04:00:00+00:00,37.72,38.72,36.63,36.77,3098602.0,21893.0,37.333362
REG,2020-04-08 04:00:00+00:00,37.49,41.03,36.67,40.89,1970213.0,22758.0,39.801227
REG,2020-04-09 04:00:00+00:00,42.31,45.58,42.21,44.12,3063142.0,34623.0,44.058915
REG,2020-04-13 04:00:00+00:00,44.0732,44.0732,42.12,43.13,1521243.0,15906.0,43.036797
REG,2020-04-14 04:00:00+00:00,43.26,44.45,42.96,43.95,1996584.0,17175.0,43.813695
REG,2020-04-15 04:00:00+00:00,41.56,42.83,40.0,41.31,1436477.0,15380.0,41.02369
REG,2020-04-16 04:00:00+00:00,41.13,41.74,37.0,37.07,1834387.0,15798.0,37.672223
REG,2020-04-17 04:00:00+00:00,39.01,39.745,38.22,38.66,1665382.0,13753.0,38.750705
REG,2020-04-20 04:00:00+00:00,37.34,38.2,36.33,37.19,2580222.0,17041.0,37.195114
REG,2020-04-21 04:00:00+00:00,35.77,36.74,35.21,35.59,1529966.0,17454.0,35.707082
REG,2020-04-22 04:00:00+00:00,35.55,36.07,34.88,35.44,1774726.0,18654.0,35.372883
REG,2020-04-23 04:00:00+00:00,35.8,36.99,35.08,35.62,2241601.0,19721.0,35.859129
REG,2020-04-24 04:00:00+00:00,35.75,36.105,34.84,35.43,1889906.0,14048.0,35.432087
REG,2020-04-27 04:00:00+00:00,35.21,37.815,35.0,37.44,1341364.0,13354.0,36.983804
REG,2020-04-28 04:00:00+00:00,38.97,42.0,38.7326,40.53,1734586.0,17467.0,40.550229
REG,2020-04-29 04:00:00+00:00,42.06,45.89,41.62,44.41,2933123.0,29765.0,44.584684
REG,2020-04-30 04:00:00+00:00,43.47,44.49,42.4701,43.91,2812774.0,28443.0,43.873969
REG,2020-05-01 04:00:00+00:00,42.48,43.14,40.57,40.92,1523144.0,15358.0,41.228471
REG,2020-05-04 04:00:00+00:00,39.48,40.42,39.03,40.23,1146401.0,15574.0,39.911498
REG,2020-05-05 04:00:00+00:00,40.9,41.97,40.08,40.32,1682891.0,12466.0,40.449666
REG,2020-05-06 04:00:00+00:00,40.01,41.0,37.87,38.13,1194951.0,12331.0,38.446033
REG,2020-05-07 04:00:00+00:00,38.65,40.22,38.52,39.12,1443415.0,15834.0,39.272982
REG,2020-05-08 04:00:00+00:00,40.96,43.11,39.72,41.96,1589282.0,18101.0,41.920626
REG,2020-05-11 04:00:00+00:00,41.47,41.99,39.82,40.58,1262070.0,13930.0,40.585528
REG,2020-05-12 04:00:00+00:00,40.64,40.825,38.36,38.51,1788360.0,16695.0,39.005507
REG,2020-05-13 04:00:00+00:00,38.05,38.09,35.86,36.07,1307918.0,16148.0,36.380223
REG,2020-05-14 04:00:00+00:00,35.35,36.94,33.56,36.51,2624495.0,24126.0,36.065435
REG,2020-05-15 04:00:00+00:00,35.46,36.93,34.4107,36.81,5958362.0,21610.0,36.58602
REG,2020-05-18 04:00:00+00:00,38.48,41.77,38.48,41.315,1798958.0,20539.0,41.055382
REG,2020-05-19 04:00:00+00:00,41.22,42.065,40.045,41.65,2260516.0,27874.0,41.376876
REG,2020-05-20 04:00:00+00:00,41.65,42.22,40.66,41.37,1442301.0,16410.0,41.182467
REG,2020-05-21 04:00:00+00:00,40.71,42.62,40.71,42.09,1888245.0,15606.0,41.965128
REG,2020-05-22 04:00:00+00:00,42.6,42.6,40.57,41.26,1054577.0,14538.0,41.328558
REG,2020-05-26 04:00:00+00:00,43.26,45.26,43.02,45.12,1710701.0,17471.0,44.937665
REG,2020-05-27 04:00:00+00:00,46.33,46.86,44.679,45.845,1887153.0,22174.0,45.730204
REG,2020-05-28 04:00:00+00:00,46.71,46.71,44.15,44.69,1867271.0,18242.0,45.021947
REG,2020-05-29 04:00:00+00:00,43.56,44.31,42.69,42.79,2157487.0,17880.0,43.052385
REG,2020-06-01 04:00:00+00:00,42.97,45.725,42.75,45.4,1079311.0,12418.0,45.233798
REG,2020-06-02 04:00:00+00:00,45.9,46.405,45.325,45.79,1680607.0,16425.0,45.856582
REG,2020-06-03 04:00:00+00:00,46.58,50.25,46.58,49.25,1630742.0,14759.0,49.280872
REG,2020-06-04 04:00:00+00:00,48.81,50.33,47.79,49.81,1310578.0,16504.0,49.657179
REG,2020-06-05 04:00:00+00:00,52.42,54.57,50.61,50.8,2453315.0,26458.0,51.721592
REG,2020-06-08 04:00:00+00:00,50.56,54.26,50.56,53.7,1729032.0,16252.0,53.575488
REG,2020-06-09 04:00:00+00:00,51.7,52.01,50.56,50.78,1473699.0,17066.0,51.045087
REG,2020-06-10 04:00:00+00:00,50.01,50.1,47.01,48.16,2011082.0,14800.0,48.307737
REG,2020-06-11 04:00:00+00:00,45.47,46.5,44.22,44.72,2090060.0,21869.0,44.960787
REG,2020-06-12 04:00:00+00:00,47.78,48.05,45.75,47.89,1811872.0,18298.0,47.326978
REG,2020-06-15 04:00:00+00:00,45.66,48.47,45.43,47.94,1356080.0,16345.0,47.418029
REG,2020-06-16 04:00:00+00:00,49.86,50.77,48.11,49.07,1691316.0,19927.0,49.239322
REG,2020-06-17 04:00:00+00:00,49.15,49.21,46.77,46.86,1135059.0,10827.0,47.341183
REG,2020-06-18 04:00:00+00:00,45.45,47.1,45.265,46.45,1108671.0,11888.0,46.441748
REG,2020-06-19 04:00:00+00:00,46.52,47.9,44.14,44.635,5145770.0,19514.0,45.115474
REG,2020-06-22 04:00:00+00:00,44.42,45.47,43.72,45.41,1748470.0,14996.0,45.117868
REG,2020-06-23 04:00:00+00:00,46.46,46.87,45.2,46.13,1413030.0,14294.0,46.102046
REG,2020-06-24 04:00:00+00:00,45.31,45.3107,42.49,44.36,1431150.0,14874.0,44.119935
REG,2020-06-25 04:00:00+00:00,43.96,45.29,43.6,45.075,1079445.0,11640.0,44.835492
REG,2020-06-26 04:00:00+00:00,44.84,45.47,43.82,44.49,1617078.0,10728.0,44.553003
REG,2020-06-29 04:00:00+00:00,45.46,45.86,44.0,45.82,1017831.0,10730.0,45.464775
REG,2020-06-30 04:00:00+00:00,45.96,46.98,45.27,45.89,1237178.0,10805.0,45.992743
REG,2020-07-01 04:00:00+00:00,46.39,47.27,45.91,46.17,973437.0,10683.0,46.291084
REG,2020-07-02 04:00:00+00:00,47.45,47.81,45.385,45.73,788396.0,9167.0,45.971818
REG,2020-07-06 04:00:00+00:00,46.95,47.83,45.48,45.98,1283776.0,9633.0,46.031589
REG,2020-07-07 04:00:00+00:00,45.33,45.33,43.8,44.09,808646.0,9509.0,44.216891
REG,2020-07-08 04:00:00+00:00,43.91,44.14,42.77,43.4,1379066.0,12331.0,43.336523
REG,2020-07-09 04:00:00+00:00,43.17,43.275,41.18,42.12,992559.0,11588.0,41.982685
REG,2020-07-10 04:00:00+00:00,42.1,43.71,42.05,42.94,1100333.0,10615.0,42.775893
REG,2020-07-13 04:00:00+00:00,43.38,43.75,42.19,42.59,997862.0,11454.0,42.820875
REG,2020-07-14 04:00:00+00:00,43.17,43.19,41.72,42.07,1191313.0,12093.0,42.26975
REG,2020-07-15 04:00:00+00:00,43.11,43.77,42.38,42.965,1650337.0,12774.0,42.861571
REG,2020-07-16 04:00:00+00:00,42.53,42.94,41.91,42.1,919521.0,9526.0,42.226573
REG,2020-07-17 04:00:00+00:00,42.44,42.44,41.635,41.7,786163.0,8526.0,41.932827
REG,2020-07-20 04:00:00+00:00,41.65,41.89,40.67,41.17,1369406.0,15022.0,41.124058
REG,2020-07-21 04:00:00+00:00,40.89,41.69,40.36,40.58,1635091.0,16165.0,40.834601
REG,2020-07-22 04:00:00+00:00,40.46,41.55,40.05,41.37,1356037.0,14234.0,41.279574
REG,2020-07-23 04:00:00+00:00,41.05,41.46,39.85,40.43,1034312.0,12382.0,40.399281
REG,2020-07-24 04:00:00+00:00,40.48,40.79,39.855,39.96,1301420.0,13456.0,40.143907
REG,2020-07-27 04:00:00+00:00,39.16,40.03,38.48,39.91,1369487.0,14609.0,39.517233
REG,2020-07-28 04:00:00+00:00,39.65,42.31,39.49,41.75,1483859.0,15915.0,41.422261
REG,2020-07-29 04:00:00+00:00,42.24,42.47,41.08,42.11,1280939.0,13333.0,41.843857
REG,2020-07-30 04:00:00+00:00,41.14,42.06,40.33,41.81,999628.0,11696.0,41.614699
REG,2020-07-31 04:00:00+00:00,41.68,41.68,40.1,41.03,5730294.0,13398.0,40.98112
REG,2020-08-03 04:00:00+00:00,40.57,40.91,39.74,40.59,1314116.0,12770.0,40.58306
REG,2020-08-04 04:00:00+00:00,40.77,41.27,39.43,41.06,1628104.0,17905.0,40.815893
REG,2020-08-05 04:00:00+00:00,41.65,41.98,40.81,40.98,903188.0,10123.0,41.026
REG,2020-08-06 04:00:00+00:00,40.36,41.75,40.22,40.96,881059.0,8792.0,40.970889
REG,2020-08-07 04:00:00+00:00,40.43,41.7,40.18,41.65,760575.0,9128.0,41.351833
REG,2020-08-10 04:00:00+00:00,41.55,43.735,41.51,42.87,1413126.0,16226.0,42.876346
REG,2020-08-11 04:00:00+00:00,43.66,44.815,43.31,43.5,1419089.0,15443.0,43.83674
REG,2020-08-12 04:00:00+00:00,43.96,44.24,42.78,43.67,1153422.0,10730.0,43.480707
REG,2020-08-13 04:00:00+00:00,42.92,43.34,42.21,42.49,1118116.0,11597.0,42.660661
REG,2020-08-14 04:00:00+00:00,42.4,43.48,42.03,42.88,1046874.0,10712.0,42.907459
REG,2020-08-17 04:00:00+00:00,42.42,43.02,42.14,42.72,597266.0,6670.0,42.701529
REG,2020-08-18 04:00:00+00:00,42.9,42.9,41.28,41.82,696118.0,9223.0,41.792902
REG,2020-08-19 04:00:00+00:00,41.25,41.7,40.15,40.2,869157.0,8822.0,40.479734
REG,2020-08-20 04:00:00+00:00,40.2,41.48,40.0,41.15,1386570.0,14398.0,41.111115
REG,2020-08-21 04:00:00+00:00,41.26,41.31,40.135,40.46,780484.0,7554.0,40.508483
REG,2020-08-24 04:00:00+00:00,40.47,41.31,39.9,41.05,956967.0,10539.0,40.877992
REG,2020-08-25 04:00:00+00:00,41.4,41.59,40.22,40.95,788279.0,9036.0,40.825215
REG,2020-08-26 04:00:00+00:00,41.18,41.19,39.88,40.1,945421.0,9796.0,40.187208
REG,2020-08-27 04:00:00+00:00,40.63,41.31,40.54,40.65,863708.0,9645.0,40.755243
REG,2020-08-28 04:00:00+00:00,40.66,40.66,39.565,40.44,1216856.0,13291.0,40.287214
REG,2020-08-31 04:00:00+00:00,40.6,40.6,39.35,39.71,1756704.0,12273.0,39.723553
REG,2020-09-01 04:00:00+00:00,39.33,39.62,38.88,39.4,1124685.0,13850.0,39.42121
REG,2020-09-02 04:00:00+00:00,39.48,41.13,39.09,41.03,2732113.0,11998.0,40.519778
REG,2020-09-03 04:00:00+00:00,41.12,42.23,40.71,41.23,1310173.0,15820.0,41.205994
REG,2020-09-04 04:00:00+00:00,41.43,42.36,41.25,41.53,1021108.0,11743.0,41.592389
REG,2020-09-08 04:00:00+00:00,41.32,41.47,40.57,40.97,1933900.0,17483.0,41.004192
REG,2020-09-09 04:00:00+00:00,41.18,41.62,40.29,40.87,1757030.0,12525.0,40.93219
REG,2020-09-10 04:00:00+00:00,40.97,41.0,39.27,39.34,1895597.0,20163.0,39.722888
REG,2020-09-11 04:00:00+00:00,39.23,39.435,37.88,38.6,1436291.0,16161.0,38.433235
