symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ROST,2020-03-12 04:00:00+00:00,92.67,96.46,91.03,91.35,5931638.0,57393.0,92.354689
ROST,2020-03-13 04:00:00+00:00,95.63,97.13,87.48,92.83,4954085.0,52460.0,91.274064
ROST,2020-03-16 04:00:00+00:00,84.34,84.34,73.19,73.93,5296045.0,55553.0,77.234682
ROST,2020-03-17 04:00:00+00:00,74.43,74.67,67.69,69.56,8412730.0,83090.0,70.236849
ROST,2020-03-18 04:00:00+00:00,65.3,65.95,56.3,59.97,8687101.0,80321.0,59.328919
ROST,2020-03-19 04:00:00+00:00,59.46,69.33,57.665,65.0,8446074.0,60349.0,64.709587
ROST,2020-03-20 04:00:00+00:00,65.43,70.0,63.85,63.9,11352086.0,53308.0,66.445658
ROST,2020-03-23 04:00:00+00:00,62.69,66.43,60.5,62.92,6504418.0,57939.0,63.117811
ROST,2020-03-24 04:00:00+00:00,67.82,71.8,66.07,71.58,8866982.0,52641.0,70.203524
ROST,2020-03-25 04:00:00+00:00,73.95,84.856,72.795,81.29,6207473.0,60657.0,80.493717
ROST,2020-03-26 04:00:00+00:00,82.34,86.83,81.31,85.6,5901045.0,59392.0,85.213347
ROST,2020-03-27 04:00:00+00:00,81.78,85.78,80.0,82.55,3889987.0,39026.0,82.680302
ROST,2020-03-30 04:00:00+00:00,82.59,85.5,80.58,84.87,3828901.0,38244.0,84.342162
ROST,2020-03-31 04:00:00+00:00,84.1,88.79,83.74,86.97,5661410.0,47303.0,86.939737
ROST,2020-04-01 04:00:00+00:00,82.3,85.37,79.8889,81.09,4819946.0,51931.0,82.255177
ROST,2020-04-02 04:00:00+00:00,80.0,82.27,75.63,79.4,4414267.0,48405.0,78.976021
ROST,2020-04-03 04:00:00+00:00,78.58,79.23,74.17,74.75,3872806.0,35696.0,75.755045
ROST,2020-04-06 04:00:00+00:00,80.0,88.06,78.15,87.18,5880762.0,52831.0,85.513369
ROST,2020-04-07 04:00:00+00:00,93.66,95.97,84.47,84.81,6512035.0,53734.0,88.270622
ROST,2020-04-08 04:00:00+00:00,85.75,91.855,84.7002,89.05,3305988.0,39344.0,88.977803
