symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SMCI,2020-03-12 04:00:00+00:00,23.01,23.44,21.5,22.2,703572.0,4060.0,22.50307
SMCI,2020-03-13 04:00:00+00:00,22.75,23.0,21.17,22.92,512406.0,4119.0,22.140815
SMCI,2020-03-16 04:00:00+00:00,20.0,20.379,17.02,17.38,1213339.0,7566.0,17.932288
SMCI,2020-03-17 04:00:00+00:00,17.55,19.37,17.0,19.12,531751.0,3464.0,18.364011
SMCI,2020-03-18 04:00:00+00:00,17.89,18.41,15.76,15.98,368538.0,3195.0,16.942684
SMCI,2020-03-19 04:00:00+00:00,15.82,16.99,15.82,16.1,844654.0,5151.0,16.379936
SMCI,2020-03-20 04:00:00+00:00,16.38,18.29,16.38,16.88,486112.0,3830.0,17.498774
SMCI,2020-03-23 04:00:00+00:00,17.0,17.37,16.325,16.77,652734.0,4626.0,16.763535
SMCI,2020-03-24 04:00:00+00:00,17.75,18.81,17.3,18.81,255438.0,2343.0,18.289404
SMCI,2020-03-25 04:00:00+00:00,18.75,21.13,18.55,20.67,291492.0,2666.0,20.184531
SMCI,2020-03-26 04:00:00+00:00,20.84,22.31,20.62,21.73,397635.0,2732.0,21.480959
SMCI,2020-03-27 04:00:00+00:00,21.02,21.44,20.02,20.37,162260.0,1484.0,20.632918
SMCI,2020-03-30 04:00:00+00:00,20.55,21.16,20.2,20.89,198172.0,1984.0,20.890938
SMCI,2020-03-31 04:00:00+00:00,20.89,21.48,20.82,21.28,173098.0,1572.0,21.22157
SMCI,2020-04-01 04:00:00+00:00,20.46,21.0,19.91,20.46,372360.0,2250.0,20.443605
SMCI,2020-04-02 04:00:00+00:00,20.56,21.245,19.4787,20.89,197205.0,1864.0,20.672657
SMCI,2020-04-03 04:00:00+00:00,20.62,21.72,19.63,20.18,299481.0,2090.0,20.224102
SMCI,2020-04-06 04:00:00+00:00,20.81,21.39,19.75,20.21,258297.0,2470.0,20.501307
SMCI,2020-04-07 04:00:00+00:00,20.8,20.975,19.9,20.28,343669.0,2961.0,20.321167
SMCI,2020-04-08 04:00:00+00:00,20.51,21.12,20.07,20.93,206577.0,1908.0,20.874409
SMCI,2020-04-09 04:00:00+00:00,21.33,21.905,20.61,21.48,238000.0,2488.0,21.409401
SMCI,2020-04-13 04:00:00+00:00,21.45,21.65,20.49,21.29,193923.0,2469.0,21.228604
SMCI,2020-04-14 04:00:00+00:00,21.66,22.46,21.66,21.9,159026.0,1773.0,22.064138
SMCI,2020-04-15 04:00:00+00:00,21.5,21.99,21.1876,21.61,183136.0,1594.0,21.636412
SMCI,2020-04-16 04:00:00+00:00,21.76,21.89,21.04,21.6,182818.0,1844.0,21.540459
SMCI,2020-04-17 04:00:00+00:00,22.1,22.587,21.42,21.77,192644.0,1959.0,21.740551
SMCI,2020-04-20 04:00:00+00:00,21.82,21.9,21.13,21.69,119092.0,1522.0,21.527022
SMCI,2020-04-21 04:00:00+00:00,21.53,21.53,20.27,20.98,119210.0,1694.0,20.93314
SMCI,2020-04-22 04:00:00+00:00,21.39,21.71,21.05,21.46,104334.0,1149.0,21.412779
SMCI,2020-04-23 04:00:00+00:00,21.71,22.02,21.305,21.62,212347.0,2007.0,21.695449
SMCI,2020-04-24 04:00:00+00:00,21.75,21.94,21.21,21.7,214958.0,1628.0,21.675008
SMCI,2020-04-27 04:00:00+00:00,21.85,22.46,21.8,22.23,248155.0,1849.0,22.178005
SMCI,2020-04-28 04:00:00+00:00,22.63,23.37,22.07,22.77,341607.0,2577.0,22.758377
SMCI,2020-04-29 04:00:00+00:00,23.45,23.9279,23.15,23.47,216171.0,2240.0,23.494926
SMCI,2020-04-30 04:00:00+00:00,23.37,23.37,22.5,22.9,247254.0,1986.0,22.919513
SMCI,2020-05-01 04:00:00+00:00,22.26,22.74,22.13,22.23,135676.0,1232.0,22.321711
SMCI,2020-05-04 04:00:00+00:00,22.22,22.665,21.86,22.33,245047.0,2234.0,22.291483
SMCI,2020-05-05 04:00:00+00:00,22.59,23.39,22.07,22.47,298851.0,2700.0,22.504665
SMCI,2020-05-06 04:00:00+00:00,22.68,22.82,21.92,22.02,176082.0,1592.0,22.343185
SMCI,2020-05-07 04:00:00+00:00,22.3,22.89,21.92,22.38,565242.0,4266.0,22.449628
SMCI,2020-05-08 04:00:00+00:00,23.5,26.89,23.01,25.42,773037.0,5910.0,25.513787
SMCI,2020-05-11 04:00:00+00:00,25.42,25.84,24.37,25.65,341643.0,3260.0,25.241127
SMCI,2020-05-12 04:00:00+00:00,25.78,25.78,23.94,23.98,385938.0,3762.0,24.674858
SMCI,2020-05-13 04:00:00+00:00,24.0,24.465,23.19,23.29,302574.0,3119.0,23.675988
SMCI,2020-05-14 04:00:00+00:00,22.92,23.48,22.3401,23.35,208646.0,2538.0,23.106041
SMCI,2020-05-15 04:00:00+00:00,23.0,23.83,22.78,23.29,238073.0,2446.0,23.17034
SMCI,2020-05-18 04:00:00+00:00,23.58,24.66,23.475,24.41,344847.0,2646.0,24.212043
SMCI,2020-05-19 04:00:00+00:00,24.5,25.3,24.49,24.79,342131.0,2751.0,25.029561
SMCI,2020-05-20 04:00:00+00:00,25.2,25.84,25.1,25.6,232981.0,2619.0,25.481261
SMCI,2020-05-21 04:00:00+00:00,25.23,25.52,24.8901,25.16,230799.0,2330.0,25.31322
SMCI,2020-05-22 04:00:00+00:00,25.09,25.09,24.13,24.7,310909.0,2692.0,24.554531
SMCI,2020-05-26 04:00:00+00:00,25.2,25.84,25.18,25.37,290182.0,3251.0,25.499897
SMCI,2020-05-27 04:00:00+00:00,25.52,25.97,24.95,25.89,387558.0,3594.0,25.649396
SMCI,2020-05-28 04:00:00+00:00,25.59,25.92,25.24,25.33,223183.0,2497.0,25.559232
SMCI,2020-05-29 04:00:00+00:00,24.94,26.28,24.94,25.96,1083365.0,4753.0,25.858091
SMCI,2020-06-01 04:00:00+00:00,26.37,26.79,26.18,26.55,359226.0,3474.0,26.514022
SMCI,2020-06-02 04:00:00+00:00,26.76,27.55,26.175,27.46,545396.0,4475.0,27.117869
SMCI,2020-06-03 04:00:00+00:00,27.96,27.96,27.29,27.73,403021.0,4139.0,27.662037
SMCI,2020-06-04 04:00:00+00:00,27.61,27.98,27.5,27.75,392973.0,3874.0,27.761709
SMCI,2020-06-05 04:00:00+00:00,28.63,29.795,28.08,28.61,632530.0,5375.0,29.001512
SMCI,2020-06-08 04:00:00+00:00,29.26,30.26,29.24,29.71,930446.0,7853.0,29.821615
SMCI,2020-06-09 04:00:00+00:00,29.71,30.1,29.0571,29.62,400768.0,4140.0,29.740563
SMCI,2020-06-10 04:00:00+00:00,29.65,29.91,28.56,29.1,370028.0,4249.0,29.148878
SMCI,2020-06-11 04:00:00+00:00,28.79,28.9,27.71,28.02,793192.0,6075.0,28.006721
SMCI,2020-06-12 04:00:00+00:00,28.63,29.45,28.19,29.22,433929.0,5020.0,29.043671
SMCI,2020-06-15 04:00:00+00:00,29.48,31.5,29.41,31.29,1566301.0,12503.0,30.465631
SMCI,2020-06-16 04:00:00+00:00,31.53,32.45,30.73,31.15,865443.0,7595.0,31.621577
SMCI,2020-06-17 04:00:00+00:00,31.41,32.49,31.41,31.77,2255537.0,7919.0,31.832561
SMCI,2020-06-18 04:00:00+00:00,31.54,32.0,30.8,31.42,1936013.0,5978.0,31.393278
SMCI,2020-06-19 04:00:00+00:00,31.87,33.3,31.79,32.31,6533352.0,12622.0,32.423358
SMCI,2020-06-22 04:00:00+00:00,32.42,32.44,30.5201,31.03,1704775.0,6190.0,31.076649
SMCI,2020-06-23 04:00:00+00:00,31.34,31.9,30.97,31.27,1915340.0,8657.0,31.3442
SMCI,2020-06-24 04:00:00+00:00,31.49,31.69,30.21,30.61,667103.0,7562.0,30.645603
SMCI,2020-06-25 04:00:00+00:00,30.66,31.76,30.45,31.03,1028190.0,8967.0,30.997054
SMCI,2020-06-26 04:00:00+00:00,30.94,31.4,27.56,28.12,10899760.0,12506.0,28.177864
SMCI,2020-06-29 04:00:00+00:00,28.17,28.4,27.53,28.24,688187.0,7097.0,28.092094
SMCI,2020-06-30 04:00:00+00:00,28.49,28.57,27.51,28.39,1147631.0,9319.0,28.107441
SMCI,2020-07-01 04:00:00+00:00,28.38,28.38,27.4,27.94,846545.0,5391.0,27.863853
SMCI,2020-07-02 04:00:00+00:00,28.35,28.71,27.31,27.48,458024.0,5374.0,27.721931
SMCI,2020-07-06 04:00:00+00:00,28.02,28.44,27.81,27.95,529721.0,5108.0,28.069348
SMCI,2020-07-07 04:00:00+00:00,27.71,28.02,27.3,27.53,534061.0,4348.0,27.57651
SMCI,2020-07-08 04:00:00+00:00,27.65,28.27,27.43,28.21,485493.0,3968.0,28.058115
SMCI,2020-07-09 04:00:00+00:00,28.17,28.56,27.47,27.66,523467.0,4309.0,27.831467
SMCI,2020-07-10 04:00:00+00:00,27.78,27.95,27.4,27.64,337112.0,2732.0,27.599177
SMCI,2020-07-13 04:00:00+00:00,28.205,28.205,27.065,27.13,353725.0,3293.0,27.476467
SMCI,2020-07-14 04:00:00+00:00,27.0,27.85,26.59,27.7,589595.0,4207.0,27.502772
SMCI,2020-07-15 04:00:00+00:00,28.11,28.37,27.37,27.86,286629.0,2749.0,27.782829
SMCI,2020-07-16 04:00:00+00:00,27.72,28.15,27.47,28.13,220196.0,2453.0,28.028951
SMCI,2020-07-17 04:00:00+00:00,28.12,28.92,28.02,28.4,258407.0,2396.0,28.49476
SMCI,2020-07-20 04:00:00+00:00,28.47,28.75,28.07,28.65,293380.0,3077.0,28.575504
SMCI,2020-07-21 04:00:00+00:00,28.75,28.81,27.85,28.09,391421.0,4440.0,28.203413
SMCI,2020-07-22 04:00:00+00:00,27.98,28.43,27.65,27.97,440257.0,4320.0,27.886704
SMCI,2020-07-23 04:00:00+00:00,28.02,28.3,27.34,27.62,269542.0,2568.0,27.753467
SMCI,2020-07-24 04:00:00+00:00,27.55,27.665,26.72,27.17,209163.0,2209.0,27.23424
SMCI,2020-07-27 04:00:00+00:00,27.31,28.48,27.31,28.46,213489.0,2215.0,28.188328
SMCI,2020-07-28 04:00:00+00:00,28.52,28.59,27.87,28.14,359464.0,3211.0,28.275493
SMCI,2020-07-29 04:00:00+00:00,28.32,29.6,28.23,29.58,301124.0,3028.0,29.212623
SMCI,2020-07-30 04:00:00+00:00,29.21,29.88,29.0,29.73,252649.0,2825.0,29.538912
SMCI,2020-07-31 04:00:00+00:00,29.92,30.31,29.5,30.305,392298.0,3522.0,29.923981
SMCI,2020-08-03 04:00:00+00:00,31.0,31.18,30.21,30.31,544003.0,5690.0,30.663711
SMCI,2020-08-04 04:00:00+00:00,30.34,30.74,30.11,30.33,325734.0,3094.0,30.329351
SMCI,2020-08-05 04:00:00+00:00,30.49,31.1,30.08,30.79,904027.0,2719.0,30.692183
SMCI,2020-08-06 04:00:00+00:00,30.64,30.7342,29.8,30.09,242033.0,2697.0,30.181451
SMCI,2020-08-07 04:00:00+00:00,30.05,30.5,29.6706,30.18,309650.0,2552.0,30.187666
SMCI,2020-08-10 04:00:00+00:00,30.4,30.62,30.025,30.21,300903.0,2866.0,30.304486
SMCI,2020-08-11 04:00:00+00:00,30.53,31.17,30.3,30.48,668721.0,5262.0,30.648167
SMCI,2020-08-12 04:00:00+00:00,27.84,28.4465,25.635,26.01,2340296.0,19024.0,26.455289
SMCI,2020-08-13 04:00:00+00:00,26.09,26.39,25.407,25.99,794713.0,8664.0,25.826139
SMCI,2020-08-14 04:00:00+00:00,25.74,26.225,25.59,26.1,666163.0,4975.0,25.997862
SMCI,2020-08-17 04:00:00+00:00,26.2,26.27,25.565,25.74,394409.0,3264.0,25.797863
SMCI,2020-08-18 04:00:00+00:00,25.65,25.89,25.26,25.86,412789.0,4548.0,25.70941
SMCI,2020-08-19 04:00:00+00:00,25.97,26.35,25.8249,25.91,390527.0,3725.0,26.067202
SMCI,2020-08-20 04:00:00+00:00,25.66,26.24,25.61,26.19,356952.0,3758.0,26.018619
SMCI,2020-08-21 04:00:00+00:00,26.1,26.54,25.99,26.54,262814.0,2649.0,26.315425
SMCI,2020-08-24 04:00:00+00:00,26.62,26.98,26.32,26.66,394659.0,3979.0,26.65398
SMCI,2020-08-25 04:00:00+00:00,26.62,26.93,26.24,26.65,514456.0,3999.0,26.624648
SMCI,2020-08-26 04:00:00+00:00,25.74,26.54,25.71,25.99,552869.0,5675.0,26.076445
SMCI,2020-08-27 04:00:00+00:00,26.07,26.3,25.86,26.15,377314.0,3768.0,26.121396
SMCI,2020-08-28 04:00:00+00:00,26.26,27.39,26.26,27.07,587483.0,5388.0,27.071681
SMCI,2020-08-31 04:00:00+00:00,26.98,27.89,26.8878,27.39,541413.0,4861.0,27.520392
SMCI,2020-09-01 04:00:00+00:00,27.36,27.5,26.7,27.07,410498.0,3364.0,27.124664
SMCI,2020-09-02 04:00:00+00:00,26.91,27.5,26.42,27.315,486893.0,4715.0,27.180586
SMCI,2020-09-03 04:00:00+00:00,27.33,27.33,25.73,25.84,474607.0,5080.0,26.158391
SMCI,2020-09-04 04:00:00+00:00,26.08,26.31,24.9155,25.54,297398.0,3426.0,25.566399
SMCI,2020-09-08 04:00:00+00:00,25.31,25.77,24.705,25.31,258497.0,3337.0,25.360841
SMCI,2020-09-09 04:00:00+00:00,25.23,26.44,25.15,26.17,331947.0,3983.0,25.951942
SMCI,2020-09-10 04:00:00+00:00,26.3,26.33,25.36,25.44,285295.0,3845.0,25.847827
SMCI,2020-09-11 04:00:00+00:00,25.7,25.84,25.3,25.66,240388.0,3088.0,25.608635
SMCI,2020-09-14 04:00:00+00:00,25.91,26.43,25.69,26.34,292780.0,3325.0,26.277233
SMCI,2020-09-15 04:00:00+00:00,26.5,26.84,26.09,26.25,277154.0,3435.0,26.400059
SMCI,2020-09-16 04:00:00+00:00,26.33,26.6,26.2,26.3,288922.0,3071.0,26.381499
