symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SNPS,2020-03-12 04:00:00+00:00,123.12,129.04,119.06,119.15,2743133.0,33330.0,122.083532
SNPS,2020-03-13 04:00:00+00:00,125.27,129.97,116.465,129.88,2269307.0,31973.0,124.79634
SNPS,2020-03-16 04:00:00+00:00,112.59,125.38,109.13,112.75,2182586.0,29212.0,116.331917
SNPS,2020-03-17 04:00:00+00:00,115.02,120.65,111.1,119.62,1981014.0,29728.0,117.672275
SNPS,2020-03-18 04:00:00+00:00,112.89,115.68,108.52,114.23,2046083.0,27532.0,112.550041
SNPS,2020-03-19 04:00:00+00:00,113.85,117.295,108.79,114.96,1635201.0,20326.0,114.486975
SNPS,2020-03-20 04:00:00+00:00,116.6,119.56,109.21,110.0,2232546.0,22961.0,112.664292
SNPS,2020-03-23 04:00:00+00:00,110.35,112.48,104.9,108.48,1676902.0,25739.0,108.46102
SNPS,2020-03-24 04:00:00+00:00,114.28,121.47,114.01,120.63,1924864.0,28136.0,119.109496
SNPS,2020-03-25 04:00:00+00:00,119.99,125.63,117.9092,121.32,1744959.0,19110.0,121.521177
SNPS,2020-03-26 04:00:00+00:00,122.24,128.34,121.56,127.97,1561093.0,18910.0,126.05044
SNPS,2020-03-27 04:00:00+00:00,123.93,128.35,120.17,124.38,1476909.0,19285.0,124.269165
SNPS,2020-03-30 04:00:00+00:00,125.7,130.46,124.425,129.31,1809943.0,19749.0,128.222248
SNPS,2020-03-31 04:00:00+00:00,128.23,131.0,126.725,128.79,3264984.0,26685.0,128.944775
SNPS,2020-04-01 04:00:00+00:00,122.88,127.81,122.5134,125.96,1708007.0,22153.0,125.892502
SNPS,2020-04-02 04:00:00+00:00,124.68,128.79,124.0,128.65,2051285.0,23310.0,127.407022
SNPS,2020-04-03 04:00:00+00:00,127.81,128.64,123.94,124.55,841453.0,10055.0,125.163921
SNPS,2020-04-06 04:00:00+00:00,130.36,136.56,129.11,135.91,1540002.0,17596.0,133.481159
SNPS,2020-04-07 04:00:00+00:00,138.195,140.77,135.34,135.51,1396893.0,16139.0,136.899493
SNPS,2020-04-08 04:00:00+00:00,138.6512,139.63,135.28,138.85,762957.0,11265.0,138.276713
SNPS,2020-04-09 04:00:00+00:00,139.68,141.03,136.1,136.58,1228529.0,16240.0,137.877701
SNPS,2020-04-13 04:00:00+00:00,133.85,140.52,133.268,140.13,1066164.0,15070.0,138.164575
SNPS,2020-04-14 04:00:00+00:00,142.2,147.83,142.0314,147.43,1250754.0,15536.0,146.336391
SNPS,2020-04-15 04:00:00+00:00,145.17,147.89,144.28,146.17,1080038.0,13452.0,146.361135
SNPS,2020-04-16 04:00:00+00:00,147.09,152.05,147.03,151.83,1421624.0,18294.0,150.815588
SNPS,2020-04-17 04:00:00+00:00,155.53,156.09,153.07,154.98,1602182.0,20497.0,154.669722
SNPS,2020-04-20 04:00:00+00:00,151.91,154.67,150.99,151.01,1128077.0,15811.0,152.459713
SNPS,2020-04-21 04:00:00+00:00,149.43,149.92,142.86,144.84,1255052.0,18750.0,145.422899
SNPS,2020-04-22 04:00:00+00:00,148.52,151.32,147.01,150.72,1034991.0,13961.0,150.037086
SNPS,2020-04-23 04:00:00+00:00,149.74,152.78,149.36,151.99,1051322.0,13170.0,151.734658
SNPS,2020-04-24 04:00:00+00:00,152.99,153.435,150.1489,153.03,1113045.0,11908.0,152.549128
SNPS,2020-04-27 04:00:00+00:00,155.6048,155.6048,153.53,154.14,634797.0,10674.0,154.289855
SNPS,2020-04-28 04:00:00+00:00,155.0,155.9,151.45,151.83,1139242.0,14735.0,153.149612
SNPS,2020-04-29 04:00:00+00:00,153.44,158.14,152.42,158.01,1494367.0,19221.0,157.278107
SNPS,2020-04-30 04:00:00+00:00,157.58,158.96,156.64,157.12,1891864.0,19048.0,157.324302
SNPS,2020-05-01 04:00:00+00:00,153.68,155.49,148.2,149.64,1338216.0,17752.0,150.199346
SNPS,2020-05-04 04:00:00+00:00,148.9,151.85,147.98,151.08,1056333.0,14733.0,150.840002
SNPS,2020-05-05 04:00:00+00:00,151.88,155.16,151.61,154.24,808279.0,12510.0,154.117671
SNPS,2020-05-06 04:00:00+00:00,155.01,157.97,154.59,156.83,742272.0,10533.0,156.781848
SNPS,2020-05-07 04:00:00+00:00,158.13,160.065,157.28,158.94,944618.0,13828.0,158.963153
SNPS,2020-05-08 04:00:00+00:00,160.42,161.99,158.685,160.17,812452.0,11918.0,160.309555
SNPS,2020-05-11 04:00:00+00:00,158.6285,163.3028,158.34,161.58,1021633.0,15644.0,161.586563
SNPS,2020-05-12 04:00:00+00:00,162.68,162.85,158.51,158.565,794621.0,11468.0,159.716857
SNPS,2020-05-13 04:00:00+00:00,158.01,160.89,153.98,156.2,902916.0,13654.0,156.126026
SNPS,2020-05-14 04:00:00+00:00,155.17,158.0,153.67,157.83,922251.0,14623.0,156.245249
SNPS,2020-05-15 04:00:00+00:00,151.59,159.58,151.52,158.73,1896835.0,19691.0,157.778436
SNPS,2020-05-18 04:00:00+00:00,159.95,161.9,158.6,159.87,921688.0,13472.0,160.359005
SNPS,2020-05-19 04:00:00+00:00,160.67,164.34,160.525,162.02,1145077.0,15802.0,162.811798
SNPS,2020-05-20 04:00:00+00:00,164.26,167.2,164.2,165.47,1347807.0,17748.0,165.771206
SNPS,2020-05-21 04:00:00+00:00,167.0,169.44,164.86,168.49,1696035.0,25127.0,167.827222
SNPS,2020-05-22 04:00:00+00:00,169.68,171.47,167.06,171.11,1129391.0,15728.0,170.339712
SNPS,2020-05-26 04:00:00+00:00,172.08,172.7,168.33,168.53,1273516.0,17775.0,169.819786
SNPS,2020-05-27 04:00:00+00:00,169.31,170.55,163.0,170.42,1315000.0,19524.0,167.819093
SNPS,2020-05-28 04:00:00+00:00,170.56,178.33,169.4366,174.05,1385548.0,18381.0,175.45074
SNPS,2020-05-29 04:00:00+00:00,175.8,181.97,175.23,180.91,2061700.0,17847.0,179.97795
SNPS,2020-06-01 04:00:00+00:00,180.91,184.08,180.1,182.6,1136919.0,16846.0,182.479893
SNPS,2020-06-02 04:00:00+00:00,183.06,183.73,179.83,183.02,1247887.0,14555.0,182.409352
SNPS,2020-06-03 04:00:00+00:00,184.0,184.54,181.88,184.21,959174.0,13275.0,183.812
SNPS,2020-06-04 04:00:00+00:00,183.31,184.485,180.2,182.45,783473.0,13006.0,182.37813
SNPS,2020-06-05 04:00:00+00:00,182.09,184.4141,179.01,182.97,1643053.0,21487.0,182.889486
SNPS,2020-06-08 04:00:00+00:00,180.71,187.59,179.81,186.82,1228372.0,16140.0,185.492071
SNPS,2020-06-09 04:00:00+00:00,186.91,192.38,186.18,189.62,1082250.0,15058.0,189.452473
SNPS,2020-06-10 04:00:00+00:00,191.05,192.0,187.31,189.42,1191754.0,17674.0,189.443093
SNPS,2020-06-11 04:00:00+00:00,189.1,189.1,179.281,179.52,1297995.0,18427.0,181.960623
SNPS,2020-06-12 04:00:00+00:00,183.35,185.65,176.52,179.6,1249475.0,19523.0,179.923296
SNPS,2020-06-15 04:00:00+00:00,177.24,184.38,176.15,184.05,929114.0,13841.0,182.640437
SNPS,2020-06-16 04:00:00+00:00,186.77,189.39,184.22,186.15,1105638.0,17174.0,186.932303
SNPS,2020-06-17 04:00:00+00:00,188.0,190.5,187.12,188.97,884724.0,12293.0,189.443968
SNPS,2020-06-18 04:00:00+00:00,188.73,190.95,188.13,189.88,752713.0,10572.0,189.833044
SNPS,2020-06-19 04:00:00+00:00,192.38,193.36,184.4,184.45,2461944.0,19073.0,186.776977
SNPS,2020-06-22 04:00:00+00:00,185.69,193.27,184.52,193.27,1144923.0,17717.0,191.737091
SNPS,2020-06-23 04:00:00+00:00,193.35,197.6559,192.27,192.87,1223376.0,15965.0,193.607816
SNPS,2020-06-24 04:00:00+00:00,192.3,193.87,187.35,189.2,1211644.0,19168.0,189.319108
