symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SWK,2020-03-12 04:00:00+00:00,109.45,116.0833,104.66,104.74,3006116.0,31081.0,108.808961
SWK,2020-03-13 04:00:00+00:00,110.67,111.51,99.62,109.09,2615191.0,29543.0,106.053143
SWK,2020-03-16 04:00:00+00:00,99.53,99.716,82.9,86.64,3419996.0,35848.0,89.250822
SWK,2020-03-17 04:00:00+00:00,88.02,91.22,78.61,90.91,3879790.0,38239.0,84.606323
SWK,2020-03-18 04:00:00+00:00,84.09,87.74,72.39,86.1,4978859.0,40693.0,80.305028
SWK,2020-03-19 04:00:00+00:00,76.96,85.72,70.0,83.77,2466673.0,21258.0,81.856277
SWK,2020-03-20 04:00:00+00:00,85.12,89.57,78.84,79.45,3438108.0,33962.0,84.147699
SWK,2020-03-23 04:00:00+00:00,78.56,79.46,70.0,72.03,3349261.0,33999.0,73.295081
SWK,2020-03-24 04:00:00+00:00,76.77,92.15,76.07,90.27,2658765.0,26606.0,86.312935
SWK,2020-03-25 04:00:00+00:00,90.705,105.43,90.705,98.26,4446822.0,45981.0,99.940388
SWK,2020-03-26 04:00:00+00:00,100.32,108.22,98.55,107.24,2365912.0,27861.0,105.111899
SWK,2020-03-27 04:00:00+00:00,101.83,103.15,95.03,96.66,1924989.0,23328.0,97.257174
SWK,2020-03-30 04:00:00+00:00,95.11,101.32,94.05,100.38,1438885.0,17098.0,98.734309
SWK,2020-03-31 04:00:00+00:00,99.12,102.57,98.19,100.0,2390488.0,22435.0,100.176932
SWK,2020-04-01 04:00:00+00:00,94.16,95.34,88.54,92.13,2317940.0,21579.0,91.473978
SWK,2020-04-02 04:00:00+00:00,92.59,95.85,92.59,95.69,2155793.0,20513.0,94.362992
SWK,2020-04-03 04:00:00+00:00,94.69,96.88,93.46,95.27,3030225.0,27387.0,94.726255
SWK,2020-04-06 04:00:00+00:00,102.24,107.8,99.63,106.69,2203943.0,23257.0,104.022703
SWK,2020-04-07 04:00:00+00:00,111.95,114.67,107.22,107.4,1947865.0,21498.0,110.37393
SWK,2020-04-08 04:00:00+00:00,109.13,115.74,107.62,114.38,1910344.0,20425.0,112.601584
SWK,2020-04-09 04:00:00+00:00,116.76,120.52,115.54,119.37,3503654.0,29619.0,119.217286
SWK,2020-04-13 04:00:00+00:00,119.99,120.4,110.6463,114.05,1537590.0,20106.0,113.614849
SWK,2020-04-14 04:00:00+00:00,116.7,118.175,114.71,115.53,1182692.0,13761.0,115.962817
SWK,2020-04-15 04:00:00+00:00,110.4,111.77,105.91,107.19,1948512.0,21688.0,107.680663
SWK,2020-04-16 04:00:00+00:00,107.28,107.28,104.23,106.71,2023946.0,20467.0,105.877124
SWK,2020-04-17 04:00:00+00:00,111.31,113.8,110.75,112.54,2268173.0,22959.0,112.601557
SWK,2020-04-20 04:00:00+00:00,108.89,112.46,106.62,110.48,2060957.0,16703.0,110.415591
SWK,2020-04-21 04:00:00+00:00,105.34,107.31,104.58,106.34,1561184.0,17236.0,106.275948
SWK,2020-04-22 04:00:00+00:00,109.01,109.545,105.06,107.37,1389681.0,13886.0,107.049673
SWK,2020-04-23 04:00:00+00:00,107.59,109.65,105.4,105.83,1640533.0,17843.0,106.696458
SWK,2020-04-24 04:00:00+00:00,106.75,109.0,104.26,107.74,2396948.0,22980.0,106.265494
SWK,2020-04-27 04:00:00+00:00,108.62,113.75,108.175,112.74,1553434.0,16419.0,112.011286
SWK,2020-04-28 04:00:00+00:00,114.4,119.82,114.4,117.82,1992418.0,23348.0,118.472729
SWK,2020-04-29 04:00:00+00:00,121.26,124.01,120.67,122.09,1975205.0,23256.0,122.489954
SWK,2020-04-30 04:00:00+00:00,112.31,116.13,108.005,110.2,5444424.0,37054.0,111.397486
SWK,2020-05-01 04:00:00+00:00,107.77,110.73,106.15,106.5,2741929.0,29072.0,108.045179
SWK,2020-05-04 04:00:00+00:00,104.85,106.49,101.5,103.93,2417851.0,23538.0,103.581404
SWK,2020-05-05 04:00:00+00:00,105.53,108.64,104.8272,107.12,2310409.0,23008.0,107.221684
SWK,2020-05-06 04:00:00+00:00,107.23,107.95,104.86,106.11,1783982.0,14879.0,106.052865
SWK,2020-05-07 04:00:00+00:00,107.33,110.48,107.33,109.98,2835513.0,26099.0,109.518739
SWK,2020-05-08 04:00:00+00:00,112.0,117.5,111.83,117.33,3138661.0,33141.0,115.373789
SWK,2020-05-11 04:00:00+00:00,115.71,116.5,112.03,113.58,1587452.0,18841.0,113.799434
SWK,2020-05-12 04:00:00+00:00,110.59,113.24,108.72,108.72,2680071.0,22336.0,110.990546
SWK,2020-05-13 04:00:00+00:00,107.97,108.0,101.175,102.39,2071263.0,25652.0,103.381842
SWK,2020-05-14 04:00:00+00:00,100.06,104.75,97.6375,104.45,2598225.0,29228.0,102.792758
SWK,2020-05-15 04:00:00+00:00,103.22,109.77,102.8,107.84,2163467.0,19181.0,107.666848
SWK,2020-05-18 04:00:00+00:00,112.94,121.3599,112.94,120.66,1968984.0,27339.0,119.485003
SWK,2020-05-19 04:00:00+00:00,125.0,125.08,119.545,121.89,2266936.0,26609.0,123.040148
SWK,2020-05-20 04:00:00+00:00,123.68,127.99,123.68,127.13,2128882.0,24472.0,126.949222
SWK,2020-05-21 04:00:00+00:00,126.62,128.035,122.99,123.52,1333180.0,17681.0,124.561719
SWK,2020-05-22 04:00:00+00:00,123.99,124.36,120.87,121.49,1613707.0,19708.0,121.712383
SWK,2020-05-26 04:00:00+00:00,127.41,129.45,125.97,128.1,1907825.0,24862.0,127.999314
SWK,2020-05-27 04:00:00+00:00,133.68,136.81,131.36,132.84,2813565.0,31522.0,133.174073
SWK,2020-05-28 04:00:00+00:00,133.78,134.02,126.2,126.49,1389516.0,17973.0,128.61711
SWK,2020-05-29 04:00:00+00:00,125.24,127.385,121.8,125.45,2052606.0,23375.0,124.5899
SWK,2020-06-01 04:00:00+00:00,125.0,126.775,123.57,125.09,1293188.0,14513.0,125.286922
SWK,2020-06-02 04:00:00+00:00,126.7,131.12,126.06,131.12,1398403.0,18517.0,130.036412
SWK,2020-06-03 04:00:00+00:00,133.83,141.75,133.83,137.95,1840853.0,27178.0,138.54988
SWK,2020-06-04 04:00:00+00:00,136.91,142.64,136.22,142.5,1454904.0,21769.0,140.998522
SWK,2020-06-05 04:00:00+00:00,150.81,154.42,145.77,146.64,2393861.0,29530.0,147.901506
SWK,2020-06-08 04:00:00+00:00,147.54,151.8,147.1,148.23,2099442.0,27208.0,149.662855
SWK,2020-06-09 04:00:00+00:00,145.26,145.985,141.02,141.23,2470348.0,27522.0,142.899146
SWK,2020-06-10 04:00:00+00:00,140.87,140.91,136.43,136.48,1699367.0,22666.0,138.161236
SWK,2020-06-11 04:00:00+00:00,129.54,133.86,127.55,128.45,1930066.0,28446.0,130.152575
SWK,2020-06-12 04:00:00+00:00,134.73,136.135,126.16,131.09,3401503.0,25241.0,130.806325
SWK,2020-06-15 04:00:00+00:00,125.33,135.855,124.74,135.38,2182458.0,23527.0,133.45034
SWK,2020-06-16 04:00:00+00:00,142.38,143.97,135.43,138.32,1760319.0,21629.0,139.075376
SWK,2020-06-17 04:00:00+00:00,138.72,139.29,134.765,135.31,1207721.0,16522.0,135.99932
SWK,2020-06-18 04:00:00+00:00,134.09,138.31,133.01,136.76,1640790.0,15842.0,136.762582
SWK,2020-06-19 04:00:00+00:00,140.0,140.365,133.92,133.92,3141657.0,20299.0,135.139708
SWK,2020-06-22 04:00:00+00:00,133.02,135.805,131.83,135.41,1188280.0,15613.0,135.129033
SWK,2020-06-23 04:00:00+00:00,137.22,137.75,135.55,135.68,1068736.0,13336.0,136.181574
SWK,2020-06-24 04:00:00+00:00,133.81,134.36,129.88,131.09,1290498.0,18527.0,131.676239
SWK,2020-06-25 04:00:00+00:00,129.99,136.01,129.56,135.59,1725873.0,22372.0,133.653424
SWK,2020-06-26 04:00:00+00:00,134.85,136.71,133.26,136.27,2306871.0,20309.0,135.658447
SWK,2020-06-29 04:00:00+00:00,137.93,138.4,135.12,136.12,1292428.0,16236.0,136.409808
SWK,2020-06-30 04:00:00+00:00,135.44,140.24,135.26,139.38,1670773.0,17169.0,139.071711
SWK,2020-07-01 04:00:00+00:00,139.42,140.695,134.94,135.61,1360507.0,18951.0,136.514965
SWK,2020-07-02 04:00:00+00:00,138.0,141.95,136.82,138.14,1056674.0,14629.0,139.190478
SWK,2020-07-06 04:00:00+00:00,141.49,142.19,139.47,141.09,984086.0,12488.0,140.81277
SWK,2020-07-07 04:00:00+00:00,139.31,140.01,137.97,138.89,885444.0,11929.0,138.972125
SWK,2020-07-08 04:00:00+00:00,139.43,139.81,137.11,139.28,841284.0,11589.0,138.918577
SWK,2020-07-09 04:00:00+00:00,138.97,139.69,135.16,137.04,937709.0,12567.0,137.30255
SWK,2020-07-10 04:00:00+00:00,137.68,140.08,137.11,139.92,699157.0,12384.0,139.339579
SWK,2020-07-13 04:00:00+00:00,141.41,145.74,140.47,142.04,1273484.0,19529.0,142.996441
SWK,2020-07-14 04:00:00+00:00,141.3,146.96,139.8929,146.43,1236662.0,16391.0,145.375291
SWK,2020-07-15 04:00:00+00:00,150.11,152.915,148.67,151.51,1504353.0,20078.0,150.910391
SWK,2020-07-16 04:00:00+00:00,151.07,153.48,149.13,152.82,982467.0,15208.0,152.316411
SWK,2020-07-17 04:00:00+00:00,153.96,154.33,152.54,153.36,670018.0,9060.0,153.569727
SWK,2020-07-20 04:00:00+00:00,152.29,153.0,150.5,152.21,829011.0,13282.0,151.849221
SWK,2020-07-21 04:00:00+00:00,153.73,154.77,152.12,153.79,916106.0,13173.0,153.872831
SWK,2020-07-22 04:00:00+00:00,153.7,155.18,151.85,152.31,1161446.0,17143.0,152.867646
SWK,2020-07-23 04:00:00+00:00,152.93,154.25,151.24,152.36,1167521.0,16990.0,152.558745
SWK,2020-07-24 04:00:00+00:00,152.67,153.42,150.59,152.91,1500271.0,14291.0,152.266125
SWK,2020-07-27 04:00:00+00:00,152.77,158.34,151.58,157.61,1211786.0,15676.0,156.270869
SWK,2020-07-28 04:00:00+00:00,156.37,156.655,152.31,152.71,1570851.0,18605.0,153.83675
SWK,2020-07-29 04:00:00+00:00,153.27,156.24,153.27,156.08,1898657.0,19975.0,155.625116
SWK,2020-07-30 04:00:00+00:00,154.09,157.14,150.51,154.46,1223834.0,17867.0,153.887546
SWK,2020-07-31 04:00:00+00:00,154.0,154.45,148.88,153.32,2206514.0,16397.0,152.753373
SWK,2020-08-03 04:00:00+00:00,154.27,155.83,153.0,154.4,973227.0,15149.0,154.665698
SWK,2020-08-04 04:00:00+00:00,153.84,155.96,153.58,154.65,1055632.0,12473.0,154.731161
SWK,2020-08-05 04:00:00+00:00,155.65,157.9,155.41,157.3,998087.0,14346.0,157.096057
SWK,2020-08-06 04:00:00+00:00,156.58,157.46,154.75,155.04,769920.0,12557.0,155.307851
SWK,2020-08-07 04:00:00+00:00,155.18,157.35,154.33,157.26,830158.0,13884.0,155.98893
SWK,2020-08-10 04:00:00+00:00,157.37,160.74,157.02,159.97,2134734.0,17867.0,159.946892
SWK,2020-08-11 04:00:00+00:00,161.58,164.24,160.64,161.41,1750303.0,23285.0,161.832293
SWK,2020-08-12 04:00:00+00:00,162.69,162.98,159.28,160.34,906729.0,13489.0,160.778593
SWK,2020-08-13 04:00:00+00:00,159.05,160.22,158.32,158.4,1008307.0,14235.0,159.07141
SWK,2020-08-14 04:00:00+00:00,157.94,159.985,157.025,158.78,768148.0,12038.0,158.875127
SWK,2020-08-17 04:00:00+00:00,159.0,160.18,158.42,159.77,815940.0,10584.0,159.774946
