symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TAP,2020-03-12 04:00:00+00:00,38.55,39.24,36.32,38.4,4343563.0,37730.0,38.092271
TAP,2020-03-13 04:00:00+00:00,40.65,42.58,37.85,42.56,4991507.0,37588.0,40.771279
TAP,2020-03-16 04:00:00+00:00,37.5,44.22,37.44,41.85,4331426.0,39095.0,41.178542
TAP,2020-03-17 04:00:00+00:00,42.37,44.38,41.13,43.99,4892351.0,45775.0,43.194277
TAP,2020-03-18 04:00:00+00:00,41.56,45.39,38.51,40.45,4370014.0,39801.0,41.345534
TAP,2020-03-19 04:00:00+00:00,39.99,42.08,37.34,38.51,2967202.0,26185.0,39.199343
TAP,2020-03-20 04:00:00+00:00,38.73,41.2,36.57,36.94,4632307.0,36729.0,38.197421
TAP,2020-03-23 04:00:00+00:00,36.65,37.27,34.01,34.56,3171030.0,31645.0,35.335857
TAP,2020-03-24 04:00:00+00:00,36.33,39.05,36.0,37.47,3301579.0,29405.0,37.570778
TAP,2020-03-25 04:00:00+00:00,37.13,39.285,36.95,37.54,3529494.0,24748.0,37.870709
TAP,2020-03-26 04:00:00+00:00,37.81,38.9,37.35,38.62,3061673.0,25151.0,38.292088
TAP,2020-03-27 04:00:00+00:00,37.23,38.84,35.41,38.06,3264853.0,30782.0,37.362825
TAP,2020-03-30 04:00:00+00:00,38.16,40.73,37.07,40.3,2484913.0,21139.0,39.690305
TAP,2020-03-31 04:00:00+00:00,39.9,40.7,38.65,39.01,2709827.0,18365.0,39.128045
TAP,2020-04-01 04:00:00+00:00,37.03,38.37,36.72,37.85,1768055.0,16728.0,37.777299
TAP,2020-04-02 04:00:00+00:00,37.47,40.22,37.05,40.0,2843685.0,25059.0,39.533384
TAP,2020-04-03 04:00:00+00:00,39.8,41.54,39.78,41.01,2107427.0,17356.0,40.808638
TAP,2020-04-06 04:00:00+00:00,42.49,43.225,41.14,42.9,2151612.0,19114.0,42.519415
TAP,2020-04-07 04:00:00+00:00,44.67,45.23,43.45,43.53,2351831.0,18553.0,44.264301
TAP,2020-04-08 04:00:00+00:00,43.74,46.06,43.56,45.62,1851397.0,15941.0,45.134665
TAP,2020-04-09 04:00:00+00:00,45.87,48.24,45.71,47.4,2268196.0,22918.0,47.183806
TAP,2020-04-13 04:00:00+00:00,47.24,47.5,44.07,45.02,1883656.0,18719.0,44.852389
TAP,2020-04-14 04:00:00+00:00,45.66,47.28,45.43,46.57,1969440.0,18951.0,46.604389
TAP,2020-04-15 04:00:00+00:00,45.51,45.762,43.45,44.6,1829407.0,15674.0,44.458518
TAP,2020-04-16 04:00:00+00:00,44.82,44.82,42.41,43.17,2896161.0,23447.0,43.261818
TAP,2020-04-17 04:00:00+00:00,44.14,44.76,43.51,44.38,2558959.0,21792.0,44.183786
TAP,2020-04-20 04:00:00+00:00,43.5,44.59,43.22,43.49,1816217.0,13087.0,43.731682
TAP,2020-04-21 04:00:00+00:00,42.51,42.78,41.725,42.1,1961025.0,18244.0,42.167021
TAP,2020-04-22 04:00:00+00:00,42.9,42.9,41.85,42.1,1578636.0,14417.0,42.307846
TAP,2020-04-23 04:00:00+00:00,42.21,43.26,41.8,41.87,1659901.0,14855.0,42.176648
TAP,2020-04-24 04:00:00+00:00,42.07,43.22,41.88,43.03,1558231.0,12915.0,42.702273
TAP,2020-04-27 04:00:00+00:00,43.21,44.84,42.97,44.59,1760164.0,14917.0,44.189497
TAP,2020-04-28 04:00:00+00:00,46.13,46.27,44.9405,45.44,2813262.0,24342.0,45.603278
TAP,2020-04-29 04:00:00+00:00,46.24,47.235,45.92,46.17,3218386.0,26956.0,46.399511
TAP,2020-04-30 04:00:00+00:00,42.49,42.8167,40.55,41.01,5773780.0,50017.0,41.21777
TAP,2020-05-01 04:00:00+00:00,40.31,40.47,38.83,38.92,2793590.0,25548.0,39.417878
