symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TECH,2020-03-12 04:00:00+00:00,171.84,175.87,164.93,166.48,490492.0,8563.0,168.948309
TECH,2020-03-13 04:00:00+00:00,167.83,179.62,163.12,179.62,581541.0,9900.0,170.025992
TECH,2020-03-16 04:00:00+00:00,166.53,176.035,160.08,161.17,370875.0,7222.0,167.67912
TECH,2020-03-17 04:00:00+00:00,164.41,174.81,161.83,169.5,386884.0,7701.0,169.226907
TECH,2020-03-18 04:00:00+00:00,161.35,171.88,157.63,164.72,303127.0,6183.0,163.744128
TECH,2020-03-19 04:00:00+00:00,164.23,171.6005,158.13,166.42,246228.0,5000.0,166.779209
TECH,2020-03-20 04:00:00+00:00,164.55,178.39,164.0,167.26,375823.0,5420.0,167.51912
TECH,2020-03-23 04:00:00+00:00,167.66,173.09,155.17,170.34,376235.0,8585.0,167.535907
TECH,2020-03-24 04:00:00+00:00,175.65,183.726,163.8,169.88,314663.0,6428.0,170.721434
TECH,2020-03-25 04:00:00+00:00,169.3,174.9076,164.32,172.49,235127.0,5462.0,171.49429
TECH,2020-03-26 04:00:00+00:00,173.41,186.78,172.17,186.32,285606.0,4415.0,183.500552
TECH,2020-03-27 04:00:00+00:00,182.27,189.34,175.59,184.39,202025.0,5126.0,183.49315
TECH,2020-03-30 04:00:00+00:00,186.12,191.91,182.72,190.79,213099.0,5182.0,189.053313
TECH,2020-03-31 04:00:00+00:00,190.15,194.83,186.65,189.62,317713.0,6236.0,190.674261
TECH,2020-04-01 04:00:00+00:00,185.77,188.29,180.51,185.43,207266.0,5241.0,184.805079
TECH,2020-04-02 04:00:00+00:00,185.13,191.6,180.16,190.82,160175.0,4635.0,188.806876
TECH,2020-04-03 04:00:00+00:00,189.55,190.5,182.47,186.39,231877.0,3581.0,186.022185
TECH,2020-04-06 04:00:00+00:00,191.86,196.07,189.38,194.55,160836.0,3898.0,193.30567
TECH,2020-04-07 04:00:00+00:00,198.39,199.52,191.95,193.61,197679.0,4306.0,194.527231
