symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TMUS,2020-03-12 04:00:00+00:00,82.02,85.0,76.41,76.76,9783100.0,99583.0,79.393407
TMUS,2020-03-13 04:00:00+00:00,80.15,85.52,76.61,85.39,8367381.0,80701.0,81.311624
TMUS,2020-03-16 04:00:00+00:00,78.34,80.55,74.84,76.53,7388524.0,73078.0,77.874582
TMUS,2020-03-17 04:00:00+00:00,77.6,80.4,75.45,78.35,8203929.0,85148.0,78.307028
TMUS,2020-03-18 04:00:00+00:00,74.6,76.1,63.5,74.32,11585612.0,106572.0,70.766785
TMUS,2020-03-19 04:00:00+00:00,74.77,81.99,73.61,79.45,9488105.0,82890.0,78.562135
TMUS,2020-03-20 04:00:00+00:00,80.0,82.0,73.16,74.55,8315090.0,59902.0,77.366266
TMUS,2020-03-23 04:00:00+00:00,74.98,76.66,70.83,75.7,8851675.0,76318.0,74.779967
TMUS,2020-03-24 04:00:00+00:00,78.5,79.71,75.83,78.65,6526678.0,56722.0,77.802898
TMUS,2020-03-25 04:00:00+00:00,77.77,85.4699,77.75,79.17,6761035.0,69380.0,81.12727
TMUS,2020-03-26 04:00:00+00:00,80.0,84.99,79.73,84.63,5308510.0,48269.0,83.377331
TMUS,2020-03-27 04:00:00+00:00,82.54,83.9,81.02,81.79,4772513.0,46236.0,82.116677
TMUS,2020-03-30 04:00:00+00:00,82.29,83.86,81.24,83.12,6579588.0,57667.0,82.846374
TMUS,2020-03-31 04:00:00+00:00,83.04,84.75,81.98,83.9,8739886.0,60523.0,83.732728
TMUS,2020-04-01 04:00:00+00:00,82.99,86.71,82.7,85.13,12414966.0,98246.0,84.932567
TMUS,2020-04-02 04:00:00+00:00,85.05,88.52,84.02,84.41,28367276.0,123688.0,85.260656
TMUS,2020-04-03 04:00:00+00:00,84.56,84.99,81.0406,81.98,10094797.0,67433.0,82.392735
TMUS,2020-04-06 04:00:00+00:00,84.49,86.49,82.99,86.09,6129430.0,54873.0,85.303556
TMUS,2020-04-07 04:00:00+00:00,87.66,87.91,85.17,86.51,5075536.0,42005.0,86.700376
TMUS,2020-04-08 04:00:00+00:00,86.6,87.64,86.0,86.85,4448212.0,35727.0,86.832837
TMUS,2020-04-09 04:00:00+00:00,86.88,87.75,84.93,85.9,6427120.0,55008.0,85.873029
TMUS,2020-04-13 04:00:00+00:00,84.59,87.28,84.47,86.17,4772091.0,37512.0,86.13588
TMUS,2020-04-14 04:00:00+00:00,87.19,89.94,86.4,89.62,5663873.0,39758.0,88.894492
TMUS,2020-04-15 04:00:00+00:00,87.92,89.39,87.1,88.54,6681224.0,36276.0,88.420817
TMUS,2020-04-16 04:00:00+00:00,89.11,90.58,88.07,90.27,5817987.0,39731.0,89.689967
TMUS,2020-04-17 04:00:00+00:00,92.75,93.3,89.86,90.99,4401522.0,38910.0,91.086945
TMUS,2020-04-20 04:00:00+00:00,89.58,91.73,89.05,89.94,3750838.0,23379.0,90.457208
TMUS,2020-04-21 04:00:00+00:00,89.25,89.89,86.1,87.22,4426896.0,35602.0,87.362593
TMUS,2020-04-22 04:00:00+00:00,89.88,90.65,88.28,90.16,5288226.0,29267.0,89.99726
TMUS,2020-04-23 04:00:00+00:00,90.68,91.88,89.29,90.34,5458157.0,36795.0,90.693989
TMUS,2020-04-24 04:00:00+00:00,90.39,91.0,89.01,90.8,4116337.0,29364.0,90.254938
TMUS,2020-04-27 04:00:00+00:00,91.32,91.38,89.02,90.91,4140576.0,31725.0,90.299837
TMUS,2020-04-28 04:00:00+00:00,91.24,91.41,87.8928,87.94,3851468.0,29778.0,88.777159
TMUS,2020-04-29 04:00:00+00:00,89.04,90.03,87.97,89.31,3543265.0,29583.0,89.182953
TMUS,2020-04-30 04:00:00+00:00,88.9,89.02,87.3,87.8,5272846.0,30964.0,87.983871
TMUS,2020-05-01 04:00:00+00:00,87.74,88.11,85.81,86.2,3611891.0,32162.0,86.396372
TMUS,2020-05-04 04:00:00+00:00,86.77,88.97,86.06,88.96,4758925.0,36129.0,87.965905
TMUS,2020-05-05 04:00:00+00:00,88.78,89.77,88.44,88.97,3354831.0,33448.0,89.16378
TMUS,2020-05-06 04:00:00+00:00,89.22,89.73,86.41,86.59,4420805.0,34838.0,87.379528
TMUS,2020-05-07 04:00:00+00:00,90.35,95.4,90.2324,95.29,10921237.0,93223.0,93.538333
TMUS,2020-05-08 04:00:00+00:00,96.64,98.77,95.03,98.52,5362571.0,50943.0,97.423022
TMUS,2020-05-11 04:00:00+00:00,96.48,97.46,95.98,96.72,4517619.0,40945.0,96.734223
TMUS,2020-05-12 04:00:00+00:00,96.18,96.665,94.55,94.61,4240409.0,32552.0,95.464669
TMUS,2020-05-13 04:00:00+00:00,94.39,94.53,91.5,92.78,3573813.0,34822.0,92.895843
TMUS,2020-05-14 04:00:00+00:00,92.54,95.07,92.16,94.91,4283817.0,43454.0,93.880359
TMUS,2020-05-15 04:00:00+00:00,95.02,97.67,93.73,97.32,8578583.0,49058.0,96.62924
TMUS,2020-05-18 04:00:00+00:00,98.16,102.73,98.07,101.895,6787118.0,62550.0,101.102737
TMUS,2020-05-19 04:00:00+00:00,98.41,99.76,96.15,98.6,26690291.0,102477.0,98.533649
TMUS,2020-05-20 04:00:00+00:00,99.14,99.8,97.8,98.14,6327422.0,45442.0,98.659886
TMUS,2020-05-21 04:00:00+00:00,98.75,98.75,93.0,94.39,5929204.0,54218.0,95.867651
TMUS,2020-05-22 04:00:00+00:00,94.54,96.72,94.35,95.8,5139038.0,39729.0,95.740054
TMUS,2020-05-26 04:00:00+00:00,96.92,97.24,94.46,95.57,6118633.0,41283.0,95.804727
TMUS,2020-05-27 04:00:00+00:00,95.66,98.17,95.06,97.2,5440338.0,39759.0,96.700075
TMUS,2020-05-28 04:00:00+00:00,97.52,99.83,97.15,99.22,6074033.0,44253.0,98.954446
TMUS,2020-05-29 04:00:00+00:00,99.27,100.4,97.32,100.04,13331129.0,57689.0,99.5993
TMUS,2020-06-01 04:00:00+00:00,99.96,101.0,99.315,99.7,3484204.0,32579.0,99.882322
TMUS,2020-06-02 04:00:00+00:00,98.66,100.5,98.51,100.41,5413352.0,31020.0,99.880742
TMUS,2020-06-03 04:00:00+00:00,100.91,102.35,100.44,101.21,4768782.0,27095.0,101.357835
TMUS,2020-06-04 04:00:00+00:00,101.54,101.6914,99.79,100.17,2841306.0,27786.0,100.455589
TMUS,2020-06-05 04:00:00+00:00,101.3,102.965,100.5,101.13,4549685.0,37594.0,101.550174
TMUS,2020-06-08 04:00:00+00:00,100.74,105.11,100.44,104.46,5430738.0,43056.0,103.38664
TMUS,2020-06-09 04:00:00+00:00,102.18,103.54,101.77,103.19,5364737.0,39811.0,102.638635
TMUS,2020-06-10 04:00:00+00:00,102.81,106.72,102.81,105.79,7129571.0,49569.0,105.40231
TMUS,2020-06-11 04:00:00+00:00,104.51,105.31,100.74,100.83,8450080.0,62125.0,102.616411
TMUS,2020-06-12 04:00:00+00:00,104.25,105.05,100.26,102.31,5854297.0,55973.0,102.450966
TMUS,2020-06-15 04:00:00+00:00,101.32,105.19,100.727,104.68,4248330.0,39995.0,103.757583
TMUS,2020-06-16 04:00:00+00:00,104.0,104.0,100.11,102.89,6130091.0,61274.0,102.541367
TMUS,2020-06-17 04:00:00+00:00,103.0,104.8,102.34,102.63,4104129.0,35131.0,103.263349
TMUS,2020-06-18 04:00:00+00:00,103.82,106.84,103.25,106.39,5166596.0,42396.0,105.929773
TMUS,2020-06-19 04:00:00+00:00,107.34,109.0,106.39,106.9,12449986.0,55334.0,107.304034
TMUS,2020-06-22 04:00:00+00:00,106.86,108.7,106.03,106.6,5491558.0,45437.0,107.250041
TMUS,2020-06-23 04:00:00+00:00,103.7,110.46,103.5,107.16,23749534.0,147315.0,106.990358
TMUS,2020-06-24 04:00:00+00:00,105.46,109.14,104.57,108.43,75492874.0,428649.0,107.186465
TMUS,2020-06-25 04:00:00+00:00,109.78,111.58,108.51,110.19,72011014.0,252255.0,110.317988
TMUS,2020-06-26 04:00:00+00:00,109.15,109.85,104.73,105.2,32855536.0,138943.0,105.711028
TMUS,2020-06-29 04:00:00+00:00,105.79,106.26,103.95,105.96,9983508.0,84185.0,105.384918
TMUS,2020-06-30 04:00:00+00:00,105.9,106.2,104.0,104.15,12917089.0,88073.0,104.572716
TMUS,2020-07-01 04:00:00+00:00,105.68,106.25,103.85,106.13,10327856.0,94116.0,105.279277
