symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TRMB,2020-03-12 04:00:00+00:00,30.72,32.25,26.55,27.05,2452827.0,20900.0,28.723756
TRMB,2020-03-13 04:00:00+00:00,29.32,30.45,27.37,28.35,4479302.0,31896.0,28.661946
TRMB,2020-03-16 04:00:00+00:00,24.37,26.85,23.15,24.22,2337183.0,20221.0,24.784268
TRMB,2020-03-17 04:00:00+00:00,24.59,24.81,20.79,22.09,4456942.0,31904.0,21.915083
TRMB,2020-03-18 04:00:00+00:00,20.65,22.69,20.01,21.32,2882397.0,23125.0,21.360882
TRMB,2020-03-19 04:00:00+00:00,21.07,25.62,20.95,25.33,6967287.0,41370.0,22.827438
TRMB,2020-03-20 04:00:00+00:00,25.68,28.41,25.03,26.0,6489237.0,43304.0,26.606503
TRMB,2020-03-23 04:00:00+00:00,25.28,27.91,23.79,26.54,4853984.0,34186.0,26.306674
TRMB,2020-03-24 04:00:00+00:00,27.73,29.01,26.72,28.52,1763051.0,18393.0,28.162327
TRMB,2020-03-25 04:00:00+00:00,29.28,29.73,27.29,28.79,2099856.0,16735.0,28.665756
TRMB,2020-03-26 04:00:00+00:00,28.86,30.7,28.43,30.64,1891621.0,16116.0,29.988917
TRMB,2020-03-27 04:00:00+00:00,29.76,30.34,29.03,29.85,2486516.0,12741.0,29.803518
TRMB,2020-03-30 04:00:00+00:00,30.05,31.18,29.36,31.03,1495966.0,14415.0,30.458472
TRMB,2020-03-31 04:00:00+00:00,31.29,32.74,30.72,31.83,2211965.0,17349.0,31.810542
TRMB,2020-04-01 04:00:00+00:00,30.63,31.24,28.815,29.1,4199995.0,17632.0,29.638428
TRMB,2020-04-02 04:00:00+00:00,28.79,30.26,28.64,29.89,2149597.0,15337.0,29.600109
TRMB,2020-04-03 04:00:00+00:00,29.6,30.065,27.79,28.46,1949497.0,14125.0,28.614294
TRMB,2020-04-06 04:00:00+00:00,29.9,31.55,29.79,31.14,2016698.0,16907.0,30.989128
TRMB,2020-04-07 04:00:00+00:00,32.69,33.48,31.88,32.01,1354618.0,11595.0,32.462663
TRMB,2020-04-08 04:00:00+00:00,32.49,33.68,31.84,33.24,998596.0,9174.0,33.052985
TRMB,2020-04-09 04:00:00+00:00,34.01,34.7137,33.5,34.46,1350143.0,12376.0,34.347991
TRMB,2020-04-13 04:00:00+00:00,34.2,34.2,32.01,32.19,865216.0,10577.0,32.482527
TRMB,2020-04-14 04:00:00+00:00,32.03,33.07,32.03,32.57,2031088.0,20701.0,32.552914
TRMB,2020-04-15 04:00:00+00:00,31.65,32.34,30.87,32.19,1072453.0,10971.0,31.902315
TRMB,2020-04-16 04:00:00+00:00,32.37,32.65,31.145,31.34,2589027.0,15652.0,31.458872
TRMB,2020-04-17 04:00:00+00:00,32.23,32.78,31.48,32.46,1609564.0,12958.0,32.305027
TRMB,2020-04-20 04:00:00+00:00,32.08,33.14,30.93,32.32,1311062.0,9309.0,32.455576
TRMB,2020-04-21 04:00:00+00:00,31.77,32.06,31.39,31.68,839619.0,9674.0,31.720855
TRMB,2020-04-22 04:00:00+00:00,32.34,32.49,31.745,32.18,680743.0,6578.0,32.1358
TRMB,2020-04-23 04:00:00+00:00,32.55,33.37,32.44,32.91,1083614.0,6683.0,32.918933
TRMB,2020-04-24 04:00:00+00:00,33.2,33.35,32.01,32.63,950930.0,8873.0,32.503388
TRMB,2020-04-27 04:00:00+00:00,32.97,34.54,32.79,34.35,865431.0,8062.0,34.145121
TRMB,2020-04-28 04:00:00+00:00,35.4,35.73,34.23,34.23,948519.0,7909.0,34.657236
TRMB,2020-04-29 04:00:00+00:00,34.83,36.05,34.79,35.71,1060520.0,9726.0,35.676738
TRMB,2020-04-30 04:00:00+00:00,35.14,35.47,34.45,34.63,1538390.0,11539.0,34.753033
TRMB,2020-05-01 04:00:00+00:00,33.93,33.97,32.64,32.86,982087.0,8428.0,32.943542
TRMB,2020-05-04 04:00:00+00:00,32.49,32.96,31.65,32.11,2138801.0,17517.0,32.166718
TRMB,2020-05-05 04:00:00+00:00,32.64,33.42,32.26,32.83,1580657.0,12691.0,33.034343
TRMB,2020-05-06 04:00:00+00:00,33.51,33.53,31.67,31.86,1438660.0,14664.0,32.128095
TRMB,2020-05-07 04:00:00+00:00,33.45,36.98,32.49,36.45,1858083.0,17807.0,36.032753
TRMB,2020-05-08 04:00:00+00:00,37.39,37.63,36.08,37.0,1121127.0,12689.0,36.839844
