symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TYL,2020-03-12 04:00:00+00:00,272.07,282.33,264.45,274.71,547091.0,10522.0,272.561458
TYL,2020-03-13 04:00:00+00:00,286.25,288.86,270.69,287.13,510231.0,8342.0,279.1918
TYL,2020-03-16 04:00:00+00:00,256.75,279.985,254.51,264.83,417062.0,7425.0,271.265449
TYL,2020-03-17 04:00:00+00:00,269.98,287.33,265.92,286.32,346994.0,7339.0,280.29158
TYL,2020-03-18 04:00:00+00:00,264.56,279.27,247.22,265.86,470555.0,9364.0,259.812093
TYL,2020-03-19 04:00:00+00:00,266.37,272.82,257.75,264.15,245379.0,6061.0,266.099039
TYL,2020-03-20 04:00:00+00:00,265.27,272.38,257.83,260.76,480724.0,7777.0,263.425428
TYL,2020-03-23 04:00:00+00:00,261.44,272.28,257.8012,265.66,429028.0,7476.0,265.485074
TYL,2020-03-24 04:00:00+00:00,274.6,279.96,268.66,270.98,318066.0,6642.0,272.630494
TYL,2020-03-25 04:00:00+00:00,271.92,274.56,258.01,262.14,504502.0,9036.0,264.202412
TYL,2020-03-26 04:00:00+00:00,263.6,289.08,263.6,289.08,334575.0,8068.0,283.109021
TYL,2020-03-27 04:00:00+00:00,283.38,288.29,277.65,282.83,231388.0,6413.0,283.901173
TYL,2020-03-30 04:00:00+00:00,286.66,301.26,285.66,300.81,353650.0,7612.0,297.911342
TYL,2020-03-31 04:00:00+00:00,296.37,308.31,294.77,296.56,690412.0,9079.0,298.076495
TYL,2020-04-01 04:00:00+00:00,292.11,299.23,286.92,291.58,305599.0,6446.0,291.894566
TYL,2020-04-02 04:00:00+00:00,288.69,290.99,276.95,280.34,394019.0,7622.0,281.758948
TYL,2020-04-03 04:00:00+00:00,277.43,285.39,275.38,284.82,286148.0,6107.0,282.972866
TYL,2020-04-06 04:00:00+00:00,287.6,300.175,285.26,299.85,353730.0,7525.0,295.188784
TYL,2020-04-07 04:00:00+00:00,304.88,309.88,291.16,294.03,423678.0,6853.0,296.750079
TYL,2020-04-08 04:00:00+00:00,297.65,309.84,292.8898,308.93,304802.0,7263.0,305.474342
TYL,2020-04-09 04:00:00+00:00,310.56,316.06,307.21,311.99,313300.0,8808.0,311.085033
TYL,2020-04-13 04:00:00+00:00,308.72,312.93,304.51,306.03,182774.0,4552.0,306.561462
TYL,2020-04-14 04:00:00+00:00,312.93,327.62,310.92,327.13,387000.0,6917.0,324.751653
TYL,2020-04-15 04:00:00+00:00,323.62,327.63,318.02,323.45,283821.0,7371.0,324.108109
TYL,2020-04-16 04:00:00+00:00,326.69,330.36,323.44,326.5,461258.0,8220.0,326.642545
TYL,2020-04-17 04:00:00+00:00,331.49,331.68,320.7,326.72,330353.0,6911.0,324.958993
TYL,2020-04-20 04:00:00+00:00,325.8,336.015,322.29,328.05,222637.0,5005.0,330.377408
TYL,2020-04-21 04:00:00+00:00,322.69,322.69,311.62,312.9,230706.0,6836.0,314.694167
TYL,2020-04-22 04:00:00+00:00,319.69,322.88,315.03,318.22,341976.0,6958.0,318.722133
TYL,2020-04-23 04:00:00+00:00,318.29,324.555,316.5,319.36,343328.0,7557.0,319.743101
TYL,2020-04-24 04:00:00+00:00,321.75,321.75,312.51,314.71,591387.0,7544.0,314.867485
TYL,2020-04-27 04:00:00+00:00,316.23,323.17,314.33,320.94,234806.0,5591.0,319.935982
TYL,2020-04-28 04:00:00+00:00,325.81,326.0,311.43,312.01,248253.0,5322.0,314.719705
TYL,2020-04-29 04:00:00+00:00,315.52,323.47,311.01,320.99,330760.0,6901.0,319.806504
TYL,2020-04-30 04:00:00+00:00,317.36,324.82,305.3,320.69,562708.0,9565.0,319.004718
TYL,2020-05-01 04:00:00+00:00,318.0,318.0,311.57,314.78,347787.0,6615.0,314.259158
TYL,2020-05-04 04:00:00+00:00,315.0,316.78,308.915,314.74,300467.0,6065.0,313.514437
TYL,2020-05-05 04:00:00+00:00,313.72,325.35,313.72,322.56,229391.0,6349.0,322.209074
TYL,2020-05-06 04:00:00+00:00,325.07,328.21,321.085,326.36,243836.0,5737.0,326.205643
TYL,2020-05-07 04:00:00+00:00,330.08,334.6499,327.575,332.59,321669.0,6382.0,332.102446
TYL,2020-05-08 04:00:00+00:00,337.43,337.73,329.57,330.23,226451.0,5362.0,332.452535
TYL,2020-05-11 04:00:00+00:00,328.67,337.66,328.67,335.61,590040.0,7325.0,334.482655
TYL,2020-05-12 04:00:00+00:00,337.04,339.0,331.23,331.9,217114.0,5088.0,334.901168
TYL,2020-05-13 04:00:00+00:00,330.76,335.37,326.164,331.74,248732.0,6906.0,331.301076
TYL,2020-05-14 04:00:00+00:00,329.33,334.5,326.355,334.04,236589.0,6762.0,331.168968
TYL,2020-05-15 04:00:00+00:00,332.98,354.93,332.5,354.75,573618.0,10445.0,349.769295
TYL,2020-05-18 04:00:00+00:00,356.13,366.27,351.76,352.08,362859.0,7646.0,355.990847
TYL,2020-05-19 04:00:00+00:00,353.22,357.38,352.555,352.85,331787.0,6113.0,354.484295
TYL,2020-05-20 04:00:00+00:00,356.76,368.98,356.13,361.63,394386.0,7191.0,362.717311
TYL,2020-05-21 04:00:00+00:00,359.18,360.295,350.4795,354.43,399997.0,7474.0,354.644514
TYL,2020-05-22 04:00:00+00:00,355.35,361.14,353.255,360.05,248215.0,6116.0,358.729676
TYL,2020-05-26 04:00:00+00:00,363.97,364.79,350.91,352.78,349747.0,8986.0,355.113929
TYL,2020-05-27 04:00:00+00:00,350.92,365.23,343.0,365.0,551234.0,11506.0,356.896027
TYL,2020-05-28 04:00:00+00:00,365.66,379.56,365.66,370.45,550773.0,12591.0,374.01844
TYL,2020-05-29 04:00:00+00:00,372.35,379.93,369.35,375.31,2691970.0,12864.0,375.173884
TYL,2020-06-01 04:00:00+00:00,373.34,379.5,372.7248,375.85,408421.0,8427.0,376.757066
TYL,2020-06-02 04:00:00+00:00,379.0,382.66,368.545,382.66,345778.0,8754.0,379.032152
TYL,2020-06-03 04:00:00+00:00,381.62,382.92,374.19,378.15,303074.0,6752.0,378.397422
TYL,2020-06-04 04:00:00+00:00,375.31,378.88,368.26,371.58,317889.0,7121.0,372.875061
TYL,2020-06-05 04:00:00+00:00,367.58,372.93,355.19,358.43,549950.0,10823.0,362.772259
TYL,2020-06-08 04:00:00+00:00,354.99,359.64,353.09,358.17,297918.0,6310.0,357.386807
TYL,2020-06-09 04:00:00+00:00,360.87,360.87,354.74,355.61,293432.0,6356.0,356.746376
TYL,2020-06-10 04:00:00+00:00,359.32,366.81,357.87,363.83,334786.0,6778.0,362.600351
TYL,2020-06-11 04:00:00+00:00,360.25,363.14,351.74,351.9,246368.0,7260.0,354.82725
TYL,2020-06-12 04:00:00+00:00,360.0,364.26,337.85,342.71,536195.0,10653.0,343.85059
TYL,2020-06-15 04:00:00+00:00,337.04,342.72,332.42,341.08,657049.0,12760.0,339.529405
TYL,2020-06-16 04:00:00+00:00,350.0,355.155,341.535,342.8,415935.0,9252.0,344.437574
TYL,2020-06-17 04:00:00+00:00,344.37,347.48,337.15,339.05,896029.0,10106.0,340.258934
TYL,2020-06-18 04:00:00+00:00,341.22,351.03,337.0,342.55,881363.0,9252.0,341.650552
TYL,2020-06-19 04:00:00+00:00,344.42,349.36,330.38,333.21,11454574.0,16704.0,333.5388
TYL,2020-06-22 04:00:00+00:00,333.56,342.865,332.67,338.3,811502.0,10498.0,338.375252
TYL,2020-06-23 04:00:00+00:00,339.71,340.885,332.925,334.47,816910.0,8641.0,334.70244
TYL,2020-06-24 04:00:00+00:00,333.66,340.38,328.02,338.47,551854.0,11968.0,335.866939
TYL,2020-06-25 04:00:00+00:00,338.48,341.53,332.88,340.32,381095.0,8837.0,338.158641
TYL,2020-06-26 04:00:00+00:00,340.32,345.22,335.88,340.79,1008527.0,11413.0,340.988179
TYL,2020-06-29 04:00:00+00:00,339.95,341.82,332.38,339.86,345730.0,9157.0,339.437275
TYL,2020-06-30 04:00:00+00:00,339.11,348.13,337.84,346.88,396245.0,7988.0,345.565691
TYL,2020-07-01 04:00:00+00:00,347.92,351.39,345.48,350.32,343792.0,9442.0,349.022142
TYL,2020-07-02 04:00:00+00:00,351.49,357.34,350.39,355.22,399233.0,8179.0,355.066613
TYL,2020-07-06 04:00:00+00:00,359.74,360.12,350.4,352.47,444096.0,9103.0,353.824582
TYL,2020-07-07 04:00:00+00:00,352.47,356.68,347.79,352.52,352850.0,8113.0,352.984563
TYL,2020-07-08 04:00:00+00:00,354.7,358.985,353.18,355.04,339884.0,7189.0,355.018109
TYL,2020-07-09 04:00:00+00:00,358.6,363.005,354.67,361.29,323766.0,6837.0,360.20601
TYL,2020-07-10 04:00:00+00:00,361.45,362.07,354.24,359.73,273236.0,5447.0,358.766033
TYL,2020-07-13 04:00:00+00:00,361.28,361.84,343.04,344.97,434931.0,9272.0,349.702717
TYL,2020-07-14 04:00:00+00:00,342.6,349.67,341.33,347.57,373946.0,7118.0,346.458071
TYL,2020-07-15 04:00:00+00:00,351.35,354.64,346.92,351.22,221912.0,5267.0,351.220033
TYL,2020-07-16 04:00:00+00:00,351.35,352.85,346.86,351.32,179893.0,4590.0,350.875059
