symbol,timestamp,open,high,low,close,volume,trade_count,vwap
T,2020-03-12 04:00:00+00:00,31.86,33.43,31.06,31.94,90066136.0,420445.0,32.009753
T,2020-03-13 04:00:00+00:00,32.92,34.61,31.855,34.47,71894943.0,308715.0,33.062512
T,2020-03-16 04:00:00+00:00,31.0,33.8901,30.92,31.81,64599097.0,312137.0,32.298855
T,2020-03-17 04:00:00+00:00,32.12,34.061,32.01,33.74,66131237.0,341823.0,33.227318
T,2020-03-18 04:00:00+00:00,32.0,32.91,30.25,32.85,80977225.0,411532.0,31.733919
T,2020-03-19 04:00:00+00:00,31.36,32.49,30.5,31.15,65847739.0,329698.0,31.376541
T,2020-03-20 04:00:00+00:00,30.46,30.5,28.18,28.45,126728653.0,551551.0,28.913691
T,2020-03-23 04:00:00+00:00,27.39,27.71,26.08,26.77,101637457.0,511917.0,26.764536
T,2020-03-24 04:00:00+00:00,28.0,28.3,26.84,28.09,81393821.0,385797.0,27.79797
T,2020-03-25 04:00:00+00:00,28.08,29.93,27.37,28.4,74653425.0,357109.0,28.753928
T,2020-03-26 04:00:00+00:00,28.68,30.96,28.68,30.6,71523567.0,308675.0,30.089653
T,2020-03-27 04:00:00+00:00,29.69,30.82,29.22,29.84,52266861.0,240495.0,29.901133
T,2020-03-30 04:00:00+00:00,29.9,30.41,29.48,30.23,45897822.0,209414.0,29.990593
T,2020-03-31 04:00:00+00:00,30.04,30.13,29.05,29.15,91002460.0,270452.0,29.322566
T,2020-04-01 04:00:00+00:00,28.38,28.58,27.7,28.05,60839959.0,249188.0,28.077721
T,2020-04-02 04:00:00+00:00,28.0,28.87,28.0,28.76,36492180.0,180189.0,28.457596
T,2020-04-03 04:00:00+00:00,28.53,28.74,27.25,27.46,57360735.0,237773.0,27.728169
T,2020-04-06 04:00:00+00:00,28.4,29.68,28.31,29.44,59640354.0,233736.0,29.067231
T,2020-04-07 04:00:00+00:00,30.44,30.97,30.07,30.08,59280739.0,240195.0,30.368557
T,2020-04-08 04:00:00+00:00,29.95,30.0,29.1,29.89,44523184.0,194293.0,29.627804
T,2020-04-09 04:00:00+00:00,30.05,30.94,29.99,30.73,56473125.0,209665.0,30.604888
T,2020-04-13 04:00:00+00:00,30.5,30.715,29.9,30.19,36828817.0,161578.0,30.141961
T,2020-04-14 04:00:00+00:00,30.69,31.155,30.35,31.13,35607147.0,142176.0,30.930362
T,2020-04-15 04:00:00+00:00,30.63,30.9599,29.96,30.09,40964647.0,179047.0,30.230892
T,2020-04-16 04:00:00+00:00,30.28,30.28,29.705,30.16,36444305.0,139940.0,30.092184
T,2020-04-17 04:00:00+00:00,30.85,31.25,30.7,31.23,38100558.0,142623.0,31.015961
T,2020-04-20 04:00:00+00:00,30.85,31.42,30.701,30.98,33633249.0,137735.0,31.086396
T,2020-04-21 04:00:00+00:00,30.51,30.52,29.64,29.87,47919414.0,201141.0,29.971262
T,2020-04-22 04:00:00+00:00,30.9,30.9,29.31,29.47,55329771.0,227909.0,29.604837
T,2020-04-23 04:00:00+00:00,29.44,30.05,29.33,29.5,36253290.0,162091.0,29.669253
T,2020-04-24 04:00:00+00:00,29.59,29.95,29.145,29.71,38220553.0,161609.0,29.557662
T,2020-04-27 04:00:00+00:00,29.99,30.68,29.74,30.54,36287844.0,146406.0,30.274463
T,2020-04-28 04:00:00+00:00,31.0,31.12,30.615,30.65,33083649.0,138617.0,30.87932
T,2020-04-29 04:00:00+00:00,31.13,31.87,31.07,31.43,36093629.0,144525.0,31.500761
T,2020-04-30 04:00:00+00:00,31.0,31.05,30.28,30.47,46625892.0,175776.0,30.500095
T,2020-05-01 04:00:00+00:00,30.75,30.79,29.75,29.9,39204464.0,176957.0,30.043766
