symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UBER,2020-03-12 04:00:00+00:00,23.26,24.69,22.11,22.61,54731737.0,246565.0,23.279323
UBER,2020-03-13 04:00:00+00:00,24.01,24.81,21.13,22.6,54476088.0,252048.0,22.592378
UBER,2020-03-16 04:00:00+00:00,20.15,21.49,19.1,20.29,58270246.0,260539.0,20.151819
UBER,2020-03-17 04:00:00+00:00,20.31,20.31,18.01,18.91,60627247.0,291523.0,18.972773
UBER,2020-03-18 04:00:00+00:00,17.76,17.8,13.71,15.005,79077239.0,350869.0,15.681371
UBER,2020-03-19 04:00:00+00:00,15.96,21.26,15.7,20.49,85594382.0,375539.0,19.517265
UBER,2020-03-20 04:00:00+00:00,22.53,23.89,20.61,21.33,80332879.0,370160.0,21.97517
UBER,2020-03-23 04:00:00+00:00,21.07,22.73,19.73,22.4,49790871.0,222339.0,21.36851
UBER,2020-03-24 04:00:00+00:00,24.41,26.84,23.59,26.39,62658796.0,289528.0,25.392165
UBER,2020-03-25 04:00:00+00:00,26.18,28.45,25.3104,26.19,53312106.0,279767.0,26.898205
UBER,2020-03-26 04:00:00+00:00,26.6,28.44,25.78,28.12,42643540.0,218556.0,27.582027
UBER,2020-03-27 04:00:00+00:00,26.0,28.03,25.07,27.28,40516226.0,202747.0,26.491732
UBER,2020-03-30 04:00:00+00:00,26.33,28.39,25.31,27.83,38045582.0,181673.0,27.067394
UBER,2020-03-31 04:00:00+00:00,27.75,28.25,26.92,27.92,44416206.0,193835.0,27.772427
UBER,2020-04-01 04:00:00+00:00,26.5,26.767,24.8101,25.42,39148745.0,217371.0,25.594017
UBER,2020-04-02 04:00:00+00:00,25.01,25.2,23.0,23.68,36504822.0,182150.0,24.105895
UBER,2020-04-03 04:00:00+00:00,23.73,23.79,21.67,22.82,42918867.0,185604.0,22.68495
UBER,2020-04-06 04:00:00+00:00,24.13,26.09,23.93,25.99,35462033.0,177098.0,25.301682
UBER,2020-04-07 04:00:00+00:00,27.95,28.11,25.5,25.74,36826193.0,200351.0,26.730081
UBER,2020-04-08 04:00:00+00:00,26.0,27.8781,25.79,26.94,38512773.0,150115.0,27.004522
UBER,2020-04-09 04:00:00+00:00,27.87,28.89,26.46,27.11,36718784.0,180529.0,27.753229
UBER,2020-04-13 04:00:00+00:00,27.04,28.08,26.47,27.99,24823256.0,144966.0,27.36603
UBER,2020-04-14 04:00:00+00:00,28.0,28.77,27.013,27.75,33195561.0,182542.0,27.950958
UBER,2020-04-15 04:00:00+00:00,26.83,27.79,26.44,27.41,18989471.0,115486.0,27.132648
UBER,2020-04-16 04:00:00+00:00,27.21,28.05,26.46,27.03,24277575.0,127924.0,27.201579
UBER,2020-04-17 04:00:00+00:00,28.69,28.79,27.26,28.0,34377284.0,158945.0,27.954831
UBER,2020-04-20 04:00:00+00:00,27.07,28.76,26.9,28.19,34567334.0,143064.0,28.174533
UBER,2020-04-21 04:00:00+00:00,27.5,28.15,26.6,27.19,21511935.0,116463.0,27.342618
UBER,2020-04-22 04:00:00+00:00,27.97,28.56,27.51,28.24,22255409.0,92972.0,28.10542
UBER,2020-04-23 04:00:00+00:00,28.66,29.25,28.2414,28.33,27302030.0,129640.0,28.727239
UBER,2020-04-24 04:00:00+00:00,28.51,29.59,28.14,29.49,20996283.0,110349.0,28.989051
UBER,2020-04-27 04:00:00+00:00,29.74,30.49,29.4112,30.08,32108389.0,146303.0,30.021049
UBER,2020-04-28 04:00:00+00:00,31.0,31.83,29.36,30.12,27650542.0,140205.0,30.305306
UBER,2020-04-29 04:00:00+00:00,31.04,32.0,30.33,31.37,29308817.0,147020.0,31.460803
UBER,2020-04-30 04:00:00+00:00,30.5,31.05,29.75,30.27,21410741.0,101409.0,30.264039
UBER,2020-05-01 04:00:00+00:00,29.15,29.72,28.325,28.39,19665639.0,110009.0,28.820236
UBER,2020-05-04 04:00:00+00:00,27.57,28.07,26.58,27.42,23781104.0,135567.0,27.315242
UBER,2020-05-05 04:00:00+00:00,28.25,28.9088,27.44,28.07,31974321.0,141208.0,28.220074
UBER,2020-05-06 04:00:00+00:00,27.5,28.06,26.81,27.82,31989448.0,157691.0,27.520273
UBER,2020-05-07 04:00:00+00:00,29.6,31.65,29.58,30.93,63441610.0,303462.0,30.590988
UBER,2020-05-08 04:00:00+00:00,32.59,33.3,31.64,32.79,70364502.0,291583.0,32.514696
UBER,2020-05-11 04:00:00+00:00,31.98,32.385,31.41,31.64,26918253.0,135921.0,31.82487
UBER,2020-05-12 04:00:00+00:00,31.42,34.45,30.41,32.4,89954992.0,411866.0,32.965383
UBER,2020-05-13 04:00:00+00:00,32.3,33.06,30.83,33.02,47747192.0,234456.0,32.160535
