symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UNH,2020-03-12 04:00:00+00:00,260.0,272.23,250.0,250.41,11520265.0,144386.0,257.111861
UNH,2020-03-13 04:00:00+00:00,260.99,273.22,242.27,272.04,10256217.0,119858.0,259.811633
UNH,2020-03-16 04:00:00+00:00,243.92,245.68,223.95,225.04,11494789.0,123537.0,233.600067
UNH,2020-03-17 04:00:00+00:00,230.63,248.76,228.2901,244.22,10704150.0,129143.0,240.224256
UNH,2020-03-18 04:00:00+00:00,225.75,231.45,200.19,217.06,13779545.0,145136.0,214.663149
UNH,2020-03-19 04:00:00+00:00,216.98,226.12,208.9425,219.8,8785750.0,100243.0,219.040425
UNH,2020-03-20 04:00:00+00:00,223.0,232.64,203.46,206.59,10956315.0,96534.0,215.285345
UNH,2020-03-23 04:00:00+00:00,202.46,205.75,187.72,194.86,11338135.0,118530.0,195.679041
UNH,2020-03-24 04:00:00+00:00,202.14,220.27,199.0,219.8,10010430.0,98705.0,214.284282
UNH,2020-03-25 04:00:00+00:00,219.09,247.51,216.0,234.49,11217374.0,119377.0,236.185086
UNH,2020-03-26 04:00:00+00:00,234.65,257.96,232.3,255.39,8654079.0,85404.0,249.360606
UNH,2020-03-27 04:00:00+00:00,242.94,251.6,238.24,242.45,5482595.0,71864.0,243.612582
UNH,2020-03-30 04:00:00+00:00,242.64,254.09,242.64,251.28,6278848.0,64973.0,249.986579
UNH,2020-03-31 04:00:00+00:00,243.48,254.5297,243.0,249.38,6383946.0,68288.0,249.91483
UNH,2020-04-01 04:00:00+00:00,238.69,246.605,235.44,237.32,5280097.0,56847.0,238.49785
UNH,2020-04-02 04:00:00+00:00,235.3,242.0,226.03,240.44,5090270.0,55730.0,236.137243
UNH,2020-04-03 04:00:00+00:00,238.32,239.337,227.27,229.49,5328173.0,54715.0,230.654769
UNH,2020-04-06 04:00:00+00:00,239.47,249.29,235.12,248.34,7462446.0,65013.0,244.032384
UNH,2020-04-07 04:00:00+00:00,259.81,266.71,246.54,248.04,5535595.0,60073.0,252.479648
UNH,2020-04-08 04:00:00+00:00,247.69,269.16,246.26,267.83,7233685.0,75234.0,263.130036
UNH,2020-04-09 04:00:00+00:00,265.0,270.4,261.6,264.13,5305823.0,67904.0,264.735113
UNH,2020-04-13 04:00:00+00:00,262.0,264.96,258.18,263.51,3395624.0,41107.0,262.267625
UNH,2020-04-14 04:00:00+00:00,269.0,273.07,267.0001,270.5,5279228.0,58744.0,270.649222
UNH,2020-04-15 04:00:00+00:00,276.22,282.99,270.68,281.68,8423154.0,89552.0,279.255979
UNH,2020-04-16 04:00:00+00:00,283.44,300.0,280.01,298.43,8254551.0,100494.0,292.909179
UNH,2020-04-17 04:00:00+00:00,301.0,304.0,287.1,290.56,6436762.0,71737.0,291.356678
UNH,2020-04-20 04:00:00+00:00,285.3,289.0086,281.27,282.14,4505768.0,50379.0,284.423125
UNH,2020-04-21 04:00:00+00:00,274.82,280.0,273.25,274.19,4491377.0,49771.0,276.024116
UNH,2020-04-22 04:00:00+00:00,279.58,283.82,276.71,277.02,4213331.0,44749.0,278.869414
UNH,2020-04-23 04:00:00+00:00,279.06,288.46,278.54,285.33,4761572.0,54730.0,284.973095
UNH,2020-04-24 04:00:00+00:00,287.29,291.9,284.0,291.29,3646215.0,41143.0,288.951516
UNH,2020-04-27 04:00:00+00:00,293.21,296.86,290.63,293.98,4284399.0,42388.0,293.442805
UNH,2020-04-28 04:00:00+00:00,298.0,298.25,285.62,288.36,4083642.0,55445.0,290.031447
UNH,2020-04-29 04:00:00+00:00,292.0,292.75,286.1,287.65,4741898.0,48566.0,289.203644
UNH,2020-04-30 04:00:00+00:00,286.65,295.0,285.52,292.47,10061704.0,57225.0,291.837065
UNH,2020-05-01 04:00:00+00:00,288.99,289.0,279.6,284.51,3981639.0,48192.0,283.090339
UNH,2020-05-04 04:00:00+00:00,284.5,287.94,282.11,287.54,3368331.0,36413.0,285.985644
UNH,2020-05-05 04:00:00+00:00,289.96,296.0,287.29,293.04,2740696.0,36206.0,293.185729
UNH,2020-05-06 04:00:00+00:00,295.1,297.68,288.44,288.77,2809676.0,35741.0,292.698821
UNH,2020-05-07 04:00:00+00:00,291.06,292.29,284.516,285.0,3580070.0,40311.0,287.464065
UNH,2020-05-08 04:00:00+00:00,289.49,290.0,285.66,287.0,3574019.0,41212.0,287.548899
UNH,2020-05-11 04:00:00+00:00,285.56,290.1032,285.255,288.69,3881593.0,41726.0,288.550496
UNH,2020-05-12 04:00:00+00:00,291.88,293.15,287.7,287.7,4585568.0,48276.0,290.730466
UNH,2020-05-13 04:00:00+00:00,284.49,286.4,275.56,278.0,5801745.0,69848.0,279.460837
UNH,2020-05-14 04:00:00+00:00,275.95,292.449,275.64,290.61,6043938.0,66595.0,286.851427
UNH,2020-05-15 04:00:00+00:00,292.41,300.0,290.72,290.96,16850364.0,86280.0,292.669832
UNH,2020-05-18 04:00:00+00:00,298.48,299.72,292.02,293.36,4560101.0,48238.0,294.966386
UNH,2020-05-19 04:00:00+00:00,292.45,294.63,288.88,289.05,3267309.0,47494.0,291.204729
UNH,2020-05-20 04:00:00+00:00,292.9,292.9,286.7,287.99,3664591.0,40546.0,289.01793
UNH,2020-05-21 04:00:00+00:00,286.03,290.13,284.9301,286.91,3884689.0,47314.0,287.467833
UNH,2020-05-22 04:00:00+00:00,287.0,290.24,284.7938,289.94,3192183.0,40003.0,287.968295
UNH,2020-05-26 04:00:00+00:00,296.5,297.03,292.5,294.89,5458527.0,49773.0,294.838555
UNH,2020-05-27 04:00:00+00:00,297.42,303.8,290.8,303.77,6199827.0,70671.0,299.718717
UNH,2020-05-28 04:00:00+00:00,305.95,309.66,303.29,303.97,4845195.0,56458.0,306.531994
UNH,2020-05-29 04:00:00+00:00,304.72,308.37,300.85,304.85,8669308.0,48554.0,304.826371
UNH,2020-06-01 04:00:00+00:00,304.02,305.98,300.563,305.93,3518817.0,38674.0,304.526865
UNH,2020-06-02 04:00:00+00:00,305.9,308.1,301.73,306.31,3130518.0,35380.0,305.722329
UNH,2020-06-03 04:00:00+00:00,308.98,310.12,302.74,305.35,4744671.0,50333.0,305.304803
UNH,2020-06-04 04:00:00+00:00,303.18,304.47,294.2944,298.08,4673444.0,58847.0,298.532997
UNH,2020-06-05 04:00:00+00:00,304.0,314.2825,300.5,311.85,6210105.0,66822.0,310.300668
UNH,2020-06-08 04:00:00+00:00,308.64,315.84,307.93,309.48,5276039.0,57438.0,309.750267
UNH,2020-06-09 04:00:00+00:00,309.9,312.655,307.33,309.21,3525030.0,41401.0,309.778856
UNH,2020-06-10 04:00:00+00:00,308.93,310.31,302.86,305.75,3691443.0,46070.0,305.959679
UNH,2020-06-11 04:00:00+00:00,303.2,303.36,280.8,283.73,7341600.0,93594.0,287.511122
UNH,2020-06-12 04:00:00+00:00,290.65,294.1,278.7,285.15,5915389.0,79472.0,285.275342
UNH,2020-06-15 04:00:00+00:00,278.02,287.0,273.71,286.28,4931857.0,58042.0,282.230873
UNH,2020-06-16 04:00:00+00:00,295.44,297.565,287.44,293.0,4771576.0,60230.0,293.321806
UNH,2020-06-17 04:00:00+00:00,295.1,295.1,291.23,292.6,2815784.0,34177.0,293.092731
UNH,2020-06-18 04:00:00+00:00,290.43,291.78,286.6,291.48,3513123.0,31992.0,290.448261
UNH,2020-06-19 04:00:00+00:00,294.43,296.52,290.91,291.24,6630981.0,46298.0,292.537921
UNH,2020-06-22 04:00:00+00:00,289.53,293.0,286.26,292.67,2585902.0,30099.0,291.639454
UNH,2020-06-23 04:00:00+00:00,294.43,299.28,291.07,297.6,4640346.0,44509.0,296.417512
UNH,2020-06-24 04:00:00+00:00,293.99,297.1,285.57,289.18,3924828.0,51767.0,289.440638
UNH,2020-06-25 04:00:00+00:00,288.28,296.78,286.06,296.22,3524564.0,38637.0,293.816383
UNH,2020-06-26 04:00:00+00:00,295.14,296.58,285.82,286.88,6106021.0,44872.0,287.980406
UNH,2020-06-29 04:00:00+00:00,288.45,292.28,286.615,289.76,2851078.0,34616.0,289.523916
UNH,2020-06-30 04:00:00+00:00,288.57,296.45,287.66,294.95,3726315.0,37305.0,293.33547
UNH,2020-07-01 04:00:00+00:00,295.83,300.4,295.24,297.73,2608453.0,38709.0,297.755437
UNH,2020-07-02 04:00:00+00:00,300.68,303.08,297.1783,298.26,2304532.0,32656.0,299.442924
UNH,2020-07-06 04:00:00+00:00,303.0,303.49,299.325,302.81,2808437.0,35654.0,302.05403
UNH,2020-07-07 04:00:00+00:00,300.66,303.56,295.95,296.65,2500440.0,29961.0,298.33007
UNH,2020-07-08 04:00:00+00:00,297.35,300.865,295.68,298.36,2259840.0,30416.0,297.928465
UNH,2020-07-09 04:00:00+00:00,295.1,298.55,287.5,291.16,3357424.0,46723.0,291.973151
UNH,2020-07-10 04:00:00+00:00,294.24,294.24,287.1006,291.23,2712571.0,32786.0,290.799635
UNH,2020-07-13 04:00:00+00:00,292.09,304.52,291.77,299.71,4871512.0,55208.0,299.876511
UNH,2020-07-14 04:00:00+00:00,297.0,309.74,296.71,308.52,4709825.0,60482.0,306.16278
UNH,2020-07-15 04:00:00+00:00,301.12,310.69,298.66,304.07,5625906.0,67553.0,304.03573
UNH,2020-07-16 04:00:00+00:00,305.01,310.85,303.16,307.15,4194286.0,50900.0,307.524915
UNH,2020-07-17 04:00:00+00:00,308.82,310.97,306.25,306.53,3399919.0,37484.0,307.530563
UNH,2020-07-20 04:00:00+00:00,306.79,308.6,302.3801,303.46,2688583.0,35280.0,304.075452
UNH,2020-07-21 04:00:00+00:00,305.03,307.0,303.11,305.11,2623372.0,36500.0,305.179148
UNH,2020-07-22 04:00:00+00:00,304.86,306.909,301.805,306.71,2207966.0,26799.0,305.47989
UNH,2020-07-23 04:00:00+00:00,308.2,308.5,301.27,302.97,2935542.0,34137.0,303.951457
UNH,2020-07-24 04:00:00+00:00,303.33,304.28,299.23,300.79,2599285.0,36919.0,301.085191
UNH,2020-07-27 04:00:00+00:00,298.43,302.13,297.37,298.6,2445617.0,26902.0,298.943579
UNH,2020-07-28 04:00:00+00:00,297.89,301.4,297.205,299.93,2476781.0,34804.0,299.897002
UNH,2020-07-29 04:00:00+00:00,301.49,309.75,300.0,306.68,2932983.0,38265.0,307.453496
UNH,2020-07-30 04:00:00+00:00,301.68,306.46,298.89,305.23,2410021.0,32399.0,303.873503
UNH,2020-07-31 04:00:00+00:00,303.44,303.74,298.05,302.78,4500513.0,34631.0,301.413864
UNH,2020-08-03 04:00:00+00:00,303.59,304.91,299.2,303.61,2908255.0,31177.0,302.440703
UNH,2020-08-04 04:00:00+00:00,301.91,308.86,300.07,304.5,3960839.0,44516.0,304.151993
UNH,2020-08-05 04:00:00+00:00,306.83,312.96,305.02,312.47,3245289.0,42912.0,310.416363
UNH,2020-08-06 04:00:00+00:00,312.0,316.24,310.4,314.06,3653264.0,40530.0,312.968553
UNH,2020-08-07 04:00:00+00:00,313.34,319.0,313.34,317.03,2874913.0,38451.0,316.400804
UNH,2020-08-10 04:00:00+00:00,317.03,320.47,315.582,319.1,2829304.0,36550.0,318.288014
UNH,2020-08-11 04:00:00+00:00,322.92,324.57,314.66,315.55,3362446.0,42654.0,319.080385
UNH,2020-08-12 04:00:00+00:00,318.0,323.29,317.64,322.27,3458869.0,37802.0,321.745816
UNH,2020-08-13 04:00:00+00:00,320.68,321.87,317.84,321.52,2472080.0,32463.0,320.597098
UNH,2020-08-14 04:00:00+00:00,320.54,323.93,318.725,323.7,2038560.0,29933.0,322.927151
UNH,2020-08-17 04:00:00+00:00,321.45,323.8,319.35,320.51,3148475.0,36103.0,321.136744
UNH,2020-08-18 04:00:00+00:00,321.98,322.67,315.71,316.81,2798002.0,35670.0,317.670899
UNH,2020-08-19 04:00:00+00:00,316.77,319.49,315.18,315.4,2484582.0,33523.0,316.468335
UNH,2020-08-20 04:00:00+00:00,314.83,315.28,312.01,313.33,2727878.0,36053.0,313.591437
UNH,2020-08-21 04:00:00+00:00,311.44,315.2809,310.09,314.14,2799376.0,32040.0,313.502751
UNH,2020-08-24 04:00:00+00:00,316.78,316.9,306.49,308.84,3368591.0,41249.0,309.32132
UNH,2020-08-25 04:00:00+00:00,312.19,312.36,307.8,312.22,2143390.0,32550.0,311.1174
UNH,2020-08-26 04:00:00+00:00,310.98,311.36,303.61,308.82,3470683.0,39383.0,308.218205
UNH,2020-08-27 04:00:00+00:00,310.41,314.775,305.49,311.67,2562624.0,34107.0,311.256819
UNH,2020-08-28 04:00:00+00:00,312.34,315.82,308.97,314.37,3367556.0,39021.0,313.923844
UNH,2020-08-31 04:00:00+00:00,314.89,319.56,312.54,312.55,5595201.0,46644.0,314.012462
UNH,2020-09-01 04:00:00+00:00,310.0,314.72,310.0,312.83,2813152.0,41958.0,312.482191
UNH,2020-09-02 04:00:00+00:00,312.56,321.28,312.56,320.24,3251882.0,45250.0,318.943916
UNH,2020-09-03 04:00:00+00:00,322.0,323.82,313.73,316.23,4319157.0,63237.0,317.051398
UNH,2020-09-04 04:00:00+00:00,316.48,317.8272,306.63,312.0,3308697.0,46340.0,311.547403
UNH,2020-09-08 04:00:00+00:00,311.03,311.46,303.83,307.25,3007792.0,45224.0,307.38741
UNH,2020-09-09 04:00:00+00:00,309.68,315.315,308.4167,312.02,2580975.0,39205.0,312.300284
UNH,2020-09-10 04:00:00+00:00,312.73,314.44,303.72,304.6,2704577.0,40090.0,306.892761
UNH,2020-09-11 04:00:00+00:00,305.07,306.46,297.29,301.48,3558139.0,47228.0,301.392104
UNH,2020-09-14 04:00:00+00:00,303.01,311.12,303.01,308.57,2106705.0,32032.0,308.517663
UNH,2020-09-15 04:00:00+00:00,310.04,311.46,306.05,307.23,1686868.0,28835.0,308.153189
UNH,2020-09-16 04:00:00+00:00,309.07,312.2499,306.2,306.52,3784105.0,31356.0,308.943984
UNH,2020-09-17 04:00:00+00:00,304.5,307.38,302.11,304.98,2784394.0,34134.0,304.665931
UNH,2020-09-18 04:00:00+00:00,305.01,310.39,303.77,308.02,4661927.0,31477.0,307.173315
UNH,2020-09-21 04:00:00+00:00,300.47,300.53,291.66,299.19,4524785.0,61657.0,296.503854
UNH,2020-09-22 04:00:00+00:00,298.53,300.62,292.92,294.26,3539358.0,46620.0,294.959086
UNH,2020-09-23 04:00:00+00:00,295.0,296.1,291.825,292.14,4200714.0,47184.0,293.533804
