symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UNP,2020-03-12 04:00:00+00:00,130.59,142.18,125.0,132.05,9483572.0,94455.0,133.664264
UNP,2020-03-13 04:00:00+00:00,139.55,143.85,134.81,143.85,8470978.0,84873.0,139.592326
UNP,2020-03-16 04:00:00+00:00,128.05,135.87,122.3,125.1,7842463.0,73952.0,127.455225
UNP,2020-03-17 04:00:00+00:00,127.33,132.71,120.38,128.63,8514074.0,91683.0,127.125411
UNP,2020-03-18 04:00:00+00:00,120.77,123.31,105.08,115.08,11601530.0,112289.0,113.762902
UNP,2020-03-19 04:00:00+00:00,114.28,123.6795,111.6832,121.65,8984233.0,81691.0,118.253726
UNP,2020-03-20 04:00:00+00:00,124.1,125.75,113.46,117.84,7947037.0,67282.0,119.538736
UNP,2020-03-23 04:00:00+00:00,110.39,119.34,109.61,114.04,6451444.0,69875.0,114.165089
UNP,2020-03-24 04:00:00+00:00,121.3,130.11,118.8,128.87,7788023.0,69694.0,125.850673
UNP,2020-03-25 04:00:00+00:00,127.38,141.09,127.0,132.91,7594018.0,75191.0,135.419269
UNP,2020-03-26 04:00:00+00:00,137.03,143.39,134.0173,142.49,7182733.0,62854.0,140.877859
UNP,2020-03-27 04:00:00+00:00,135.62,143.62,134.1601,139.05,5795150.0,55273.0,139.018137
UNP,2020-03-30 04:00:00+00:00,137.54,143.305,136.32,140.2,3674479.0,43791.0,139.650191
UNP,2020-03-31 04:00:00+00:00,137.72,144.71,137.53,141.04,4932379.0,51298.0,140.923784
UNP,2020-04-01 04:00:00+00:00,134.03,137.97,132.5022,136.49,5670159.0,59704.0,135.77887
UNP,2020-04-02 04:00:00+00:00,135.27,142.37,134.8,141.8,6606042.0,59115.0,139.816704
UNP,2020-04-03 04:00:00+00:00,140.87,142.55,136.59,138.57,4541665.0,43042.0,138.782876
UNP,2020-04-06 04:00:00+00:00,145.78,149.29,145.71,147.85,5486322.0,48827.0,147.592496
UNP,2020-04-07 04:00:00+00:00,152.33,153.515,145.2555,145.76,5106262.0,55468.0,148.18215
UNP,2020-04-08 04:00:00+00:00,147.52,150.79,145.41,149.62,3985574.0,37871.0,149.043584
UNP,2020-04-09 04:00:00+00:00,152.0,153.19,147.05,148.73,5422961.0,46630.0,149.230283
UNP,2020-04-13 04:00:00+00:00,147.84,149.08,144.7002,146.9,2924199.0,30305.0,146.687259
UNP,2020-04-14 04:00:00+00:00,149.09,151.3273,147.81,148.97,2466930.0,29653.0,149.240815
UNP,2020-04-15 04:00:00+00:00,145.26,147.42,143.63,146.66,3980480.0,36011.0,146.111121
UNP,2020-04-16 04:00:00+00:00,146.58,147.02,141.27,143.99,5920598.0,47689.0,143.673187
UNP,2020-04-17 04:00:00+00:00,148.59,150.85,147.61,149.89,5831955.0,46054.0,149.329079
UNP,2020-04-20 04:00:00+00:00,147.31,149.18,144.56,146.61,5176198.0,37015.0,146.694519
UNP,2020-04-21 04:00:00+00:00,142.51,145.81,141.22,144.41,4484404.0,40597.0,144.214889
UNP,2020-04-22 04:00:00+00:00,146.53,148.36,144.87,147.1,4553891.0,36926.0,146.623454
UNP,2020-04-23 04:00:00+00:00,156.92,158.26,151.995,152.29,6598403.0,56666.0,154.278118
UNP,2020-04-24 04:00:00+00:00,156.48,158.075,153.44,156.09,5218096.0,45341.0,155.264781
UNP,2020-04-27 04:00:00+00:00,159.89,161.23,158.02,158.96,5057044.0,47631.0,159.484105
UNP,2020-04-28 04:00:00+00:00,161.52,162.46,159.0,161.36,3517595.0,37552.0,161.168316
UNP,2020-04-29 04:00:00+00:00,165.16,166.23,162.78,163.05,3060561.0,35357.0,164.000813
UNP,2020-04-30 04:00:00+00:00,160.58,161.85,158.225,159.79,4203562.0,35301.0,159.76541
UNP,2020-05-01 04:00:00+00:00,157.7,157.7,154.7405,156.64,3519215.0,37184.0,156.263616
