symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VICI,2020-03-12 04:00:00+00:00,19.29,19.57,16.09,16.23,12345407.0,51033.0,17.027169
VICI,2020-03-13 04:00:00+00:00,17.74,18.28,15.8,17.6,13695673.0,56400.0,16.837298
VICI,2020-03-16 04:00:00+00:00,15.41,15.41,11.61,12.56,14942904.0,68570.0,13.049607
VICI,2020-03-17 04:00:00+00:00,12.73,13.145,10.37,13.02,14014507.0,59527.0,12.347978
VICI,2020-03-18 04:00:00+00:00,11.85,12.12,9.85,11.2,13350814.0,59168.0,10.886973
VICI,2020-03-19 04:00:00+00:00,11.01,12.8,9.85,11.49,10117219.0,39410.0,11.657599
VICI,2020-03-20 04:00:00+00:00,11.5,13.42,11.5,12.31,14232071.0,52140.0,12.501907
VICI,2020-03-23 04:00:00+00:00,12.17,12.31,11.26,11.74,9683379.0,56942.0,11.837203
VICI,2020-03-24 04:00:00+00:00,12.6,13.43,12.065,13.11,8015300.0,38778.0,12.833034
VICI,2020-03-25 04:00:00+00:00,13.61,16.46,13.61,15.43,9136239.0,48342.0,15.469908
VICI,2020-03-26 04:00:00+00:00,15.75,16.65,15.51,16.15,6555154.0,42279.0,16.157936
VICI,2020-03-27 04:00:00+00:00,15.36,16.55,15.13,16.11,6459947.0,34972.0,16.096643
VICI,2020-03-30 04:00:00+00:00,15.7,16.2,14.38,16.04,6320695.0,37114.0,15.751726
VICI,2020-03-31 04:00:00+00:00,16.07,16.95,15.7,16.64,10322618.0,44159.0,16.526961
VICI,2020-04-01 04:00:00+00:00,15.74,16.02,14.76,15.04,6081809.0,32515.0,15.272282
VICI,2020-04-02 04:00:00+00:00,15.29,15.41,14.41,14.83,6117469.0,26271.0,14.873148
VICI,2020-04-03 04:00:00+00:00,14.67,14.8199,13.34,13.78,4411753.0,23346.0,13.830303
VICI,2020-04-06 04:00:00+00:00,13.87,14.87,13.81,14.26,8876260.0,38253.0,14.277205
VICI,2020-04-07 04:00:00+00:00,15.53,16.17,14.45,14.52,9059648.0,42792.0,15.150618
VICI,2020-04-08 04:00:00+00:00,14.83,16.14,14.41,15.92,4614983.0,25551.0,15.682218
VICI,2020-04-09 04:00:00+00:00,16.35,18.08,16.35,17.16,5220373.0,21337.0,17.403933
VICI,2020-04-13 04:00:00+00:00,16.99,16.99,15.64,16.58,3144863.0,19376.0,16.353804
VICI,2020-04-14 04:00:00+00:00,16.84,17.68,16.84,16.98,11382877.0,16509.0,17.05146
VICI,2020-04-15 04:00:00+00:00,16.08,16.46,15.85,16.09,3739623.0,17182.0,16.088599
VICI,2020-04-16 04:00:00+00:00,16.09,16.3,15.53,15.75,8912861.0,22584.0,15.819752
