symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VLO,2020-03-12 04:00:00+00:00,50.07,50.675,42.6901,43.96,15709554.0,113797.0,46.336834
VLO,2020-03-13 04:00:00+00:00,48.1,49.99,41.745,49.9,10776499.0,82881.0,46.481186
VLO,2020-03-16 04:00:00+00:00,43.01,47.99,41.19,41.63,9174329.0,73782.0,43.245975
VLO,2020-03-17 04:00:00+00:00,42.11,43.2099,38.0,39.02,9493813.0,80931.0,39.620682
VLO,2020-03-18 04:00:00+00:00,36.41,37.35,31.0,35.02,9530490.0,80231.0,34.139975
VLO,2020-03-19 04:00:00+00:00,34.79,37.47,31.89,37.41,9516352.0,83019.0,35.813999
VLO,2020-03-20 04:00:00+00:00,38.26,41.178,36.42,38.66,10899356.0,81650.0,38.770795
VLO,2020-03-23 04:00:00+00:00,37.31,37.78,32.46,32.62,7020633.0,61238.0,33.938143
VLO,2020-03-24 04:00:00+00:00,36.0,37.3099,33.51,34.65,9609918.0,74256.0,35.038307
VLO,2020-03-25 04:00:00+00:00,36.48,42.49,33.85,39.63,9514668.0,79158.0,39.107742
VLO,2020-03-26 04:00:00+00:00,40.94,47.14,40.143,45.6,10713517.0,93697.0,44.336553
VLO,2020-03-27 04:00:00+00:00,43.0,47.47,42.02,45.04,8730109.0,71335.0,45.12203
VLO,2020-03-30 04:00:00+00:00,42.78,47.48,41.0,47.19,8537010.0,68155.0,45.85145
VLO,2020-03-31 04:00:00+00:00,48.98,49.28,43.8291,45.36,8224251.0,70820.0,46.004241
VLO,2020-04-01 04:00:00+00:00,42.0,43.915,40.5,41.0,5655377.0,51239.0,41.525732
VLO,2020-04-02 04:00:00+00:00,42.81,46.0,40.5,41.5,8668727.0,71270.0,42.07196
VLO,2020-04-03 04:00:00+00:00,41.74,42.0,39.67,40.34,5683822.0,56367.0,40.608842
VLO,2020-04-06 04:00:00+00:00,42.85,46.53,42.85,46.1,6848217.0,56329.0,45.368093
VLO,2020-04-07 04:00:00+00:00,49.37,50.09,46.34,48.01,8148389.0,72506.0,48.771087
VLO,2020-04-08 04:00:00+00:00,48.54,52.76,48.12,51.6,7651207.0,62383.0,50.700596
VLO,2020-04-09 04:00:00+00:00,53.8,53.88,48.34,50.1,8240136.0,79411.0,50.832963
VLO,2020-04-13 04:00:00+00:00,51.94,52.37,48.93,49.7,4936970.0,44007.0,50.158065
VLO,2020-04-14 04:00:00+00:00,49.81,51.48,49.53,50.95,4491457.0,37975.0,50.662813
VLO,2020-04-15 04:00:00+00:00,48.01,48.5,46.01,46.7,5850019.0,50327.0,46.971515
VLO,2020-04-16 04:00:00+00:00,46.7,47.47,44.44,45.0,5528183.0,50794.0,45.095773
VLO,2020-04-17 04:00:00+00:00,46.04,51.91,45.75,51.76,7559006.0,56243.0,50.004919
VLO,2020-04-20 04:00:00+00:00,48.4,52.24,48.28,50.31,5953354.0,50326.0,50.681236
VLO,2020-04-21 04:00:00+00:00,48.26,50.8,47.62,49.45,6010683.0,49761.0,49.714961
VLO,2020-04-22 04:00:00+00:00,51.97,52.74,50.36,50.57,4988570.0,37223.0,51.107188
VLO,2020-04-23 04:00:00+00:00,52.02,53.21,50.89,52.07,5654077.0,43724.0,52.210891
VLO,2020-04-24 04:00:00+00:00,52.8,53.55,51.6084,52.5,4447211.0,36582.0,52.564052
VLO,2020-04-27 04:00:00+00:00,52.55,56.27,52.08,55.57,4074130.0,34323.0,54.727263
VLO,2020-04-28 04:00:00+00:00,57.56,59.2,56.41,57.87,4872275.0,42680.0,58.071743
VLO,2020-04-29 04:00:00+00:00,61.15,66.94,60.5401,66.28,10312866.0,79451.0,64.653735
VLO,2020-04-30 04:00:00+00:00,65.92,66.75,62.18,63.35,7386891.0,56201.0,63.833217
VLO,2020-05-01 04:00:00+00:00,61.05,61.91,58.335,58.76,5005969.0,47223.0,59.176013
VLO,2020-05-04 04:00:00+00:00,58.49,63.73,57.78,63.66,7263699.0,57584.0,62.202397
VLO,2020-05-05 04:00:00+00:00,65.5,66.55,62.42,63.02,6746291.0,54469.0,64.291556
VLO,2020-05-06 04:00:00+00:00,63.47,64.04,60.59,60.91,4862917.0,41614.0,61.329027
VLO,2020-05-07 04:00:00+00:00,62.5,64.05,60.86,61.26,4697378.0,41245.0,61.883521
VLO,2020-05-08 04:00:00+00:00,62.82,66.22,61.555,65.92,4642730.0,40081.0,64.846008
VLO,2020-05-11 04:00:00+00:00,65.02,66.71,65.01,65.57,5365961.0,40991.0,65.885672
VLO,2020-05-12 04:00:00+00:00,66.51,66.87,63.34,63.34,5361774.0,45186.0,64.418502
VLO,2020-05-13 04:00:00+00:00,61.8,62.04,58.725,59.05,6133049.0,58264.0,59.824976
VLO,2020-05-14 04:00:00+00:00,57.6,60.65,55.8101,59.41,5931600.0,45836.0,58.96765
VLO,2020-05-15 04:00:00+00:00,59.19,60.5,57.79,58.78,4150745.0,35215.0,59.374571
VLO,2020-05-18 04:00:00+00:00,61.99,64.905,61.61,64.35,4694910.0,40932.0,63.98079
VLO,2020-05-19 04:00:00+00:00,64.25,65.71,62.51,64.05,4806021.0,44102.0,64.563076
VLO,2020-05-20 04:00:00+00:00,65.83,68.25,65.73,67.34,5656657.0,48016.0,67.433663
VLO,2020-05-21 04:00:00+00:00,67.03,67.79,65.36,65.73,3127060.0,31670.0,66.278915
VLO,2020-05-22 04:00:00+00:00,65.55,65.98,63.95,65.68,3725271.0,36294.0,65.200158
VLO,2020-05-26 04:00:00+00:00,68.2,70.15,68.19,68.7,5500778.0,44109.0,69.128512
VLO,2020-05-27 04:00:00+00:00,70.11,71.285,68.75,70.18,4655196.0,45669.0,70.085389
VLO,2020-05-28 04:00:00+00:00,70.22,70.5,66.53,67.13,5576851.0,42191.0,68.100473
VLO,2020-05-29 04:00:00+00:00,66.96,67.93,65.75,66.64,5963438.0,42171.0,66.70076
VLO,2020-06-01 04:00:00+00:00,66.83,67.34,65.3,66.58,4106337.0,41364.0,66.449354
VLO,2020-06-02 04:00:00+00:00,67.26,68.6899,66.5225,68.19,5321862.0,35712.0,68.057537
VLO,2020-06-03 04:00:00+00:00,69.21,70.93,68.65,70.54,5439829.0,44876.0,69.988021
VLO,2020-06-04 04:00:00+00:00,69.68,70.59,69.16,70.05,3854271.0,34348.0,69.854307
VLO,2020-06-05 04:00:00+00:00,73.09,75.75,73.06,74.64,6315717.0,55480.0,74.75443
VLO,2020-06-08 04:00:00+00:00,76.0,77.11,74.225,75.62,4855736.0,46015.0,75.369556
VLO,2020-06-09 04:00:00+00:00,73.15,73.69,71.03,71.27,5291775.0,54046.0,71.814898
VLO,2020-06-10 04:00:00+00:00,71.62,72.35,68.68,69.05,4977559.0,47489.0,70.049791
VLO,2020-06-11 04:00:00+00:00,64.55,66.52,60.275,60.68,6664993.0,63336.0,62.544445
VLO,2020-06-12 04:00:00+00:00,63.89,64.65,61.665,63.79,3955404.0,41370.0,63.330578
VLO,2020-06-15 04:00:00+00:00,60.87,63.97,59.56,63.59,5490606.0,46761.0,62.328476
VLO,2020-06-16 04:00:00+00:00,66.69,67.77,64.41,66.16,4387314.0,44257.0,66.289647
VLO,2020-06-17 04:00:00+00:00,65.84,65.84,62.3,62.32,4951269.0,40442.0,63.263885
VLO,2020-06-18 04:00:00+00:00,61.7,65.35,61.34,64.63,4167086.0,34273.0,64.46454
VLO,2020-06-19 04:00:00+00:00,66.02,66.86,63.02,63.16,12543778.0,50730.0,63.828022
VLO,2020-06-22 04:00:00+00:00,62.47,63.0,61.46,62.66,3473969.0,30528.0,62.383018
VLO,2020-06-23 04:00:00+00:00,63.4,63.75,62.5,62.65,2853353.0,27557.0,63.009065
VLO,2020-06-24 04:00:00+00:00,61.36,61.58,57.29,58.02,6206112.0,53195.0,58.646562
VLO,2020-06-25 04:00:00+00:00,57.25,58.45,56.585,57.28,5319526.0,46934.0,57.225138
VLO,2020-06-26 04:00:00+00:00,57.05,57.28,55.66,56.32,6177410.0,38882.0,56.32891
VLO,2020-06-29 04:00:00+00:00,56.7,58.19,56.06,56.95,4061443.0,33562.0,57.114563
VLO,2020-06-30 04:00:00+00:00,56.34,59.1,55.77,58.82,5869381.0,34434.0,57.972633
VLO,2020-07-01 04:00:00+00:00,59.2,60.3,56.374,56.44,3400867.0,31332.0,57.30994
VLO,2020-07-02 04:00:00+00:00,57.59,58.28,56.15,56.34,4308111.0,35719.0,56.778763
VLO,2020-07-06 04:00:00+00:00,57.5,57.8,55.15,56.47,3851237.0,34070.0,56.392568
VLO,2020-07-07 04:00:00+00:00,55.5,55.5299,53.01,53.12,6366397.0,60897.0,53.769513
VLO,2020-07-08 04:00:00+00:00,52.79,54.13,52.12,52.98,5968415.0,50656.0,53.181941
VLO,2020-07-09 04:00:00+00:00,52.79,52.82,49.8699,50.22,7607259.0,58371.0,50.695271
