symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VST,2020-03-12 04:00:00+00:00,16.36,16.75,14.27,14.55,10597587.0,53036.0,15.45053
VST,2020-03-13 04:00:00+00:00,15.41,15.91,14.51,15.49,9650962.0,52936.0,15.188952
VST,2020-03-16 04:00:00+00:00,14.26,15.475,13.5,13.69,7126169.0,46808.0,14.102873
VST,2020-03-17 04:00:00+00:00,14.07,14.38,12.665,12.89,5997090.0,34691.0,13.21569
VST,2020-03-18 04:00:00+00:00,12.07,13.04,11.3,12.6,9160351.0,55221.0,12.284676
VST,2020-03-19 04:00:00+00:00,12.43,14.44,12.34,14.22,7938415.0,51031.0,13.838446
VST,2020-03-20 04:00:00+00:00,14.6,14.73,13.825,14.08,14350182.0,67709.0,14.186802
VST,2020-03-23 04:00:00+00:00,14.03,14.12,12.705,12.92,10092933.0,72690.0,13.091509
VST,2020-03-24 04:00:00+00:00,13.73,15.015,13.675,14.61,7098538.0,48318.0,14.440523
VST,2020-03-25 04:00:00+00:00,14.57,15.5299,13.86,14.69,7669947.0,56565.0,14.724481
VST,2020-03-26 04:00:00+00:00,14.84,16.205,14.26,15.79,7965206.0,43247.0,15.639291
VST,2020-03-27 04:00:00+00:00,15.06,16.71,14.72,16.39,7181421.0,41815.0,15.903715
VST,2020-03-30 04:00:00+00:00,16.49,16.63,15.46,16.06,4406151.0,36896.0,15.952379
VST,2020-03-31 04:00:00+00:00,15.83,16.26,15.595,15.96,6145500.0,45302.0,15.968738
VST,2020-04-01 04:00:00+00:00,15.27,15.455,15.04,15.33,4786527.0,36203.0,15.262008
VST,2020-04-02 04:00:00+00:00,15.16,16.03,15.09,15.98,6725031.0,41946.0,15.858251
VST,2020-04-03 04:00:00+00:00,15.85,16.15,15.6,15.83,8576444.0,33368.0,15.843375
VST,2020-04-06 04:00:00+00:00,16.49,16.82,15.73,16.02,7793635.0,33437.0,16.055823
VST,2020-04-07 04:00:00+00:00,16.6,16.97,16.26,16.3,5504057.0,24127.0,16.485437
VST,2020-04-08 04:00:00+00:00,16.4,17.53,16.31,17.46,3218918.0,22814.0,17.094957
VST,2020-04-09 04:00:00+00:00,17.78,18.69,17.415,17.79,3694476.0,28564.0,17.934911
VST,2020-04-13 04:00:00+00:00,17.69,17.74,16.47,17.14,2956777.0,22661.0,16.996891
VST,2020-04-14 04:00:00+00:00,17.46,17.71,16.97,17.42,4676870.0,25688.0,17.34069
VST,2020-04-15 04:00:00+00:00,16.87,16.97,15.975,16.19,5681303.0,38053.0,16.256553
VST,2020-04-16 04:00:00+00:00,16.27,16.32,15.77,16.1,6187052.0,42937.0,16.031183
VST,2020-04-17 04:00:00+00:00,16.5,17.63,16.41,17.54,4970652.0,24960.0,17.34823
VST,2020-04-20 04:00:00+00:00,17.22,17.59,16.68,16.89,5952933.0,38013.0,17.035859
VST,2020-04-21 04:00:00+00:00,16.53,17.075,16.36,17.02,4859400.0,27418.0,16.856099
VST,2020-04-22 04:00:00+00:00,17.39,17.73,17.07,17.64,3122323.0,24359.0,17.500331
VST,2020-04-23 04:00:00+00:00,17.75,17.77,17.37,17.5,2698426.0,18747.0,17.558096
VST,2020-04-24 04:00:00+00:00,17.52,18.2257,17.46,18.04,1936372.0,14530.0,17.951814
VST,2020-04-27 04:00:00+00:00,18.39,19.07,18.13,18.95,3192411.0,24008.0,18.809113
VST,2020-04-28 04:00:00+00:00,19.33,19.94,19.07,19.21,4295843.0,30268.0,19.352901
VST,2020-04-29 04:00:00+00:00,19.79,20.2,19.47,19.75,5458776.0,37652.0,19.8089
VST,2020-04-30 04:00:00+00:00,19.55,19.69,19.08,19.54,4130867.0,25877.0,19.505012
VST,2020-05-01 04:00:00+00:00,19.16,19.52,18.85,19.35,3745692.0,28454.0,19.212311
VST,2020-05-04 04:00:00+00:00,19.15,19.25,18.65,18.97,4053315.0,29230.0,18.871471
VST,2020-05-05 04:00:00+00:00,20.68,20.68,18.68,18.72,5704501.0,37070.0,19.145761
VST,2020-05-06 04:00:00+00:00,18.76,18.87,18.04,18.23,3735385.0,22852.0,18.281271
VST,2020-05-07 04:00:00+00:00,18.42,18.54,17.88,17.95,5102150.0,25091.0,18.073235
VST,2020-05-08 04:00:00+00:00,18.23,19.105,18.09,18.9,3349196.0,22002.0,18.803724
VST,2020-05-11 04:00:00+00:00,18.72,18.72,18.135,18.32,3403484.0,21853.0,18.343641
VST,2020-05-12 04:00:00+00:00,18.27,18.5,18.03,18.1,3164060.0,20570.0,18.228875
VST,2020-05-13 04:00:00+00:00,18.01,18.25,17.5,17.82,5181721.0,42818.0,17.828309
VST,2020-05-14 04:00:00+00:00,17.71,18.745,17.61,18.71,3273342.0,29605.0,18.430043
VST,2020-05-15 04:00:00+00:00,18.49,18.8506,18.37,18.57,3602784.0,25548.0,18.579705
