symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VTRS,2020-11-12 05:00:00+00:00,15.5,15.97,15.34,15.54,2415705.0,4568.0,15.531998
VTRS,2020-11-13 05:00:00+00:00,15.6,15.63,15.33,15.49,1121336.0,434.0,15.540111
VTRS,2020-11-16 05:00:00+00:00,15.99,16.13,15.38,15.66,3292661.0,2383.0,15.664855
VTRS,2020-11-17 05:00:00+00:00,15.39,17.93,15.3,16.34,72112076.0,177493.0,16.564304
VTRS,2020-11-18 05:00:00+00:00,16.46,16.99,15.95,16.19,33184476.0,144189.0,16.214033
VTRS,2020-11-19 05:00:00+00:00,16.0,18.2,15.99,18.11,41974450.0,137091.0,17.49757
VTRS,2020-11-20 05:00:00+00:00,18.4,18.42,17.0,17.13,41779393.0,173706.0,17.41849
VTRS,2020-11-23 05:00:00+00:00,17.2355,17.25,16.5,16.775,22229731.0,115243.0,16.824262
VTRS,2020-11-24 05:00:00+00:00,16.735,17.0,16.29,16.9,25110340.0,121850.0,16.737342
VTRS,2020-11-25 05:00:00+00:00,16.68,17.31,16.55,17.07,16537208.0,83342.0,16.949926
VTRS,2020-11-27 05:00:00+00:00,17.1,17.37,16.9,17.05,11896317.0,45757.0,17.113923
VTRS,2020-11-30 05:00:00+00:00,17.03,17.16,16.8,16.82,26069722.0,81665.0,16.888044
VTRS,2020-12-01 05:00:00+00:00,16.88,17.15,16.74,17.01,17324264.0,74451.0,16.958709
VTRS,2020-12-02 05:00:00+00:00,16.9342,17.27,16.84,17.125,23670264.0,78910.0,17.085379
VTRS,2020-12-03 05:00:00+00:00,17.1358,17.47,16.94,17.37,18362864.0,73727.0,17.214233
VTRS,2020-12-04 05:00:00+00:00,17.33,17.7,17.25,17.6,16719903.0,69233.0,17.473748
VTRS,2020-12-07 05:00:00+00:00,17.61,18.0,17.52,17.57,10890531.0,71083.0,17.682497
VTRS,2020-12-08 05:00:00+00:00,17.41,17.93,17.405,17.84,10480359.0,60937.0,17.71534
VTRS,2020-12-09 05:00:00+00:00,17.85,17.975,17.5,17.52,14153802.0,69863.0,17.632753
VTRS,2020-12-10 05:00:00+00:00,17.32,17.85,17.3,17.69,10501048.0,54231.0,17.648061
VTRS,2020-12-11 05:00:00+00:00,17.5,17.75,17.08,17.34,17471291.0,69759.0,17.382336
VTRS,2020-12-14 05:00:00+00:00,17.34,17.53,17.08,17.33,17899966.0,71332.0,17.339224
VTRS,2020-12-15 05:00:00+00:00,17.4,17.87,17.2,17.73,14251892.0,59479.0,17.676805
VTRS,2020-12-16 05:00:00+00:00,17.62,18.27,17.56,17.865,22076010.0,67178.0,17.89453
VTRS,2020-12-17 05:00:00+00:00,17.75,17.89,17.55,17.72,18798619.0,59972.0,17.690439
VTRS,2020-12-18 05:00:00+00:00,17.7,17.8,17.515,17.75,25949071.0,49996.0,17.701437
VTRS,2020-12-21 05:00:00+00:00,17.4,17.55,17.25,17.39,19355536.0,56162.0,17.373542
VTRS,2020-12-22 05:00:00+00:00,17.43,17.84,17.27,17.74,15605448.0,51688.0,17.686394
VTRS,2020-12-23 05:00:00+00:00,17.7467,18.04,17.66,17.885,6983513.0,38289.0,17.867745
VTRS,2020-12-24 05:00:00+00:00,17.8,17.92,17.67,17.77,2197207.0,14488.0,17.763643
VTRS,2020-12-28 05:00:00+00:00,17.8561,17.88,17.62,17.74,5466273.0,35720.0,17.740569
VTRS,2020-12-29 05:00:00+00:00,17.6607,17.8,17.52,17.75,5351706.0,35432.0,17.700081
VTRS,2020-12-30 05:00:00+00:00,17.61,18.18,17.58,18.13,11232952.0,52225.0,17.952905
VTRS,2020-12-31 05:00:00+00:00,18.22,18.86,18.03,18.74,15703140.0,70715.0,18.607821
VTRS,2021-01-04 05:00:00+00:00,18.66,18.77,18.21,18.54,13595425.0,72754.0,18.558534
