symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WAB,2020-03-12 04:00:00+00:00,52.55,56.12,50.54,52.49,4613709.0,44016.0,53.30626
WAB,2020-03-13 04:00:00+00:00,56.15,57.29,52.56,54.95,4132154.0,38980.0,55.175025
WAB,2020-03-16 04:00:00+00:00,49.0,51.0669,47.57,48.08,3110382.0,32265.0,49.2721
WAB,2020-03-17 04:00:00+00:00,49.24,50.25,46.1,50.16,2997362.0,32406.0,48.562264
WAB,2020-03-18 04:00:00+00:00,47.23,47.54,35.07,41.02,4982125.0,41995.0,41.818239
WAB,2020-03-19 04:00:00+00:00,40.0,43.6,38.98,42.62,3886615.0,35786.0,40.535769
WAB,2020-03-20 04:00:00+00:00,42.9,46.5,40.01,40.75,4067427.0,36916.0,42.77972
WAB,2020-03-23 04:00:00+00:00,40.71,43.0,39.59,41.13,2098756.0,24693.0,41.130662
WAB,2020-03-24 04:00:00+00:00,44.05,46.27,43.64,45.95,2617659.0,24471.0,45.372458
WAB,2020-03-25 04:00:00+00:00,46.27,49.6216,43.73,46.7,2381334.0,21340.0,46.917937
WAB,2020-03-26 04:00:00+00:00,47.45,50.78,46.43,50.51,2263748.0,23168.0,49.471816
WAB,2020-03-27 04:00:00+00:00,47.67,49.34,47.02,47.58,2771920.0,23469.0,47.638569
WAB,2020-03-30 04:00:00+00:00,46.94,49.45,46.415,49.22,1679774.0,19250.0,48.510475
WAB,2020-03-31 04:00:00+00:00,49.16,50.75,47.87,48.13,1969697.0,19315.0,48.555831
WAB,2020-04-01 04:00:00+00:00,45.94,47.125,45.26,46.12,2048272.0,24283.0,46.002498
WAB,2020-04-02 04:00:00+00:00,46.0,46.45,42.65,43.84,2732252.0,26793.0,44.357177
WAB,2020-04-03 04:00:00+00:00,42.44,44.42,42.0895,44.06,1914714.0,19249.0,43.47157
WAB,2020-04-06 04:00:00+00:00,46.44,49.43,46.36,49.09,1374124.0,16905.0,48.61284
WAB,2020-04-07 04:00:00+00:00,52.59,53.24,49.88,49.93,1580398.0,17612.0,50.999959
