symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WEC,2020-03-12 04:00:00+00:00,91.49,98.12,78.93,91.64,3311308.0,37478.0,91.642175
WEC,2020-03-13 04:00:00+00:00,95.26,99.55,92.235,99.42,4101918.0,41332.0,96.607889
WEC,2020-03-16 04:00:00+00:00,91.49,101.37,90.0001,92.68,4479506.0,54802.0,94.938836
WEC,2020-03-17 04:00:00+00:00,95.25,109.53,94.7,102.46,6122744.0,71946.0,102.29629
WEC,2020-03-18 04:00:00+00:00,98.47,107.4,92.03,104.53,4706510.0,50943.0,103.24102
WEC,2020-03-19 04:00:00+00:00,103.76,104.99,90.01,90.41,3191915.0,38905.0,95.788526
WEC,2020-03-20 04:00:00+00:00,90.57,90.57,72.08,74.09,5523038.0,47121.0,79.254361
WEC,2020-03-23 04:00:00+00:00,73.27,76.44,68.01,70.89,4084578.0,45400.0,71.765046
WEC,2020-03-24 04:00:00+00:00,72.27,80.68,70.29,80.21,3446879.0,34525.0,77.539861
WEC,2020-03-25 04:00:00+00:00,79.64,84.0,77.3,80.74,2753727.0,25241.0,80.859891
WEC,2020-03-26 04:00:00+00:00,81.04,88.25,80.3601,86.77,2443711.0,26506.0,86.094364
WEC,2020-03-27 04:00:00+00:00,84.33,92.73,83.21,89.07,2116469.0,20081.0,88.783054
WEC,2020-03-30 04:00:00+00:00,90.61,92.6,89.16,91.89,2335246.0,24853.0,91.24825
WEC,2020-03-31 04:00:00+00:00,90.36,91.21,86.91,88.13,5364658.0,36082.0,88.210233
WEC,2020-04-01 04:00:00+00:00,84.96,86.9,80.56,83.52,2447250.0,27624.0,82.888927
WEC,2020-04-02 04:00:00+00:00,81.43,88.62,80.58,88.01,2077634.0,25179.0,87.187584
WEC,2020-04-03 04:00:00+00:00,86.68,87.77,85.01,85.25,2357800.0,28048.0,85.821112
WEC,2020-04-06 04:00:00+00:00,87.68,92.37,87.16,91.28,2351598.0,25667.0,90.821392
WEC,2020-04-07 04:00:00+00:00,93.12,93.61,87.16,87.76,1992540.0,21898.0,89.366585
WEC,2020-04-08 04:00:00+00:00,88.36,92.88,87.52,92.2,1792227.0,24139.0,90.888011
WEC,2020-04-09 04:00:00+00:00,92.9,98.78,92.61,98.22,2444902.0,31599.0,97.574262
WEC,2020-04-13 04:00:00+00:00,96.8,97.97,93.91,95.02,1278537.0,16286.0,95.246999
WEC,2020-04-14 04:00:00+00:00,97.14,99.42,95.61,99.33,2038211.0,19236.0,98.554418
WEC,2020-04-15 04:00:00+00:00,98.02,98.74,96.0,96.89,2215022.0,25297.0,97.163311
WEC,2020-04-16 04:00:00+00:00,97.61,99.6,96.55,98.96,1688747.0,18315.0,98.653081
WEC,2020-04-17 04:00:00+00:00,100.26,101.0,97.2325,100.34,1612973.0,16132.0,99.417313
WEC,2020-04-20 04:00:00+00:00,99.6,100.17,95.8,95.88,1754557.0,17740.0,96.790935
WEC,2020-04-21 04:00:00+00:00,94.14,96.4625,93.62,95.14,1956873.0,23223.0,94.906627
WEC,2020-04-22 04:00:00+00:00,96.62,97.96,96.18,96.4,1597831.0,18404.0,96.825435
WEC,2020-04-23 04:00:00+00:00,96.06,97.54,94.07,94.39,1583172.0,18530.0,95.004212
WEC,2020-04-24 04:00:00+00:00,94.59,94.71,92.27,93.77,2176321.0,22778.0,93.399223
WEC,2020-04-27 04:00:00+00:00,94.04,94.85,91.47,91.52,1558752.0,15363.0,92.332233
WEC,2020-04-28 04:00:00+00:00,92.66,94.83,92.25,94.73,2045522.0,23479.0,94.103859
WEC,2020-04-29 04:00:00+00:00,95.635,95.94,92.0,93.31,1529365.0,17061.0,93.646097
WEC,2020-04-30 04:00:00+00:00,93.14,93.55,89.79,90.55,1829887.0,19411.0,90.752754
