symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WELL,2020-03-12 04:00:00+00:00,52.15,52.15,39.94,45.95,13650198.0,99546.0,45.260056
WELL,2020-03-13 04:00:00+00:00,50.29,52.32,44.62,51.28,10283348.0,82487.0,49.400079
WELL,2020-03-16 04:00:00+00:00,44.39,44.78,38.0,38.77,7656755.0,70414.0,40.79861
WELL,2020-03-17 04:00:00+00:00,39.81,41.95,35.3,38.63,8597624.0,81960.0,38.911008
WELL,2020-03-18 04:00:00+00:00,35.9,36.82,24.27,33.22,9206157.0,72986.0,32.059999
WELL,2020-03-19 04:00:00+00:00,32.85,42.471,30.75,40.92,8351050.0,65438.0,39.129719
WELL,2020-03-20 04:00:00+00:00,42.57,46.45,41.35,42.42,12315982.0,98881.0,43.432117
WELL,2020-03-23 04:00:00+00:00,40.79,45.84,38.07,43.49,8113231.0,72694.0,42.184833
WELL,2020-03-24 04:00:00+00:00,46.5,48.71,42.835,45.37,7923202.0,65774.0,45.768376
WELL,2020-03-25 04:00:00+00:00,45.65,48.8,42.84,46.16,9477148.0,62436.0,46.211307
WELL,2020-03-26 04:00:00+00:00,47.3,50.78,44.56,50.41,8378625.0,79403.0,49.336321
WELL,2020-03-27 04:00:00+00:00,47.67,50.52,45.9,49.7,5302677.0,52829.0,48.841928
WELL,2020-03-30 04:00:00+00:00,48.65,49.36,45.03,47.18,6125515.0,53234.0,46.528252
WELL,2020-03-31 04:00:00+00:00,46.99,47.29,44.53,45.78,7857825.0,60881.0,45.826216
WELL,2020-04-01 04:00:00+00:00,42.89,43.25,38.8801,40.6,5480596.0,53890.0,40.664186
WELL,2020-04-02 04:00:00+00:00,40.26,42.0998,37.57,38.79,4574463.0,34655.0,39.037408
WELL,2020-04-03 04:00:00+00:00,37.76,39.3,36.23,37.26,6023317.0,51523.0,37.212414
WELL,2020-04-06 04:00:00+00:00,40.99,42.975,40.0,42.51,5923821.0,52483.0,42.040041
WELL,2020-04-07 04:00:00+00:00,44.79,48.213,44.29,44.4,5360467.0,46689.0,46.049464
WELL,2020-04-08 04:00:00+00:00,45.39,52.74,44.49,51.59,5625411.0,50747.0,49.915273
WELL,2020-04-09 04:00:00+00:00,54.03,58.0,53.98,56.6,8431290.0,80266.0,56.58162
WELL,2020-04-13 04:00:00+00:00,56.63,57.0,51.7,52.48,3982825.0,37064.0,52.911183
WELL,2020-04-14 04:00:00+00:00,53.43,55.44,52.93,53.35,3585401.0,30132.0,53.681167
WELL,2020-04-15 04:00:00+00:00,50.57,51.82,48.0,48.53,3480913.0,30396.0,48.867692
WELL,2020-04-16 04:00:00+00:00,49.01,49.1,46.66,47.24,2732995.0,26795.0,47.549577
WELL,2020-04-17 04:00:00+00:00,49.57,50.0,48.0923,49.1,4934984.0,33868.0,49.08887
WELL,2020-04-20 04:00:00+00:00,47.33,48.23,45.26,45.38,3124999.0,29634.0,46.269913
WELL,2020-04-21 04:00:00+00:00,42.57,44.22,42.02,43.73,3640857.0,29344.0,43.352332
WELL,2020-04-22 04:00:00+00:00,45.28,45.48,43.84,44.29,2543389.0,21062.0,44.337366
WELL,2020-04-23 04:00:00+00:00,44.7,45.31,43.04,43.11,4060910.0,25433.0,43.556101
WELL,2020-04-24 04:00:00+00:00,43.16,44.14,42.65,44.06,3698366.0,27657.0,43.658424
WELL,2020-04-27 04:00:00+00:00,44.32,46.49,44.25,45.94,3496331.0,24877.0,45.763775
WELL,2020-04-28 04:00:00+00:00,48.6,49.35,46.48,49.06,4025419.0,36987.0,48.543945
WELL,2020-04-29 04:00:00+00:00,51.2,52.97,49.19,52.54,4375548.0,38876.0,51.9837
WELL,2020-04-30 04:00:00+00:00,49.76,51.53,49.61,51.23,4541975.0,35828.0,50.735012
WELL,2020-05-01 04:00:00+00:00,48.76,48.76,46.95,47.33,3612329.0,29404.0,47.58092
WELL,2020-05-04 04:00:00+00:00,46.58,48.39,45.75,48.32,2383834.0,25432.0,47.674703
WELL,2020-05-05 04:00:00+00:00,49.31,50.105,48.02,48.2,5332940.0,28395.0,49.048551
WELL,2020-05-06 04:00:00+00:00,48.3,48.4899,45.22,45.32,3814007.0,33991.0,45.900506
WELL,2020-05-07 04:00:00+00:00,43.5,46.89,41.31,42.0,11438746.0,73200.0,43.170485
WELL,2020-05-08 04:00:00+00:00,42.07,44.78,40.75,44.55,7116702.0,52679.0,43.175682
WELL,2020-05-11 04:00:00+00:00,43.88,45.05,42.0,42.06,5803011.0,37560.0,42.836796
WELL,2020-05-12 04:00:00+00:00,42.13,42.42,38.98,39.77,7993286.0,58883.0,39.761778
WELL,2020-05-13 04:00:00+00:00,39.16,39.87,37.51,37.96,6991812.0,59235.0,38.613885
WELL,2020-05-14 04:00:00+00:00,36.8,40.4,36.08,40.34,5544776.0,54707.0,38.717747
WELL,2020-05-15 04:00:00+00:00,39.6,40.93,39.43,40.65,8576112.0,47038.0,40.377541
WELL,2020-05-18 04:00:00+00:00,42.22,45.61,42.21,45.13,5632692.0,45632.0,44.597401
WELL,2020-05-19 04:00:00+00:00,45.12,46.15,43.54,45.2,3523383.0,33471.0,45.226719
WELL,2020-05-20 04:00:00+00:00,45.18,45.99,44.635,45.75,4405780.0,27000.0,45.543574
WELL,2020-05-21 04:00:00+00:00,45.75,46.86,45.36,46.42,3802022.0,28436.0,46.273335
WELL,2020-05-22 04:00:00+00:00,46.44,47.86,46.21,47.82,2569445.0,26969.0,47.224994
WELL,2020-05-26 04:00:00+00:00,52.1,52.99,50.02,51.12,5919196.0,45959.0,51.12689
WELL,2020-05-27 04:00:00+00:00,53.3,53.97,51.16,51.89,5006279.0,44717.0,51.970781
WELL,2020-05-28 04:00:00+00:00,52.52,52.82,50.74,51.34,4358155.0,36308.0,51.376643
