symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WFC,2020-03-12 04:00:00+00:00,29.81,30.86,27.12,29.65,72635080.0,304079.0,28.271692
WFC,2020-03-13 04:00:00+00:00,30.15,31.755,27.77,30.89,83986403.0,366537.0,29.378963
WFC,2020-03-16 04:00:00+00:00,26.34,29.23,26.3,26.5,63121448.0,288278.0,27.476453
WFC,2020-03-17 04:00:00+00:00,27.63,30.62,25.89,29.63,65315115.0,317574.0,28.733402
WFC,2020-03-18 04:00:00+00:00,27.7,28.89,26.9,28.12,55243273.0,354912.0,27.854331
WFC,2020-03-19 04:00:00+00:00,27.66,29.11,26.2875,28.29,56967261.0,323487.0,27.792784
WFC,2020-03-20 04:00:00+00:00,28.68,28.75,26.18,26.5,88786976.0,354580.0,26.8181
WFC,2020-03-23 04:00:00+00:00,26.26,26.87,25.105,25.25,50913052.0,282445.0,25.702495
WFC,2020-03-24 04:00:00+00:00,26.96,29.17,26.33,28.92,53338981.0,268565.0,27.837538
WFC,2020-03-25 04:00:00+00:00,29.0,30.2966,27.77,28.97,60345764.0,300304.0,29.055986
WFC,2020-03-26 04:00:00+00:00,29.33,31.39,29.08,30.9,49816895.0,259053.0,30.568598
WFC,2020-03-27 04:00:00+00:00,30.02,31.29,29.08,30.28,41254932.0,219741.0,30.058031
WFC,2020-03-30 04:00:00+00:00,30.36,30.48,28.89,29.92,43845663.0,238624.0,29.470221
WFC,2020-03-31 04:00:00+00:00,29.41,29.75,28.16,28.7,40263526.0,187205.0,28.957337
WFC,2020-04-01 04:00:00+00:00,27.0197,27.37,26.2,26.57,51481903.0,255243.0,26.654075
WFC,2020-04-02 04:00:00+00:00,26.47,27.53,26.38,27.22,37646463.0,190487.0,26.994308
WFC,2020-04-03 04:00:00+00:00,27.0,27.36,25.91,26.23,34591158.0,189584.0,26.339813
WFC,2020-04-06 04:00:00+00:00,27.41,28.83,27.4,28.63,40247215.0,179624.0,28.226867
WFC,2020-04-07 04:00:00+00:00,30.68,30.78,28.71,28.77,41253216.0,226349.0,29.611812
