symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WM,2020-03-12 04:00:00+00:00,103.0,104.4,97.64,97.74,5546002.0,62513.0,100.10859
WM,2020-03-13 04:00:00+00:00,101.11,105.32,97.36,105.32,6588515.0,55831.0,101.681898
WM,2020-03-16 04:00:00+00:00,92.69,105.69,85.5,99.89,5585871.0,58518.0,100.058891
WM,2020-03-17 04:00:00+00:00,100.72,110.8499,100.72,108.93,5579545.0,63894.0,106.484775
WM,2020-03-18 04:00:00+00:00,102.65,105.99,98.86,100.01,4845212.0,56661.0,101.143573
WM,2020-03-19 04:00:00+00:00,101.86,102.64,97.915,99.85,4337018.0,48744.0,100.246892
WM,2020-03-20 04:00:00+00:00,100.1,100.55,96.61,98.31,7874754.0,58302.0,98.720614
WM,2020-03-23 04:00:00+00:00,99.21,99.5,87.08,87.87,7173031.0,68487.0,90.556581
WM,2020-03-24 04:00:00+00:00,91.19,93.57,90.0,92.07,5168439.0,60646.0,91.861153
WM,2020-03-25 04:00:00+00:00,91.85,93.7,85.34,90.94,7236208.0,71936.0,90.401644
WM,2020-03-26 04:00:00+00:00,90.9,98.22,90.75,97.68,5529452.0,58576.0,95.752687
WM,2020-03-27 04:00:00+00:00,95.24,98.35,93.57,95.3,4849977.0,39829.0,95.282264
WM,2020-03-30 04:00:00+00:00,96.14,97.67,92.6,94.6,4050014.0,45072.0,94.505519
WM,2020-03-31 04:00:00+00:00,93.58,93.74,90.82,92.56,5864408.0,48241.0,92.564258
WM,2020-04-01 04:00:00+00:00,90.15,90.3,86.9,88.43,3756263.0,45512.0,88.288348
WM,2020-04-02 04:00:00+00:00,87.6,91.88,87.35,91.14,4371498.0,41075.0,90.271778
WM,2020-04-03 04:00:00+00:00,90.61,91.559,87.961,89.02,3106572.0,31650.0,89.201935
WM,2020-04-06 04:00:00+00:00,92.01,92.45,90.54,91.29,6165672.0,58306.0,91.2661
WM,2020-04-07 04:00:00+00:00,95.21,95.51,91.17,91.43,5709869.0,58496.0,92.972819
WM,2020-04-08 04:00:00+00:00,92.22,96.19,90.91,95.62,4083195.0,46736.0,94.219621
WM,2020-04-09 04:00:00+00:00,96.55,101.96,96.53,99.85,3778042.0,47655.0,99.897307
WM,2020-04-13 04:00:00+00:00,99.64,100.64,96.075,96.75,2096483.0,28400.0,97.329739
WM,2020-04-14 04:00:00+00:00,99.15,99.93,96.91,99.63,3494626.0,32807.0,98.905188
