Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ABBV,78.85,81.29,77.06,78.61,21661023.0
2020-03-13,ABBV,83.36,86.32,80.695,85.37,25206701.0
2020-03-16,ABBV,79.0,82.18,73.58,74.27,22673278.0
2020-03-17,ABBV,75.71,77.71,69.99,73.02,24695156.0
2020-03-18,ABBV,70.0,71.39,64.685,71.03,25061802.0
2020-03-19,ABBV,69.1,74.85,65.33,71.06,21410563.0
2020-03-20,ABBV,73.0,73.0,66.81,68.82,20932691.0
2020-03-23,ABBV,67.38,67.75,62.55,64.5,20531604.0
2020-03-24,ABBV,68.16,71.82,67.09,67.49,21123617.0
2020-03-25,ABBV,67.92,70.675,65.55,67.91,21782423.0
2020-03-26,ABBV,68.82,74.3142,68.76,73.83,17520402.0
2020-03-27,ABBV,71.63,75.06,70.71,72.67,13451785.0
2020-03-30,ABBV,73.52,76.24,73.47,75.24,11428211.0
2020-03-31,ABBV,75.66,77.92,74.44,76.19,27361413.0
2020-04-01,ABBV,72.12,73.99,71.43,73.42,13815264.0
2020-04-02,ABBV,72.78,75.5,71.46,75.13,8689234.0
2020-04-03,ABBV,74.65,75.44,72.55,73.37,8829171.0
2020-04-06,ABBV,75.74,77.26,74.03,75.73,11863781.0
2020-04-07,ABBV,78.18,78.575,75.25,75.39,13045020.0
2020-04-08,ABBV,76.47,78.98,74.7819,78.56,13726956.0
2020-04-09,ABBV,78.56,80.08,78.56,79.75,10242399.0
2020-04-13,ABBV,80.66,81.33,78.66,80.3,10741788.0
2020-04-14,ABBV,80.62,82.85,80.29,82.13,12849449.0
2020-04-15,ABBV,80.51,83.04,79.62,81.82,9830316.0
2020-04-16,ABBV,82.73,83.72,81.58,81.86,11912520.0
2020-04-17,ABBV,84.0,84.79,82.5,83.45,12627559.0
2020-04-20,ABBV,83.54,85.3299,82.63,83.99,10121128.0
2020-04-21,ABBV,82.51,82.97,80.02,80.36,10498241.0
2020-04-22,ABBV,81.23,82.45,80.73,81.47,7714907.0
2020-04-23,ABBV,82.18,83.83,81.96,82.04,9571571.0
2020-04-24,ABBV,82.87,83.67,82.35,83.59,7416433.0
2020-04-27,ABBV,84.03,84.92,83.779,84.69,10845405.0
2020-04-28,ABBV,85.7,85.97,82.37,82.76,8825670.0
2020-04-29,ABBV,83.72,84.75,82.14,83.76,8878964.0
2020-04-30,ABBV,82.97,83.26,81.23,82.2,21158524.0
2020-05-01,ABBV,81.95,84.23,80.5,82.84,13475573.0
2020-05-04,ABBV,82.22,82.84,81.12,81.86,7468923.0
2020-05-05,ABBV,82.95,86.48,82.595,85.37,11670462.0
2020-05-06,ABBV,86.28,88.145,85.2467,85.42,18026055.0
