Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ABT,73.28,78.15,72.01,74.74,15705526.0
2020-03-13,ABT,77.91,82.67,74.83,81.65,19812160.0
2020-03-16,ABT,71.21,79.25,70.0,73.66,15637916.0
2020-03-17,ABT,75.52,79.79,73.34,79.49,14648342.0
2020-03-18,ABT,74.98,81.99,74.39,79.26,19073439.0
2020-03-19,ABT,81.36,81.81,73.55,74.5,15741057.0
2020-03-20,ABT,74.05,74.86,67.95,68.0,17326625.0
2020-03-23,ABT,66.85,67.49,61.61,62.82,14245459.0
2020-03-24,ABT,64.91,69.97,64.5,69.69,12294510.0
2020-03-25,ABT,68.95,72.6272,68.15,70.75,10524068.0
2020-03-26,ABT,71.08,75.97,71.0,75.81,12492839.0
2020-03-27,ABT,77.5,77.5,73.612,74.56,9539977.0
2020-03-30,ABT,82.83,84.4,78.47,79.34,48410991.0
2020-03-31,ABT,81.43,81.49,78.56,78.91,25138192.0
2020-04-01,ABT,77.0,77.38,75.35,76.57,13158243.0
2020-04-02,ABT,76.1,79.6565,76.0,79.44,10842932.0
2020-04-03,ABT,78.79,79.99,78.18,79.45,9935070.0
2020-04-06,ABT,81.08,83.12,79.605,82.73,13807686.0
2020-04-07,ABT,83.45,84.48,81.7679,81.93,11932187.0
2020-04-08,ABT,82.5,85.39,81.05,84.95,10288905.0
2020-04-09,ABT,85.0,86.5,82.95,86.04,11087270.0
2020-04-13,ABT,86.32,86.48,83.52,85.85,7093374.0
2020-04-14,ABT,87.03,89.537,86.5,89.14,10554868.0
2020-04-15,ABT,90.01,91.9,88.51,90.94,14996103.0
2020-04-16,ABT,92.6,96.985,91.14,96.0,28024981.0
2020-04-17,ABT,97.45,97.75,94.24,96.01,16990595.0
2020-04-20,ABT,94.82,100.0,94.65,98.0,18577537.0
2020-04-21,ABT,96.1,96.97,93.62,94.05,12681507.0
2020-04-22,ABT,94.28,95.98,92.79,95.48,8845008.0
2020-04-23,ABT,95.84,97.45,93.35,93.94,10946585.0
2020-04-24,ABT,94.45,94.58,92.775,94.06,9839254.0
2020-04-27,ABT,95.48,95.9,94.02,94.95,7362104.0
2020-04-28,ABT,94.88,95.15,91.335,91.46,8295651.0
2020-04-29,ABT,92.09,93.05,91.0705,92.28,7842741.0
2020-04-30,ABT,91.85,93.77,91.85,92.09,9964245.0
2020-05-01,ABT,91.0,91.3575,88.75,89.85,7543370.0
2020-05-04,ABT,89.79,90.16,88.71,89.83,5533817.0
2020-05-05,ABT,90.95,93.66,90.39,93.03,7168052.0
2020-05-06,ABT,93.15,93.43,91.03,91.08,4725371.0
2020-05-07,ABT,92.14,94.54,91.81,93.99,8109602.0
2020-05-08,ABT,94.84,94.94,92.895,93.7,6791167.0
2020-05-11,ABT,93.22,96.49,93.14,96.07,8078561.0
2020-05-12,ABT,96.46,96.68,93.73,93.8,6085080.0
2020-05-13,ABT,93.24,94.665,90.84,92.16,12330293.0
2020-05-14,ABT,90.5,91.78,89.34,91.78,8699498.0
2020-05-15,ABT,89.97,91.16,88.79,89.89,17486983.0
2020-05-18,ABT,91.9,93.0,90.02,90.27,8517261.0
2020-05-19,ABT,90.33,90.5,88.11,88.22,8787989.0
2020-05-20,ABT,89.58,90.42,88.031,90.09,8128120.0
2020-05-21,ABT,89.64,90.61,88.38,90.39,6518304.0
2020-05-22,ABT,90.47,91.54,89.71,91.47,5710969.0
2020-05-26,ABT,92.95,93.29,89.17,89.48,7422075.0
2020-05-27,ABT,89.42,90.78,88.17,90.76,5990124.0
2020-05-28,ABT,91.95,93.325,91.21,92.1,5872805.0
2020-05-29,ABT,92.9,95.59,90.75,94.92,13416030.0
2020-06-01,ABT,92.81,93.96,92.0419,93.01,5928081.0
2020-06-02,ABT,92.92,93.15,91.76,92.62,7604814.0
2020-06-03,ABT,92.56,92.7,90.56,91.4,8678157.0
2020-06-04,ABT,91.05,91.335,88.235,88.25,9819011.0
2020-06-05,ABT,88.47,89.96,87.32,89.86,12782403.0
2020-06-08,ABT,88.98,92.61,88.91,92.56,6098419.0
2020-06-09,ABT,92.32,92.82,90.24,90.27,5513271.0
2020-06-10,ABT,90.85,92.75,90.64,92.16,6429571.0
2020-06-11,ABT,92.13,92.5,86.94,87.78,9234127.0
2020-06-12,ABT,89.25,90.19,87.59,89.02,6338159.0
2020-06-15,ABT,87.45,90.35,87.05,89.55,6408760.0
2020-06-16,ABT,90.57,91.76,89.14,89.74,6925837.0
2020-06-17,ABT,90.42,91.6723,90.1,90.9,4967884.0
2020-06-18,ABT,90.5,91.34,89.57,90.28,6668499.0
2020-06-19,ABT,91.67,92.4,90.61,90.68,12886549.0
2020-06-22,ABT,90.33,90.65,89.16,90.34,5646823.0
2020-06-23,ABT,91.11,92.3,90.79,91.3,4679703.0
2020-06-24,ABT,90.63,90.73,86.822,87.3,6875418.0
2020-06-25,ABT,87.25,89.81,86.16,89.62,6234406.0
2020-06-26,ABT,89.82,89.95,87.94,88.71,10522843.0
2020-06-29,ABT,89.58,89.7,88.09,89.01,5426327.0
2020-06-30,ABT,88.75,91.9,88.435,91.43,6422353.0
2020-07-01,ABT,91.98,91.98,90.43,91.64,3824486.0
2020-07-02,ABT,92.5,93.06,91.93,92.23,4543580.0
2020-07-06,ABT,92.76,93.97,92.453,92.97,6528613.0
2020-07-07,ABT,92.38,93.4,92.09,92.46,3959622.0
2020-07-08,ABT,92.84,93.6689,91.4984,92.58,4371365.0
2020-07-09,ABT,92.7,94.88,91.85,93.67,5000705.0
2020-07-10,ABT,93.47,93.8,92.3238,93.04,3299734.0
2020-07-13,ABT,93.14,95.62,92.79,93.09,4843038.0
2020-07-14,ABT,92.64,94.98,91.71,94.82,4728403.0
2020-07-15,ABT,95.9,97.13,95.77,96.73,6674564.0
2020-07-16,ABT,97.85,97.99,94.29,96.4,8220096.0
2020-07-17,ABT,97.87,100.0,97.68,99.25,9685941.0
2020-07-20,ABT,100.0,100.71,98.72,99.08,6167080.0
2020-07-21,ABT,98.88,99.48,97.76,98.19,5538386.0
2020-07-22,ABT,98.11,100.57,98.0,100.19,5141432.0
2020-07-23,ABT,100.28,101.98,100.07,100.82,6423868.0
2020-07-24,ABT,100.21,100.21,98.36,98.95,5085932.0
2020-07-27,ABT,98.55,100.28,98.4111,99.99,4166034.0
2020-07-28,ABT,100.14,100.79,99.27,99.86,4401554.0
2020-07-29,ABT,100.18,102.8931,100.09,102.52,5127716.0
2020-07-30,ABT,100.98,101.58,100.24,101.53,3518860.0
2020-07-31,ABT,101.21,101.37,99.12,100.64,5650423.0
2020-08-03,ABT,101.08,101.55,100.21,100.68,4188004.0
2020-08-04,ABT,100.16,100.68,99.28,99.93,2994562.0
2020-08-05,ABT,99.95,102.36,99.88,102.14,4884745.0
2020-08-06,ABT,101.52,101.8,99.92,101.75,4338963.0
2020-08-07,ABT,101.6999,102.3,100.56,101.23,3578662.0
2020-08-10,ABT,100.94,101.26,100.03,100.04,3070249.0
2020-08-11,ABT,100.43,100.43,98.67,99.06,5739324.0
2020-08-12,ABT,99.55,101.1,99.315,100.65,3139468.0
2020-08-13,ABT,100.34,101.2693,100.0,101.1,3238517.0
2020-08-14,ABT,100.93,101.22,99.575,99.99,3203288.0
2020-08-17,ABT,100.3,101.42,100.21,100.71,5821575.0
2020-08-18,ABT,101.07,101.72,100.43,100.96,4542363.0
2020-08-19,ABT,101.08,101.62,100.33,100.48,3418504.0
2020-08-20,ABT,99.99,102.02,99.75,101.63,4151237.0
2020-08-21,ABT,101.63,102.54,100.84,102.4,4017613.0
2020-08-24,ABT,102.74,103.23,100.7,101.39,3621662.0
2020-08-25,ABT,101.98,102.9026,101.52,102.47,2953897.0
2020-08-26,ABT,101.84,103.29,101.26,103.19,3476413.0
2020-08-27,ABT,111.01,114.0,109.52,111.29,36975684.0
2020-08-28,ABT,113.54,114.195,109.405,110.79,18204960.0
2020-08-31,ABT,110.7,111.74,109.26,109.47,7946515.0
2020-09-01,ABT,108.93,109.065,105.58,106.55,8653634.0
2020-09-02,ABT,106.45,109.91,105.88,109.44,6458472.0
