Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ADM,32.95,33.76,31.46,31.54,7759933.0
2020-03-13,ADM,33.09,34.69,31.33,34.64,6890308.0
2020-03-16,ADM,31.1,34.59,31.01,32.68,6311230.0
2020-03-17,ADM,33.56,35.28,33.1,35.26,5035575.0
2020-03-18,ADM,33.06,33.33,31.06,33.02,5044297.0
2020-03-19,ADM,32.92,35.0,31.6,33.46,4002922.0
2020-03-20,ADM,33.89,33.89,30.43,30.61,5882416.0
2020-03-23,ADM,30.14,31.0,28.92,29.31,5250844.0
2020-03-24,ADM,30.85,32.49,30.5,32.32,5911608.0
2020-03-25,ADM,32.38,34.035,31.88,32.7,4413479.0
2020-03-26,ADM,33.12,34.79,32.83,34.46,4004772.0
2020-03-27,ADM,33.5,34.43,33.15,33.5,3676172.0
2020-03-30,ADM,33.78,36.0,33.28,35.83,3640361.0
2020-03-31,ADM,35.86,36.48,34.73,35.18,4460279.0
2020-04-01,ADM,33.52,34.97,33.515,33.87,3904294.0
2020-04-02,ADM,33.72,35.2,33.54,34.33,3250638.0
2020-04-03,ADM,34.05,34.785,33.85,34.65,2974158.0
2020-04-06,ADM,35.84,36.015,35.26,35.78,5625932.0
2020-04-07,ADM,36.81,37.58,35.86,35.98,3623940.0
2020-04-08,ADM,36.23,36.84,35.7734,36.48,2924982.0
2020-04-09,ADM,36.79,37.84,36.66,37.58,4800867.0
2020-04-13,ADM,37.26,37.4,35.6527,36.07,3426639.0
2020-04-14,ADM,36.9,37.52,36.44,37.24,3907683.0
2020-04-15,ADM,36.24,36.5,35.23,35.49,3017220.0
2020-04-16,ADM,35.63,35.895,34.68,35.66,3235298.0
2020-04-17,ADM,36.7,37.35,36.3112,37.19,4225089.0
2020-04-20,ADM,36.51,37.49,36.31,36.34,2898671.0
2020-04-21,ADM,35.75,35.78,34.86,35.0,3351248.0
2020-04-22,ADM,35.52,35.71,34.76,35.4,3485888.0
2020-04-23,ADM,35.59,36.2,35.47,35.74,2583499.0
2020-04-24,ADM,36.08,36.16,35.36,35.99,2708271.0
2020-04-27,ADM,35.87,36.71,35.81,36.54,2171111.0
2020-04-28,ADM,37.17,37.31,36.31,37.17,2962380.0
2020-04-29,ADM,37.9,38.6,37.64,38.41,4461426.0
2020-04-30,ADM,38.4,38.71,37.05,37.14,5732618.0
2020-05-01,ADM,36.66,36.93,34.94,35.12,3153946.0
2020-05-04,ADM,34.77,34.96,34.35,34.76,2764686.0
2020-05-05,ADM,35.15,35.565,34.925,34.96,2902216.0
2020-05-06,ADM,35.08,35.31,34.31,34.4,3280147.0
2020-05-07,ADM,34.89,35.22,34.685,34.76,3370374.0
2020-05-08,ADM,35.4,36.49,35.25,36.39,3163558.0
2020-05-11,ADM,36.0,36.08,35.07,35.43,3094068.0
2020-05-12,ADM,35.87,36.03,34.66,34.74,2543255.0
2020-05-13,ADM,34.5,34.8,33.63,33.84,3465591.0
2020-05-14,ADM,33.42,34.216,33.01,34.16,2761296.0
