Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,AEE,75.5,76.815,71.04,72.4,3203961.0
2020-03-13,AEE,75.66,76.51,71.2,76.15,2877943.0
2020-03-16,AEE,70.02,72.33,64.93,65.95,3564868.0
2020-03-17,AEE,67.71,79.18,66.86,77.69,4074500.0
2020-03-18,AEE,71.94,77.38,70.18,76.15,2843421.0
2020-03-19,AEE,76.75,78.16,70.95,71.88,3526930.0
2020-03-20,AEE,71.5,71.635,62.01,62.93,3585301.0
2020-03-23,AEE,63.08,64.94,58.74,61.37,3354039.0
2020-03-24,AEE,63.4,65.49,60.3,65.29,3088780.0
2020-03-25,AEE,64.13,69.12,61.593,67.54,2749524.0
2020-03-26,AEE,67.14,73.69,66.64,72.79,2335961.0
2020-03-27,AEE,70.87,77.02,70.44,74.24,2085834.0
2020-03-30,AEE,76.02,78.77,74.66,78.17,2652033.0
2020-03-31,AEE,76.46,76.75,72.48,72.83,3330836.0
2020-04-01,AEE,70.0,70.59,65.895,67.73,2161156.0
2020-04-02,AEE,66.85,72.31,66.76,71.67,2204292.0
2020-04-03,AEE,70.21,71.65,68.37,68.75,2397346.0
2020-04-06,AEE,71.21,75.04,70.76,74.29,1556906.0
2020-04-07,AEE,75.64,75.64,71.21,71.53,3070959.0
2020-04-08,AEE,72.12,76.905,71.6,76.01,1492429.0
2020-04-09,AEE,76.53,81.25,76.53,79.0,1810539.0
2020-04-13,AEE,77.94,78.89,74.59,75.82,1072755.0
2020-04-14,AEE,76.03,77.73,75.86,77.17,1325743.0
2020-04-15,AEE,76.02,76.25,74.17,75.5,1598604.0
2020-04-16,AEE,76.12,77.73,74.9,77.26,1811674.0
2020-04-17,AEE,78.75,78.84,76.09,77.83,1774585.0
2020-04-20,AEE,78.63,78.63,73.12,73.24,1968146.0
2020-04-21,AEE,71.79,74.35,71.57,74.02,3142842.0
2020-04-22,AEE,75.3,77.25,74.09,76.78,1679595.0
2020-04-23,AEE,76.43,77.045,73.73,74.19,1699148.0
2020-04-24,AEE,73.93,74.25,72.68,73.64,1707705.0
2020-04-27,AEE,74.13,74.425,73.33,73.42,1222637.0
2020-04-28,AEE,74.07,75.1,73.24,74.25,1565181.0
2020-04-29,AEE,75.74,75.74,72.81,74.62,1922829.0
2020-04-30,AEE,74.12,74.2,72.09,72.75,1990131.0
2020-05-01,AEE,71.71,71.97,70.4,71.45,1680093.0
2020-05-04,AEE,71.18,71.67,70.07,71.44,1292784.0
2020-05-05,AEE,71.09,72.615,71.09,72.15,1525729.0
2020-05-06,AEE,72.46,72.46,69.81,69.84,2200831.0
2020-05-07,AEE,70.78,71.26,69.42,69.65,2475904.0
2020-05-08,AEE,70.41,71.01,69.91,70.86,1339802.0
2020-05-11,AEE,70.54,71.48,69.19,70.83,2445352.0
2020-05-12,AEE,70.21,70.83,68.4,68.97,3245065.0
2020-05-13,AEE,68.49,68.65,67.0,68.35,2774682.0
2020-05-14,AEE,67.72,68.87,66.33,68.72,2119090.0
2020-05-15,AEE,68.39,69.71,66.55,68.76,8673907.0
2020-05-18,AEE,70.48,72.7,69.95,72.23,2778092.0
2020-05-19,AEE,71.83,71.88,70.64,70.65,1386969.0
2020-05-20,AEE,71.2,71.29,70.07,70.33,1696828.0
2020-05-21,AEE,70.12,70.81,69.06,69.3,1642481.0
2020-05-22,AEE,69.31,69.9,69.055,69.82,1460379.0
2020-05-26,AEE,71.02,72.11,70.45,70.76,1915168.0
2020-05-27,AEE,71.93,71.93,69.3,70.51,2779275.0
2020-05-28,AEE,72.29,74.39,71.78,73.94,2586267.0
2020-05-29,AEE,73.61,75.27,73.36,74.73,2324614.0
2020-06-01,AEE,74.6,75.32,73.75,74.37,1145806.0
2020-06-02,AEE,74.43,74.98,73.74,74.91,1627071.0
2020-06-03,AEE,75.07,76.26,75.0,76.08,1450606.0
2020-06-04,AEE,75.59,75.84,73.015,73.99,1426261.0
2020-06-05,AEE,74.63,76.94,74.2,75.58,1863035.0
2020-06-08,AEE,75.16,77.42,74.51,77.22,1377962.0
2020-06-09,AEE,76.09,76.09,74.05,75.27,1553654.0
2020-06-10,AEE,75.14,76.345,74.71,74.86,1217492.0
2020-06-11,AEE,73.49,73.82,71.07,71.84,1869548.0
2020-06-12,AEE,73.34,73.53,70.84,71.75,1797015.0
2020-06-15,AEE,70.41,72.83,69.72,72.34,1870413.0
2020-06-16,AEE,74.06,74.75,72.15,72.55,2519333.0
2020-06-17,AEE,72.72,73.03,71.4,72.46,2429618.0
2020-06-18,AEE,71.91,72.55,70.61,72.46,2246144.0
2020-06-19,AEE,73.07,73.3,69.74,69.8,4624235.0
2020-06-22,AEE,69.53,71.34,68.28,70.62,2358655.0
2020-06-23,AEE,71.33,71.33,69.185,70.0,2034512.0
2020-06-24,AEE,69.34,69.87,68.26,69.46,1830921.0
2020-06-25,AEE,69.44,69.44,67.14,68.81,1507506.0
2020-06-26,AEE,68.52,69.58,67.65,68.9,4600015.0
2020-06-29,AEE,69.44,69.8,68.53,69.73,1447513.0
2020-06-30,AEE,69.7,70.7,69.6,70.36,1667508.0
2020-07-01,AEE,70.33,72.75,70.26,72.49,1899478.0
2020-07-02,AEE,72.83,73.83,72.77,73.23,1950809.0
2020-07-06,AEE,73.62,74.48,72.46,73.34,1970163.0
2020-07-07,AEE,72.6,73.47,72.04,73.34,1278672.0
