Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,AEP,83.0,85.97,73.53,82.54,8354353.0
2020-03-13,AEP,86.43,87.15,81.71,86.47,5770336.0
2020-03-16,AEP,78.57,86.18,77.76,81.66,6018379.0
2020-03-17,AEP,83.63,95.77,83.49,91.2,7121235.0
2020-03-18,AEP,85.02,92.855,81.01,90.24,5948820.0
2020-03-19,AEP,88.02,88.06,79.57,80.81,5157327.0
2020-03-20,AEP,80.95,81.1,70.26,71.45,6649234.0
2020-03-23,AEP,71.02,71.84,65.135,70.0,5842011.0
2020-03-24,AEP,71.66,73.78,68.09,72.05,5289914.0
2020-03-25,AEP,71.38,76.31,69.35,73.29,6048115.0
2020-03-26,AEP,73.48,82.88,73.25,81.8,4315318.0
2020-03-27,AEP,79.79,86.59,79.1308,83.4,3633254.0
2020-03-30,AEP,84.87,86.45,79.83,83.71,5710759.0
2020-03-31,AEP,82.68,83.49,79.24,79.98,7923888.0
2020-04-01,AEP,77.4,78.91,73.815,74.57,3932864.0
2020-04-02,AEP,73.63,77.58,72.39,76.79,5282179.0
2020-04-03,AEP,76.0,76.72,71.2,72.5,4487435.0
2020-04-06,AEP,74.87,79.78,74.59,78.59,4480093.0
2020-04-07,AEP,80.68,81.16,77.94,78.75,4439579.0
2020-04-08,AEP,79.26,83.87,79.0,83.3,3190918.0
2020-04-09,AEP,83.99,88.29,83.99,86.31,4274249.0
2020-04-13,AEP,85.19,86.6,82.56,83.5,2399954.0
2020-04-14,AEP,85.53,86.38,84.65,86.25,2584782.0
2020-04-15,AEP,85.07,85.5,83.29,83.61,2841441.0
2020-04-16,AEP,84.3,84.7,82.78,84.05,2016709.0
2020-04-17,AEP,85.45,86.97,84.58,86.38,2699507.0
2020-04-20,AEP,87.32,87.32,82.83,82.91,2711515.0
2020-04-21,AEP,81.77,82.84,80.91,82.47,3319738.0
2020-04-22,AEP,83.55,85.67,83.07,85.0,2745373.0
2020-04-23,AEP,84.82,85.19,82.86,83.02,2619143.0
2020-04-24,AEP,82.77,83.617,82.5936,83.23,3029179.0
2020-04-27,AEP,83.78,84.3872,83.47,83.62,2207467.0
2020-04-28,AEP,84.72,86.565,84.2,84.63,2287285.0
2020-04-29,AEP,85.75,85.8,82.87,83.13,3895548.0
2020-04-30,AEP,83.1,83.58,81.87,83.11,3528408.0
2020-05-01,AEP,82.39,82.655,81.05,81.39,2974590.0
2020-05-04,AEP,81.19,83.265,80.46,83.05,2614269.0
2020-05-05,AEP,82.64,84.64,82.01,83.31,3306835.0
2020-05-06,AEP,84.26,84.325,78.45,78.82,5461078.0
2020-05-07,AEP,78.85,80.6607,78.27,78.6,4108515.0
2020-05-08,AEP,79.0,80.42,79.0,79.86,2611609.0
2020-05-11,AEP,79.35,79.94,78.01,79.17,2702667.0
2020-05-12,AEP,79.5,79.718,77.51,77.91,3913515.0
2020-05-13,AEP,77.49,77.85,76.71,77.73,3950945.0
2020-05-14,AEP,77.29,78.7,76.2335,78.1,3986162.0
2020-05-15,AEP,77.5,78.46,76.66,78.43,10437295.0
2020-05-18,AEP,79.28,80.7033,79.19,79.88,3831728.0
2020-05-19,AEP,79.29,79.37,77.13,77.14,2964638.0
2020-05-20,AEP,78.08,78.561,77.18,77.75,2459155.0
2020-05-21,AEP,77.59,77.82,76.89,77.37,2334786.0
2020-05-22,AEP,77.4,78.84,77.35,78.78,2360266.0
2020-05-26,AEP,79.5,80.78,79.31,79.92,3174574.0
2020-05-27,AEP,81.04,81.49,80.272,81.44,3742474.0
2020-05-28,AEP,82.62,85.62,82.62,85.1,4062575.0
2020-05-29,AEP,84.99,85.85,84.31,85.25,4081611.0
2020-06-01,AEP,85.08,86.4636,84.86,86.14,1876572.0
2020-06-02,AEP,86.81,86.84,85.26,85.98,1880301.0
2020-06-03,AEP,86.31,87.96,86.12,86.99,2046297.0
2020-06-04,AEP,86.39,86.54,83.38,84.4,2442186.0
2020-06-05,AEP,85.0,87.1,84.72,85.51,2952494.0
2020-06-08,AEP,85.43,88.115,85.02,87.91,2435155.0
2020-06-09,AEP,87.31,87.35,84.82,85.91,2266991.0
2020-06-10,AEP,85.83,86.901,85.295,85.37,2363868.0
