Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,AKAM,81.62,88.8,79.81,80.05,3533660.0
2020-03-13,AKAM,84.38,86.93,81.1558,85.73,3145411.0
2020-03-16,AKAM,76.75,87.37,75.1801,83.23,3046551.0
2020-03-17,AKAM,85.31,90.9,82.33,88.43,3488140.0
2020-03-18,AKAM,82.47,97.645,82.47,97.1,4633405.0
2020-03-19,AKAM,93.7,98.255,88.44,88.79,3266246.0
2020-03-20,AKAM,90.02,90.03,81.95,82.37,4291543.0
2020-03-23,AKAM,84.16,88.21,81.8,85.67,3437936.0
2020-03-24,AKAM,87.29,90.25,85.33,89.98,2597994.0
2020-03-25,AKAM,90.12,93.78,88.48,89.35,3195550.0
2020-03-26,AKAM,90.02,94.86,86.74,94.38,3208307.0
2020-03-27,AKAM,93.03,93.1,88.93,90.61,3388971.0
2020-03-30,AKAM,92.09,94.5,90.32,94.19,2845816.0
2020-03-31,AKAM,92.89,95.1,91.29,91.49,2071457.0
2020-04-01,AKAM,89.24,92.89,88.75,91.6,2613991.0
2020-04-02,AKAM,91.44,95.96,90.7501,93.12,2167013.0
2020-04-03,AKAM,94.21,96.69,93.48,95.36,2264021.0
2020-04-06,AKAM,98.13,98.4,95.4,97.79,2434924.0
2020-04-07,AKAM,98.26,99.43,94.65,95.23,2526840.0
2020-04-08,AKAM,96.27,97.77,95.4,97.37,1628093.0
2020-04-09,AKAM,97.04,97.79,94.94,95.39,2218551.0
2020-04-13,AKAM,95.0,95.365,93.12,95.19,2524953.0
2020-04-14,AKAM,98.13,101.25,97.01,100.5,2285152.0
2020-04-15,AKAM,100.5,100.88,98.86,100.39,2465304.0
2020-04-16,AKAM,100.63,107.22,100.31,105.84,3777668.0
2020-04-17,AKAM,106.89,107.04,102.8,105.35,3356416.0
2020-04-20,AKAM,106.88,108.25,105.13,106.24,2454371.0
2020-04-21,AKAM,106.23,107.391,101.74,103.36,1611886.0
2020-04-22,AKAM,104.86,105.93,102.58,104.29,1924402.0
2020-04-23,AKAM,104.81,104.81,101.56,102.26,2436174.0
2020-04-24,AKAM,101.1,102.83,99.74,102.78,2668497.0
2020-04-27,AKAM,104.39,104.39,101.335,103.07,2453904.0
2020-04-28,AKAM,104.78,104.78,101.71,101.93,3080670.0
2020-04-29,AKAM,98.06,98.51,92.79,97.87,11146025.0
2020-04-30,AKAM,96.84,97.95,94.61,97.71,3997389.0
2020-05-01,AKAM,96.36,97.87,94.92,95.86,2078219.0
2020-05-04,AKAM,96.05,97.64,95.53,97.6,2051637.0
2020-05-05,AKAM,98.92,100.47,97.83,99.19,2076653.0
2020-05-06,AKAM,100.36,100.84,98.88,99.17,1653947.0
2020-05-07,AKAM,101.28,102.47,99.88,100.6,2036479.0
2020-05-08,AKAM,101.52,101.81,100.35,101.15,1298425.0
2020-05-11,AKAM,101.31,103.1462,100.76,101.89,1478571.0
2020-05-12,AKAM,102.54,102.69,95.75,95.76,3008300.0
2020-05-13,AKAM,97.0,97.59,94.4,95.37,2473801.0
2020-05-14,AKAM,95.2,97.26,94.21,97.23,1890484.0
2020-05-15,AKAM,96.09,99.015,95.71,98.09,4152632.0
2020-05-18,AKAM,98.8,99.62,97.0,98.1,1946701.0
2020-05-19,AKAM,98.27,99.35,97.26,97.3,1346420.0
2020-05-20,AKAM,98.79,100.88,98.46,100.58,1766869.0
2020-05-21,AKAM,100.43,101.94,99.8,101.0,1724152.0
2020-05-22,AKAM,100.65,101.26,99.885,100.42,1289144.0
2020-05-26,AKAM,102.0,102.17,99.83,100.08,1665535.0
2020-05-27,AKAM,99.35,99.99,97.25,99.97,1703682.0
2020-05-28,AKAM,99.91,104.49,99.91,102.91,1858474.0
2020-05-29,AKAM,103.76,106.27,102.23,105.8,9048738.0
2020-06-01,AKAM,105.05,106.46,103.03,105.71,1834091.0
2020-06-02,AKAM,106.1465,106.45,102.59,105.53,2276424.0
2020-06-03,AKAM,105.5,105.5,102.42,103.01,2135799.0
2020-06-04,AKAM,102.21,103.68,101.51,101.84,2094342.0
2020-06-05,AKAM,101.32,101.83,98.14,99.0,3121922.0
2020-06-08,AKAM,99.48,103.59,99.165,103.38,1812812.0
2020-06-09,AKAM,103.25,103.26,101.1,102.73,1304464.0
2020-06-10,AKAM,103.5,104.56,102.6,103.85,1554349.0
2020-06-11,AKAM,102.89,104.42,100.36,100.48,1705489.0
2020-06-12,AKAM,102.04,103.19,99.64,100.34,1626991.0
2020-06-15,AKAM,99.68,101.4,99.5875,100.54,1722261.0
2020-06-16,AKAM,102.895,102.895,99.05,100.04,2556615.0
2020-06-17,AKAM,100.69,102.6,100.3,101.41,2105628.0
2020-06-18,AKAM,101.62,101.85,99.55,100.69,1625697.0
2020-06-19,AKAM,101.9,102.67,100.05,100.47,3988403.0
2020-06-22,AKAM,100.95,102.7,100.25,101.59,1547735.0
2020-06-23,AKAM,102.05,103.2,100.62,100.88,1819126.0
2020-06-24,AKAM,100.92,102.11,99.82,100.97,2349863.0
2020-06-25,AKAM,101.0,102.96,98.62,102.89,2441129.0
2020-06-26,AKAM,102.78,105.92,102.395,105.37,4627361.0
2020-06-29,AKAM,105.62,105.71,103.55,104.99,1983356.0
2020-06-30,AKAM,105.38,107.53,105.11,107.09,1922509.0
2020-07-01,AKAM,106.55,107.0,104.89,106.33,1848678.0
2020-07-02,AKAM,109.98,114.37,109.14,113.12,4656721.0
2020-07-06,AKAM,116.0,116.39,111.88,112.61,3261411.0
2020-07-07,AKAM,112.5,113.35,110.91,110.98,1655955.0
2020-07-08,AKAM,112.19,112.75,111.25,112.67,1795141.0
2020-07-09,AKAM,113.29,114.8,112.59,114.22,1769386.0
2020-07-10,AKAM,115.3,115.3,113.37,114.26,1362882.0
2020-07-13,AKAM,115.12,115.235,109.81,109.94,1772133.0
2020-07-14,AKAM,109.97,112.36,108.7,112.27,2223962.0
2020-07-15,AKAM,111.78,113.65,111.11,112.78,2341012.0
2020-07-16,AKAM,110.32,112.2,110.32,111.66,1465885.0
2020-07-17,AKAM,111.33,112.74,110.81,112.65,1126793.0
2020-07-20,AKAM,112.94,115.86,112.81,115.24,1458570.0
2020-07-21,AKAM,115.69,115.7242,113.185,113.45,1213974.0
2020-07-22,AKAM,113.94,114.75,112.96,113.81,1273477.0
2020-07-23,AKAM,114.52,115.56,112.08,112.69,1359947.0
2020-07-24,AKAM,111.4,112.838,110.29,111.74,1088425.0
2020-07-27,AKAM,112.9,115.08,112.01,114.65,1254113.0
2020-07-28,AKAM,114.68,114.95,111.72,111.99,2294863.0
2020-07-29,AKAM,109.0,111.16,106.61,110.68,4031756.0
2020-07-30,AKAM,109.11,111.36,108.01,110.5,1544107.0
2020-07-31,AKAM,111.17,112.44,110.13,112.44,1397355.0
2020-08-03,AKAM,112.85,113.53,111.75,112.98,1349928.0
2020-08-04,AKAM,113.3,113.35,110.98,111.73,1415890.0
2020-08-05,AKAM,111.94,111.94,109.99,110.73,1497339.0
2020-08-06,AKAM,110.6,110.71,108.6419,109.18,1331604.0
2020-08-07,AKAM,109.31,109.69,107.96,109.22,1849058.0
2020-08-10,AKAM,109.1,109.435,107.53,107.87,1642567.0
2020-08-11,AKAM,108.0,108.63,105.8749,106.22,1845328.0
2020-08-12,AKAM,107.79,107.79,106.51,107.0,1140551.0
2020-08-13,AKAM,106.88,109.93,106.88,109.23,1338701.0
2020-08-14,AKAM,109.47,109.57,107.305,107.9,1049379.0
2020-08-17,AKAM,107.97,109.16,107.76,107.87,1093455.0
2020-08-18,AKAM,108.34,109.18,107.64,108.73,1070159.0
2020-08-19,AKAM,108.97,110.49,108.75,109.21,1262186.0
2020-08-20,AKAM,108.73,110.78,108.62,110.35,1318577.0
2020-08-21,AKAM,110.85,111.7799,110.0403,110.645,1888436.0
2020-08-24,AKAM,110.91,112.7,109.55,110.87,1808617.0
2020-08-25,AKAM,111.03,111.6612,110.475,111.0,1488981.0
2020-08-26,AKAM,110.75,113.31,110.75,112.38,2269151.0
2020-08-27,AKAM,112.83,114.71,112.38,114.06,1739991.0
2020-08-28,AKAM,114.99,117.84,114.445,115.63,2177688.0
2020-08-31,AKAM,115.61,116.85,115.13,116.43,1661451.0
2020-09-01,AKAM,117.3,119.09,116.62,119.03,2211164.0
2020-09-02,AKAM,119.58,120.0,117.04,119.57,2705868.0
2020-09-03,AKAM,117.76,118.07,112.1,113.4,2602741.0
2020-09-04,AKAM,112.56,113.55,107.52,108.43,2805273.0
2020-09-08,AKAM,106.1,106.9,104.08,104.11,2427999.0
2020-09-09,AKAM,106.21,109.385,105.45,108.94,1790116.0
2020-09-10,AKAM,109.16,109.86,105.68,106.34,1850965.0
