Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ALGN,182.23,194.4,174.565,180.01,2006626.0
2020-03-13,ALGN,190.0,195.97,179.05,195.88,1347141.0
2020-03-16,ALGN,170.65,172.904,161.38,161.72,1627156.0
2020-03-17,ALGN,165.43,171.68,147.08,169.25,2000807.0
2020-03-18,ALGN,158.74,163.825,135.0,145.76,1720603.0
2020-03-19,ALGN,141.29,146.79,127.88,142.23,1918039.0
2020-03-20,ALGN,144.95,157.94,142.62,144.82,1966052.0
2020-03-23,ALGN,146.25,148.66,133.0,137.72,1736526.0
2020-03-24,ALGN,149.53,165.8,146.54,165.28,1607161.0
2020-03-25,ALGN,170.37,194.48,168.01,183.68,2297187.0
2020-03-26,ALGN,182.9,200.62,182.495,191.64,1647311.0
2020-03-27,ALGN,180.5,182.01,173.39,177.04,1258414.0
2020-03-30,ALGN,174.69,180.79,170.33,179.92,1324193.0
2020-03-31,ALGN,177.99,182.5449,169.76,173.95,1532762.0
2020-04-01,ALGN,164.09,170.62,153.19,157.2,1611038.0
2020-04-02,ALGN,155.07,160.7,150.38,152.07,1406556.0
2020-04-03,ALGN,151.37,158.96,151.37,154.2,1604963.0
2020-04-06,ALGN,167.05,177.88,164.04,176.74,1701934.0
2020-04-07,ALGN,189.7,194.745,172.44,174.55,1629425.0
2020-04-08,ALGN,176.84,185.94,174.43,184.41,1903593.0
2020-04-09,ALGN,183.87,197.99,181.86,193.19,1871405.0
2020-04-13,ALGN,189.34,190.43,178.9,185.72,1157390.0
2020-04-14,ALGN,189.11,193.44,187.0351,190.0,1005226.0
2020-04-15,ALGN,182.11,186.87,181.17,183.83,1028206.0
2020-04-16,ALGN,185.77,187.57,178.7,180.34,1197659.0
2020-04-17,ALGN,188.37,193.38,183.9901,193.0,1432893.0
2020-04-20,ALGN,189.77,205.0,188.39,196.71,1463817.0
2020-04-21,ALGN,191.08,193.82,184.67,187.26,1119073.0
2020-04-22,ALGN,190.9,197.255,187.64,190.03,1183776.0
2020-04-23,ALGN,190.34,195.99,187.755,188.57,1050360.0
2020-04-24,ALGN,189.71,194.22,186.65,191.97,911699.0
2020-04-27,ALGN,193.45,196.99,192.41,196.67,1087376.0
2020-04-28,ALGN,201.52,208.0,198.25,203.51,1513181.0
2020-04-29,ALGN,206.41,227.44,205.6,220.58,2278839.0
2020-04-30,ALGN,215.0,219.94,206.404,214.85,2675425.0
2020-05-01,ALGN,208.08,209.0248,201.01,203.26,1469715.0
2020-05-04,ALGN,199.4,210.31,197.135,210.14,1266315.0
2020-05-05,ALGN,214.81,219.9873,207.58,208.61,1438882.0
2020-05-06,ALGN,210.31,218.58,209.02,215.93,1222246.0
2020-05-07,ALGN,218.41,221.99,210.5,213.5,1311228.0
2020-05-08,ALGN,217.29,217.76,207.02,210.03,900711.0
2020-05-11,ALGN,207.71,217.65,206.43,214.3,1011171.0
2020-05-12,ALGN,216.37,216.64,206.44,206.45,1119885.0
2020-05-13,ALGN,204.19,205.07,197.54,200.98,1226575.0
2020-05-14,ALGN,196.66,206.26,195.56,206.09,945769.0
2020-05-15,ALGN,201.08,205.645,199.56,203.67,1015235.0
