Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,AMD,42.0,42.5,39.0,39.01,111245876.0
2020-03-13,AMD,42.2,43.91,39.6,43.8862,89613076.0
2020-03-16,AMD,39.08,43.37,38.51,38.71,87764900.0
2020-03-17,AMD,40.19,42.88,38.3,41.88,94980424.0
2020-03-18,AMD,39.54,41.95,36.75,39.12,109133738.0
2020-03-19,AMD,39.56,41.7,37.69,39.82,90850640.0
2020-03-20,AMD,41.51,42.4825,39.58,39.6027,110538767.0
2020-03-23,AMD,40.62,42.32,38.95,41.64,104264842.0
2020-03-24,AMD,44.04,46.81,43.99,46.22,109621095.0
2020-03-25,AMD,46.79,47.875,44.425,44.63,96458336.0
2020-03-26,AMD,45.78,47.5,45.4,47.5,76058979.0
2020-03-27,AMD,46.32,47.975,45.9,46.58,76062323.0
2020-03-30,AMD,47.24,48.46,46.66,47.86,69945065.0
2020-03-31,AMD,47.925,48.53,45.16,45.48,86598759.0
2020-04-01,AMD,44.18,46.85,43.16,43.66,94084704.0
2020-04-02,AMD,43.4,45.28,43.1,44.49,80389535.0
2020-04-03,AMD,44.3,44.8393,41.7,42.59,80587043.0
2020-04-06,AMD,44.3,47.58,44.06,47.52,85634789.0
2020-04-07,AMD,48.96,49.65,46.675,47.56,103701004.0
2020-04-08,AMD,48.07,49.0,47.61,48.79,66607286.0
2020-04-09,AMD,49.65,50.25,47.72,48.38,81487223.0
2020-04-13,AMD,48.47,51.07,48.23,50.94,65443437.0
2020-04-14,AMD,52.235,55.14,52.11,54.93,87422790.0
2020-04-15,AMD,53.73,55.5699,53.41,54.99,85086446.0
2020-04-16,AMD,55.96,58.08,55.63,56.95,104755213.0
2020-04-17,AMD,57.35,57.755,55.55,56.6,78760664.0
2020-04-20,AMD,55.98,58.63,55.85,56.97,74277390.0
2020-04-21,AMD,56.9,57.73,51.41,52.92,125264488.0
2020-04-22,AMD,54.91,56.15,54.34,55.92,65334721.0
2020-04-23,AMD,56.65,57.285,55.64,55.9,70642668.0
2020-04-24,AMD,55.1,56.78,54.42,56.18,74328670.0
2020-04-27,AMD,57.44,58.0,56.25,56.49,63732458.0
2020-04-28,AMD,57.16,57.35,55.3,55.51,81677446.0
2020-04-29,AMD,54.53,54.86,52.74,53.66,113688003.0
2020-04-30,AMD,53.43,54.29,52.03,52.39,67516777.0
2020-05-01,AMD,51.07,51.95,49.09,49.88,70897875.0
2020-05-04,AMD,49.815,52.61,49.73,52.56,64176803.0
2020-05-05,AMD,53.43,53.51,51.29,52.19,57859190.0
2020-05-06,AMD,52.42,53.31,51.88,52.16,49343054.0
2020-05-07,AMD,52.93,52.9666,51.62,51.95,50099607.0
2020-05-08,AMD,52.15,53.27,51.81,53.19,42160353.0
2020-05-11,AMD,52.9,55.89,52.75,55.74,69793866.0
2020-05-12,AMD,56.2065,56.58,53.75,53.76,56873154.0
2020-05-13,AMD,54.04,55.22,51.295,52.18,78281165.0
