Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,AMT,216.29,231.72,204.141,217.83,5156846.0
2020-03-13,AMT,225.25,241.56,220.015,238.99,4755551.0
2020-03-16,AMT,206.65,229.81,201.37,202.75,4607167.0
2020-03-17,AMT,209.09,234.9,203.63,227.53,4910351.0
2020-03-18,AMT,210.0,235.84,206.17,217.14,4551544.0
2020-03-19,AMT,217.57,219.78,201.5221,209.0,4151675.0
2020-03-20,AMT,207.0,209.9999,192.37,195.39,4530001.0
2020-03-23,AMT,196.0,196.27,174.32,179.09,4142894.0
2020-03-24,AMT,187.79,193.85,179.25,190.27,4730216.0
2020-03-25,AMT,188.9,208.54,186.025,199.26,3668066.0
2020-03-26,AMT,198.15,226.2925,198.0,222.2,3842277.0
2020-03-27,AMT,216.19,222.04,211.73,218.48,3638551.0
2020-03-30,AMT,222.68,231.97,221.34,230.58,2846111.0
2020-03-31,AMT,228.46,230.0,215.915,217.75,6221085.0
2020-04-01,AMT,205.51,213.4,202.03,206.97,4082323.0
2020-04-02,AMT,207.0,221.09,205.59,220.75,4606944.0
2020-04-03,AMT,219.16,223.75,216.82,222.8,3371445.0
2020-04-06,AMT,228.02,236.22,227.0,235.18,3440875.0
2020-04-07,AMT,241.11,243.88,227.03,227.77,2434939.0
2020-04-08,AMT,229.64,249.65,228.0,249.25,3742133.0
2020-04-09,AMT,248.5,260.43,248.1958,259.6,4661127.0
2020-04-13,AMT,256.7,257.35,246.76,249.76,2022272.0
2020-04-14,AMT,255.08,257.66,252.52,255.1,2285001.0
2020-04-15,AMT,252.93,252.98,243.21,247.49,2208926.0
2020-04-16,AMT,250.55,252.72,247.55,251.78,1924251.0
2020-04-17,AMT,256.0,257.77,248.08,254.06,3107760.0
2020-04-20,AMT,252.03,253.0,248.51,248.68,1467491.0
2020-04-21,AMT,245.21,245.87,239.1,242.0,2147575.0
2020-04-22,AMT,246.23,255.11,245.56,252.98,2255632.0
2020-04-23,AMT,252.19,254.8114,248.14,248.6,1698071.0
2020-04-24,AMT,250.28,251.49,243.77,244.61,2022552.0
2020-04-27,AMT,247.0,252.29,245.24,250.22,1942235.0
2020-04-28,AMT,255.25,255.8,242.72,243.53,2244736.0
2020-04-29,AMT,251.02,251.02,235.67,236.81,3803111.0
2020-04-30,AMT,234.11,239.09,232.71,238.0,4361134.0
2020-05-01,AMT,233.24,235.9,232.59,234.2,2168824.0
2020-05-04,AMT,237.39,237.5,228.11,236.63,1820502.0
2020-05-05,AMT,237.68,243.55,237.68,240.26,1533493.0
2020-05-06,AMT,240.86,242.24,236.79,237.26,1559035.0
2020-05-07,AMT,239.18,239.67,235.03,235.25,2970924.0
2020-05-08,AMT,238.105,240.25,236.68,238.36,2144843.0
2020-05-11,AMT,236.0,242.93,234.48,238.23,2606665.0
2020-05-12,AMT,239.36,240.25,230.74,231.69,2040129.0
2020-05-13,AMT,231.26,237.08,229.39,231.15,2413906.0
2020-05-14,AMT,228.0,231.0,224.76,229.62,2283209.0
2020-05-15,AMT,228.41,229.97,223.83,229.58,2517846.0
2020-05-18,AMT,236.07,238.14,232.07,236.03,2076009.0
2020-05-19,AMT,235.08,236.8505,229.66,229.97,1693024.0
2020-05-20,AMT,231.98,232.66,228.92,230.14,1489119.0
2020-05-21,AMT,229.39,230.48,227.12,228.16,1408663.0
2020-05-22,AMT,228.32,242.6,227.41,242.43,3048128.0
