Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,APA,6.93,8.3,6.6,7.76,21215202.0
2020-03-13,APA,8.5,8.59,6.95,8.07,27242001.0
2020-03-16,APA,6.725,6.92,5.45,5.46,19630160.0
2020-03-17,APA,5.69,5.71,4.4,4.46,20916938.0
2020-03-18,APA,4.16,4.75,3.8,4.03,17363391.0
2020-03-19,APA,4.55,5.4,4.07,4.95,15241398.0
2020-03-20,APA,5.15,5.47,4.65,4.83,18826353.0
2020-03-23,APA,4.81,4.9,4.3,4.31,14723315.0
2020-03-24,APA,4.81,5.84,4.68,5.58,17036074.0
2020-03-25,APA,6.13,6.67,5.31,5.89,19970479.0
2020-03-26,APA,5.93,6.6,5.61,5.76,19140741.0
2020-03-27,APA,5.4,5.4,4.76,4.86,19197540.0
2020-03-30,APA,4.76,4.77,4.0,4.11,27512156.0
2020-03-31,APA,4.41,4.58,4.11,4.18,32874173.0
2020-04-01,APA,4.05,4.16,3.86,4.02,23621990.0
2020-04-02,APA,4.75,5.3,4.31,4.69,54038950.0
2020-04-03,APA,5.44,5.63,4.56,5.38,52524558.0
2020-04-06,APA,5.2,6.0,5.13,5.87,28637300.0
2020-04-07,APA,6.6,7.24,6.36,6.52,39628217.0
2020-04-08,APA,6.85,7.62,6.72,7.58,36859087.0
2020-04-09,APA,9.11,10.065,7.13,8.2,93237548.0
2020-04-13,APA,8.79,8.99,8.025,8.38,36171368.0
2020-04-14,APA,8.2,8.3125,7.62,8.08,27378195.0
2020-04-15,APA,7.12,8.07,7.08,7.94,25042659.0
2020-04-16,APA,7.96,7.98,7.38,7.49,13413221.0
2020-04-17,APA,7.44,8.5,7.415,8.49,27455196.0
2020-04-20,APA,7.63,8.85,7.51,8.48,27126080.0
2020-04-21,APA,8.19,8.81,8.0601,8.57,22899900.0
2020-04-22,APA,9.01,9.62,8.84,9.42,26799980.0
2020-04-23,APA,9.82,10.97,9.8,10.5,38842597.0
2020-04-24,APA,11.12,11.45,10.16,10.69,42207649.0
2020-04-27,APA,10.2,10.8,9.75,10.5,26286127.0
2020-04-28,APA,10.85,10.95,10.205,10.67,19515274.0
2020-04-29,APA,11.32,13.15,11.13,13.05,35701704.0
2020-04-30,APA,13.32,14.05,12.18,13.08,40577246.0
2020-05-01,APA,12.42,12.76,11.11,11.28,24713424.0
2020-05-04,APA,10.72,12.07,10.5,12.06,18662818.0
2020-05-05,APA,13.0,13.18,11.63,11.78,27143470.0
2020-05-06,APA,11.81,12.14,11.31,11.61,20876585.0
2020-05-07,APA,11.44,12.38,11.35,11.88,20295397.0
2020-05-08,APA,12.24,12.54,12.05,12.45,20348445.0
2020-05-11,APA,12.32,12.44,11.81,12.03,14828301.0
2020-05-12,APA,12.2,12.39,11.76,11.79,15064239.0
2020-05-13,APA,11.68,11.68,10.5,10.73,17592982.0
2020-05-14,APA,10.33,11.04,9.67,10.36,20488584.0
2020-05-15,APA,10.22,10.92,10.11,10.61,18598439.0
2020-05-18,APA,11.6,12.23,11.47,11.92,22946240.0
2020-05-19,APA,11.87,12.08,11.32,11.36,14848320.0
2020-05-20,APA,11.7,12.1,11.64,11.95,15973102.0
2020-05-21,APA,12.01,12.35,11.77,12.05,19179184.0
2020-05-22,APA,12.0,12.2,11.65,12.17,10593205.0
2020-05-26,APA,12.71,12.93,12.32,12.71,15997935.0
2020-05-27,APA,13.0,13.01,11.93,12.58,16906529.0
2020-05-28,APA,12.63,12.6699,11.75,11.87,15165073.0
2020-05-29,APA,11.69,11.69,10.71,10.79,60467712.0
2020-06-01,APA,10.76,11.79,10.45,11.73,25495546.0
2020-06-02,APA,11.93,12.25,11.77,12.23,14620180.0
2020-06-03,APA,12.49,12.73,12.02,12.53,16590457.0
2020-06-04,APA,12.43,13.0957,12.26,13.0,16662193.0
2020-06-05,APA,14.34,16.6,14.33,16.07,36773309.0
2020-06-08,APA,17.65,17.87,16.57,17.73,30167280.0
2020-06-09,APA,16.45,16.9,15.6,16.53,15565064.0
2020-06-10,APA,15.93,15.93,14.51,14.83,15974593.0
2020-06-11,APA,12.73,14.36,12.31,12.79,18449333.0
2020-06-12,APA,14.01,14.5,13.04,13.77,16148465.0
2020-06-15,APA,13.1,14.33,13.01,14.08,16171221.0
2020-06-16,APA,15.5,15.54,14.04,14.57,16629681.0
2020-06-17,APA,14.2,14.3799,13.82,13.89,11511891.0
2020-06-18,APA,13.71,14.46,13.48,14.22,10616123.0
2020-06-19,APA,14.91,14.99,13.82,13.98,23394548.0
2020-06-22,APA,13.9,14.361,13.524,14.28,9462750.0
2020-06-23,APA,14.62,14.99,14.035,14.13,12019978.0
2020-06-24,APA,13.78,13.9,12.89,13.07,13139251.0
2020-06-25,APA,12.87,13.67,12.68,13.66,12826911.0
2020-06-26,APA,13.5,13.5,12.8,13.25,13575253.0
2020-06-29,APA,13.15,13.46,12.915,13.33,10526018.0
