Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,AWK,122.21,127.45,114.28,117.97,2782490.0
2020-03-13,AWK,121.36,128.33,116.535,128.29,1925308.0
2020-03-16,AWK,115.5,132.36,115.35,118.81,2536260.0
2020-03-17,AWK,121.28,140.29,120.5,138.5,2557305.0
2020-03-18,AWK,129.61,133.22,122.63,130.08,3012874.0
2020-03-19,AWK,129.0,130.26,114.06,115.12,2635846.0
2020-03-20,AWK,115.12,115.12,98.25,100.69,3861651.0
2020-03-23,AWK,100.38,100.38,92.0,97.07,2974615.0
2020-03-24,AWK,100.71,105.28,96.63,103.95,2428181.0
2020-03-25,AWK,103.77,114.27,101.352,110.45,1937072.0
2020-03-26,AWK,108.53,121.87,108.53,119.32,1893650.0
2020-03-27,AWK,116.77,125.03,115.0,120.77,1293767.0
2020-03-30,AWK,122.9,127.27,121.87,126.72,1823350.0
2020-03-31,AWK,124.92,126.5,117.19,119.56,3648098.0
2020-04-01,AWK,115.0,117.99,110.56,112.8,1509358.0
2020-04-02,AWK,111.54,118.45,110.95,117.64,1050274.0
2020-04-03,AWK,118.39,118.8,112.6,113.32,1363312.0
2020-04-06,AWK,116.2,123.3,116.2,121.52,1411784.0
2020-04-07,AWK,124.0,124.95,116.82,118.27,1405653.0
2020-04-08,AWK,119.26,126.33,117.65,125.35,1071619.0
2020-04-09,AWK,126.38,132.87,125.6,131.75,1315138.0
2020-04-13,AWK,129.79,130.48,125.41,127.24,960194.0
2020-04-14,AWK,131.1,133.715,129.51,133.61,1031000.0
2020-04-15,AWK,131.0,132.77,128.92,129.21,1016207.0
2020-04-16,AWK,131.87,132.738,129.59,131.24,1022046.0
2020-04-17,AWK,132.68,133.0,128.56,131.76,1438748.0
2020-04-20,AWK,131.75,132.43,125.871,126.46,852318.0
2020-04-21,AWK,125.2,127.6,123.78,125.43,1207570.0
2020-04-22,AWK,127.92,129.8,126.59,127.89,813122.0
2020-04-23,AWK,127.25,129.185,124.53,124.68,1041055.0
2020-04-24,AWK,126.25,126.81,124.42,125.01,1205386.0
2020-04-27,AWK,126.0,126.48,125.03,125.75,1573661.0
2020-04-28,AWK,127.76,128.0,125.8835,126.52,1029801.0
2020-04-29,AWK,127.67,127.81,123.74,125.72,1096219.0
2020-04-30,AWK,125.0,125.6,120.1,121.69,1330065.0
2020-05-01,AWK,120.59,120.755,118.555,119.2,912744.0
2020-05-04,AWK,119.16,121.79,118.295,121.46,791836.0
2020-05-05,AWK,121.19,124.68,121.19,123.43,869173.0
2020-05-06,AWK,123.78,124.17,117.525,117.78,1199612.0
2020-05-07,AWK,120.63,123.52,118.39,119.08,1220391.0
2020-05-08,AWK,119.17,120.31,117.52,118.03,1172189.0
2020-05-11,AWK,117.02,119.82,115.55,119.49,1191720.0
2020-05-12,AWK,119.61,119.98,117.05,117.07,990698.0
2020-05-13,AWK,116.99,116.99,115.085,116.51,1448630.0
2020-05-14,AWK,115.89,116.85,112.5,116.27,1125680.0
2020-05-15,AWK,115.06,118.78,114.56,117.76,4490503.0
2020-05-18,AWK,120.59,123.26,119.68,122.51,1043575.0
