Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,BAC,20.59,22.87,20.15,20.88,149429483.0
2020-03-13,BAC,22.19,24.25,21.48,24.16,139656161.0
2020-03-16,BAC,19.85,21.727,19.58,19.91,133687853.0
2020-03-17,BAC,21.06,22.685,20.03,21.98,129905221.0
2020-03-18,BAC,20.27,20.97,19.7,19.91,156908793.0
2020-03-19,BAC,20.26,21.75,19.0,21.2,128486268.0
2020-03-20,BAC,21.76,21.84,19.56,19.67,165243686.0
2020-03-23,BAC,19.26,19.67,17.95,18.08,188660125.0
2020-03-24,BAC,19.42,21.15,19.01,21.03,161227948.0
2020-03-25,BAC,21.71,22.1,20.4089,21.1,158069660.0
2020-03-26,BAC,21.31,22.95,21.17,22.72,127156517.0
2020-03-27,BAC,21.68,22.2,21.1,21.6,96269361.0
2020-03-30,BAC,21.65,22.35,21.27,22.04,84100023.0
2020-03-31,BAC,21.82,22.49,20.96,21.23,104969602.0
2020-04-01,BAC,19.93,20.35,19.51,19.77,88665303.0
2020-04-02,BAC,19.67,20.79,19.59,20.57,73835491.0
2020-04-03,BAC,20.42,20.74,19.6804,20.03,71962892.0
2020-04-06,BAC,21.03,21.6,20.81,21.39,105292013.0
2020-04-07,BAC,22.8,22.88,21.85,22.14,98202770.0
2020-04-08,BAC,22.41,23.6,22.41,23.45,86004993.0
2020-04-09,BAC,24.07,25.32,24.05,24.86,129921129.0
2020-04-13,BAC,24.78,24.85,23.78,23.92,89344195.0
2020-04-14,BAC,24.5,24.65,23.1,23.73,93727193.0
2020-04-15,BAC,22.16,22.65,21.91,22.19,107019699.0
2020-04-16,BAC,22.15,22.21,21.09,21.42,93008461.0
2020-04-17,BAC,22.34,23.4,22.31,23.28,99334033.0
2020-04-20,BAC,22.57,23.13,22.18,22.5,78693605.0
2020-04-21,BAC,21.9,22.365,21.5,21.64,85935381.0
2020-04-22,BAC,22.16,22.23,21.75,21.8,52272703.0
2020-04-23,BAC,21.96,22.39,21.85,21.87,53540944.0
2020-04-24,BAC,22.11,22.3,21.67,22.18,50224804.0
2020-04-27,BAC,22.52,23.65,22.45,23.47,70646744.0
2020-04-28,BAC,24.45,24.81,23.845,23.89,68146911.0
2020-04-29,BAC,24.91,25.11,24.51,24.78,77705509.0
2020-04-30,BAC,24.2,24.38,23.85,24.05,59915465.0
2020-05-01,BAC,23.38,23.46,22.8128,23.08,55144898.0
2020-05-04,BAC,22.7,22.99,22.43,22.93,51037216.0
2020-05-05,BAC,23.48,23.515,22.62,22.66,48475259.0
2020-05-06,BAC,23.0,23.08,22.23,22.35,58621434.0
2020-05-07,BAC,22.66,23.37,22.61,22.84,54593322.0
2020-05-08,BAC,23.47,23.62,23.25,23.57,47984479.0
2020-05-11,BAC,23.11,23.12,22.56,22.58,72266354.0
2020-05-12,BAC,22.71,22.82,21.85,21.87,72607884.0
2020-05-13,BAC,21.66,21.75,20.72,20.87,115646245.0
2020-05-14,BAC,20.29,21.79,20.1,21.71,92810834.0
2020-05-15,BAC,21.42,21.6979,21.225,21.44,70855846.0
2020-05-18,BAC,22.42,23.06,22.07,22.93,98589919.0
2020-05-19,BAC,22.66,23.0,22.185,22.21,65551489.0
2020-05-20,BAC,22.68,23.0,22.64,22.91,62338559.0
2020-05-21,BAC,22.81,23.27,22.78,22.9,63679113.0
2020-05-22,BAC,22.94,22.9502,22.46,22.66,50101098.0
2020-05-26,BAC,23.75,24.6,23.67,24.28,129308039.0
2020-05-27,BAC,26.07,26.17,24.97,25.98,121771455.0
2020-05-28,BAC,26.08,26.14,24.79,24.86,88361292.0
2020-05-29,BAC,24.42,24.91,24.06,24.12,146705247.0
2020-06-01,BAC,24.26,24.87,24.05,24.61,60839120.0
2020-06-02,BAC,24.96,25.39,24.56,24.84,77705273.0
2020-06-03,BAC,25.5,26.14,25.385,25.99,90426335.0
2020-06-04,BAC,25.71,26.83,25.57,26.78,100740083.0
2020-06-05,BAC,28.95,29.01,27.88,28.11,123675420.0
2020-06-08,BAC,28.59,28.9,28.14,28.54,83641189.0
2020-06-09,BAC,27.72,28.54,27.55,28.22,81638726.0
2020-06-10,BAC,27.95,28.1,26.51,26.6,96622269.0
2020-06-11,BAC,24.98,25.69,23.68,23.93,156889561.0
2020-06-12,BAC,25.03,25.05,24.04,24.78,78534246.0
2020-06-15,BAC,23.76,25.17,23.69,25.15,81912383.0
2020-06-16,BAC,26.18,26.24,24.86,25.8,103255726.0
2020-06-17,BAC,25.9,25.9,24.92,25.0,64632338.0
2020-06-18,BAC,24.7,25.49,24.58,25.04,61115486.0
2020-06-19,BAC,25.44,25.49,24.49,25.25,162048223.0
2020-06-22,BAC,24.89,25.025,24.61,24.62,61524301.0
2020-06-23,BAC,25.01,25.41,24.76,24.79,50421106.0
2020-06-24,BAC,24.54,24.54,23.68,23.81,82118673.0
2020-06-25,BAC,23.7,24.77,23.55,24.72,70484831.0
2020-06-26,BAC,24.09,24.11,23.02,23.15,143855062.0
2020-06-29,BAC,23.41,23.835,23.1,23.39,72571103.0
2020-06-30,BAC,23.2,23.91,23.0999,23.75,69153634.0
2020-07-01,BAC,24.03,24.07,23.23,23.26,60463108.0
2020-07-02,BAC,23.84,23.99,23.22,23.29,60955574.0
2020-07-06,BAC,23.82,24.08,23.46,23.66,68593904.0
2020-07-07,BAC,23.38,23.39,22.9,23.01,64639307.0
2020-07-08,BAC,23.03,23.19,22.7,23.1,56647965.0
2020-07-09,BAC,22.94,23.16,22.39,22.77,84593915.0
2020-07-10,BAC,22.71,24.05,22.68,24.02,86142314.0
2020-07-13,BAC,24.37,24.51,23.855,24.19,76246510.0
2020-07-14,BAC,23.8903,24.145,23.45,24.14,71200383.0
2020-07-15,BAC,24.76,24.87,24.28,24.6,60732876.0
2020-07-16,BAC,23.75,24.22,23.54,23.93,81353965.0
2020-07-17,BAC,23.88,23.975,23.2,23.22,70458542.0
2020-07-20,BAC,23.19,23.7,23.11,23.58,63999715.0
2020-07-21,BAC,23.71,24.48,23.69,24.42,79408414.0
2020-07-22,BAC,24.24,24.33,23.965,24.31,54955204.0
2020-07-23,BAC,24.52,24.64,24.11,24.54,66395551.0
2020-07-24,BAC,24.56,24.83,24.27,24.35,51776215.0
2020-07-27,BAC,24.22,24.27,23.875,24.14,58498210.0
2020-07-28,BAC,24.13,24.56,24.075,24.36,52115332.0
2020-07-29,BAC,24.36,25.29,24.19,25.27,74709345.0
2020-07-30,BAC,24.72,24.95,24.345,24.84,65589376.0
2020-07-31,BAC,24.93,24.95,24.46,24.88,66574910.0
2020-08-03,BAC,25.03,25.31,24.69,24.99,64023522.0
2020-08-04,BAC,24.96,25.06,24.86,25.01,39358683.0
2020-08-05,BAC,25.32,25.59,25.25,25.39,55108786.0
2020-08-06,BAC,25.45,25.665,25.28,25.47,58160368.0
2020-08-07,BAC,25.34,26.1911,25.26,26.11,67235753.0
2020-08-10,BAC,26.31,26.81,26.21,26.56,69080178.0
2020-08-11,BAC,27.28,27.75,26.78,26.92,83529793.0
2020-08-12,BAC,27.48,27.57,26.41,26.73,64558821.0
2020-08-13,BAC,26.49,26.67,26.14,26.35,57599221.0
2020-08-14,BAC,26.06,26.6601,25.92,26.47,52958030.0
2020-08-17,BAC,26.31,26.41,25.84,25.9,63920595.0
2020-08-18,BAC,25.87,25.985,25.46,25.53,48386942.0
2020-08-19,BAC,25.66,26.08,25.39,25.5,62677490.0
2020-08-20,BAC,25.16,25.325,25.02,25.1,51716837.0
2020-08-21,BAC,24.98,25.43,24.9,24.98,58392359.0
2020-08-24,BAC,25.22,25.7,25.04,25.69,56814696.0
2020-08-25,BAC,26.04,26.19,25.73,26.0,59679323.0
2020-08-26,BAC,25.94,25.94,25.54,25.56,42062486.0
2020-08-27,BAC,25.49,26.22,25.44,26.05,55053572.0
2020-08-28,BAC,26.4,26.47,25.99,26.3,48959399.0
2020-08-31,BAC,26.09,26.14,25.69,25.74,54423797.0
2020-09-01,BAC,25.58,25.9,25.4,25.71,48728954.0
2020-09-02,BAC,25.53,26.1579,25.485,26.02,60777727.0
2020-09-03,BAC,26.2,26.62,25.46,25.66,91343816.0
2020-09-04,BAC,26.26,26.76,25.8,26.54,103412269.0
2020-09-08,BAC,26.14,26.32,25.39,25.48,78930611.0
2020-09-09,BAC,25.64,25.72,25.23,25.51,58813647.0
2020-09-10,BAC,25.7,25.89,25.08,25.14,59637286.0
2020-09-11,BAC,25.22,25.58,25.09,25.5,50138737.0
