Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,BDX,223.3,234.88,220.54,225.685,3995683.0
2020-03-13,BDX,229.58,239.02,216.09,236.5,3796664.0
2020-03-16,BDX,216.0,234.54,208.65,223.14,3223504.0
2020-03-17,BDX,230.54,248.94,223.34,248.52,4156358.0
2020-03-18,BDX,239.1,251.97,228.0,234.72,3912656.0
2020-03-19,BDX,236.5,237.655,220.56,220.96,2973653.0
2020-03-20,BDX,218.11,224.72,216.22,220.12,4157003.0
2020-03-23,BDX,219.26,223.39,197.75,200.58,4738441.0
2020-03-24,BDX,209.41,211.77,199.5,202.85,3781790.0
2020-03-25,BDX,205.54,209.27,199.15,203.6,3703542.0
2020-03-26,BDX,204.8,219.55,204.37,219.35,2900788.0
2020-03-27,BDX,212.57,221.51,211.44,216.58,2605926.0
2020-03-30,BDX,220.05,223.71,217.33,222.87,2064282.0
2020-03-31,BDX,222.06,231.05,219.0,229.77,2992328.0
2020-04-01,BDX,221.71,229.77,220.0,225.4,2156095.0
2020-04-02,BDX,225.06,233.61,224.42,233.28,1689762.0
2020-04-03,BDX,231.01,232.86,222.79,226.73,1406908.0
2020-04-06,BDX,231.09,239.18,229.425,237.69,2424134.0
2020-04-07,BDX,240.0,243.0,235.06,237.55,2463853.0
2020-04-08,BDX,239.15,251.71,235.32,250.0,2650484.0
2020-04-09,BDX,250.0,250.58,243.53,247.45,2504957.0
2020-04-13,BDX,245.52,248.84,241.595,248.06,1532971.0
2020-04-14,BDX,251.99,251.99,247.56,249.53,2329635.0
2020-04-15,BDX,246.81,253.77,245.59,252.53,1985613.0
2020-04-16,BDX,254.76,262.62,252.56,261.61,1767718.0
2020-04-17,BDX,265.69,266.04,255.79,261.4,2242027.0
2020-04-20,BDX,261.9,266.77,259.55,263.44,1662785.0
2020-04-21,BDX,258.59,261.335,254.46,256.5,2592554.0
2020-04-22,BDX,258.82,267.9,257.99,266.76,2098648.0
2020-04-23,BDX,268.19,270.686,264.31,265.08,1306175.0
2020-04-24,BDX,266.66,268.67,262.495,268.17,1972542.0
2020-04-27,BDX,269.36,271.45,267.55,270.0,1644870.0
2020-04-28,BDX,270.59,271.95,261.15,261.92,2355050.0
2020-04-29,BDX,263.0,263.0,257.13,257.85,1868505.0
2020-04-30,BDX,256.28,263.77,251.63,252.53,3356815.0
2020-05-01,BDX,250.8,253.89,247.79,251.87,1528886.0
2020-05-04,BDX,252.39,256.385,249.23,255.27,1208068.0
2020-05-05,BDX,258.25,263.6,256.2,261.7,1018052.0
2020-05-06,BDX,260.79,262.5,258.435,259.13,1114948.0
2020-05-07,BDX,266.02,266.02,255.51,256.25,1365744.0
2020-05-08,BDX,259.22,259.76,254.01,254.48,1509225.0
2020-05-11,BDX,253.48,263.76,253.14,262.05,1571831.0
2020-05-12,BDX,262.99,266.74,261.83,262.09,1354992.0
2020-05-13,BDX,262.68,264.35,258.34,261.92,1300979.0
2020-05-14,BDX,259.44,259.97,255.04,258.7,1405867.0
2020-05-15,BDX,257.64,262.48,255.97,258.25,2686285.0
2020-05-18,BDX,264.0,268.415,262.36,264.77,1141009.0
2020-05-19,BDX,265.08,265.44,262.35,263.2,896722.0
2020-05-20,BDX,255.74,258.46,242.56,242.99,4234948.0
2020-05-21,BDX,243.24,243.6,234.51,238.94,8505080.0
2020-05-22,BDX,241.52,244.66,238.56,239.25,14823740.0
2020-05-26,BDX,240.99,243.0,231.84,233.14,3918987.0
2020-05-27,BDX,231.13,234.9,227.41,234.8,3881644.0
2020-05-28,BDX,239.41,244.28,237.35,241.5,1994278.0
2020-05-29,BDX,243.86,247.06,239.6,246.93,2240851.0
2020-06-01,BDX,246.63,249.4,242.785,244.85,1232937.0
2020-06-02,BDX,245.06,245.06,241.47,244.5,1371972.0
2020-06-03,BDX,243.21,243.9,239.61,243.04,1925395.0
2020-06-04,BDX,242.0,245.345,240.0,243.55,1971038.0
2020-06-05,BDX,243.78,244.4,240.84,242.01,3761560.0
2020-06-08,BDX,240.45,247.24,239.49,247.24,4219856.0
2020-06-09,BDX,247.35,250.32,237.19,237.28,2551959.0
2020-06-10,BDX,238.44,241.05,236.6,237.14,2490842.0
2020-06-11,BDX,235.93,236.57,229.41,230.19,2540289.0
2020-06-12,BDX,234.55,236.65,229.0,230.88,2144333.0
2020-06-15,BDX,228.74,236.1045,227.0647,234.15,2164717.0
2020-06-16,BDX,237.94,240.5,235.18,236.46,1665684.0
2020-06-17,BDX,237.19,240.12,235.7296,237.27,1573078.0
2020-06-18,BDX,236.38,238.35,235.0,236.23,1420598.0
2020-06-19,BDX,238.55,239.37,235.14,237.59,3374427.0
2020-06-22,BDX,236.93,236.93,232.06,235.19,1746830.0
2020-06-23,BDX,236.81,240.0,236.4153,237.83,1780386.0
2020-06-24,BDX,236.07,236.99,227.79,232.81,2410003.0
2020-06-25,BDX,231.8,231.8,225.3,228.94,2624913.0
2020-06-26,BDX,229.89,234.81,228.98,233.57,3414086.0
2020-06-29,BDX,234.04,234.54,228.725,232.97,2333173.0
2020-06-30,BDX,232.59,240.82,231.06,239.27,2631247.0
2020-07-01,BDX,239.04,242.965,238.755,241.53,1573702.0
2020-07-02,BDX,242.18,246.08,240.52,245.03,2084888.0
2020-07-06,BDX,248.42,253.72,247.59,250.47,3550270.0
2020-07-07,BDX,248.38,252.27,247.56,251.38,2047575.0
2020-07-08,BDX,251.94,256.93,251.23,252.73,2692029.0
2020-07-09,BDX,255.26,260.34,253.96,258.61,1903040.0
2020-07-10,BDX,258.02,259.785,254.77,257.37,1070537.0
2020-07-13,BDX,257.31,262.23,255.855,257.41,1469328.0
2020-07-14,BDX,257.04,263.8,256.78,263.4,1397139.0
2020-07-15,BDX,265.0,268.15,264.11,266.96,1483647.0
2020-07-16,BDX,266.9,268.38,264.87,265.05,1421786.0
2020-07-17,BDX,266.73,269.09,264.14,266.98,1405631.0
2020-07-20,BDX,267.98,268.53,265.035,267.85,1133720.0
2020-07-21,BDX,269.73,276.42,269.0,271.31,1640177.0
2020-07-22,BDX,271.71,274.755,270.91,273.44,1210119.0
2020-07-23,BDX,274.1,276.16,271.71,272.71,929165.0
2020-07-24,BDX,272.54,272.98,269.0,271.89,676226.0
2020-07-27,BDX,270.26,275.68,269.055,275.18,1036126.0
2020-07-28,BDX,274.55,275.365,272.19,273.0,876495.0
2020-07-29,BDX,273.72,277.91,273.72,276.4,912292.0
2020-07-30,BDX,273.34,275.14,270.03,273.84,992798.0
2020-07-31,BDX,274.07,281.35,273.25,281.34,1759462.0
2020-08-03,BDX,282.97,284.56,280.0021,283.68,1394741.0
2020-08-04,BDX,283.03,283.9,281.5,282.86,950974.0
2020-08-05,BDX,280.3,284.97,280.3,283.43,1219134.0
2020-08-06,BDX,266.0,267.9498,256.3667,259.61,2742537.0
2020-08-07,BDX,260.2,261.82,255.0,256.41,2418636.0
2020-08-10,BDX,259.5,259.5,255.05,256.75,2847241.0
2020-08-11,BDX,259.29,260.56,254.95,255.0,1762535.0
2020-08-12,BDX,255.89,259.545,255.89,257.22,1364936.0
2020-08-13,BDX,256.92,262.86,256.48,262.33,1140556.0
2020-08-14,BDX,261.54,262.3031,256.66,258.17,1249169.0
2020-08-17,BDX,258.89,260.65,258.0,260.04,1145198.0
2020-08-18,BDX,261.52,264.9,259.16,263.86,1938558.0
2020-08-19,BDX,265.0,266.19,260.55,262.0,1208059.0
2020-08-20,BDX,260.27,261.98,258.1,258.93,846101.0
2020-08-21,BDX,258.11,259.36,255.46,257.72,1313363.0
2020-08-24,BDX,258.86,259.58,254.39,254.95,1009923.0
2020-08-25,BDX,256.11,257.3299,254.17,255.79,1214150.0
2020-08-26,BDX,254.68,255.1,250.05,253.98,1298694.0
2020-08-27,BDX,238.52,248.26,232.0,246.57,3983768.0
2020-08-28,BDX,247.13,247.38,240.9,242.8,2076004.0
2020-08-31,BDX,243.85,244.48,241.83,242.77,3264976.0
2020-09-01,BDX,243.97,245.8743,238.725,240.84,1537391.0
2020-09-02,BDX,240.58,246.27,240.025,246.19,1433739.0
2020-09-03,BDX,246.0,246.68,234.08,235.06,1936548.0
2020-09-04,BDX,236.87,238.1572,232.43,234.08,1672816.0
2020-09-08,BDX,234.75,235.54,230.51,234.06,1646471.0
2020-09-09,BDX,236.16,239.0478,234.5901,235.57,1565607.0
2020-09-10,BDX,235.0,235.715,231.3,234.18,2224214.0
2020-09-11,BDX,234.83,236.74,233.755,235.78,1264533.0
2020-09-14,BDX,236.91,238.48,235.86,235.9,1241751.0
2020-09-15,BDX,236.0,236.45,226.05,226.15,2613740.0
2020-09-16,BDX,226.12,229.87,224.21,227.03,2649874.0
2020-09-17,BDX,226.35,229.18,224.41,227.8,2091719.0
2020-09-18,BDX,226.16,233.935,226.16,231.9,4920382.0
2020-09-21,BDX,231.39,231.39,225.36,228.44,1410167.0
2020-09-22,BDX,227.58,228.085,222.75,223.8,2047290.0
2020-09-23,BDX,225.92,229.72,224.51,225.59,1863479.0
2020-09-24,BDX,226.0,226.47,220.0366,221.16,1641530.0
2020-09-25,BDX,220.05,224.57,219.5,224.08,1662453.0
2020-09-28,BDX,226.41,227.91,224.71,225.0,1159720.0
2020-09-29,BDX,226.1,226.98,224.93,225.43,907292.0
2020-09-30,BDX,227.31,235.57,226.8,232.68,2696226.0
2020-10-01,BDX,234.46,236.82,228.65,230.85,1336670.0
2020-10-02,BDX,231.9,234.999,231.0,232.66,1124429.0
2020-10-05,BDX,234.17,238.51,234.1301,238.14,1075932.0
2020-10-06,BDX,238.0,240.32,235.03,235.45,1115309.0
2020-10-07,BDX,236.27,237.73,234.05,235.7,1215402.0
2020-10-08,BDX,235.77,237.38,234.44,236.21,1107475.0
2020-10-09,BDX,237.52,238.125,234.42,237.31,1764935.0
2020-10-12,BDX,238.08,240.5,236.71,238.36,1024089.0
2020-10-13,BDX,237.43,239.74,235.4,236.71,973338.0
2020-10-14,BDX,236.78,238.86,233.105,233.69,1014513.0
2020-10-15,BDX,232.17,236.475,231.5,235.01,1233236.0
2020-10-16,BDX,235.81,239.17,234.64,236.99,1152817.0
2020-10-19,BDX,237.52,240.75,236.48,237.38,1241677.0
2020-10-20,BDX,237.92,238.485,236.0,236.26,925242.0
2020-10-21,BDX,238.22,239.0,233.035,236.4,1268376.0
2020-10-22,BDX,235.62,241.42,235.48,241.09,1214920.0
2020-10-23,BDX,240.84,242.62,239.2289,240.28,1085537.0
2020-10-26,BDX,239.29,242.88,238.57,242.0,1073064.0
2020-10-27,BDX,242.96,245.87,242.41,244.24,1085667.0
2020-10-28,BDX,240.1,241.36,235.3648,235.89,1235402.0
2020-10-29,BDX,235.84,236.75,230.87,232.47,1223895.0
2020-10-30,BDX,232.36,233.96,227.82,231.13,1810392.0
2020-11-02,BDX,233.61,237.15,232.04,234.79,1176730.0
2020-11-03,BDX,236.48,239.69,234.94,237.72,1251067.0
2020-11-04,BDX,240.57,245.2088,236.66,236.79,1624732.0
2020-11-05,BDX,240.0,244.47,232.44,234.65,2285194.0
2020-11-06,BDX,235.11,241.63,234.72,236.62,1527436.0
2020-11-09,BDX,246.82,247.83,239.89,240.31,2082079.0
2020-11-10,BDX,241.04,243.39,239.62,240.3,2474312.0
2020-11-11,BDX,243.61,243.92,240.81,243.16,1671985.0
2020-11-12,BDX,242.9,243.685,239.13,240.21,1408441.0
2020-11-13,BDX,241.47,244.22,240.06,242.81,2173911.0
2020-11-16,BDX,246.41,246.5,241.755,242.57,1715403.0
2020-11-17,BDX,241.75,245.22,240.47,242.41,1244204.0
2020-11-18,BDX,242.26,242.26,233.31,233.47,2016516.0
2020-11-19,BDX,234.25,235.49,231.88,232.9,1588593.0
2020-11-20,BDX,232.62,234.73,231.057,231.87,1552422.0
2020-11-23,BDX,232.0,233.405,227.69,228.48,1602959.0
2020-11-24,BDX,229.0,229.76,226.87,229.29,2496386.0
2020-11-25,BDX,230.48,230.99,226.77,227.47,1732347.0
2020-11-27,BDX,228.3,229.5,226.15,228.96,913487.0
2020-11-30,BDX,230.0,234.89,229.97,234.84,4690770.0
2020-12-01,BDX,236.12,238.73,235.575,238.65,1856825.0
2020-12-02,BDX,238.43,246.5,238.43,241.87,2422396.0
2020-12-03,BDX,241.26,241.3323,237.49,238.51,2623007.0
2020-12-04,BDX,238.49,242.795,238.39,242.76,2471610.0
2020-12-07,BDX,242.43,243.58,235.86,236.45,1477035.0
2020-12-08,BDX,235.11,240.36,234.6101,240.24,1316666.0
2020-12-09,BDX,240.04,240.78,237.6,239.96,1538050.0
2020-12-10,BDX,240.43,243.31,240.03,242.33,1605428.0
2020-12-11,BDX,241.25,242.94,240.05,242.69,1665411.0
2020-12-14,BDX,243.78,246.74,239.88,240.0,1400169.0
2020-12-15,BDX,240.5,245.5899,239.8405,244.13,1423068.0
2020-12-16,BDX,244.95,247.065,242.25,245.29,1375539.0
2020-12-17,BDX,246.45,249.63,246.01,248.7,1287398.0
2020-12-18,BDX,248.45,253.23,247.0,252.09,4040673.0
2020-12-21,BDX,249.36,250.4,245.27,247.86,1060413.0
2020-12-22,BDX,247.41,248.48,245.23,245.9,1079061.0
2020-12-23,BDX,247.08,247.23,244.18,244.25,993236.0
2020-12-24,BDX,244.9,249.25,244.9,247.99,503814.0
2020-12-28,BDX,248.8,249.865,247.2901,248.15,711362.0
2020-12-29,BDX,249.41,250.75,247.28,248.35,953119.0
2020-12-30,BDX,248.61,249.34,246.59,246.68,782651.0
2020-12-31,BDX,247.23,250.78,246.76,250.22,893772.0
2021-01-04,BDX,251.0,251.71,246.75,250.7,1326473.0
2021-01-05,BDX,251.25,252.7,247.42,251.03,1373544.0
2021-01-06,BDX,250.0,254.62,250.0,253.64,1650569.0
2021-01-07,BDX,254.46,255.87,251.21,253.5,1362120.0
2021-01-08,BDX,254.56,256.67,253.625,255.06,1747916.0
2021-01-11,BDX,255.63,257.795,255.0,257.11,934529.0
2021-01-12,BDX,261.74,267.37,259.6,263.08,2432344.0
2021-01-13,BDX,262.5,266.19,262.0,263.01,1242119.0
2021-01-14,BDX,262.61,262.99,257.42,257.77,1483355.0
2021-01-15,BDX,258.0,262.07,257.58,261.74,1629547.0
2021-01-19,BDX,263.98,265.23,259.3,260.77,1439509.0
2021-01-20,BDX,260.16,263.58,259.0001,263.3,1475375.0
2021-01-21,BDX,261.85,264.0,260.17,261.9,1383927.0
2021-01-22,BDX,261.58,262.36,258.69,258.75,1775836.0
2021-01-25,BDX,258.5,261.24,257.34,260.24,944674.0
2021-01-26,BDX,260.0,260.23,255.47,258.35,1258646.0
2021-01-27,BDX,256.25,257.67,250.495,250.89,1524470.0
2021-01-28,BDX,252.67,258.99,251.83,256.21,1704879.0
2021-01-29,BDX,256.45,264.59,254.92,261.79,2251116.0
2021-02-01,BDX,262.45,265.025,260.85,261.37,1226865.0
2021-02-02,BDX,262.44,264.055,258.095,258.24,1740574.0
2021-02-03,BDX,258.49,263.63,257.07,260.93,1789182.0
2021-02-04,BDX,260.0,261.924,252.49,254.89,2697692.0
2021-02-05,BDX,255.29,258.19,252.14,254.68,1626869.0
2021-02-08,BDX,255.03,258.37,255.03,256.82,1433542.0
2021-02-09,BDX,256.43,257.237,253.04,254.17,1323127.0
2021-02-10,BDX,256.23,256.8,252.08,252.9,1016170.0
2021-02-11,BDX,254.26,254.26,250.7175,253.39,1569747.0
2021-02-12,BDX,253.76,257.02,252.38,256.32,1230578.0
2021-02-16,BDX,256.66,257.81,255.07,257.34,1128340.0
2021-02-17,BDX,256.71,257.305,254.28,256.82,1246610.0
2021-02-18,BDX,256.24,257.98,254.0,255.82,1503847.0
2021-02-19,BDX,255.91,256.055,247.78,247.93,2268140.0
2021-02-22,BDX,248.13,248.26,241.85,246.02,1422868.0
2021-02-23,BDX,246.87,248.86,243.26,247.7,1801205.0
2021-02-24,BDX,247.4,248.14,244.68,246.71,1683170.0
2021-02-25,BDX,246.74,250.195,245.4,247.15,1312596.0
2021-02-26,BDX,246.11,247.5,241.01,241.15,1798450.0
2021-03-01,BDX,242.71,246.14,241.85,246.06,1482679.0
2021-03-02,BDX,247.12,247.12,243.37,244.73,931681.0
2021-03-03,BDX,243.99,244.53,241.23,241.66,1549584.0
2021-03-04,BDX,241.82,243.88,238.46,240.88,1541049.0
2021-03-05,BDX,241.84,247.61,240.95,246.45,1256789.0
2021-03-08,BDX,245.81,249.64,244.015,246.1,1124397.0
2021-03-09,BDX,247.1,248.09,242.71,242.85,1401086.0
2021-03-10,BDX,245.17,245.17,236.82,237.89,2288922.0
2021-03-11,BDX,238.0,239.73,236.03,238.2,2671368.0
2021-03-12,BDX,239.37,240.12,236.31,238.24,1378180.0
2021-03-15,BDX,238.39,241.0,237.92,240.76,1228741.0
2021-03-16,BDX,241.24,241.52,238.66,239.55,1087075.0
2021-03-17,BDX,239.25,240.97,238.63,239.36,1315459.0
2021-03-18,BDX,238.62,240.99,238.03,239.2,952285.0
2021-03-19,BDX,239.94,241.325,237.87,239.02,3775937.0
2021-03-22,BDX,238.5,241.69,238.0,241.62,1180289.0
2021-03-23,BDX,241.96,241.99,239.46,240.26,1031824.0
2021-03-24,BDX,239.33,242.32,238.765,241.77,1086296.0
2021-03-25,BDX,243.26,243.65,238.56,241.73,1367659.0
2021-03-26,BDX,242.19,245.34,239.27,245.12,1295411.0
2021-03-29,BDX,245.67,248.41,243.54,247.14,1033272.0
2021-03-30,BDX,246.13,248.37,244.12,245.19,1037273.0
2021-03-31,BDX,245.17,245.79,242.34,243.15,1480161.0
2021-04-01,BDX,243.55,244.58,240.57,241.58,1084617.0
2021-04-05,BDX,242.38,247.115,242.38,245.09,1411690.0
2021-04-06,BDX,245.14,247.22,243.38,244.62,1084651.0
2021-04-07,BDX,244.69,245.11,242.3509,244.02,905529.0
2021-04-08,BDX,244.02,244.48,242.43,242.87,1479897.0
2021-04-09,BDX,243.08,247.99,243.08,247.93,1406607.0
2021-04-12,BDX,247.36,247.72,245.88,247.41,1013225.0
2021-04-13,BDX,246.76,251.46,246.5047,250.7,974751.0
2021-04-14,BDX,250.67,251.0,248.54,249.82,1103969.0
2021-04-15,BDX,250.82,258.95,250.77,257.85,2068821.0
2021-04-16,BDX,258.99,262.01,257.9641,260.94,1904293.0
2021-04-19,BDX,260.29,260.29,258.96,258.96,16735.0
2021-04-20,BDX,258.72,260.6,256.18,256.44,1495754.0
2021-04-21,BDX,257.55,259.69,257.17,258.14,1495861.0
2021-04-22,BDX,257.03,258.48,256.09,257.13,1064893.0
2021-04-23,BDX,257.55,257.55,252.13,255.85,1700899.0
2021-04-26,BDX,255.99,258.36,255.85,257.45,1232120.0
2021-04-27,BDX,257.14,259.44,253.28,258.21,1151993.0
2021-04-28,BDX,258.53,259.9,256.72,257.51,925608.0
2021-04-29,BDX,258.16,258.27,251.08,251.42,1293337.0
2021-04-30,BDX,250.34,251.71,247.35,248.81,2069628.0
2021-05-03,BDX,249.71,253.755,249.08,253.12,1089013.0
2021-05-04,BDX,252.71,252.78,249.32,251.52,1145980.0
2021-05-05,BDX,251.67,252.0,246.04,249.77,1916820.0
2021-05-06,BDX,241.99,244.89,238.2,240.81,3042202.0
2021-05-07,BDX,239.39,244.95,238.94,239.39,2735536.0
2021-05-10,BDX,239.42,248.85,239.12,246.63,1860567.0
2021-05-11,BDX,247.32,248.63,240.58,241.2,1755431.0
2021-05-12,BDX,240.04,243.56,240.04,241.64,1831013.0
2021-05-13,BDX,242.35,245.93,241.655,244.08,2029956.0
2021-05-14,BDX,244.68,246.5,242.15,242.38,1344935.0
2021-05-17,BDX,242.86,245.29,241.04,241.09,1466978.0
2021-05-18,BDX,239.88,243.3,239.2,242.18,2799254.0
2021-05-19,BDX,241.8,242.89,240.49,242.64,1605556.0
2021-05-20,BDX,241.64,245.28,241.45,244.79,1806956.0
2021-05-21,BDX,245.83,249.12,244.1,244.48,1597263.0
2021-05-24,BDX,245.03,246.12,242.3,243.72,2037548.0
2021-05-25,BDX,243.44,244.45,241.0,242.49,2288325.0
2021-05-26,BDX,240.3,243.2467,239.36,242.02,2613936.0
2021-05-27,BDX,242.0,242.97,240.27,240.94,5079039.0
2021-05-28,BDX,242.98,244.3,241.6201,241.89,2381482.0
2021-06-01,BDX,241.13,241.55,238.3,238.47,3041769.0
2021-06-02,BDX,238.43,239.51,238.15,238.68,2408012.0
2021-06-03,BDX,238.41,241.2357,238.12,240.72,2139030.0
