Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,BG,37.48,38.53,34.11,36.15,3304581.0
2020-03-13,BG,38.0,39.385,36.0,38.56,1889795.0
2020-03-16,BG,35.9,37.62,33.32,33.64,1859024.0
2020-03-17,BG,35.02,36.51,33.64,35.29,2768504.0
2020-03-18,BG,33.01,33.5,29.64,30.25,2539480.0
2020-03-19,BG,30.0,33.95,29.0,32.74,2306232.0
2020-03-20,BG,33.41,35.06,31.7,31.78,2649691.0
2020-03-23,BG,31.62,33.79,30.74,32.74,2293099.0
2020-03-24,BG,34.69,35.61,34.12,35.0,1919303.0
2020-03-25,BG,35.56,38.95,35.23,36.63,2194074.0
2020-03-26,BG,37.16,38.8,36.32,37.64,1643800.0
2020-03-27,BG,36.31,37.33,35.15,36.19,1841477.0
2020-03-30,BG,36.51,40.19,35.65,39.59,1908985.0
2020-03-31,BG,39.71,41.46,39.69,41.03,2182333.0
2020-04-01,BG,39.59,40.44,37.53,38.37,1839107.0
2020-04-02,BG,38.34,39.79,37.8,39.08,1785204.0
2020-04-03,BG,38.55,39.08,36.6301,37.17,1354371.0
2020-04-06,BG,38.8,39.29,37.955,38.27,1672407.0
2020-04-07,BG,39.54,41.26,37.99,38.02,1552209.0
2020-04-08,BG,38.5,39.8,38.18,39.44,1735267.0
2020-04-09,BG,39.85,41.41,39.53,40.83,1442883.0
2020-04-13,BG,40.86,41.15,38.89,38.95,1104139.0
2020-04-14,BG,39.97,40.715,38.78,39.46,1490137.0
2020-04-15,BG,38.48,38.53,36.36,36.92,1589612.0
2020-04-16,BG,36.92,38.39,36.3949,38.11,1559515.0
2020-04-17,BG,38.93,40.11,38.61,40.09,1892097.0
2020-04-20,BG,39.5,40.13,38.77,38.88,1280718.0
2020-04-21,BG,38.13,38.3,36.085,36.13,1505857.0
2020-04-22,BG,36.81,38.11,36.45,37.8,1884253.0
2020-04-23,BG,38.0,39.36,38.0,39.13,1133963.0
2020-04-24,BG,39.77,39.825,38.74,39.61,1167872.0
2020-04-27,BG,39.71,40.0,39.17,39.69,1775041.0
2020-04-28,BG,40.5,40.71,39.57,40.42,1068451.0
2020-04-29,BG,41.04,42.07,40.89,41.65,1212026.0
2020-04-30,BG,41.21,41.43,39.55,39.67,1246496.0
2020-05-01,BG,39.09,39.44,37.6,37.89,1103518.0
2020-05-04,BG,37.56,38.09,37.155,37.69,1804394.0
2020-05-05,BG,38.05,38.6,37.83,37.94,1076589.0
2020-05-06,BG,35.0,35.42,32.68,34.2,5347146.0
2020-05-07,BG,34.5,36.75,34.5,36.37,3082604.0
2020-05-08,BG,37.1,37.44,36.05,36.53,1808390.0
2020-05-11,BG,36.16,36.415,34.62,34.67,1925009.0
2020-05-12,BG,35.3,35.62,34.53,34.63,1621644.0
2020-05-13,BG,35.06,35.24,33.8181,34.35,1785835.0
2020-05-14,BG,33.93,34.85,33.08,34.77,1576101.0
2020-05-15,BG,34.02,34.8,33.73,34.33,1499405.0
2020-05-18,BG,35.42,35.9,35.12,35.43,1858926.0
2020-05-19,BG,35.5,35.965,34.97,35.14,1394048.0
2020-05-20,BG,35.46,35.95,35.18,35.59,1407522.0
2020-05-21,BG,35.35,35.71,35.0,35.53,1315989.0
2020-05-22,BG,35.4,35.6,34.57,35.38,1683238.0
2020-05-26,BG,37.14,38.1,36.93,37.72,2865174.0
2020-05-27,BG,38.49,39.86,38.31,39.36,3223311.0
2020-05-28,BG,39.7,39.89,38.65,38.87,1568047.0
2020-05-29,BG,38.46,39.325,37.91,39.02,3946113.0
2020-06-01,BG,38.89,39.8244,38.67,39.22,1870882.0
2020-06-02,BG,39.97,39.99,38.93,39.87,1869097.0
2020-06-03,BG,40.44,41.67,40.38,41.39,1591462.0
2020-06-04,BG,41.25,41.86,40.61,41.3,1099467.0
2020-06-05,BG,42.79,44.86,42.33,42.47,1607357.0
2020-06-08,BG,43.39,44.37,43.31,43.81,1911571.0
2020-06-09,BG,43.0,43.29,42.1,42.91,1212628.0
2020-06-10,BG,42.84,43.09,40.385,40.42,1672956.0
2020-06-11,BG,39.89,39.97,38.71,38.88,2426579.0
2020-06-12,BG,40.01,40.24,38.64,39.39,1888330.0
2020-06-15,BG,38.04,40.1,37.82,39.82,1402755.0
2020-06-16,BG,41.0,41.47,39.97,41.08,1334499.0
2020-06-17,BG,41.07,41.11,40.08,40.41,1366853.0
2020-06-18,BG,39.97,41.36,39.71,41.21,1637320.0
2020-06-19,BG,42.0,42.0,40.63,40.63,3417029.0
2020-06-22,BG,40.66,40.91,40.03,40.39,1207852.0
2020-06-23,BG,40.69,41.565,40.4183,41.08,1778297.0
2020-06-24,BG,40.53,42.17,39.7,41.19,2836085.0
2020-06-25,BG,41.29,42.6,41.21,42.52,2201488.0
2020-06-26,BG,42.38,42.38,40.2,40.22,2719079.0
2020-06-29,BG,40.56,41.36,40.435,40.81,984281.0
2020-06-30,BG,40.85,41.37,40.3,41.13,1331112.0
2020-07-01,BG,41.1,41.26,40.04,40.13,1702377.0
2020-07-02,BG,41.0,41.53,39.73,39.78,1727572.0
2020-07-06,BG,40.35,40.735,39.94,40.49,1380792.0
2020-07-07,BG,40.04,40.04,39.37,39.64,1107124.0
2020-07-08,BG,39.64,40.07,38.84,39.19,1018887.0
2020-07-09,BG,39.0,39.0,38.0,38.23,994062.0
2020-07-10,BG,38.23,40.03,38.23,39.89,1059086.0
2020-07-13,BG,40.57,41.14,39.74,40.5,1287047.0
2020-07-14,BG,40.31,41.96,40.14,41.9,1342493.0
2020-07-15,BG,42.47,43.48,42.02,43.23,2118897.0
2020-07-16,BG,43.05,43.89,42.62,42.84,1085532.0
2020-07-17,BG,43.09,43.46,42.755,43.06,1034236.0
2020-07-20,BG,42.73,43.0499,41.57,41.91,987794.0
2020-07-21,BG,42.06,43.29,42.06,42.89,1344820.0
2020-07-22,BG,42.75,43.61,42.63,43.37,884784.0
2020-07-23,BG,43.34,45.14,43.34,44.78,1271242.0
2020-07-24,BG,44.7,44.98,44.0,44.33,1026909.0
2020-07-27,BG,43.9,45.02,43.645,45.0,1111121.0
2020-07-28,BG,44.95,45.56,44.11,44.6,1102816.0
2020-07-29,BG,45.75,46.69,43.86,45.18,2468378.0
2020-07-30,BG,44.62,45.6444,44.565,45.01,1374575.0
2020-07-31,BG,44.63,44.94,42.85,43.44,1552956.0
2020-08-03,BG,43.65,44.66,43.38,44.03,1341944.0
2020-08-04,BG,44.03,44.34,43.11,44.31,1125328.0
2020-08-05,BG,44.67,44.99,44.3,44.84,1113516.0
2020-08-06,BG,44.6,45.15,44.6,44.7,838202.0
2020-08-07,BG,44.42,45.59,44.38,45.46,858431.0
2020-08-10,BG,45.48,47.04,45.44,46.8,1185057.0
2020-08-11,BG,47.47,47.775,46.68,46.72,881500.0
2020-08-12,BG,47.25,47.39,46.69,46.81,881627.0
2020-08-13,BG,47.0,47.0,46.31,46.47,938792.0
2020-08-14,BG,45.75,46.385,45.53,45.93,877175.0
2020-08-17,BG,46.02,46.94,46.01,46.39,871665.0
2020-08-18,BG,46.34,46.4,45.86,46.17,692136.0
2020-08-19,BG,46.17,47.07,46.13,46.69,895842.0
2020-08-20,BG,46.25,46.76,45.7,45.99,1000101.0
2020-08-21,BG,46.1,47.01,46.03,46.77,1233090.0
2020-08-24,BG,47.09,47.56,46.515,46.83,861690.0
2020-08-25,BG,47.19,47.3584,46.14,46.94,1213353.0
2020-08-26,BG,46.92,47.05,46.3,46.65,629669.0
2020-08-27,BG,46.66,46.9,45.92,46.24,617606.0
2020-08-28,BG,46.3,46.715,45.82,46.67,806141.0
