Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,BKR,11.62,12.07,10.58,10.7,12477883.0
2020-03-13,BKR,11.83,12.73,10.895,12.73,10804340.0
2020-03-16,BKR,11.04,12.53,10.01,11.61,15364330.0
2020-03-17,BKR,11.87,12.03,10.69,11.25,13761021.0
2020-03-18,BKR,10.14,10.92,9.18,9.7,13485865.0
2020-03-19,BKR,9.77,10.89,9.19,10.14,11013672.0
2020-03-20,BKR,10.19,10.615,9.6,10.0,14438796.0
2020-03-23,BKR,10.11,10.14,9.12,9.33,10544198.0
2020-03-24,BKR,9.67,11.35,9.67,11.25,11113210.0
2020-03-25,BKR,11.47,12.375,10.52,11.62,6438072.0
2020-03-26,BKR,11.78,12.63,11.53,12.4,6103604.0
2020-03-27,BKR,11.78,12.18,11.55,11.88,7433158.0
2020-03-30,BKR,11.52,11.79,10.67,10.96,13177946.0
2020-03-31,BKR,11.16,11.315,10.3,10.5,12511828.0
2020-04-01,BKR,10.1,10.1,9.44,9.8,10222311.0
2020-04-02,BKR,10.17,11.21,9.9,10.36,9354259.0
2020-04-03,BKR,10.68,10.87,10.25,10.4,8622317.0
2020-04-06,BKR,11.3,11.85,10.8,11.75,9681159.0
2020-04-07,BKR,12.54,13.3,12.24,12.41,9268740.0
2020-04-08,BKR,12.96,13.0,12.36,12.9,5495893.0
2020-04-09,BKR,13.62,14.14,12.13,12.86,7741309.0
2020-04-13,BKR,13.35,13.46,12.62,13.29,9743423.0
2020-04-14,BKR,13.24,13.48,12.67,13.35,5627055.0
2020-04-15,BKR,12.55,12.97,12.26,12.91,7230447.0
2020-04-16,BKR,12.93,12.94,12.37,12.59,6987678.0
2020-04-17,BKR,12.38,13.06,12.37,13.03,8370288.0
2020-04-20,BKR,12.08,13.56,12.01,12.98,6006122.0
2020-04-21,BKR,12.5,13.3,12.42,12.75,7035695.0
2020-04-22,BKR,13.5,13.98,12.09,12.99,12100108.0
2020-04-23,BKR,13.16,13.9,12.95,13.57,9677766.0
2020-04-24,BKR,13.92,14.2317,13.27,13.42,8155042.0
2020-04-27,BKR,13.1,13.795,12.78,13.6,5710648.0
2020-04-28,BKR,13.82,14.26,13.59,14.2,6187104.0
2020-04-29,BKR,14.77,14.92,14.3,14.81,6464631.0
2020-04-30,BKR,14.73,14.79,13.79,13.95,7776494.0
2020-05-01,BKR,13.63,13.88,13.46,13.7,5998655.0
2020-05-04,BKR,13.31,14.05,13.29,13.97,5594889.0
2020-05-05,BKR,14.5,14.64,13.5,13.6,5979910.0
2020-05-06,BKR,13.55,13.74,12.92,12.93,5706488.0
2020-05-07,BKR,13.33,14.07,13.3,14.02,6862111.0
2020-05-08,BKR,14.37,15.02,14.135,15.01,8261532.0
2020-05-11,BKR,14.75,14.894,14.385,14.62,5418244.0
2020-05-12,BKR,14.81,15.03,14.34,14.57,6570492.0
2020-05-13,BKR,14.34,14.56,13.55,13.61,5389785.0
2020-05-14,BKR,13.31,14.3318,13.1,14.0,5224100.0
2020-05-15,BKR,13.92,14.49,13.71,13.76,6199209.0
2020-05-18,BKR,14.56,15.49,14.34,15.34,5382422.0
2020-05-19,BKR,15.03,15.17,14.49,14.51,5231933.0
2020-05-20,BKR,15.0,15.72,14.74,15.61,4925416.0
2020-05-21,BKR,15.73,15.73,15.05,15.42,3940091.0
2020-05-22,BKR,15.1,15.195,14.755,15.12,3662903.0
2020-05-26,BKR,15.65,16.17,15.6,16.01,4490468.0
2020-05-27,BKR,16.29,16.56,15.895,16.56,5020746.0
2020-05-28,BKR,16.63,16.6613,16.24,16.39,6468183.0
2020-05-29,BKR,16.21,16.73,16.03,16.51,15477277.0
2020-06-01,BKR,16.6,16.735,16.23,16.33,5373874.0
2020-06-02,BKR,16.38,17.2999,16.38,17.11,5947806.0
2020-06-03,BKR,17.6,17.685,17.32,17.33,5099083.0
2020-06-04,BKR,17.18,17.49,16.88,17.15,7220754.0
2020-06-05,BKR,18.2,18.275,17.54,17.75,10338926.0
2020-06-08,BKR,18.86,19.3,18.53,19.06,10450284.0
2020-06-09,BKR,18.34,18.72,18.01,18.67,7731139.0
2020-06-10,BKR,18.17,18.39,17.26,17.26,7027863.0
2020-06-11,BKR,15.97,16.52,15.51,15.63,8040582.0
2020-06-12,BKR,16.42,16.71,15.48,15.94,6330161.0
2020-06-15,BKR,15.09,16.545,15.08,16.35,7557975.0
2020-06-16,BKR,17.26,17.39,16.45,16.84,6808840.0
2020-06-17,BKR,16.81,16.9,16.035,16.1,10223291.0
2020-06-18,BKR,15.94,16.3,15.735,16.11,9930842.0
2020-06-19,BKR,16.66,16.68,15.38,15.49,21182069.0
2020-06-22,BKR,15.36,15.585,15.22,15.35,11213216.0
2020-06-23,BKR,15.59,15.83,15.45,15.54,14434935.0
2020-06-24,BKR,15.25,15.27,14.07,14.31,7264939.0
2020-06-25,BKR,14.22,14.97,14.11,14.95,6614549.0
2020-06-26,BKR,14.87,14.94,14.49,14.7,8635937.0
2020-06-29,BKR,14.76,15.07,14.5,14.85,7422236.0
2020-06-30,BKR,14.66,15.485,14.64,15.39,5840597.0
2020-07-01,BKR,15.6,15.97,15.27,15.41,9095767.0
2020-07-02,BKR,15.74,16.09,15.38,15.41,8344281.0
2020-07-06,BKR,15.73,16.01,15.285,15.51,6883896.0
2020-07-07,BKR,15.33,15.51,15.165,15.22,6053836.0
2020-07-08,BKR,15.24,15.71,15.23,15.52,6133052.0
2020-07-09,BKR,15.52,15.61,14.605,14.65,5275875.0
2020-07-10,BKR,14.62,15.085,14.57,15.05,3278190.0
2020-07-13,BKR,15.22,15.47,14.86,15.06,5087480.0
2020-07-14,BKR,14.99,15.625,14.83,15.56,5863336.0
2020-07-15,BKR,15.99,16.03,15.56,15.6,6062831.0
2020-07-16,BKR,15.25,15.69,15.1,15.39,3777503.0
2020-07-17,BKR,15.49,15.6,15.25,15.27,4638946.0
2020-07-20,BKR,15.24,15.35,14.7847,15.05,6027381.0
2020-07-21,BKR,15.4,16.39,15.32,16.31,7314912.0
2020-07-22,BKR,15.98,16.85,15.8263,16.46,9404146.0
2020-07-23,BKR,16.53,16.8,16.07,16.69,7630996.0
2020-07-24,BKR,16.79,17.18,16.34,16.37,8339887.0
2020-07-27,BKR,16.38,16.49,15.96,16.33,4705679.0
2020-07-28,BKR,16.16,16.27,15.77,15.87,5620494.0
2020-07-29,BKR,15.84,15.9,15.075,15.81,9147331.0
2020-07-30,BKR,15.4,15.53,14.86,15.33,8730660.0
2020-07-31,BKR,15.09,15.69,15.09,15.49,19793760.0
2020-08-03,BKR,15.35,15.89,15.05,15.63,5570702.0
2020-08-04,BKR,15.46,16.215,15.46,16.19,4893571.0
2020-08-05,BKR,16.55,17.01,16.22,16.76,7381491.0
2020-08-06,BKR,16.69,16.85,16.5172,16.77,5482308.0
2020-08-07,BKR,16.38,16.59,16.175,16.57,5631767.0
2020-08-10,BKR,16.64,17.41,16.6,17.26,6846334.0
2020-08-11,BKR,17.55,17.775,17.12,17.18,8395406.0
2020-08-12,BKR,17.48,17.64,17.215,17.53,5465572.0
2020-08-13,BKR,17.32,17.42,17.02,17.12,4971636.0
2020-08-14,BKR,17.01,17.35,16.93,17.23,4266987.0
2020-08-17,BKR,17.08,17.13,16.325,16.67,6079311.0
