Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,BLDR,17.08,17.84,14.71,14.76,3169453.0
2020-03-13,BLDR,15.33,16.48,14.605,15.9,2863787.0
2020-03-16,BLDR,9.8,14.29,9.0,12.2,3032312.0
2020-03-17,BLDR,12.19,12.5,10.11,11.29,3152024.0
2020-03-18,BLDR,10.29,10.85,9.67,10.65,2902842.0
2020-03-19,BLDR,10.5,12.12,9.79,12.01,2455590.0
2020-03-20,BLDR,12.37,12.66,11.25,11.42,4120332.0
2020-03-23,BLDR,11.5,11.88,10.66,11.12,2154486.0
2020-03-24,BLDR,12.0,13.8,11.94,13.72,1888948.0
2020-03-25,BLDR,14.12,15.5,13.55,14.63,2321955.0
2020-03-26,BLDR,14.96,15.74,13.76,14.18,2202189.0
2020-03-27,BLDR,13.4,13.695,12.75,13.33,1630814.0
2020-03-30,BLDR,13.3,13.44,12.51,12.86,1531990.0
2020-03-31,BLDR,12.77,13.1,12.02,12.23,2247728.0
2020-04-01,BLDR,11.525,12.065,11.23,11.48,2023177.0
2020-04-02,BLDR,11.3,11.64,10.91,11.54,1839961.0
2020-04-03,BLDR,11.48,11.78,10.575,10.91,1836297.0
2020-04-06,BLDR,11.65,12.9,11.445,12.81,1793001.0
2020-04-07,BLDR,13.7,14.385,13.45,13.59,2199086.0
2020-04-08,BLDR,13.95,14.1303,13.39,13.58,1905410.0
2020-04-09,BLDR,14.1,15.09,13.61,15.04,2074717.0
2020-04-13,BLDR,14.97,15.0,13.5925,13.83,1174692.0
2020-04-14,BLDR,14.53,14.69,14.005,14.14,1305773.0
2020-04-15,BLDR,13.47,13.89,12.84,13.25,1456360.0
2020-04-16,BLDR,13.38,13.38,12.49,12.95,1596787.0
2020-04-17,BLDR,13.45,14.73,13.45,14.62,1469702.0
2020-04-20,BLDR,13.97,14.4,13.63,13.94,1221423.0
2020-04-21,BLDR,13.45,13.58,13.29,13.48,1276654.0
2020-04-22,BLDR,13.89,13.94,13.33,13.46,1090665.0
2020-04-23,BLDR,13.58,14.23,13.54,13.96,798027.0
2020-04-24,BLDR,14.11,14.84,13.82,14.725,1129229.0
2020-04-27,BLDR,15.0,16.0,14.89,15.8,1300332.0
2020-04-28,BLDR,16.61,17.63,16.14,17.3,2507151.0
2020-04-29,BLDR,17.95,20.16,17.9,19.54,2303593.0
2020-04-30,BLDR,18.86,19.22,17.982,18.35,3437024.0
2020-05-01,BLDR,16.99,17.54,16.27,17.235,1843745.0
2020-05-04,BLDR,16.73,17.32,16.5001,16.84,1302250.0
2020-05-05,BLDR,16.74,17.49,16.57,16.9,1232969.0
2020-05-06,BLDR,17.0,17.2,16.2,16.21,1137639.0
2020-05-07,BLDR,16.6,17.3,16.47,17.15,840531.0
2020-05-08,BLDR,17.7,17.97,17.27,17.89,1077219.0
2020-05-11,BLDR,17.37,17.94,16.79,17.62,1466674.0
2020-05-12,BLDR,17.76,17.89,16.5,16.535,1273086.0
2020-05-13,BLDR,16.25,16.35,15.04,15.31,1727427.0
2020-05-14,BLDR,14.74,15.73,14.29,15.7,987971.0
2020-05-15,BLDR,15.66,16.19,15.56,16.08,1652828.0
2020-05-18,BLDR,17.01,19.105,17.01,18.88,1704453.0
2020-05-19,BLDR,18.64,18.64,17.7,17.71,1103073.0
2020-05-20,BLDR,18.09,18.87,18.09,18.51,1136342.0
2020-05-21,BLDR,18.59,18.85,18.33,18.44,825345.0
2020-05-22,BLDR,18.54,19.21,18.28,19.18,904780.0
2020-05-26,BLDR,20.0,21.1,19.78,20.555,1625924.0
2020-05-27,BLDR,21.06,22.625,20.945,22.29,2244361.0
2020-05-28,BLDR,22.48,22.4945,20.57,20.66,1671633.0
2020-05-29,BLDR,20.28,21.25,20.11,20.81,1176188.0
2020-06-01,BLDR,20.92,21.85,20.693,21.5,1503929.0
2020-06-02,BLDR,21.8,22.66,21.8,22.49,1437414.0
2020-06-03,BLDR,23.0,23.11,22.18,22.25,1992885.0
2020-06-04,BLDR,21.98,22.78,21.98,22.44,1093659.0
2020-06-05,BLDR,22.91,24.245,22.91,23.53,1479592.0
2020-06-08,BLDR,24.48,24.65,23.25,23.4,1491829.0
2020-06-09,BLDR,22.66,23.0303,22.07,22.71,935876.0
2020-06-10,BLDR,22.57,22.88,21.67,22.69,1267165.0
2020-06-11,BLDR,20.88,21.765,20.28,20.67,1496183.0
2020-06-12,BLDR,22.1,22.165,20.13,20.99,1152600.0
2020-06-15,BLDR,20.0,22.75,20.0,22.74,1155106.0
2020-06-16,BLDR,23.64,23.85,22.26,23.05,1099833.0
2020-06-17,BLDR,23.25,23.25,22.21,22.26,588204.0
2020-06-18,BLDR,22.66,22.944,22.02,22.11,622131.0
2020-06-19,BLDR,22.53,22.57,21.31,21.58,1446210.0
2020-06-22,BLDR,21.32,21.72,20.94,21.7,1070775.0
2020-06-23,BLDR,22.08,22.265,21.44,21.7,763293.0
2020-06-24,BLDR,21.26,21.83,19.9,20.66,939135.0
2020-06-25,BLDR,20.31,20.76,19.58,20.31,1240679.0
2020-06-26,BLDR,20.17,20.2957,19.34,19.35,2336378.0
2020-06-29,BLDR,19.68,20.76,19.5,20.46,1094885.0
2020-06-30,BLDR,20.38,21.0,20.06,20.7,1121704.0
2020-07-01,BLDR,20.84,20.91,19.67,19.73,923545.0
2020-07-02,BLDR,20.25,21.0,19.98,20.07,753010.0
2020-07-06,BLDR,20.62,20.94,20.05,20.435,621618.0
2020-07-07,BLDR,20.27,20.385,19.71,19.84,813732.0
2020-07-08,BLDR,20.08,21.11,19.96,20.86,1397387.0
2020-07-09,BLDR,20.83,21.14,19.52,19.59,1153420.0
2020-07-10,BLDR,19.66,20.13,19.03,19.91,890759.0
2020-07-13,BLDR,20.25,20.3959,19.28,19.34,936467.0
2020-07-14,BLDR,19.27,20.82,19.111,20.72,1214450.0
2020-07-15,BLDR,21.21,22.33,21.1115,22.02,1335446.0
2020-07-16,BLDR,21.98,22.41,21.68,22.35,991224.0
2020-07-17,BLDR,22.28,22.4594,21.93,22.05,602948.0
2020-07-20,BLDR,21.86,22.17,21.62,21.9,446782.0
2020-07-21,BLDR,22.39,22.53,21.96,22.27,822660.0
2020-07-22,BLDR,22.11,23.54,22.04,23.29,854667.0
2020-07-23,BLDR,23.41,24.0,22.94,23.26,1108119.0
2020-07-24,BLDR,23.14,23.48,22.6733,23.1,776693.0
2020-07-27,BLDR,23.07,23.86,23.01,23.81,987792.0
2020-07-28,BLDR,23.77,23.88,22.505,22.56,1544431.0
2020-07-29,BLDR,22.84,23.76,22.7,23.7,1070071.0
2020-07-30,BLDR,23.39,23.55,22.52,23.43,1022209.0
2020-07-31,BLDR,25.46,25.9982,22.62,23.69,2762066.0
2020-08-03,BLDR,25.01,27.43,24.73,27.27,2657071.0
2020-08-04,BLDR,26.68,26.98,26.07,26.22,1538849.0
2020-08-05,BLDR,26.64,26.86,26.41,26.53,1400930.0
2020-08-06,BLDR,26.47,26.72,26.31,26.49,1020507.0
2020-08-07,BLDR,26.33,26.96,26.33,26.92,982956.0
2020-08-10,BLDR,27.0965,28.105,27.07,27.78,1366179.0
2020-08-11,BLDR,28.28,28.375,26.83,27.06,1614021.0
2020-08-12,BLDR,30.8362,31.18,29.15,30.36,7698594.0
