Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,BLK,398.38,420.0,383.43,386.22,1802681.0
2020-03-13,BLK,415.11,419.24,388.0001,413.78,1724654.0
2020-03-16,BLK,365.29,376.57,354.0101,357.28,1705005.0
2020-03-17,BLK,366.685,398.24,355.39,386.76,1713117.0
2020-03-18,BLK,357.17,374.57,323.98,373.36,2064388.0
2020-03-19,BLK,367.29,415.15,351.3018,397.36,1677113.0
2020-03-20,BLK,401.01,402.395,350.96,354.72,1473171.0
2020-03-23,BLK,354.72,354.72,326.28,327.42,1498447.0
2020-03-24,BLK,349.3,373.06,346.2885,371.7,1429025.0
2020-03-25,BLK,384.9,439.99,377.0,401.38,2068395.0
2020-03-26,BLK,408.06,454.5,405.57,451.9,1685172.0
2020-03-27,BLK,428.54,449.48,421.12,434.34,1122221.0
2020-03-30,BLK,438.0,456.25,434.51,455.35,1269740.0
2020-03-31,BLK,451.89,458.63,436.99,439.97,1673114.0
2020-04-01,BLK,418.0,424.5,401.9,409.54,1240053.0
2020-04-02,BLK,408.18,433.87,406.19,426.53,692342.0
2020-04-03,BLK,426.71,432.975,411.03,418.07,684184.0
2020-04-06,BLK,442.01,452.98,433.4,449.52,1067508.0
2020-04-07,BLK,469.0,469.065,441.98,443.12,889813.0
2020-04-08,BLK,445.81,455.64,441.6295,450.97,841143.0
2020-04-09,BLK,460.0,478.69,458.43,471.42,1215428.0
2020-04-13,BLK,468.86,470.24,449.25,452.39,759703.0
2020-04-14,BLK,466.79,467.99,456.48,458.03,617527.0
2020-04-15,BLK,441.95,451.0,440.0,443.07,641784.0
2020-04-16,BLK,445.19,462.85,444.84,458.99,811022.0
2020-04-17,BLK,476.32,484.69,469.35,476.87,1069514.0
2020-04-20,BLK,465.0,475.24,464.145,470.8,692013.0
2020-04-21,BLK,460.01,477.615,453.33,474.37,1257215.0
2020-04-22,BLK,484.32,487.88,475.54,481.0,911129.0
2020-04-23,BLK,481.32,484.76,469.31,471.2,550332.0
2020-04-24,BLK,476.03,476.03,469.64,475.14,580025.0
2020-04-27,BLK,481.07,498.15,477.06,496.65,665216.0
2020-04-28,BLK,508.07,510.79,494.76,497.77,694527.0
2020-04-29,BLK,510.67,516.0,500.585,511.39,714214.0
2020-04-30,BLK,501.24,507.94,497.81,502.04,705973.0
2020-05-01,BLK,491.42,492.47,483.15,484.16,585938.0
2020-05-04,BLK,479.0,483.71,473.1099,481.51,658506.0
2020-05-05,BLK,488.11,493.73,484.8767,485.49,559327.0
2020-05-06,BLK,489.73,491.695,476.67,483.4,547359.0
2020-05-07,BLK,494.87,502.81,493.33,497.39,576177.0
2020-05-08,BLK,505.53,506.0,496.62,498.78,488486.0
2020-05-11,BLK,492.27,497.178,488.64,493.11,754038.0
2020-05-12,BLK,472.83,473.34,451.35,454.44,3579581.0
2020-05-13,BLK,459.89,491.78,456.5,485.8,10563340.0
2020-05-14,BLK,481.0,500.14,471.45,498.2,14670504.0
2020-05-15,BLK,495.0,515.59,490.52,513.73,7802483.0
2020-05-18,BLK,518.01,528.785,514.59,516.43,6744421.0
2020-05-19,BLK,512.46,515.58,498.83,501.2,2392701.0
2020-05-20,BLK,509.56,513.0,503.46,508.74,1723547.0
2020-05-21,BLK,508.08,509.63,504.1505,508.51,1200913.0
2020-05-22,BLK,506.0,513.57,503.0,513.3,695239.0
2020-05-26,BLK,525.0,530.15,521.41,523.63,1242759.0
2020-05-27,BLK,536.0,537.35,525.33,536.4,1380255.0
2020-05-28,BLK,548.48,550.0,535.01,536.84,1318041.0
2020-05-29,BLK,530.69,534.5,520.55,528.64,1379307.0
2020-06-01,BLK,528.0,543.11,526.73,538.23,805294.0
2020-06-02,BLK,544.4,547.765,538.43,541.34,1078412.0
2020-06-03,BLK,550.0,551.944,542.81,547.71,1252227.0
2020-06-04,BLK,541.93,548.135,540.0,546.19,1083599.0
2020-06-05,BLK,558.0,562.09,551.62,556.53,1639713.0
2020-06-08,BLK,557.23,561.925,550.55,557.33,1405449.0
2020-06-09,BLK,547.97,562.5,546.95,558.06,1025752.0
2020-06-10,BLK,562.5,567.575,555.63,558.06,924354.0
2020-06-11,BLK,544.07,548.67,521.14,525.21,1506885.0
2020-06-12,BLK,538.4,539.13,516.1,527.04,1296719.0
2020-06-15,BLK,518.23,549.59,515.72,543.03,1409754.0
2020-06-16,BLK,558.9,558.9,539.35,550.4,912187.0
2020-06-17,BLK,554.96,561.5,552.8,555.23,811484.0
2020-06-18,BLK,549.87,558.35,548.53,556.77,649833.0
2020-06-19,BLK,566.98,566.98,546.85,555.37,2882553.0
2020-06-22,BLK,552.0,558.57,548.5942,553.21,559853.0
2020-06-23,BLK,560.0,561.9899,553.21,554.65,686164.0
2020-06-24,BLK,548.65,551.9,536.24,538.57,955983.0
2020-06-25,BLK,537.77,550.3999,532.7477,546.97,776908.0
2020-06-26,BLK,542.11,544.425,528.63,534.85,1520814.0
2020-06-29,BLK,540.0,540.57,530.99,532.87,911840.0
2020-06-30,BLK,533.97,545.98,533.97,544.09,1213999.0
2020-07-01,BLK,544.29,546.4819,537.46,544.32,609503.0
2020-07-02,BLK,555.48,560.56,548.62,551.77,809781.0
2020-07-06,BLK,560.0,564.4,557.09,557.55,787970.0
2020-07-07,BLK,553.37,560.47,549.16,549.23,616415.0
2020-07-08,BLK,551.01,559.94,549.485,557.61,486179.0
2020-07-09,BLK,555.03,557.4741,544.26,549.44,514401.0
2020-07-10,BLK,550.53,555.92,546.7777,554.08,541571.0
2020-07-13,BLK,558.2,565.23,552.0,552.56,852331.0
2020-07-14,BLK,552.76,562.51,551.46,561.33,634446.0
2020-07-15,BLK,573.0,573.0,560.24,568.59,828235.0
2020-07-16,BLK,565.3,569.76,563.12,566.96,797915.0
2020-07-17,BLK,578.35,592.4817,572.65,587.72,1277507.0
2020-07-20,BLK,580.22,585.0,577.13,579.6,809523.0
2020-07-21,BLK,584.75,584.75,578.29,580.0,600767.0
2020-07-22,BLK,580.33,586.62,577.98,582.54,493989.0
2020-07-23,BLK,580.31,585.0533,575.2197,578.15,492751.0
2020-07-24,BLK,578.0,578.0,567.66,570.62,459830.0
2020-07-27,BLK,568.73,578.275,565.345,575.33,711248.0
2020-07-28,BLK,572.9,574.19,569.0001,570.7,515277.0
2020-07-29,BLK,569.75,580.21,569.75,577.6,856299.0
2020-07-30,BLK,569.31,573.09,564.0,573.09,378962.0
2020-07-31,BLK,572.33,575.32,566.68,575.01,454769.0
2020-08-03,BLK,579.35,583.55,577.31,579.95,586116.0
2020-08-04,BLK,573.65,575.69,567.93,571.04,569133.0
2020-08-05,BLK,576.71,584.92,573.23,582.15,517155.0
2020-08-06,BLK,579.96,583.345,575.0664,582.23,503927.0
2020-08-07,BLK,582.67,588.34,579.42,588.19,513879.0
2020-08-10,BLK,586.21,587.155,579.67,580.2,501467.0
2020-08-11,BLK,585.3,596.51,583.33,586.64,629932.0
2020-08-12,BLK,592.14,605.72,584.395,590.24,651730.0
2020-08-13,BLK,586.72,595.305,586.72,589.56,395113.0
2020-08-14,BLK,588.61,592.46,584.06,588.46,359646.0
2020-08-17,BLK,590.93,595.545,587.89,592.03,465203.0
2020-08-18,BLK,591.09,594.76,588.8,589.21,533790.0
2020-08-19,BLK,592.33,595.55,588.8,589.75,514100.0
2020-08-20,BLK,584.88,588.26,581.04,583.36,639613.0
2020-08-21,BLK,585.41,588.0,581.93,584.04,459068.0
2020-08-24,BLK,587.38,591.69,584.29,591.45,432085.0
2020-08-25,BLK,594.45,594.6,590.12,591.15,415538.0
2020-08-26,BLK,591.46,595.7,587.9,592.1,642049.0
2020-08-27,BLK,592.94,598.9,591.99,594.98,518719.0
2020-08-28,BLK,595.61,601.31,592.09,601.06,509262.0
2020-08-31,BLK,602.52,604.08,593.67,594.19,775680.0
2020-09-01,BLK,594.74,601.02,593.15,596.24,462233.0
2020-09-02,BLK,597.74,609.69,594.19,608.0,844382.0
2020-09-03,BLK,604.13,605.4496,573.7,579.12,810601.0
2020-09-04,BLK,582.48,584.09,557.86,564.63,885990.0
2020-09-08,BLK,559.99,560.77,548.0,552.54,909474.0
2020-09-09,BLK,561.62,564.1,555.33,560.18,1008605.0
2020-09-10,BLK,561.64,561.96,541.21,543.31,983018.0
2020-09-11,BLK,544.48,547.45,537.86,541.2,724989.0
2020-09-14,BLK,545.04,553.21,543.27,547.38,683140.0
2020-09-15,BLK,553.11,553.43,547.28,548.16,709879.0
2020-09-16,BLK,551.82,566.88,548.8,561.73,1104921.0
2020-09-17,BLK,554.95,555.8,544.51,548.41,1123266.0
2020-09-18,BLK,548.47,559.16,548.47,556.92,4411340.0
2020-09-21,BLK,548.63,556.755,542.52,552.59,779875.0
2020-09-22,BLK,551.15,556.55,544.53,550.8,646371.0
2020-09-23,BLK,550.31,552.87,538.05,538.54,597135.0
2020-09-24,BLK,537.28,542.11,531.81,535.05,663130.0
2020-09-25,BLK,532.95,548.9,531.39,547.81,550363.0
2020-09-28,BLK,554.44,563.94,554.0,558.65,691525.0
2020-09-29,BLK,560.16,562.2,552.37,554.8,446791.0
2020-09-30,BLK,557.2,570.885,555.11,563.55,870257.0
2020-10-01,BLK,574.99,578.24,566.17,567.91,610502.0
2020-10-02,BLK,560.54,574.67,559.18,570.12,668136.0
2020-10-05,BLK,574.7,581.52,573.0,580.98,479606.0
