Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CBOE,98.97,102.0,90.22,99.1,1980862.0
2020-03-13,CBOE,95.39,99.58,91.31,95.39,1866377.0
2020-03-16,CBOE,92.0,92.0,82.01,83.63,1740961.0
2020-03-17,CBOE,84.47,91.6,80.68,88.54,2026640.0
2020-03-18,CBOE,86.57,86.98,74.12,75.57,1989632.0
2020-03-19,CBOE,75.9,89.94,72.01,82.91,1754082.0
2020-03-20,CBOE,83.25,84.11,78.59,80.48,2260809.0
2020-03-23,CBOE,80.2,80.44,73.13,76.54,1616398.0
2020-03-24,CBOE,78.76,81.56,75.11,78.15,2015042.0
2020-03-25,CBOE,77.81,83.54,76.82,79.6,1394030.0
2020-03-26,CBOE,79.06,91.01,78.94,90.82,1551325.0
2020-03-27,CBOE,87.12,94.89,87.01,91.03,1341047.0
2020-03-30,CBOE,92.15,95.41,88.82,93.04,875902.0
2020-03-31,CBOE,90.81,94.0,87.785,89.13,1171585.0
2020-04-01,CBOE,86.47,90.215,84.92,88.18,1081950.0
2020-04-02,CBOE,85.74,92.88,85.74,92.37,1156651.0
2020-04-03,CBOE,93.43,93.43,89.3,89.52,1277159.0
2020-04-06,CBOE,94.1,97.23,90.22,94.89,1097215.0
2020-04-07,CBOE,97.34,97.34,91.0,93.57,1549326.0
2020-04-08,CBOE,94.07,95.7,92.1,95.7,901490.0
2020-04-09,CBOE,95.91,96.65,92.74,93.77,1866613.0
2020-04-13,CBOE,92.84,94.52,91.42,93.48,3011499.0
2020-04-14,CBOE,94.51,100.57,94.51,100.25,1695265.0
2020-04-15,CBOE,98.29,101.27,97.56,98.57,1199936.0
2020-04-16,CBOE,98.04,99.5,97.68,98.34,1212680.0
2020-04-17,CBOE,98.22,102.24,98.22,101.32,1235191.0
2020-04-20,CBOE,101.81,104.39,100.37,102.96,1238580.0
2020-04-21,CBOE,101.31,102.5,100.13,100.21,1336090.0
2020-04-22,CBOE,100.72,102.55,99.42,100.34,897247.0
2020-04-23,CBOE,99.2,100.15,97.42,99.045,1015272.0
2020-04-24,CBOE,99.88,100.77,96.37,96.78,843666.0
2020-04-27,CBOE,98.06,98.44,97.06,97.85,762272.0
2020-04-28,CBOE,98.76,98.975,96.5,98.24,861901.0
2020-04-29,CBOE,99.08,100.7,98.93,99.32,723931.0
2020-04-30,CBOE,99.31,99.38,96.4292,98.675,669870.0
2020-05-01,CBOE,98.7,99.73,93.34,94.47,1039988.0
2020-05-04,CBOE,92.03,94.95,92.03,94.47,1672537.0
2020-05-05,CBOE,94.61,99.74,93.8,98.37,689937.0
2020-05-06,CBOE,100.63,100.63,97.35,97.48,980794.0
2020-05-07,CBOE,98.62,100.9,98.32,99.08,750803.0
2020-05-08,CBOE,100.44,102.28,98.83,100.18,565199.0
2020-05-11,CBOE,99.96,101.0,99.01,100.05,1240775.0
2020-05-12,CBOE,99.89,101.54,97.79,97.87,627983.0
2020-05-13,CBOE,98.08,99.9,96.535,98.35,1364356.0
2020-05-14,CBOE,97.64,99.55,95.85,99.34,478320.0
2020-05-15,CBOE,97.66,100.46,97.29,99.82,711821.0
2020-05-18,CBOE,101.65,104.25,101.05,102.65,480115.0
2020-05-19,CBOE,101.31,103.0,98.93,99.25,677868.0
2020-05-20,CBOE,99.21,101.545,99.21,100.14,420219.0
2020-05-21,CBOE,99.92,101.95,95.76,98.08,860649.0
2020-05-22,CBOE,97.94,99.59,96.5,99.33,453949.0
2020-05-26,CBOE,100.72,102.495,100.44,101.14,673991.0
2020-05-27,CBOE,103.05,103.33,101.1201,102.42,901726.0
2020-05-28,CBOE,103.0,103.345,102.05,102.55,685415.0
2020-05-29,CBOE,102.74,106.46,102.55,105.74,1148004.0
2020-06-01,CBOE,106.61,107.115,103.895,104.96,603781.0
2020-06-02,CBOE,105.0,105.0,101.9,102.89,580413.0
2020-06-03,CBOE,103.33,104.75,102.02,104.0,1187984.0
2020-06-04,CBOE,104.0,104.0,100.66,101.3,705869.0
2020-06-05,CBOE,102.15,102.49,97.7,98.2,2145457.0
2020-06-08,CBOE,98.0,103.6,98.0,103.6,1263287.0
2020-06-09,CBOE,103.01,103.18,101.04,103.07,641191.0
2020-06-10,CBOE,103.59,103.8,99.67,101.13,1352552.0
2020-06-11,CBOE,101.28,101.36,96.67,97.6,1387958.0
2020-06-12,CBOE,99.0,99.91,97.29,99.86,950642.0
2020-06-15,CBOE,98.26,101.55,97.26,101.01,639503.0
2020-06-16,CBOE,102.82,103.28,100.16,101.43,754590.0
2020-06-17,CBOE,102.32,102.87,99.91,101.04,690253.0
2020-06-18,CBOE,100.32,102.27,99.95,100.48,486943.0
2020-06-19,CBOE,102.48,102.49,98.7,99.14,1123670.0
2020-06-22,CBOE,98.69,100.29,98.1,100.12,680871.0
2020-06-23,CBOE,97.9,98.51,95.68,95.68,1149583.0
2020-06-24,CBOE,94.78,96.24,93.65,93.83,966071.0
2020-06-25,CBOE,93.82,95.24,93.02,94.93,833516.0
2020-06-26,CBOE,94.03,94.13,91.245,91.35,1707922.0
2020-06-29,CBOE,92.94,93.9,91.255,92.42,957194.0
2020-06-30,CBOE,91.96,93.38,90.86,93.28,1209806.0
2020-07-01,CBOE,93.45,97.39,93.085,96.32,1184236.0
2020-07-02,CBOE,97.79,97.79,94.2201,95.2,853662.0
2020-07-06,CBOE,96.49,96.62,94.84,95.0,620957.0
2020-07-07,CBOE,93.12,94.48,92.585,93.76,713229.0
2020-07-08,CBOE,93.36,93.815,92.29,93.17,850515.0
2020-07-09,CBOE,92.98,93.08,89.67,90.41,1174012.0
2020-07-10,CBOE,90.35,91.84,90.12,91.72,906897.0
2020-07-13,CBOE,92.49,93.78,91.03,91.62,575662.0
2020-07-14,CBOE,91.76,92.1,89.98,90.72,758259.0
2020-07-15,CBOE,91.88,94.13,91.33,94.13,676112.0
2020-07-16,CBOE,94.48,94.48,91.82,93.03,410428.0
2020-07-17,CBOE,93.28,93.79,92.08,92.66,468956.0
2020-07-20,CBOE,92.68,94.93,92.0088,93.32,734209.0
2020-07-21,CBOE,95.0,95.02,92.74,93.18,743624.0
2020-07-22,CBOE,93.55,93.55,90.91,91.76,895554.0
2020-07-23,CBOE,91.49,92.79,90.575,91.13,912051.0
2020-07-24,CBOE,90.45,91.14,88.96,89.52,776794.0
2020-07-27,CBOE,89.34,90.0,87.22,87.33,836282.0
2020-07-28,CBOE,87.78,89.46,87.3,87.71,743339.0
2020-07-29,CBOE,87.64,89.5,86.74,89.31,617114.0
2020-07-30,CBOE,87.8,89.33,86.89,86.89,1013508.0
2020-07-31,CBOE,87.39,87.88,85.5401,86.0,1253493.0
2020-08-03,CBOE,86.92,88.29,85.15,86.18,996441.0
2020-08-04,CBOE,87.14,88.2,85.58,85.58,1003534.0
2020-08-05,CBOE,86.35,87.96,85.25,86.9,1204214.0
2020-08-06,CBOE,86.54,88.26,85.0,85.41,1043749.0
2020-08-07,CBOE,85.16,88.39,85.0,88.06,949516.0
2020-08-10,CBOE,87.91,87.94,85.54,85.87,1288641.0
2020-08-11,CBOE,86.47,88.91,86.35,88.91,954678.0
2020-08-12,CBOE,88.52,89.565,86.82,86.87,841636.0
2020-08-13,CBOE,87.06,87.52,86.14,86.24,437917.0
2020-08-14,CBOE,86.11,88.26,86.0729,88.26,671608.0
2020-08-17,CBOE,88.6,90.255,88.01,89.79,847095.0
2020-08-18,CBOE,89.97,90.7,89.155,90.17,820403.0
2020-08-19,CBOE,90.76,91.0,88.91,89.16,841754.0
2020-08-20,CBOE,88.66,90.305,88.58,89.75,609514.0
2020-08-21,CBOE,89.05,92.38,89.01,91.57,1246719.0
2020-08-24,CBOE,92.49,93.3,91.54,92.68,766563.0
2020-08-25,CBOE,92.88,92.96,90.115,90.29,1107870.0
2020-08-26,CBOE,90.06,94.27,89.6,91.52,971766.0
2020-08-27,CBOE,90.58,92.91,90.58,92.57,744214.0
2020-08-28,CBOE,93.33,93.33,91.43,91.8,725556.0
2020-08-31,CBOE,92.52,92.675,89.95,91.6,1054192.0
2020-09-01,CBOE,91.2,91.2,88.22,90.07,851934.0
2020-09-02,CBOE,89.72,91.14,88.01,88.53,907447.0
2020-09-03,CBOE,88.96,90.465,88.6,89.86,986718.0
2020-09-04,CBOE,89.61,92.16,89.072,91.03,1077870.0
2020-09-08,CBOE,90.35,90.73,87.67,89.67,1201577.0
2020-09-09,CBOE,90.02,91.4758,89.18,89.88,972837.0
2020-09-10,CBOE,90.03,90.8,87.07,87.33,1131286.0
