Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CDW,96.01,101.38,91.25,91.47,3114662.0
2020-03-13,CDW,96.52,101.38,92.51,101.3,2662553.0
2020-03-16,CDW,88.06,91.58,85.01,86.97,2661795.0
2020-03-17,CDW,88.68,89.47,84.36,87.28,2346688.0
2020-03-18,CDW,80.99,88.58,75.2,84.39,2327445.0
2020-03-19,CDW,84.06,89.45,78.7628,88.27,1995660.0
2020-03-20,CDW,89.66,91.03,79.33,79.56,2301682.0
2020-03-23,CDW,78.38,87.0,73.39,85.5901,2383266.0
2020-03-24,CDW,90.24,95.475,88.8,93.83,2521208.0
2020-03-25,CDW,92.66,96.79,90.41,91.91,2011726.0
2020-03-26,CDW,91.5,101.9,90.01,101.06,1776417.0
2020-03-27,CDW,95.86,97.8,92.52,93.75,1610337.0
2020-03-30,CDW,92.01,97.75,91.82,96.91,1070621.0
2020-03-31,CDW,96.44,98.41,92.46,93.27,2946671.0
2020-04-01,CDW,89.32,92.6701,88.01,88.83,1691506.0
2020-04-02,CDW,86.63,89.29,85.78,87.97,1579877.0
2020-04-03,CDW,87.44,89.77,85.88,86.89,1362537.0
2020-04-06,CDW,92.64,96.29,91.3,95.84,1369725.0
2020-04-07,CDW,101.52,102.96,98.51,98.63,1488966.0
2020-04-08,CDW,99.53,103.29,98.5,102.27,1119810.0
2020-04-09,CDW,104.2,107.805,103.28,106.26,1441593.0
2020-04-13,CDW,105.91,107.0,101.58,103.88,939093.0
2020-04-14,CDW,104.66,107.24,104.66,106.75,1072349.0
2020-04-15,CDW,102.43,105.35,102.42,103.68,776597.0
2020-04-16,CDW,103.83,105.69,101.1,104.25,1230734.0
2020-04-17,CDW,106.14,109.03,105.64,108.82,1134672.0
2020-04-20,CDW,106.47,107.11,104.51,105.6,1232230.0
2020-04-21,CDW,102.7,103.75,98.12,98.845,1622486.0
2020-04-22,CDW,100.9,102.93,99.36,101.74,1007467.0
2020-04-23,CDW,102.51,104.34,100.7,100.86,1031414.0
2020-04-24,CDW,103.05,105.71,102.335,104.77,1229951.0
2020-04-27,CDW,104.77,107.04,104.6,106.28,813039.0
2020-04-28,CDW,108.62,109.06,106.18,107.12,1153036.0
2020-04-29,CDW,108.43,112.14,108.43,111.29,1226377.0
2020-04-30,CDW,110.93,111.19,108.95,110.8,1274194.0
2020-05-01,CDW,108.22,108.69,106.18,106.82,929079.0
2020-05-04,CDW,106.22,108.34,104.46,108.19,825514.0
2020-05-05,CDW,107.83,111.005,107.63,109.99,925432.0
2020-05-06,CDW,110.61,111.3,104.66,106.77,1473833.0
2020-05-07,CDW,106.47,108.89,104.97,106.67,981886.0
2020-05-08,CDW,108.05,109.83,107.54,108.54,666721.0
2020-05-11,CDW,106.97,107.31,104.97,104.97,891533.0
2020-05-12,CDW,105.38,106.32,101.96,101.98,973610.0
2020-05-13,CDW,100.99,102.77,96.5,98.01,1040103.0
2020-05-14,CDW,95.27,99.825,93.75,99.7,1163254.0
2020-05-15,CDW,98.01,98.81,96.91,97.81,1405655.0
2020-05-18,CDW,102.48,107.18,101.49,106.51,1937591.0
2020-05-19,CDW,106.36,108.51,105.11,105.99,949971.0
2020-05-20,CDW,105.83,109.39,105.83,109.23,1175488.0
2020-05-21,CDW,108.44,109.9602,107.01,107.21,912437.0
2020-05-22,CDW,106.23,106.7,105.41,105.74,702162.0
2020-05-26,CDW,108.56,110.52,107.97,108.01,1103874.0
2020-05-27,CDW,109.61,110.38,107.11,110.34,907003.0
2020-05-28,CDW,110.0,111.66,108.393,109.65,848113.0
2020-05-29,CDW,110.42,111.5,108.34,110.91,1460678.0
2020-06-01,CDW,110.26,113.2,109.58,111.91,678417.0
2020-06-02,CDW,111.97,113.645,111.6,113.27,1006599.0
2020-06-03,CDW,113.51,115.75,113.51,115.09,768646.0
2020-06-04,CDW,114.4,117.0,114.01,116.75,1230447.0
2020-06-05,CDW,119.34,126.0,119.3167,125.34,2187774.0
2020-06-08,CDW,126.4,129.23,125.35,128.29,1787374.0
2020-06-09,CDW,126.57,127.14,124.29,124.41,1450929.0
2020-06-10,CDW,124.11,124.52,121.48,121.71,1020397.0
2020-06-11,CDW,120.24,120.6,110.53,110.54,1157518.0
2020-06-12,CDW,113.9,116.02,111.03,114.1,1064497.0
